POA_CODE_2016	EduInstitutionType	Sex	students
POA0800		F	499
POA0800		M	646
POA0800	Infants/Primary	F	71
POA0800	Infants/Primary	M	87
POA0800	Pre-school	F	15
POA0800	Pre-school	M	16
POA0800	Secondary	F	50
POA0800	Secondary	M	35
POA0800	Technical or Further Educational Institution	F	74
POA0800	Technical or Further Educational Institution	M	41
POA0800	University or other tertiary	F	224
POA0800	University or other tertiary	M	153
POA0810		F	1901
POA0810		M	1865
POA0810	Infants/Primary	F	1307
POA0810	Infants/Primary	M	1409
POA0810	Pre-school	F	259
POA0810	Pre-school	M	287
POA0810	Secondary	F	969
POA0810	Secondary	M	972
POA0810	Technical or Further Educational Institution	F	256
POA0810	Technical or Further Educational Institution	M	211
POA0810	University or other tertiary	F	1320
POA0810	University or other tertiary	M	907
POA0812		F	1059
POA0812		M	1052
POA0812	Infants/Primary	F	848
POA0812	Infants/Primary	M	864
POA0812	Pre-school	F	142
POA0812	Pre-school	M	149
POA0812	Secondary	F	659
POA0812	Secondary	M	657
POA0812	Technical or Further Educational Institution	F	148
POA0812	Technical or Further Educational Institution	M	97
POA0812	University or other tertiary	F	502
POA0812	University or other tertiary	M	313
POA0815		F	36
POA0815		M	74
POA0815	Secondary	M	5
POA0815	University or other tertiary	F	49
POA0815	University or other tertiary	M	101
POA0820		F	1095
POA0820		M	1288
POA0820	Infants/Primary	F	604
POA0820	Infants/Primary	M	667
POA0820	Pre-school	F	106
POA0820	Pre-school	M	102
POA0820	Secondary	F	452
POA0820	Secondary	M	481
POA0820	Technical or Further Educational Institution	F	172
POA0820	Technical or Further Educational Institution	M	124
POA0820	University or other tertiary	F	594
POA0820	University or other tertiary	M	363
POA0822		F	1594
POA0822		M	1901
POA0822	Infants/Primary	F	1284
POA0822	Infants/Primary	M	1443
POA0822	Pre-school	F	252
POA0822	Pre-school	M	255
POA0822	Secondary	F	917
POA0822	Secondary	M	940
POA0822	Technical or Further Educational Institution	F	140
POA0822	Technical or Further Educational Institution	M	58
POA0822	University or other tertiary	F	150
POA0822	University or other tertiary	M	73
POA0828		F	104
POA0828		M	109
POA0828	Infants/Primary	F	34
POA0828	Infants/Primary	M	30
POA0828	Pre-school	F	3
POA0828	Pre-school	M	3
POA0828	Secondary	F	91
POA0828	Secondary	M	100
POA0828	Technical or Further Educational Institution	F	5
POA0828	Technical or Further Educational Institution	M	6
POA0828	University or other tertiary	F	25
POA0828	University or other tertiary	M	13
POA0829		F	99
POA0829		M	953
POA0829	Infants/Primary	F	12
POA0829	Infants/Primary	M	9
POA0829	Pre-school	F	3
POA0829	Secondary	M	9
POA0829	University or other tertiary	M	5
POA0830		F	1111
POA0830		M	1056
POA0830	Infants/Primary	F	834
POA0830	Infants/Primary	M	968
POA0830	Pre-school	F	180
POA0830	Pre-school	M	149
POA0830	Secondary	F	607
POA0830	Secondary	M	563
POA0830	Technical or Further Educational Institution	F	178
POA0830	Technical or Further Educational Institution	M	115
POA0830	University or other tertiary	F	428
POA0830	University or other tertiary	M	203
POA0832		F	630
POA0832		M	586
POA0832	Infants/Primary	F	878
POA0832	Infants/Primary	M	820
POA0832	Pre-school	F	142
POA0832	Pre-school	M	192
POA0832	Secondary	F	486
POA0832	Secondary	M	471
POA0832	Technical or Further Educational Institution	F	173
POA0832	Technical or Further Educational Institution	M	126
POA0832	University or other tertiary	F	420
POA0832	University or other tertiary	M	209
POA0834		F	98
POA0834		M	109
POA0834	Infants/Primary	F	75
POA0834	Infants/Primary	M	77
POA0834	Pre-school	F	12
POA0834	Pre-school	M	12
POA0834	Secondary	F	67
POA0834	Secondary	M	65
POA0834	Technical or Further Educational Institution	F	17
POA0834	Technical or Further Educational Institution	M	22
POA0834	University or other tertiary	F	36
POA0834	University or other tertiary	M	15
POA0835		F	208
POA0835		M	1265
POA0835	Infants/Primary	F	129
POA0835	Infants/Primary	M	136
POA0835	Pre-school	F	21
POA0835	Pre-school	M	14
POA0835	Secondary	F	97
POA0835	Secondary	M	128
POA0835	Technical or Further Educational Institution	F	26
POA0835	Technical or Further Educational Institution	M	43
POA0835	University or other tertiary	F	56
POA0835	University or other tertiary	M	35
POA0836		F	453
POA0836		M	520
POA0836	Infants/Primary	F	347
POA0836	Infants/Primary	M	394
POA0836	Pre-school	F	53
POA0836	Pre-school	M	51
POA0836	Secondary	F	225
POA0836	Secondary	M	294
POA0836	Technical or Further Educational Institution	F	61
POA0836	Technical or Further Educational Institution	M	55
POA0836	University or other tertiary	F	148
POA0836	University or other tertiary	M	51
POA0837		F	33
POA0837		M	35
POA0837	Infants/Primary	F	12
POA0837	Infants/Primary	M	14
POA0837	Pre-school	F	3
POA0837	Pre-school	M	3
POA0837	Secondary	F	3
POA0837	Secondary	M	5
POA0837	University or other tertiary	F	9
POA0838		F	52
POA0838		M	58
POA0838	Infants/Primary	F	29
POA0838	Infants/Primary	M	31
POA0838	Pre-school	F	13
POA0838	Pre-school	M	10
POA0838	Secondary	F	21
POA0838	Secondary	M	24
POA0838	Technical or Further Educational Institution	F	6
POA0838	Technical or Further Educational Institution	M	7
POA0838	University or other tertiary	F	13
POA0838	University or other tertiary	M	3
POA0839		F	56
POA0839		M	59
POA0839	Infants/Primary	F	7
POA0839	Infants/Primary	M	20
POA0839	Pre-school	F	3
POA0839	Pre-school	M	3
POA0839	Secondary	F	4
POA0839	Secondary	M	6
POA0839	Technical or Further Educational Institution	F	9
POA0839	Technical or Further Educational Institution	M	4
POA0839	University or other tertiary	F	22
POA0839	University or other tertiary	M	3
POA0840		F	7
POA0840		M	25
POA0840	Infants/Primary	F	7
POA0840	Infants/Primary	M	5
POA0840	Pre-school	F	3
POA0840	Secondary	F	6
POA0840	University or other tertiary	F	3
POA0841		F	47
POA0841		M	52
POA0841	Infants/Primary	F	35
POA0841	Infants/Primary	M	37
POA0841	Pre-school	F	5
POA0841	Pre-school	M	4
POA0841	Secondary	F	14
POA0841	Secondary	M	22
POA0841	Technical or Further Educational Institution	F	7
POA0841	Technical or Further Educational Institution	M	5
POA0841	University or other tertiary	F	11
POA0845		F	59
POA0845		M	53
POA0845	Infants/Primary	F	17
POA0845	Infants/Primary	M	22
POA0845	Pre-school	F	3
POA0845	Pre-school	M	3
POA0845	Secondary	F	4
POA0845	Secondary	M	15
POA0845	Technical or Further Educational Institution	F	25
POA0845	Technical or Further Educational Institution	M	6
POA0845	University or other tertiary	F	6
POA0845	University or other tertiary	M	3
POA0846		F	25
POA0846		M	32
POA0846	Infants/Primary	F	20
POA0846	Infants/Primary	M	19
POA0846	Pre-school	M	8
POA0846	Secondary	F	7
POA0846	Secondary	M	3
POA0846	Technical or Further Educational Institution	F	3
POA0847		F	18
POA0847		M	24
POA0847	Infants/Primary	F	11
POA0847	Infants/Primary	M	6
POA0847	Secondary	F	7
POA0847	Secondary	M	5
POA0847	University or other tertiary	F	3
POA0850		F	858
POA0850		M	923
POA0850	Infants/Primary	F	295
POA0850	Infants/Primary	M	333
POA0850	Pre-school	F	61
POA0850	Pre-school	M	70
POA0850	Secondary	F	213
POA0850	Secondary	M	258
POA0850	Technical or Further Educational Institution	F	55
POA0850	Technical or Further Educational Institution	M	47
POA0850	University or other tertiary	F	141
POA0850	University or other tertiary	M	52
POA0852		F	657
POA0852		M	784
POA0852	Infants/Primary	F	498
POA0852	Infants/Primary	M	544
POA0852	Pre-school	F	94
POA0852	Pre-school	M	89
POA0852	Secondary	F	238
POA0852	Secondary	M	212
POA0852	Technical or Further Educational Institution	F	26
