POA_CODE_2016	AgeChild	CoupleFamily	ParentsBornAus	children
POA0800	0-4	0	Both	5
POA0800	0-4	0	Father only	6
POA0800	0-4	0	Neither	4
POA0800	0-4	1	Both	58
POA0800	0-4	1	Father only	29
POA0800	0-4	1	Mother only	8
POA0800	0-4	1	Neither	117
POA0800	5-9	0	Both	3
POA0800	5-9	0	Father only	3
POA0800	5-9	0	Mother only	3
POA0800	5-9	0	Neither	3
POA0800	5-9	1		3
POA0800	5-9	1	Both	29
POA0800	5-9	1	Father only	12
POA0800	5-9	1	Neither	66
POA0800	10-12	0	Neither	3
POA0800	10-12	1	Both	18
POA0800	10-12	1	Mother only	3
POA0800	10-12	1	Neither	32
POA0800	13-14	0	Both	6
POA0800	13-14	0	Neither	3
POA0800	13-14	1	Both	8
POA0800	13-14	1	Neither	8
POA0800	15-17	0	Both	3
POA0800	15-17	0	Neither	5
POA0800	15-17	1	Both	5
POA0800	15-17	1	Neither	15
POA0800	18-20	0	Both	3
POA0800	18-20	0	Father only	3
POA0800	18-20	1	Both	3
POA0800	18-20	1	Neither	3
POA0800	21-24	1	Neither	3
POA0810	0-4	0		18
POA0810	0-4	0	Both	119
POA0810	0-4	0	Father only	14
POA0810	0-4	0	Mother only	24
POA0810	0-4	0	Neither	34
POA0810	0-4	1		17
POA0810	0-4	1	Both	930
POA0810	0-4	1	Father only	200
POA0810	0-4	1	Mother only	165
POA0810	0-4	1	Neither	783
POA0810	5-9	0		14
POA0810	5-9	0	Both	186
POA0810	5-9	0	Father only	35
POA0810	5-9	0	Mother only	30
POA0810	5-9	0	Neither	61
POA0810	5-9	1		14
POA0810	5-9	1	Both	740
POA0810	5-9	1	Father only	162
POA0810	5-9	1	Mother only	142
POA0810	5-9	1	Neither	611
POA0810	10-12	0		12
POA0810	10-12	0	Both	106
POA0810	10-12	0	Father only	20
POA0810	10-12	0	Mother only	26
POA0810	10-12	0	Neither	29
POA0810	10-12	1		7
POA0810	10-12	1	Both	370
POA0810	10-12	1	Father only	79
POA0810	10-12	1	Mother only	73
POA0810	10-12	1	Neither	329
POA0810	13-14	0		7
POA0810	13-14	0	Both	74
POA0810	13-14	0	Father only	12
POA0810	13-14	0	Mother only	16
POA0810	13-14	0	Neither	28
POA0810	13-14	1		7
POA0810	13-14	1	Both	221
POA0810	13-14	1	Father only	47
POA0810	13-14	1	Mother only	53
POA0810	13-14	1	Neither	211
POA0810	15-17	0		6
POA0810	15-17	0	Both	118
POA0810	15-17	0	Father only	19
POA0810	15-17	0	Mother only	18
POA0810	15-17	0	Neither	48
POA0810	15-17	1		9
POA0810	15-17	1	Both	286
POA0810	15-17	1	Father only	82
POA0810	15-17	1	Mother only	62
POA0810	15-17	1	Neither	266
POA0810	18-20	0	Both	11
POA0810	18-20	0	Father only	8
POA0810	18-20	0	Mother only	3
POA0810	18-20	0	Neither	19
POA0810	18-20	1	Both	41
POA0810	18-20	1	Father only	25
POA0810	18-20	1	Mother only	19
POA0810	18-20	1	Neither	106
POA0810	21-24	0	Both	6
POA0810	21-24	0	Mother only	3
POA0810	21-24	0	Neither	11
POA0810	21-24	1	Both	16
POA0810	21-24	1	Father only	7
POA0810	21-24	1	Mother only	4
POA0810	21-24	1	Neither	41
POA0812	0-4	0		13
POA0812	0-4	0	Both	130
POA0812	0-4	0	Father only	12
POA0812	0-4	0	Mother only	20
POA0812	0-4	0	Neither	17
POA0812	0-4	1		10
POA0812	0-4	1	Both	484
POA0812	0-4	1	Father only	100
POA0812	0-4	1	Mother only	81
POA0812	0-4	1	Neither	302
POA0812	5-9	0		5
POA0812	5-9	0	Both	200
POA0812	5-9	0	Father only	18
POA0812	5-9	0	Mother only	16
POA0812	5-9	0	Neither	21
POA0812	5-9	1		13
POA0812	5-9	1	Both	513
POA0812	5-9	1	Father only	97
POA0812	5-9	1	Mother only	77
POA0812	5-9	1	Neither	307
POA0812	10-12	0		5
POA0812	10-12	0	Both	126
POA0812	10-12	0	Father only	19
POA0812	10-12	0	Mother only	12
POA0812	10-12	0	Neither	23
POA0812	10-12	1		3
POA0812	10-12	1	Both	249
POA0812	10-12	1	Father only	57
POA0812	10-12	1	Mother only	36
POA0812	10-12	1	Neither	173
POA0812	13-14	0		3
POA0812	13-14	0	Both	81
POA0812	13-14	0	Father only	17
POA0812	13-14	0	Mother only	13
POA0812	13-14	0	Neither	16
POA0812	13-14	1	Both	168
POA0812	13-14	1	Father only	31
POA0812	13-14	1	Mother only	27
POA0812	13-14	1	Neither	118
POA0812	15-17	0		3
POA0812	15-17	0	Both	64
POA0812	15-17	0	Father only	20
POA0812	15-17	0	Mother only	14
POA0812	15-17	0	Neither	48
POA0812	15-17	1	Both	192
POA0812	15-17	1	Father only	56
POA0812	15-17	1	Mother only	36
POA0812	15-17	1	Neither	154
POA0812	18-20	0	Both	6
POA0812	18-20	0	Father only	3
POA0812	18-20	0	Mother only	8
POA0812	18-20	0	Neither	15
POA0812	18-20	1	Both	27
POA0812	18-20	1	Father only	6
POA0812	18-20	1	Mother only	18
POA0812	18-20	1	Neither	74
POA0812	21-24	0	Mother only	3
POA0812	21-24	0	Neither	5
POA0812	21-24	1	Both	17
POA0812	21-24	1	Father only	6
POA0812	21-24	1	Mother only	6
POA0812	21-24	1	Neither	28
POA0820	0-4	0		3
POA0820	0-4	0	Both	60
POA0820	0-4	0	Father only	5
POA0820	0-4	0	Mother only	11
POA0820	0-4	0	Neither	16
POA0820	0-4	1		5
POA0820	0-4	1	Both	441
POA0820	0-4	1	Father only	125
POA0820	0-4	1	Mother only	46
POA0820	0-4	1	Neither	278
POA0820	5-9	0	Both	72
POA0820	5-9	0	Father only	14
POA0820	5-9	0	Mother only	9
POA0820	5-9	0	Neither	14
POA0820	5-9	1	Both	428
POA0820	5-9	1	Father only	88
POA0820	5-9	1	Mother only	69
POA0820	5-9	1	Neither	217
POA0820	10-12	0	Both	50
POA0820	10-12	0	Father only	6
POA0820	10-12	0	Mother only	4
POA0820	10-12	0	Neither	12
POA0820	10-12	1	Both	225
POA0820	10-12	1	Father only	40
POA0820	10-12	1	Mother only	30
POA0820	10-12	1	Neither	128
POA0820	13-14	0	Both	35
POA0820	13-14	0	Father only	6
POA0820	13-14	0	Mother only	3
POA0820	13-14	0	Neither	11
POA0820	13-14	1	Both	128
POA0820	13-14	1	Father only	33
POA0820	13-14	1	Mother only	29
POA0820	13-14	1	Neither	69
POA0820	15-17	0	Both	37
POA0820	15-17	0	Father only	9
POA0820	15-17	0	Mother only	6
POA0820	15-17	0	Neither	12
POA0820	15-17	1	Both	157
POA0820	15-17	1	Father only	31
POA0820	15-17	1	Mother only	36
POA0820	15-17	1	Neither	82
POA0820	18-20	0	Both	5
POA0820	18-20	0	Father only	3
POA0820	18-20	0	Neither	4
POA0820	18-20	1	Both	37
POA0820	18-20	1	Father only	7
POA0820	18-20	1	Mother only	6
POA0820	18-20	1	Neither	31
POA0820	21-24	0	Father only	4
POA0820	21-24	1	Both	12
POA0820	21-24	1	Father only	3
POA0820	21-24	1	Mother only	4
POA0820	21-24	1	Neither	16
POA0822	0-4	0		13
POA0822	0-4	0	Both	444
POA0822	0-4	0	Father only	3
POA0822	0-4	0	Mother only	3
POA0822	0-4	1		13
POA0822	0-4	1	Both	1276
POA0822	0-4	1	Father only	36
POA0822	0-4	1	Mother only	19
POA0822	0-4	1	Neither	29
POA0822	5-9	0		16
POA0822	5-9	0	Both	499
POA0822	5-9	0	Father only	6
POA0822	5-9	0	Mother only	6
POA0822	5-9	0	Neither	6
POA0822	5-9	1		13
POA0822	5-9	1	Both	1439
POA0822	5-9	1	Father only	28
POA0822	5-9	1	Mother only	22
POA0822	5-9	1	Neither	33
POA0822	10-12	0		12
POA0822	10-12	0	Both	309
POA0822	10-12	0	Neither	3
POA0822	10-12	1		9
POA0822	10-12	1	Both	849
POA0822	10-12	1	Father only	14
POA0822	10-12	1	Mother only	5
POA0822	10-12	1	Neither	30
POA0822	13-14	0		3
POA0822	13-14	0	Both	230
POA0822	13-14	0	Father only	3
POA0822	13-14	1		7
POA0822	13-14	1	Both	546
POA0822	13-14	1	Father only	9
POA0822	13-14	1	Mother only	11
POA0822	13-14	1	Neither	19
POA0822	15-17	0	Both	168
POA0822	15-17	0	Father only	3
POA0822	15-17	1	Both	428
POA0822	15-17	1	Father only	14
POA0822	15-17	1	Mother only	5
POA0822	15-17	1	Neither	14
POA0822	18-20	0	Both	10
POA0822	18-20	1	Both	40
POA0822	18-20	1	Neither	4
POA0822	21-24	0		3
POA0822	21-24	0	Both	13
POA0822	21-24	1	Both	11
POA0822	21-24	1	Neither	3
POA0828	0-4	0	Both	12
POA0828	0-4	0	Father only	3
POA0828	0-4	1	Both	19
POA0828	0-4	1	Father only	4
