POA_CODE_2016	medianTotalFamilyIncome
POA0800	134940
POA0810	118976
POA0812	117572
POA0815	
POA0820	141388
POA0822	42692
POA0828	96096
POA0829	115128
POA0830	117156
POA0832	129116
POA0834	134628
POA0835	124332
POA0836	133588
POA0837	97500
POA0838	126360
POA0839	98124
POA0840	43524
POA0841	108524
POA0845	71500
POA0846	61048
POA0847	49660
POA0850	105976
POA0852	37388
POA0853	119340
POA0854	54600
POA0860	82784
POA0862	56836
POA0870	118248
POA0872	38740
POA0873	98748
POA0874	139100
POA0875	109668
POA0880	116064
POA0885	179192
POA0886	127608
POA2000	101920
POA2006	
POA2007	91052
POA2008	103740
POA2009	138840
POA2010	156000
POA2011	150956
POA2015	147316
POA2016	134784
POA2017	116064
POA2018	95056
POA2019	119028
POA2020	109356
POA2021	186992
POA2022	142376
POA2023	188188
POA2024	167440
POA2025	189592
POA2026	151112
POA2027	192296
POA2028	177892
POA2029	152620
POA2030	181272
POA2031	144976
POA2032	99216
POA2033	117260
POA2034	152308
POA2035	115804
POA2036	105976
POA2037	129584
POA2038	171808
POA2039	185484
POA2040	152880
POA2041	193388
POA2042	138320
POA2043	156572
POA2044	122564
POA2045	136292
POA2046	130416
POA2047	155636
POA2048	138112
POA2049	137072
POA2050	146484
POA2052	36556
POA2060	164268
POA2061	182104
POA2062	172536
POA2063	196768
POA2064	129636
POA2065	164008
POA2066	151372
POA2067	110604
POA2068	174200
POA2069	169364
POA2070	165516
POA2071	148408
POA2072	136708
POA2073	173524
POA2074	157768
POA2075	149344
POA2076	150644
POA2077	106184
POA2079	124644
POA2080	117728
POA2081	128024
POA2082	120692
POA2083	105404
POA2084	132028
POA2085	133068
POA2086	137020
POA2087	137384
POA2088	190892
POA2089	164684
POA2090	171652
POA2092	190944
POA2093	151060
POA2094	167908
POA2095	170404
POA2096	147940
POA2097	130416
POA2099	111228
POA2100	128492
POA2101	121212
POA2102	123032
POA2103	121836
POA2104	127764
POA2105	136344
POA2106	126880
POA2107	131300
POA2108	128752
POA2109	101400
POA2110	185224
POA2111	134628
POA2112	110032
POA2113	117104
POA2114	106132
POA2115	97760
POA2116	94016
POA2117	95160
POA2118	100152
POA2119	152516
POA2120	132860
POA2121	115856
POA2122	99788
POA2123	
POA2125	147160
POA2126	135148
POA2127	114920
POA2128	83668
POA2129	
POA2130	127244
POA2131	93704
POA2132	107796
POA2133	99112
POA2134	77896
POA2135	103272
POA2136	101816
POA2137	122148
POA2138	107380
POA2139	
POA2140	90376
POA2141	74464
POA2142	72176
POA2143	73164
POA2144	59852
POA2145	96928
POA2146	97188
POA2147	95420
POA2148	84448
POA2150	90844
POA2151	103168
POA2152	102700
POA2153	120276
POA2154	125320
POA2155	134680
POA2156	131924
POA2157	106028
POA2158	126048
POA2159	116376
POA2160	70460
POA2161	64584
POA2162	68796
POA2163	53664
POA2164	73320
POA2165	59332
POA2166	56836
POA2167	96772
POA2168	70096
POA2170	78572
POA2171	106964
POA2172	140088
POA2173	115336
POA2174	114244
POA2175	99216
POA2176	80132
POA2177	71812
POA2178	98384
POA2179	90688
POA2190	69524
POA2191	87100
POA2192	69628
POA2193	98124
POA2194	66248
POA2195	55848
POA2196	69004
POA2197	72592
POA2198	83824
POA2199	69836
POA2200	64532
POA2203	115492
POA2204	108940
POA2205	95576
POA2206	105508
POA2207	93964
POA2208	92248
POA2209	86008
POA2210	88816
POA2211	95784
POA2212	93964
POA2213	105300
POA2214	103220
POA2216	85072
POA2217	92872
POA2218	85072
POA2219	101868
POA2220	73840
POA2221	112476
POA2222	90636
POA2223	114608
POA2224	107536
POA2225	145860
POA2226	128440
POA2227	123656
POA2228	107484
POA2229	120588
POA2230	125008
POA2231	106132
POA2232	115180
POA2233	117052
POA2234	129844
POA2250	88920
POA2251	92768
POA2256	74360
POA2257	73632
POA2258	99788
POA2259	78000
POA2260	106756
POA2261	78416
POA2262	67704
POA2263	66664
POA2264	70460
POA2265	76960
POA2267	72696
POA2278	84344
POA2280	87984
POA2281	76024
POA2282	98956
POA2283	76284
POA2284	77844
POA2285	90272
POA2286	74880
POA2287	86632
POA2289	103688
POA2290	90376
POA2291	127296
POA2292	85436
POA2293	102232
POA2294	97240
POA2295	80704
POA2296	84292
POA2297	90272
POA2298	78832
POA2299	77740
POA2300	123604
POA2302	105976
POA2303	101192
POA2304	82524
POA2305	107692
POA2306	42640
POA2307	69160
POA2308	
POA2311	70200
POA2312	57876
POA2314	
POA2315	71916
POA2316	72904
POA2317	67808
POA2318	92248
POA2319	61048
POA2320	88764
POA2321	93808
POA2322	80236
POA2323	82992
POA2324	67600
POA2325	69160
POA2326	69836
POA2327	65572
POA2328	84136
POA2329	65520
POA2330	101348
POA2331	
POA2333	86320
POA2334	83824
POA2335	104312
POA2336	90792
POA2337	90376
POA2338	62244
POA2339	67288
POA2340	77740
POA2341	57408
POA2342	79248
POA2343	70044
POA2344	81692
POA2345	74724
POA2346	59072
POA2347	51428
POA2350	80548
POA2351	
POA2352	74880
POA2353	66456
POA2354	69472
POA2355	60216
POA2356	41080
POA2357	59644
POA2358	66560
POA2359	47476
POA2360	62764
POA2361	50232
POA2365	66196
POA2369	49764
POA2370	59280
POA2371	47164
POA2372	55380
POA2379	70772
POA2380	85488
POA2381	65520
POA2382	71240
POA2386	70408
POA2387	63648
POA2388	74048
POA2390	82992
POA2395	40508
POA2396	55848
POA2397	81900
POA2398	91936
POA2399	74724
POA2400	80392
POA2401	74724
POA2402	60580
POA2403	57616
POA2404	55432
POA2405	84500
POA2406	79144
POA2408	83304
POA2409	46124
POA2410	48048
POA2411	84500
POA2415	75816
POA2420	66092
POA2421	94068
POA2422	57928
POA2423	52312
POA2424	51012
POA2425	71344
POA2426	52624
POA2427	49972
POA2428	55328
POA2429	59228
POA2430	59644
POA2431	55692
POA2439	63388
POA2440	58188
POA2441	61204
POA2443	52364
POA2444	70772
POA2445	68276
POA2446	68068
POA2447	61308
POA2448	53976
POA2449	50076
POA2450	72176
POA2452	65520
POA2453	58864
POA2454	65832
POA2455	59540
POA2456	68432
POA2460	61204
POA2462	52988
POA2463	58864
POA2464	58656
POA2465	52780
POA2466	44460
POA2469	51272
POA2470	61776
POA2471	61932
POA2472	64220
POA2473	62660
POA2474	56784
POA2475	39624
POA2476	54548
POA2477	73684
POA2478	74048
POA2479	83616
POA2480	70304
POA2481	81588
POA2482	62764
POA2483	66196
POA2484	65832
POA2485	61360
POA2486	68640
POA2487	82628
POA2488	79664
POA2489	72332
POA2490	82420
POA2500	87828
POA2502	58864
POA2505	68588
POA2506	69628
POA2508	121056
POA2515	119444
POA2516	117832
POA2517	101192
POA2518	82004
POA2519	91104
POA2522	
POA2525	99112
POA2526	96720
POA2527	86580
POA2528	64480
POA2529	93132
POA2530	82212
POA2533	94276
POA2534	96044
POA2535	76180
POA2536	61204
POA2537	63440
POA2538	67704
POA2539	58084
POA2540	64116
POA2541	64064
POA2545	65260
POA2546	58396
POA2548	66144
POA2549	67496
POA2550	66300
POA2551	58136
POA2555	70772
POA2556	90376
POA2557	109564
POA2558	91364
POA2559	45188
POA2560	82628
POA2563	80600
POA2564	69836
POA2565	87256
POA2566	86112
POA2567	112840
POA2568	96200
POA2569	104260
POA2570	112996
POA2571	114140
POA2572	95524
POA2573	81588
POA2574	90844
POA2575	86684
POA2576	88452
POA2577	85124
POA2578	71656
POA2579	72956
POA2580	79404
POA2581	102544
POA2582	111280
POA2583	69732
POA2584	66872
POA2585	60320
POA2586	71760
POA2587	63440
POA2588	76076
POA2590	64064
POA2594	65156
POA2600	178880
POA2601	160420
POA2602	133796
POA2603	178152
POA2604	148044
POA2605	152048
POA2606	119028
POA2607	132964
POA2609	92456
POA2611	133848
POA2612	141752
POA2614	126308
POA2615	115752
POA2617	119548
POA2618	133848
POA2619	158288
POA2620	113620
POA2621	139412
POA2622	75140
POA2623	100464
POA2625	108732
POA2626	106756
POA2627	96460
POA2628	78416
POA2629	63024
POA2630	75920
POA2631	62920
POA2632	74100
POA2633	63544
POA2640	88712
POA2641	65728
POA2642	82732
POA2643	68744
POA2644	72124
POA2645	59540
POA2646	68640
POA2647	66560
POA2648	58968
POA2649	84448
POA2650	87880
POA2651	82212
POA2652	76908
POA2653	71864
POA2655	76492
POA2656	72436
POA2658	61880
POA2659	69680
POA2660	67288
POA2661	114608
POA2663	71968
POA2665	67288
POA2666	69576
POA2668	50544
POA2669	70408
POA2671	74152
POA2672	62088
POA2675	80444
POA2678	
POA2680	80964
POA2681	80548
POA2700	68796
POA2701	81484
POA2702	65208
POA2703	63856
POA2705	76284
POA2706	73216
POA2707	83616
POA2710	71188
POA2711	70356
POA2712	68380
POA2713	66092
POA2714	61048
POA2715	71292
POA2716	70252
POA2717	52520
POA2720	76076
POA2721	61724
POA2722	70460
POA2725	50076
POA2726	83200
POA2727	94224
POA2729	79872
POA2730	65208
POA2731	73060
POA2732	65312
POA2733	62348
