POA_CODE_2016	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
POA0800					52
POA0800	0	0	0	1	67
POA0800	0	0	1	0	24
POA0800	0	0	1	1	13
POA0800	0	1	0	0	69
POA0800	0	1	0	1	13
POA0800	0	1	1	0	8
POA0800	1	0	0	1	72
POA0800	1	0	1	0	42
POA0800	1	0	1	1	27
POA0800	1	1	0	0	932
POA0800	1	1	0	1	19
POA0800	1	1	1	0	44
POA0800	1	1	1	1	14
POA0810					306
POA0810	0	0	0	1	800
POA0810	0	0	1	0	243
POA0810	0	0	1	1	134
POA0810	0	1	0	0	1197
POA0810	0	1	0	1	163
POA0810	0	1	1	0	278
POA0810	0	1	1	1	83
POA0810	1	0	0	1	1580
POA0810	1	0	1	0	822
POA0810	1	0	1	1	514
POA0810	1	1	0	0	9250
POA0810	1	1	0	1	492
POA0810	1	1	1	0	1804
POA0810	1	1	1	1	374
POA0812					192
POA0812	0	0	0	1	626
POA0812	0	0	1	0	156
POA0812	0	0	1	1	89
POA0812	0	1	0	0	991
POA0812	0	1	0	1	159
POA0812	0	1	1	0	229
POA0812	0	1	1	1	52
POA0812	1	0	0	1	1320
POA0812	1	0	1	0	546
POA0812	1	0	1	1	434
POA0812	1	1	0	0	4779
POA0812	1	1	0	1	385
POA0812	1	1	1	0	1005
POA0812	1	1	1	1	266
POA0820					171
POA0820	0	0	0	1	410
POA0820	0	0	1	0	103
POA0820	0	0	1	1	34
POA0820	0	1	0	0	523
POA0820	0	1	0	1	45
POA0820	0	1	1	0	86
POA0820	0	1	1	1	14
POA0820	1	0	0	1	605
POA0820	1	0	1	0	418
POA0820	1	0	1	1	241
POA0820	1	1	0	0	4419
POA0820	1	1	0	1	256
POA0820	1	1	1	0	698
POA0820	1	1	1	1	131
POA0822					541
POA0822	0	0	0	1	1047
POA0822	0	0	1	0	112
POA0822	0	0	1	1	105
POA0822	0	1	0	0	1812
POA0822	0	1	0	1	1144
POA0822	0	1	1	0	286
POA0822	0	1	1	1	185
POA0822	1	0	0	1	1045
POA0822	1	0	1	0	234
POA0822	1	0	1	1	346
POA0822	1	1	0	0	6702
POA0822	1	1	0	1	2052
POA0822	1	1	1	0	1179
POA0822	1	1	1	1	748
POA0828					13
POA0828	0	0	0	1	28
POA0828	0	0	1	0	6
POA0828	0	0	1	1	3
POA0828	0	1	0	0	53
POA0828	0	1	0	1	14
POA0828	0	1	1	0	7
POA0828	1	0	0	1	54
POA0828	1	0	1	0	22
POA0828	1	0	1	1	26
POA0828	1	1	0	0	155
POA0828	1	1	1	0	53
POA0828	1	1	1	1	8
POA0829	0	1	0	0	9
POA0829	0	1	1	0	4
POA0829	1	0	0	1	17
POA0829	1	0	1	0	7
POA0829	1	0	1	1	7
POA0829	1	1	0	0	46
POA0830					163
POA0830	0	0	0	1	472
POA0830	0	0	1	0	131
POA0830	0	0	1	1	58
POA0830	0	1	0	0	1294
POA0830	0	1	0	1	153
POA0830	0	1	1	0	318
POA0830	0	1	1	1	64
POA0830	1	0	0	1	903
POA0830	1	0	1	0	435
POA0830	1	0	1	1	296
POA0830	1	1	0	0	5387
POA0830	1	1	0	1	372
POA0830	1	1	1	0	771
POA0830	1	1	1	1	136
POA0832					112
POA0832	0	0	0	1	271
POA0832	0	0	1	0	100
POA0832	0	0	1	1	42
POA0832	0	1	0	0	718
POA0832	0	1	0	1	72
POA0832	0	1	1	0	95
POA0832	0	1	1	1	3
POA0832	1	0	0	1	499
POA0832	1	0	1	0	260
POA0832	1	0	1	1	228
POA0832	1	1	0	0	6238
POA0832	1	1	0	1	197
POA0832	1	1	1	0	913
POA0832	1	1	1	1	209
POA0834					4
POA0834	0	0	0	1	48
POA0834	0	0	1	0	7
POA0834	0	0	1	1	9
POA0834	0	1	0	0	70
POA0834	0	1	0	1	16
POA0834	0	1	1	0	7
POA0834	1	0	0	1	137
POA0834	1	0	1	0	54
POA0834	1	0	1	1	54
POA0834	1	1	0	0	447
POA0834	1	1	0	1	33
POA0834	1	1	1	0	93
POA0834	1	1	1	1	19
POA0835					13
POA0835	0	0	0	1	49
POA0835	0	0	1	0	15
POA0835	0	0	1	1	3
POA0835	0	1	0	0	109
POA0835	0	1	0	1	13
POA0835	0	1	1	0	24
POA0835	0	1	1	1	10
POA0835	1	0	0	1	279
POA0835	1	0	1	0	108
POA0835	1	0	1	1	80
POA0835	1	1	0	0	739
POA0835	1	1	0	1	82
POA0835	1	1	1	0	129
POA0835	1	1	1	1	21
POA0836					50
POA0836	0	0	0	1	188
POA0836	0	0	1	0	45
POA0836	0	0	1	1	16
POA0836	0	1	0	0	245
POA0836	0	1	0	1	30
POA0836	0	1	1	0	51
POA0836	0	1	1	1	7
POA0836	1	0	0	1	504
POA0836	1	0	1	0	177
POA0836	1	0	1	1	189
POA0836	1	1	0	0	2333
POA0836	1	1	0	1	186
POA0836	1	1	1	0	449
POA0836	1	1	1	1	129
POA0837					4
POA0837	0	0	0	1	11
POA0837	0	1	0	0	20
POA0837	0	1	0	1	7
POA0837	1	0	0	1	33
POA0837	1	0	1	0	13
POA0837	1	0	1	1	10
POA0837	1	1	0	0	93
POA0837	1	1	0	1	9
POA0837	1	1	1	0	11
POA0838	0	0	0	1	13
POA0838	0	0	1	0	4
POA0838	0	0	1	1	3
POA0838	0	1	0	0	26
POA0838	0	1	0	1	13
POA0838	0	1	1	0	7
POA0838	0	1	1	1	3
POA0838	1	0	0	1	67
POA0838	1	0	1	0	20
POA0838	1	1	0	0	240
POA0838	1	1	0	1	17
POA0838	1	1	1	0	37
POA0838	1	1	1	1	5
POA0839	0	0	0	1	10
POA0839	0	1	0	0	43
POA0839	0	1	1	0	7
POA0839	0	1	1	1	3
POA0839	1	0	0	1	4
POA0839	1	0	1	1	3
POA0839	1	1	0	0	97
POA0839	1	1	0	1	15
POA0840					3
