POA_CODE_2016	AgeStudent	Sex	students
POA0800	0-4	F	15
POA0800	0-4	M	13
POA0800	5-14	F	106
POA0800	5-14	M	104
POA0800	15-19	F	37
POA0800	15-19	M	24
POA0800	20-24	F	68
POA0800	20-24	M	50
POA0800	25+	F	257
POA0800	25+	M	167
POA0810	0-4	F	238
POA0810	0-4	M	248
POA0810	5-14	F	1768
POA0810	5-14	M	1897
POA0810	15-19	F	641
POA0810	15-19	M	648
POA0810	20-24	F	355
POA0810	20-24	M	283
POA0810	25+	F	1307
POA0810	25+	M	831
POA0812	0-4	F	124
POA0812	0-4	M	127
POA0812	5-14	F	1186
POA0812	5-14	M	1202
POA0812	15-19	F	397
POA0812	15-19	M	417
POA0812	20-24	F	161
POA0812	20-24	M	134
POA0812	25+	F	531
POA0812	25+	M	274
POA0815	15-19	F	9
POA0815	15-19	M	4
POA0815	20-24	F	13
POA0815	20-24	M	48
POA0815	25+	F	30
POA0815	25+	M	60
POA0820	0-4	F	113
POA0820	0-4	M	92
POA0820	5-14	F	845
POA0820	5-14	M	901
POA0820	15-19	F	270
POA0820	15-19	M	306
POA0820	20-24	F	163
POA0820	20-24	M	118
POA0820	25+	F	674
POA0820	25+	M	360
POA0822	0-4	F	231
POA0822	0-4	M	215
POA0822	5-14	F	1780
POA0822	5-14	M	1979
POA0822	15-19	F	450
POA0822	15-19	M	449
POA0822	20-24	F	57
POA0822	20-24	M	35
POA0822	25+	F	283
POA0822	25+	M	131
POA0828	0-4	F	3
POA0828	0-4	M	3
POA0828	5-14	F	76
POA0828	5-14	M	78
POA0828	15-19	F	58
POA0828	15-19	M	53
POA0828	20-24	F	15
POA0828	20-24	M	12
POA0828	25+	F	22
POA0828	25+	M	17
POA0829	5-14	F	16
POA0829	5-14	M	8
POA0829	15-19	M	10
POA0829	20-24	M	3
POA0829	25+	F	7
POA0829	25+	M	8
POA0830	0-4	F	168
POA0830	0-4	M	133
POA0830	5-14	F	1149
POA0830	5-14	M	1288
POA0830	15-19	F	374
POA0830	15-19	M	335
POA0830	20-24	F	122
POA0830	20-24	M	76
POA0830	25+	F	524
POA0830	25+	M	226
POA0832	0-4	F	137
POA0832	0-4	M	173
POA0832	5-14	F	1140
POA0832	5-14	M	1062
POA0832	15-19	F	263
POA0832	15-19	M	288
POA0832	20-24	F	154
POA0832	20-24	M	86
POA0832	25+	F	493
POA0832	25+	M	252
POA0834	0-4	F	14
POA0834	0-4	M	16
POA0834	5-14	F	113
POA0834	5-14	M	112
POA0834	15-19	F	33
POA0834	15-19	M	45
POA0834	20-24	F	13
POA0834	20-24	M	13
POA0834	25+	F	33
POA0834	25+	M	24
POA0835	0-4	F	16
POA0835	0-4	M	14
POA0835	5-14	F	187
POA0835	5-14	M	198
POA0835	15-19	F	53
POA0835	15-19	M	84
POA0835	20-24	F	19
POA0835	20-24	M	22
POA0835	25+	F	65
POA0835	25+	M	49
POA0836	0-4	F	45
POA0836	0-4	M	46
POA0836	5-14	F	464
POA0836	5-14	M	548
POA0836	15-19	F	143
POA0836	15-19	M	177
POA0836	20-24	F	43
POA0836	20-24	M	24
POA0836	25+	F	187
POA0836	25+	M	56
POA0837	0-4	F	3
POA0837	0-4	M	3
POA0837	5-14	F	21
POA0837	5-14	M	22
POA0837	15-19	F	8
POA0837	15-19	M	3
POA0837	25+	F	14
POA0837	25+	M	3
POA0838	0-4	F	11
POA0838	0-4	M	11
POA0838	5-14	F	39
POA0838	5-14	M	48
POA0838	15-19	F	17
POA0838	15-19	M	10
POA0838	20-24	F	5
POA0838	20-24	M	3
POA0838	25+	F	18
POA0838	25+	M	9
POA0839	0-4	M	3
POA0839	5-14	F	11
POA0839	5-14	M	22
