POA_CODE_2016	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
POA0800	0	1	867
POA0800	0	2	147
POA0800	0	3	66
POA0800	0	4	18
POA0800	0	5	6
POA0800	0	6	14
POA0800	1	2	732
POA0800	1	3	277
POA0800	1	4	150
POA0800	1	5	37
POA0800	1	6	19
POA0810	0	1	2221
POA0810	0	2	451
POA0810	0	3	139
POA0810	0	4	58
POA0810	0	5	26
POA0810	0	6	14
POA0810	1	2	2906
POA0810	1	3	1833
POA0810	1	4	1735
POA0810	1	5	839
POA0810	1	6	462
POA0812	0	1	1150
POA0812	0	2	189
POA0812	0	3	47
POA0812	0	4	12
POA0812	0	5	6
POA0812	0	6	3
POA0812	1	2	1674
POA0812	1	3	1087
POA0812	1	4	1047
POA0812	1	5	442
POA0812	1	6	347
POA0820	0	1	1731
POA0820	0	2	435
POA0820	0	3	166
POA0820	0	4	52
POA0820	0	5	14
POA0820	0	6	9
POA0820	1	2	2202
POA0820	1	3	958
POA0820	1	4	850
POA0820	1	5	300
POA0820	1	6	185
POA0822	0	1	816
POA0822	0	2	90
POA0822	0	3	14
POA0822	0	4	3
POA0822	0	5	5
POA0822	1	2	1061
POA0822	1	3	587
POA0822	1	4	644
POA0822	1	5	484
POA0822	1	6	1375
POA0828	0	1	60
POA0828	0	2	12
POA0828	1	2	96
POA0828	1	3	46
POA0828	1	4	30
POA0828	1	5	20
POA0828	1	6	15
POA0829	0	1	13
POA0829	1	2	31
POA0829	1	3	10
POA0829	1	4	9
POA0829	1	5	3
POA0829	1	6	3
POA0830	0	1	1123
POA0830	0	2	179
POA0830	0	3	44
POA0830	0	4	19
POA0830	0	5	4
POA0830	0	6	3
POA0830	1	2	1591
POA0830	1	3	1078
POA0830	1	4	1042
POA0830	1	5	481
POA0830	1	6	267
POA0832	0	1	715
POA0832	0	2	167
POA0832	0	3	51
POA0832	0	4	13
POA0832	0	5	4
POA0832	1	2	1349
POA0832	1	3	975
POA0832	1	4	997
POA0832	1	5	470
POA0832	1	6	197
POA0834	0	1	104
POA0834	0	2	15
POA0834	0	3	3
POA0834	0	4	3
POA0834	1	2	189
POA0834	1	3	84
POA0834	1	4	100
POA0834	1	5	49
POA0834	1	6	34
POA0835	0	1	176
POA0835	0	2	33
POA0835	1	2	314
POA0835	1	3	172
POA0835	1	4	182
POA0835	1	5	86
POA0835	1	6	44
POA0836	0	1	340
POA0836	0	2	78
POA0836	0	3	8
POA0836	0	4	9
POA0836	1	2	657
POA0836	1	3	395
POA0836	1	4	487
POA0836	1	5	207
POA0836	1	6	143
POA0837	0	1	41
POA0837	0	2	5
POA0837	1	2	39
POA0837	1	3	11
POA0837	1	4	18
POA0837	1	5	22
POA0837	1	6	3
POA0838	0	1	52
POA0838	0	2	3
POA0838	1	2	73
POA0838	1	3	35
POA0838	1	4	43
POA0838	1	5	21
POA0838	1	6	14
POA0839	0	1	60
POA0839	0	2	20
POA0839	0	3	3
POA0839	1	2	73
POA0839	1	3	24
POA0839	1	4	11
POA0839	1	5	5
POA0840	0	1	79
POA0840	0	2	3
POA0840	0	3	3
POA0840	1	2	70
POA0840	1	3	16
POA0840	1	4	8
POA0840	1	5	3
POA0841	0	1	73
POA0841	0	2	3
POA0841	1	2	68
POA0841	1	3	34
POA0841	1	4	24
POA0841	1	5	13
POA0841	1	6	15
POA0845	0	1	64
POA0845	0	2	5
POA0845	0	3	3
POA0845	1	2	53
POA0845	1	3	17
POA0845	1	4	17
POA0845	1	5	9
POA0845	1	6	11
POA0846	0	1	43
POA0846	0	2	5
POA0846	1	2	27
POA0846	1	3	13
POA0846	1	4	18
POA0846	1	5	5
POA0846	1	6	4
POA0847	0	1	55
POA0847	0	2	4
POA0847	1	2	20
POA0847	1	3	4
POA0847	1	4	9
POA0847	1	5	3
POA0847	1	6	10
POA0850	0	1	587
POA0850	0	2	68
POA0850	0	3	20
POA0850	0	4	11
POA0850	0	5	3
POA0850	1	2	622
POA0850	1	3	347
POA0850	1	4	348
POA0850	1	5	163
POA0850	1	6	123
POA0852	0	1	320
POA0852	0	2	15
POA0852	1	2	297
POA0852	1	3	136
POA0852	1	4	152
POA0852	1	5	119
POA0852	1	6	456
POA0853	0	1	11
POA0853	1	2	53
POA0853	1	3	31
POA0853	1	4	56
POA0853	1	5	22
POA0853	1	6	9
POA0854	0	1	38
POA0854	0	2	5
POA0854	1	2	40
POA0854	1	3	27
POA0854	1	4	17
POA0854	1	5	13
POA0854	1	6	41
POA0860	0	1	282
POA0860	0	2	21
POA0860	0	3	3
POA0860	0	4	5
POA0860	1	2	212
POA0860	1	3	118
POA0860	1	4	82
POA0860	1	5	57
POA0860	1	6	88
POA0862	0	1	35
POA0862	0	2	4
POA0862	0	3	3
POA0862	1	2	31
POA0862	1	3	19
POA0862	1	4	18
POA0862	1	5	21
POA0862	1	6	32
POA0870	0	1	1693
POA0870	0	2	246
POA0870	0	3	95
POA0870	0	4	35
POA0870	0	5	3
POA0870	0	6	9
POA0870	1	2	1773
POA0870	1	3	1011
POA0870	1	4	919
POA0870	1	5	423
POA0870	1	6	242
POA0872	0	1	747
POA0872	0	2	86
POA0872	0	3	19
POA0872	0	4	8
POA0872	1	2	561
POA0872	1	3	306
POA0872	1	4	321
POA0872	1	5	289
POA0872	1	6	765
POA0873	0	1	208
POA0873	0	2	13
POA0873	1	2	202
POA0873	1	3	92
POA0873	1	4	75
POA0873	1	5	45
POA0873	1	6	51
POA0874	0	1	61
POA0874	0	2	4
POA0874	0	4	3
POA0874	1	2	59
POA0874	1	3	26
POA0874	1	4	20
POA0874	1	5	14
POA0874	1	6	4
POA0875	0	1	197
POA0875	0	2	29
POA0875	0	3	10
POA0875	1	2	198
POA0875	1	3	121
POA0875	1	4	123
POA0875	1	5	55
POA0875	1	6	42
POA0880	0	1	245
POA0880	0	2	25
POA0880	0	3	3
POA0880	0	4	3
POA0880	1	2	284
POA0880	1	3	163
POA0880	1	4	225
POA0880	1	5	129
POA0880	1	6	184
POA0885	0	1	51
POA0885	0	2	5
POA0885	1	2	71
POA0885	1	3	33
POA0885	1	4	60
POA0885	1	5	22
POA0885	1	6	8
