POA_CODE_2016	medianTotalPersonalIncome
POA0800	62036
POA0810	50700
POA0812	49140
POA0815	18824
POA0820	62192
POA0822	15028
POA0828	39728
POA0829	61516
POA0830	50908
POA0832	59072
POA0834	58344
POA0835	70824
POA0836	55432
POA0837	38116
POA0838	55536
POA0839	48412
POA0840	21320
POA0841	44928
POA0845	31512
POA0846	27404
POA0847	24232
POA0850	45708
POA0852	15392
POA0853	69680
POA0854	22048
POA0860	33800
POA0862	26052
POA0870	53144
POA0872	15340
POA0873	32448
POA0874	64688
POA0875	51064
POA0880	46124
POA0885	89908
POA0886	62660
POA2000	32968
POA2006	7592
POA2007	20072
POA2008	27352
POA2009	57772
POA2010	62868
POA2011	67808
POA2015	67444
POA2016	51532
POA2017	43108
POA2018	34476
POA2019	46852
POA2020	41912
POA2021	72436
POA2022	56628
POA2023	68536
POA2024	60892
POA2025	71500
POA2026	61932
POA2027	79352
POA2028	74204
POA2029	60008
POA2030	57616
POA2031	58604
POA2032	24388
POA2033	39520
POA2034	61308
POA2035	39988
POA2036	37336
POA2037	46488
POA2038	60424
POA2039	75764
POA2040	57460
POA2041	71552
POA2042	55172
POA2043	71812
POA2044	48152
POA2045	41652
POA2046	48620
POA2047	60840
POA2048	55484
POA2049	51792
POA2050	55692
POA2052	2860
POA2060	70928
POA2061	78728
POA2062	72020
POA2063	60060
POA2064	53456
POA2065	69524
POA2066	58292
POA2067	38584
POA2068	54288
POA2069	51740
POA2070	50180
POA2071	46956
POA2072	44564
POA2073	51636
POA2074	47840
POA2075	48464
POA2076	45292
POA2077	40352
POA2079	43056
POA2080	39416
POA2081	43212
POA2082	42536
POA2083	40092
POA2084	43004
POA2085	40820
POA2086	44824
POA2087	40976
POA2088	67340
POA2089	71812
POA2090	70044
POA2092	55224
POA2093	53508
POA2094	65000
POA2095	66560
POA2096	59020
POA2097	47216
POA2099	42484
POA2100	42848
POA2101	46176
POA2102	45552
POA2103	45240
POA2104	40300
POA2105	52676
POA2106	46852
POA2107	45760
POA2108	53820
POA2109	18460
POA2110	50284
POA2111	49400
POA2112	39832
POA2113	40768
POA2114	41080
POA2115	33644
POA2116	33540
POA2117	32656
POA2118	33696
POA2119	47320
POA2120	43472
POA2121	38168
POA2122	31304
POA2123	
POA2125	45500
POA2126	39936
POA2127	53872
POA2128	37024
POA2129	
POA2130	51636
POA2131	35412
POA2132	34996
POA2133	35360
POA2134	24856
POA2135	34216
POA2136	34684
POA2137	44460
POA2138	39624
POA2139	24752
POA2140	36660
POA2141	26052
POA2142	26624
POA2143	25584
POA2144	22568
POA2145	35360
POA2146	35568
POA2147	35204
POA2148	32916
POA2150	37960
POA2151	38324
POA2152	40924
POA2153	41340
POA2154	40924
POA2155	47216
POA2156	41288
POA2157	37752
POA2158	38844
POA2159	38740
POA2160	25220
POA2161	23452
POA2162	23816
POA2163	21424
POA2164	24596
POA2165	21164
POA2166	21216
POA2167	37024
POA2168	24128
POA2170	28340
POA2171	36972
POA2172	51012
POA2173	45448
POA2174	42640
POA2175	32604
POA2176	25116
POA2177	23712
POA2178	34788
POA2179	31616
POA2190	22724
POA2191	28496
POA2192	26208
POA2193	36712
POA2194	25272
POA2195	22516
POA2196	23920
POA2197	24388
POA2198	29640
POA2199	24284
POA2200	23972
POA2203	47580
POA2204	41184
POA2205	36244
POA2206	34476
POA2207	32396
POA2208	30576
POA2209	29484
POA2210	29848
POA2211	32708
POA2212	32708
POA2213	35984
POA2214	36244
POA2216	34476
POA2217	36036
POA2218	32396
POA2219	38688
POA2220	25636
POA2221	36660
POA2222	34684
POA2223	42016
POA2224	38376
POA2225	48204
POA2226	44668
POA2227	43628
POA2228	39208
POA2229	42744
POA2230	50388
POA2231	39364
POA2232	43420
POA2233	41756
POA2234	43992
POA2250	33332
POA2251	33332
POA2256	28236
POA2257	29588
POA2258	36972
POA2259	29432
POA2260	39260
POA2261	30940
POA2262	27560
POA2263	26884
POA2264	28236
POA2265	28704
POA2267	30108
POA2278	33644
POA2280	32084
POA2281	28028
POA2282	36088
POA2283	29900
POA2284	29692
POA2285	34528
POA2286	30992
POA2287	31980
POA2289	37804
POA2290	33644
POA2291	46280
POA2292	36920
POA2293	42328
POA2294	38636
POA2295	31252
POA2296	39676
POA2297	34632
POA2298	30420
POA2299	27716
POA2300	48308
POA2302	40768
POA2303	34788
POA2304	32084
POA2305	38948
POA2306	21060
POA2307	25844
POA2308	8788
POA2311	27820
POA2312	24648
POA2314	65208
POA2315	29796
POA2316	27820
POA2317	28496
POA2318	34632
POA2319	25116
POA2320	33644
POA2321	35724
POA2322	32240
POA2323	32344
POA2324	27976
POA2325	26728
POA2326	25688
POA2327	25792
POA2328	32500
POA2329	27248
POA2330	34788
POA2331	42484
POA2333	32864
POA2334	31096
POA2335	37232
POA2336	34216
POA2337	35672
POA2338	25480
POA2339	29692
POA2340	34320
POA2341	23556
POA2342	32968
POA2343	29588
POA2344	36972
POA2345	33176
POA2346	24128
POA2347	23400
POA2350	31512
POA2351	9620
POA2352	32656
POA2353	27664
POA2354	30108
POA2355	25272
POA2356	21684
POA2357	25480
POA2358	27560
POA2359	21996
POA2360	27508
POA2361	22100
POA2365	28548
POA2369	21268
POA2370	25168
POA2371	22360
POA2372	24596
POA2379	32136
POA2380	32656
POA2381	26728
POA2382	29744
POA2386	28912
POA2387	29380
POA2388	30576
POA2390	34060
POA2395	20436
POA2396	23920
POA2397	37076
POA2398	36920
POA2399	34164
POA2400	36296
POA2401	30056
POA2402	24648
POA2403	23920
POA2404	24076
POA2405	38532
POA2406	34892
POA2408	42380
