POA_CODE_2016	medianMortgageRepayment
POA0800	26004
POA0810	26004
POA0812	25608
POA0815	
POA0820	27852
POA0822	25140
POA0828	31200
POA0829	26004
POA0830	26004
POA0832	29688
POA0834	29040
POA0835	30000
POA0836	30876
POA0837	28596
POA0838	26004
POA0839	26784
POA0840	17700
POA0841	24000
POA0845	16740
POA0846	15600
POA0847	18720
POA0850	20796
POA0852	18000
POA0853	
POA0854	
POA0860	14592
POA0862	14400
POA0870	23400
POA0872	5616
POA0873	28596
POA0874	29484
POA0875	23400
POA0880	20148
POA0885	
POA0886	
POA2000	30000
POA2006	
POA2007	24000
POA2008	28800
POA2009	31164
POA2010	30000
POA2011	26004
POA2015	30000
POA2016	30000
POA2017	28596
POA2018	26004
POA2019	31200
POA2020	29880
POA2021	38676
POA2022	36000
POA2023	36000
POA2024	38400
POA2025	36396
POA2026	35364
POA2027	36000
POA2028	36000
POA2029	36000
POA2030	41604
POA2031	33600
POA2032	30000
POA2033	31200
POA2034	33804
POA2035	31200
POA2036	30000
POA2037	33600
POA2038	36000
POA2039	36000
POA2040	36000
POA2041	36396
POA2042	31200
POA2043	31200
POA2044	31200
POA2045	36000
POA2046	31200
POA2047	34800
POA2048	31200
POA2049	31200
POA2050	30600
POA2052	28008
POA2060	30888
POA2061	32400
POA2062	32040
POA2063	42000
POA2064	29796
POA2065	32244
POA2066	31200
POA2067	30000
POA2068	36396
POA2069	36000
POA2070	36000
POA2071	36000
POA2072	33600
POA2073	36276
POA2074	36000
POA2075	36000
POA2076	34740
POA2077	26004
POA2079	28800
POA2080	28260
POA2081	28404
POA2082	28596
POA2083	24000
POA2084	35460
POA2085	36000
POA2086	36000
POA2087	36000
POA2088	36000
POA2089	30000
POA2090	31200
POA2092	44400
POA2093	36000
POA2094	36000
POA2095	34584
POA2096	31200
POA2097	32400
POA2099	28800
POA2100	33600
POA2101	31200
POA2102	32532
POA2103	31200
POA2104	36000
POA2105	31200
POA2106	32400
POA2107	36000
POA2108	36000
POA2109	25200
POA2110	42000
POA2111	30000
POA2112	27600
POA2113	28596
POA2114	26004
POA2115	29532
POA2116	26004
POA2117	26004
POA2118	26004
POA2119	36000
POA2120	30000
POA2121	28596
POA2122	26004
POA2123	
POA2125	33000
POA2126	30000
POA2127	26004
POA2128	24000
POA2129	
POA2130	26004
POA2131	24696
POA2132	28800
POA2133	26004
POA2134	26004
POA2135	28200
POA2136	26400
POA2137	30000
POA2138	26400
POA2139	
POA2140	24000
POA2141	24000
POA2142	22800
POA2143	23400
POA2144	20796
POA2145	26004
POA2146	24600
POA2147	24696
POA2148	23400
POA2150	21600
POA2151	26004
POA2152	26004
POA2153	28800
POA2154	30000
POA2155	31200
POA2156	32736
POA2157	28704
POA2158	31200
POA2159	31200
POA2160	24000
POA2161	24000
POA2162	24000
POA2163	20280
POA2164	24000
POA2165	20832
POA2166	18624
POA2167	24000
POA2168	22356
POA2170	24000
POA2171	27096
POA2172	31200
POA2173	26004
POA2174	31716
POA2175	31200
POA2176	24000
POA2177	23400
POA2178	26004
POA2179	28800
POA2190	25200
POA2191	28536
POA2192	24000
POA2193	26400
POA2194	20904
POA2195	19500
POA2196	24000
POA2197	24960
POA2198	26004
POA2199	24000
POA2200	21936
POA2203	26004
POA2204	28596
POA2205	26004
POA2206	30000
POA2207	26004
POA2208	28200
POA2209	26004
POA2210	26004
POA2211	26004
POA2212	26004
POA2213	27600
POA2214	27036
POA2216	26004
POA2217	26004
POA2218	24000
POA2219	27600
POA2220	24000
POA2221	30000
POA2222	24000
POA2223	27300
POA2224	31200
POA2225	33804
POA2226	30000
POA2227	30888
POA2228	27684
POA2229	31200
POA2230	28596
POA2231	31200
POA2232	27600
POA2233	28596
POA2234	28596
POA2250	21204
POA2251	24000
POA2256	20796
POA2257	21600
POA2258	21600
POA2259	20796
POA2260	26004
POA2261	21108
POA2262	18780
POA2263	18456
POA2264	20400
POA2265	20796
POA2267	20796
POA2278	20544
POA2280	22104
POA2281	22032
POA2282	23400
POA2283	20796
POA2284	19236
POA2285	21228
POA2286	19500
POA2287	20796
POA2289	23400
POA2290	21600
POA2291	26004
POA2292	21396
POA2293	22104
POA2294	20796
POA2295	24000
POA2296	20796
POA2297	20796
POA2298	20796
POA2299	20796
POA2300	24180
POA2302	20880
POA2303	24312
POA2304	20400
POA2305	23400
POA2306	17772
POA2307	18204
POA2308	
POA2311	19116
POA2312	15600
POA2314	
POA2315	20796
POA2316	21720
POA2317	20304
POA2318	21972
POA2319	18204
POA2320	21600
POA2321	23400
POA2322	19500
POA2323	20400
POA2324	18204
POA2325	18204
POA2326	16728
POA2327	16224
POA2328	20796
POA2329	14040
POA2330	22800
POA2331	
POA2333	20568
POA2334	19764
POA2335	22680
POA2336	20400
POA2337	21624
POA2338	15492
POA2339	15600
POA2340	18204
POA2341	11028
POA2342	18444
POA2343	14088
POA2344	19500
POA2345	15600
POA2346	13440
POA2347	7800
POA2350	18000
POA2351	
POA2352	16644
POA2353	18204
POA2354	12996
POA2355	12996
POA2356	4800
POA2357	12000
POA2358	15600
POA2359	9600
POA2360	15168
POA2361	7800
POA2365	14160
POA2369	10404
POA2370	12996
POA2371	10404
POA2372	12996
POA2379	5976
POA2380	18204
POA2381	11100
POA2382	15060
POA2386	6684
POA2387	
POA2388	12480
POA2390	18204
POA2395	8448
POA2396	9096
POA2397	10428
POA2398	8400
POA2399	14220
POA2400	15600
POA2401	12000
POA2402	12000
POA2403	9360
POA2404	12588
POA2405	7800
POA2406	9804
POA2408	3708
POA2409	8976
POA2410	7800
POA2411	9876
POA2415	18204
POA2420	16800
POA2421	23400
POA2422	15600
POA2423	14976
POA2424	13104
POA2425	18720
POA2426	12996
POA2427	17664
POA2428	16800
POA2429	15600
POA2430	15708
POA2431	18000
POA2439	18204
POA2440	15288
POA2441	15600
POA2443	16116
POA2444	20796
POA2445	20796
POA2446	19200
POA2447	15600
POA2448	15912
POA2449	12216
POA2450	19632
POA2452	18204
POA2453	13260
POA2454	17208
POA2455	18204
POA2456	19032
POA2460	15600
POA2462	13260
POA2463	16644
POA2464	18204
POA2465	15924
POA2466	14460
POA2469	10404
POA2470	15600
POA2471	15600
POA2472	15600
POA2473	18204
POA2474	14904
POA2475	11856
POA2476	11988
POA2477	19500
POA2478	20796
POA2479	22104
POA2480	17160
POA2481	24000
POA2482	18384
POA2483	20688
POA2484	19200
POA2485	18204
POA2486	20796
POA2487	25200
POA2488	20400
POA2489	23400
POA2490	20796
POA2500	22800
POA2502	19224
POA2505	20796
POA2506	19236
POA2508	27600
POA2515	28344
POA2516	27456
POA2517	26004
POA2518	23844
POA2519	24084
POA2522	
POA2525	24696
POA2526	22620
POA2527	22104
POA2528	20280
POA2529	24000
POA2530	21000
POA2533	24000
POA2534	25896
POA2535	21600
POA2536	17472
POA2537	16896
POA2538	19764
POA2539	17160
POA2540	18204
POA2541	18000
POA2545	15600
POA2546	15600
POA2548	17724
POA2549	18204
POA2550	15600
POA2551	16020
POA2555	19848
POA2556	26004
POA2557	31200
POA2558	21600
POA2559	23796
POA2560	21636
POA2563	18000
POA2564	20796
POA2565	24000
POA2566	23112
POA2567	26004
POA2568	28500
POA2569	23712
POA2570	27036
POA2571	26004
POA2572	24696
POA2573	22104
POA2574	24816
POA2575	21840
POA2576	24000
POA2577	21480
POA2578	19104
POA2579	20796
POA2580	18204
POA2581	20796
POA2582	23760
POA2583	15600
POA2584	15084
POA2585	11832
POA2586	14304
POA2587	11700
POA2588	10404
POA2590	13524
POA2594	15600
POA2600	31200
POA2601	26400
POA2602	26004
POA2603	30000
POA2604	26004
POA2605	28596
POA2606	23400
POA2607	26004
POA2609	18000
POA2611	26004
POA2612	24696
POA2614	24696
POA2615	24000
POA2617	23400
POA2618	28104
POA2619	28596
POA2620	24000
POA2621	28596
POA2622	20280
POA2623	17004
POA2625	3300
POA2626	20796
POA2627	20004
POA2628	14400
POA2629	12504
POA2630	15156
POA2631	10740
POA2632	12480
POA2633	8784
POA2640	18204
POA2641	15600
POA2642	15600
POA2643	15600
POA2644	13104
POA2645	6756
POA2646	14400
POA2647	16116
POA2648	10920
POA2649	19236
POA2650	18252
POA2651	15960
POA2652	14400
POA2653	14304
POA2655	14268
POA2656	10404
POA2658	10968
POA2659	12000
POA2660	11748
POA2661	
POA2663	14400
POA2665	7800
POA2666	14400
POA2668	7800
POA2669	7200
POA2671	12744
POA2672	10764
POA2675	10920
POA2678	
POA2680	18000
POA2681	15600
POA2700	12996
POA2701	15600
POA2702	9000
POA2703	14016
POA2705	15600
POA2706	12996
POA2707	10656
POA2710	12996
POA2711	11424
POA2712	11316
POA2713	10404
POA2714	14400
POA2715	10296
POA2716	9468
POA2717	10404
POA2720	17832
POA2721	2988
POA2722	13524
POA2725	9360
POA2726	12996
POA2727	10404
POA2729	13836
POA2730	12072
POA2731	18384
POA2732	12996
POA2733	8580
POA2734	14952
POA2735	8844
POA2736	10404
POA2737	13200
POA2738	18204
POA2739	15492
POA2745	26004
POA2747	23868
POA2748	30000
POA2749	24000
POA2750	23916
POA2752	24120
POA2753	24000
POA2754	25764
POA2755	
POA2756	24696
POA2757	26004
POA2758	26400
POA2759	23916
POA2760	23400
POA2761	24000
POA2762	28800
POA2763	26004
POA2765	27348
POA2766	24000
POA2767	26004
POA2768	29904
POA2769	34800
POA2770	20400
POA2773	24000
POA2774	24696
POA2775	18204
POA2776	23400
POA2777	23508
POA2778	20796
POA2779	20796
POA2780	18720
POA2782	20796
POA2783	20796
POA2784	21120
POA2785	19500
POA2786	18000
POA2787	17160
POA2790	16800
POA2791	15600
POA2792	15204
POA2793	10536
POA2794	14304
POA2795	20016
POA2797	15600
POA2798	23400
POA2799	17160
POA2800	20016
POA2803	11376
POA2804	12996
POA2805	11700
POA2806	12996
POA2807	9096
POA2808	10920
POA2809	7200
POA2810	11616
POA2817	5004
POA2818	15600
POA2820	12996
POA2821	13752
POA2822	15504
POA2823	9096
POA2824	11436
POA2825	12996
POA2826	7800
POA2827	12996
POA2828	6984
POA2829	10920
POA2830	18204
POA2831	15192
POA2832	10908
POA2833	5748
POA2834	10152
POA2835	15648
POA2836	5196
POA2838	6504
POA2839	5280
POA2840	11772
POA2842	10404
POA2843	11100
POA2844	11604
POA2845	18204
POA2846	16800
POA2847	14400
POA2848	10404
POA2849	18204
POA2850	20796
POA2852	18720
POA2864	16800
POA2865	15600
POA2866	18204
POA2867	10404
POA2868	10404
POA2869	10404
POA2870	15600
POA2871	13836
POA2873	7800
POA2874	6720
POA2875	8712
POA2876	10668
POA2877	11268
POA2878	252
POA2879	7800
POA2880	11436
POA2898	22404
POA2899	15600
POA2900	19800
POA2902	23400
POA2903	24000
POA2904	25476
POA2905	24000
POA2906	24000
POA2911	30000
POA2912	24468
POA2913	24444
POA2914	26004
POA3000	20400
POA3002	26304
POA3003	24072
