POA_CODE_2016	BornAust	persons
POA2148	1	31003
POA2150	0	21579
POA2150	1	7313
POA2151	0	8901
POA2151	1	10989
POA2152	0	3878
POA2152	1	6837
POA2153	0	20669
POA2153	1	34395
POA2154	0	15351
POA2154	1	22906
POA2155	0	19618
POA2155	1	33994
POA2156	0	2732
POA2156	1	9799
POA2157	0	717
POA2157	1	2756
POA2158	0	2496
POA2158	1	5738
POA2159	0	909
POA2159	1	3897
POA2160	0	17623
POA2160	1	16145
POA2161	0	13566
POA2161	1	15458
POA2162	0	8137
POA2162	1	9300
POA2163	0	4769
POA2163	1	3947
POA2164	0	9205
POA2164	1	9262
POA2165	0	25207
POA2165	1	14734
POA2166	0	31375
POA2166	1	18525
POA2167	0	4456
POA2167	1	4344
POA2168	0	18230
POA2168	1	21790
POA2170	0	46046
POA2170	1	50349
POA2171	0	14060
POA2171	1	19125
POA2172	0	750
POA2172	1	1933
POA2173	0	4489
POA2173	1	9329
POA2174	0	1070
POA2174	1	1041
POA2175	0	519
POA2175	1	1157
POA2176	0	24138
POA2176	1	21660
POA2177	0	8374
POA2177	1	6908
POA2178	0	1129
POA2178	1	2675
POA2179	0	1883
POA2179	1	3933
POA2190	0	10179
POA2190	1	13612
POA2191	0	2461
POA2191	1	3558
POA2192	0	6281
POA2192	1	5569
POA2193	0	6337
POA2193	1	7999
POA2194	0	16172
POA2194	1	6954
POA2195	0	16470
POA2195	1	8722
POA2196	0	14068
POA2196	1	15581
POA2197	0	3312
POA2197	1	5305
POA2198	0	2785
POA2198	1	5764
POA2199	0	7752
POA2199	1	9104
POA2200	0	22083
POA2200	1	18127
POA2203	0	4648
POA2203	1	8036
POA2204	0	9827
POA2204	1	14678
POA2205	0	10708
POA2205	1	7386
POA2206	0	6716
POA2206	1	11423
POA2207	0	11408
POA2207	1	15028
POA2208	0	4918
POA2208	1	6858
POA2209	0	7575
POA2209	1	7362
POA2210	0	11309
POA2210	1	17744
POA2211	0	5752
POA2211	1	10255
POA2212	0	5663
POA2212	1	9446
POA2213	0	5338
POA2213	1	15395
POA2214	0	615
POA2214	1	3200
POA2216	0	14904
POA2216	1	11042
POA2217	0	13208
POA2217	1	12007
POA2218	0	8879
POA2218	1	6746
POA2219	0	3950
POA2219	1	8415
POA2220	0	21167
POA2220	1	9912
POA2221	0	5753
POA2221	1	9986
POA2222	0	6111
POA2222	1	6047
POA2223	0	6575
POA2223	1	13409
POA2224	0	3517
POA2224	1	9984
POA2225	0	858
POA2225	1	4386
POA2226	0	2285
POA2226	1	9718
POA2227	0	2459
POA2227	1	11625
POA2228	0	4432
POA2228	1	12972
POA2229	0	4795
POA2229	1	22557
POA2230	0	4750
POA2230	1	22171
POA2231	0	284
POA2231	1	1863
POA2232	0	6438
POA2232	1	25034
POA2233	0	3659
POA2233	1	25065
POA2234	0	5904
POA2234	1	23828
POA2250	0	12515
POA2250	1	50581
POA2251	0	5215
POA2251	1	25777
POA2256	0	2660
POA2256	1	11755
POA2257	0	4331
POA2257	1	22552
POA2258	0	755
POA2258	1	4150
POA2259	0	7798
POA2259	1	47950
POA2260	0	3943
POA2260	1	18312
POA2261	0	6110
POA2261	1	43174
POA2262	0	2175
POA2262	1	17303
POA2263	0	2756
POA2263	1	19274
POA2264	0	1842
POA2264	1	11627
POA2265	0	956
POA2265	1	4496
POA2267	0	299
POA2267	1	2330
POA2278	0	105
POA2278	1	2369
POA2280	0	2323
POA2280	1	23207
POA2281	0	1242
POA2281	1	12299
POA2282	0	1806
POA2282	1	12386
POA2283	0	2368
POA2283	1	19710
POA2284	0	931
POA2284	1	9073
POA2285	0	2877
POA2285	1	26637
POA2286	0	218
POA2286	1	3480
POA2287	0	5309
POA2287	1	29650
POA2289	0	2221
POA2289	1	16277
POA2290	0	3375
POA2290	1	28427
POA2291	0	1428
POA2291	1	11377
POA2292	0	312
POA2292	1	2064
POA2293	0	262
POA2293	1	2125
POA2294	0	179
POA2294	1	1621
POA2295	0	594
POA2295	1	5860
POA2296	0	232
POA2296	1	1519
POA2297	0	235
POA2297	1	1320
POA2298	0	1372
POA2298	1	7681
POA2299	0	2515
POA2299	1	8251
POA2300	0	1669
POA2300	1	8037
POA2302	0	112
POA2302	1	380
POA2303	0	1272
POA2303	1	7312
POA2304	0	2195
POA2304	1	12229
POA2305	0	1429
POA2305	1	10627
POA2306	0	155
POA2306	1	2850
POA2307	0	635
POA2307	1	3117
POA2308	0	375
POA2308	1	901
POA2311	0	34
POA2311	1	761
POA2312	0	117
POA2312	1	1237
POA2314	0	7
POA2314	1	110
POA2315	0	2314
POA2315	1	11063
POA2316	0	698
POA2316	1	4625
POA2317	0	954
POA2317	1	4859
POA2318	0	1130
POA2318	1	10066
POA2319	0	726
POA2319	1	5411
POA2320	0	2675
POA2320	1	29744
POA2321	0	931
POA2321	1	12923
POA2322	0	1496
POA2322	1	16043
POA2323	0	2227
POA2323	1	21989
POA2324	0	2119
POA2324	1	19688
POA2325	0	1894
POA2325	1	24178
POA2326	0	335
POA2326	1	6440
POA2327	0	399
POA2327	1	6600
POA2328	0	152
POA2328	1	2060
POA2329	0	119
POA2329	1	1742
POA2330	0	1638
POA2330	1	16997
POA2331	0	27
POA2331	1	288
POA2333	0	1087
POA2333	1	11574
POA2334	0	205
POA2334	1	2468
POA2335	0	413
POA2335	1	5279
POA2336	0	133
POA2336	1	2231
POA2337	0	670
POA2337	1	6402
POA2338	0	121
POA2338	1	1130
POA2339	0	29
POA2339	1	534
POA2340	0	3499
POA2340	1	41551
POA2341	0	60
POA2341	1	1311
POA2342	0	21
POA2342	1	397
POA2343	0	231
POA2343	1	4273
POA2344	0	30
POA2344	1	627
POA2345	0	20
POA2345	1	640
POA2346	0	140
POA2346	1	2640
POA2347	0	117
POA2347	1	1568
POA2350	0	3423
POA2350	1	20033
POA2351	0	82
POA2351	1	709
POA2352	0	136
POA2352	1	2407
POA2353	0	68
POA2353	1	921
POA2354	0	179
POA2354	1	2940
POA2355	0	43
POA2355	1	517
POA2356	0	7
POA2356	1	133
POA2357	0	269
POA2357	1	3411
POA2358	0	233
POA2358	1	3223
POA2359	0	32
POA2359	1	630
POA2360	0	945
POA2360	1	12261
POA2361	0	61
POA2361	1	735
POA2365	0	222
POA2365	1	3128
POA2369	0	41
POA2369	1	761
