POA_CODE_2016	MaxSchoolingCompleted	adults
POA0800	Did not go to school	26
POA0800	Year 8	70
POA0800	Year 9	99
POA0800	Year 10	561
POA0800	Year 11	435
POA0800	Year 12	3681
POA0810	Did not go to school	222
POA0810	Year 8	1043
POA0810	Year 9	964
POA0810	Year 10	3525
POA0810	Year 11	2593
POA0810	Year 12	15062
POA0812	Did not go to school	149
POA0812	Year 8	638
POA0812	Year 9	659
POA0812	Year 10	2550
POA0812	Year 11	1888
POA0812	Year 12	7223
POA0815	Year 10	6
POA0815	Year 11	4
POA0815	Year 12	166
POA0820	Did not go to school	71
POA0820	Year 8	412
POA0820	Year 9	452
POA0820	Year 10	2067
POA0820	Year 11	1588
POA0820	Year 12	9697
POA0822	Did not go to school	377
POA0822	Year 8	2289
POA0822	Year 9	1736
POA0822	Year 10	4264
POA0822	Year 11	2540
POA0822	Year 12	4640
POA0828	Year 8	71
POA0828	Year 9	81
POA0828	Year 10	198
POA0828	Year 11	121
POA0828	Year 12	338
POA0829	Did not go to school	3
POA0829	Year 8	4
POA0829	Year 9	16
POA0829	Year 10	110
POA0829	Year 11	90
POA0829	Year 12	524
POA0830	Did not go to school	77
POA0830	Year 8	409
POA0830	Year 9	719
POA0830	Year 10	2890
POA0830	Year 11	1977
POA0830	Year 12	5942
POA0832	Did not go to school	42
POA0832	Year 8	220
POA0832	Year 9	405
POA0832	Year 10	2123
POA0832	Year 11	1562
POA0832	Year 12	6099
POA0834	Year 8	49
POA0834	Year 9	73
POA0834	Year 10	369
POA0834	Year 11	246
POA0834	Year 12	572
POA0835	Did not go to school	18
POA0835	Year 8	109
POA0835	Year 9	151
POA0835	Year 10	823
POA0835	Year 11	517
POA0835	Year 12	1508
POA0836	Did not go to school	30
POA0836	Year 8	170
POA0836	Year 9	339
POA0836	Year 10	1532
POA0836	Year 11	932
POA0836	Year 12	2186
POA0837	Did not go to school	3
POA0837	Year 8	14
POA0837	Year 9	17
POA0837	Year 10	93
POA0837	Year 11	50
POA0837	Year 12	103
POA0838	Did not go to school	3
POA0838	Year 8	16
POA0838	Year 9	44
POA0838	Year 10	169
POA0838	Year 11	102
POA0838	Year 12	205
POA0839	Year 8	8
POA0839	Year 9	25
POA0839	Year 10	84
POA0839	Year 11	55
POA0839	Year 12	192
POA0840	Year 8	23
POA0840	Year 9	29
POA0840	Year 10	130
POA0840	Year 11	42
POA0840	Year 12	74
POA0841	Did not go to school	7
POA0841	Year 8	24
POA0841	Year 9	32
POA0841	Year 10	154
POA0841	Year 11	69
POA0841	Year 12	171
POA0845	Year 8	26
POA0845	Year 9	34
POA0845	Year 10	85
POA0845	Year 11	49
POA0845	Year 12	104
POA0846	Year 8	21
POA0846	Year 9	30
POA0846	Year 10	67
POA0846	Year 11	30
POA0846	Year 12	74
POA0847	Did not go to school	4
POA0847	Year 8	24
POA0847	Year 9	36
POA0847	Year 10	72
POA0847	Year 11	40
POA0847	Year 12	49
POA0850	Did not go to school	51
POA0850	Year 8	296
POA0850	Year 9	362
POA0850	Year 10	1227
POA0850	Year 11	699
POA0850	Year 12	2163
POA0852	Did not go to school	289
POA0852	Year 8	809
POA0852	Year 9	648
POA0852	Year 10	1249
POA0852	Year 11	709
POA0852	Year 12	1069
POA0853	Year 8	4
POA0853	Year 9	11
POA0853	Year 10	71
POA0853	Year 11	61
POA0853	Year 12	394
POA0854	Did not go to school	18
POA0854	Year 8	77
POA0854	Year 9	84
POA0854	Year 10	164
POA0854	Year 11	90
POA0854	Year 12	135
POA0860	Did not go to school	70
POA0860	Year 8	246
POA0860	Year 9	172
POA0860	Year 10	466
POA0860	Year 11	264
POA0860	Year 12	723
POA0862	Did not go to school	25
POA0862	Year 8	66
POA0862	Year 9	60
POA0862	Year 10	127
POA0862	Year 11	79
POA0862	Year 12	148
POA0870	Did not go to school	144
POA0870	Year 8	634
POA0870	Year 9	725
POA0870	Year 10	2439
POA0870	Year 11	1867
POA0870	Year 12	7537
POA0872	Did not go to school	515
POA0872	Year 8	2381
POA0872	Year 9	1109
POA0872	Year 10	1718
POA0872	Year 11	886
POA0872	Year 12	2191
POA0873	Did not go to school	40
POA0873	Year 8	235
POA0873	Year 9	138
POA0873	Year 10	411
POA0873	Year 11	250
POA0873	Year 12	601
POA0874	Year 8	6
POA0874	Year 9	9
POA0874	Year 10	38
POA0874	Year 11	32
POA0874	Year 12	260
POA0875	Did not go to school	9
POA0875	Year 8	84
POA0875	Year 9	90
POA0875	Year 10	307
POA0875	Year 11	269
POA0875	Year 12	739
POA0880	Did not go to school	25
POA0880	Year 8	266
POA0880	Year 9	254
POA0880	Year 10	676
POA0880	Year 11	403
POA0880	Year 12	1362
POA0885	Year 8	3
POA0885	Year 9	18
POA0885	Year 10	97
POA0885	Year 11	74
POA0885	Year 12	358
POA0886	Year 8	21
POA0886	Year 9	40
POA0886	Year 10	155
POA0886	Year 11	67
POA0886	Year 12	346
POA2000	Did not go to school	271
POA2000	Year 8	338
POA2000	Year 9	359
POA2000	Year 10	838
POA2000	Year 11	583
POA2000	Year 12	19501
POA2006	Year 10	3
POA2006	Year 12	1088
POA2007	Did not go to school	88
POA2007	Year 8	152
POA2007	Year 9	161
POA2007	Year 10	236
POA2007	Year 11	211
POA2007	Year 12	6563
POA2008	Did not go to school	54
POA2008	Year 8	91
POA2008	Year 9	141
POA2008	Year 10	337
POA2008	Year 11	290
POA2008	Year 12	9047
POA2009	Did not go to school	72
POA2009	Year 8	153
POA2009	Year 9	205
POA2009	Year 10	718
POA2009	Year 11	391
POA2009	Year 12	8856
POA2010	Did not go to school	209
POA2010	Year 8	412
POA2010	Year 9	390
POA2010	Year 10	1514
POA2010	Year 11	771
POA2010	Year 12	19016
POA2011	Did not go to school	54
POA2011	Year 8	202
POA2011	Year 9	252
POA2011	Year 10	1268
POA2011	Year 11	717
POA2011	Year 12	13202
POA2015	Did not go to school	54
POA2015	Year 8	107
POA2015	Year 9	133
POA2015	Year 10	661
POA2015	Year 11	308
POA2015	Year 12	6761
POA2016	Did not go to school	140
POA2016	Year 8	351
POA2016	Year 9	241
POA2016	Year 10	912
POA2016	Year 11	430
POA2016	Year 12	8679
POA2017	Did not go to school	154
POA2017	Year 8	466
POA2017	Year 9	462
POA2017	Year 10	1436
POA2017	Year 11	865
POA2017	Year 12	16713
POA2018	Did not go to school	299
POA2018	Year 8	892
POA2018	Year 9	441
POA2018	Year 10	1646
POA2018	Year 11	587
POA2018	Year 12	9373
POA2019	Did not go to school	48
POA2019	Year 8	302
POA2019	Year 9	408
POA2019	Year 10	1534
POA2019	Year 11	455
POA2019	Year 12	5042
POA2020	Did not go to school	164
POA2020	Year 8	492
POA2020	Year 9	366
POA2020	Year 10	1433
POA2020	Year 11	486
POA2020	Year 12	8943
POA2021	Did not go to school	26
POA2021	Year 8	130
POA2021	Year 9	186
POA2021	Year 10	812
POA2021	Year 11	432
POA2021	Year 12	10278
POA2022	Did not go to school	31
POA2022	Year 8	159
POA2022	Year 9	214
POA2022	Year 10	761
POA2022	Year 11	380
POA2022	Year 12	7662
POA2023	Did not go to school	15
POA2023	Year 8	95
POA2023	Year 9	196
POA2023	Year 10	549
POA2023	Year 11	327
POA2023	Year 12	6821
POA2024	Did not go to school	31
POA2024	Year 8	150
POA2024	Year 9	232
POA2024	Year 10	850
POA2024	Year 11	338
POA2024	Year 12	6392
POA2025	Did not go to school	12
POA2025	Year 8	66
POA2025	Year 9	122
POA2025	Year 10	375
POA2025	Year 11	207
POA2025	Year 12	4796
POA2026	Did not go to school	69
POA2026	Year 8	371
POA2026	Year 9	453
POA2026	Year 10	1930
POA2026	Year 11	947
POA2026	Year 12	20366
POA2027	Did not go to school	13
POA2027	Year 8	56
POA2027	Year 9	119
POA2027	Year 10	455
POA2027	Year 11	266
POA2027	Year 12	5341
POA2028	Did not go to school	8
POA2028	Year 8	44
POA2028	Year 9	73
POA2028	Year 10	285
POA2028	Year 11	132
POA2028	Year 12	3110
POA2029	Did not go to school	9
POA2029	Year 8	100
POA2029	Year 9	183
POA2029	Year 10	652
POA2029	Year 11	344
POA2029	Year 12	6146
POA2030	Did not go to school	18
POA2030	Year 8	155
POA2030	Year 9	331
POA2030	Year 10	923
POA2030	Year 11	430
POA2030	Year 12	8454
POA2031	Did not go to school	106
POA2031	Year 8	536
POA2031	Year 9	599
POA2031	Year 10	2463
POA2031	Year 11	1081
POA2031	Year 12	21646
POA2032	Did not go to school	138
POA2032	Year 8	575
POA2032	Year 9	424
POA2032	Year 10	1159
POA2032	Year 11	500
POA2032	Year 12	10942
POA2033	Did not go to school	92
POA2033	Year 8	231
POA2033	Year 9	220
POA2033	Year 10	738
POA2033	Year 11	394
POA2033	Year 12	7584
POA2034	Did not go to school	56
POA2034	Year 8	292
POA2034	Year 9	419
POA2034	Year 10	1649
POA2034	Year 11	608
POA2034	Year 12	12473
POA2035	Did not go to school	262
POA2035	Year 8	1121
POA2035	Year 9	1088
POA2035	Year 10	3566
POA2035	Year 11	1171
POA2035	Year 12	19294
POA2036	Did not go to school	251
POA2036	Year 8	996
POA2036	Year 9	1180
POA2036	Year 10	4301
POA2036	Year 11	1225
POA2036	Year 12	13351
POA2037	Did not go to school	93
POA2037	Year 8	296
POA2037	Year 9	337
POA2037	Year 10	1133
POA2037	Year 11	459
POA2037	Year 12	10558
POA2038	Did not go to school	21
