POA_CODE_2016	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
POA0800	15-19				F	14
POA0800	15-19				M	7
POA0800	15-19	0			F	52
POA0800	15-19	0			M	40
POA0800	15-19	1	0	1	F	3
POA0800	20-24				F	65
POA0800	20-24				M	67
POA0800	20-24	0			F	242
POA0800	20-24	0			M	253
POA0800	20-24	1	0	1	F	8
POA0800	20-24	1	0	1	M	5
POA0800	20-24	1	1	0	F	18
POA0800	20-24	1	1	0	M	3
POA0800	25-34				F	174
POA0800	25-34				M	241
POA0800	25-34	0			F	715
POA0800	25-34	0			M	922
POA0800	25-34	1	0	1	F	25
POA0800	25-34	1	0	1	M	12
POA0800	25-34	1	1	0	F	135
POA0800	25-34	1	1	0	M	97
POA0800	25-34	1	1	1	F	8
POA0800	35-44				F	66
POA0800	35-44				M	92
POA0800	35-44	0			F	205
POA0800	35-44	0			M	343
POA0800	35-44	1	0	1	F	14
POA0800	35-44	1	0	1	M	7
POA0800	35-44	1	1	0	F	127
POA0800	35-44	1	1	0	M	157
POA0800	45-54				F	52
POA0800	45-54				M	85
POA0800	45-54	0			F	229
POA0800	45-54	0			M	355
POA0800	45-54	1	0	1	F	10
POA0800	45-54	1	0	1	M	7
POA0800	45-54	1	1	0	F	32
POA0800	45-54	1	1	0	M	52
POA0800	55-64				F	37
POA0800	55-64				M	72
POA0800	55-64	0			F	170
POA0800	55-64	0			M	313
POA0800	55-64	1	0	1	F	31
POA0800	55-64	1	0	1	M	14
POA0800	55-64	1	1	0	M	11
POA0800	65-74				F	19
POA0800	65-74				M	25
POA0800	65-74	0			F	71
POA0800	65-74	0			M	118
POA0800	65-74	1	0	1	F	16
POA0800	65-74	1	0	1	M	9
POA0800	75-84				F	3
POA0800	75-84				M	4
POA0800	75-84	0			F	21
POA0800	75-84	0			M	19
POA0800	85+	0			F	8
POA0800	85+	0			M	10
POA0810	15-19				F	108
POA0810	15-19				M	109
POA0810	15-19	0			F	654
POA0810	15-19	0			M	776
POA0810	15-19	1	0	1	F	106
POA0810	15-19	1	0	1	M	61
POA0810	15-19	1	1	0	F	12
POA0810	15-19	1	1	1	F	3
POA0810	15-19	1	1	1	M	4
POA0810	20-24				F	127
POA0810	20-24				M	126
POA0810	20-24	0			F	727
POA0810	20-24	0			M	819
POA0810	20-24	1	0	1	F	54
POA0810	20-24	1	0	1	M	26
POA0810	20-24	1	1	0	F	99
POA0810	20-24	1	1	0	M	40
POA0810	25-34				F	371
POA0810	25-34				M	372
POA0810	25-34	0			F	1714
POA0810	25-34	0			M	2104
POA0810	25-34	1	0	1	F	127
POA0810	25-34	1	0	1	M	79
POA0810	25-34	1	1	0	F	954
POA0810	25-34	1	1	0	M	603
POA0810	25-34	1	1	1	F	36
POA0810	25-34	1	1	1	M	6
POA0810	35-44				F	236
POA0810	35-44				M	308
POA0810	35-44	0			F	927
POA0810	35-44	0			M	1206
POA0810	35-44	1	0	1	F	100
POA0810	35-44	1	0	1	M	43
POA0810	35-44	1	1	0	F	1352
POA0810	35-44	1	1	0	M	1144
POA0810	35-44	1	1	1	F	71
POA0810	35-44	1	1	1	M	19
POA0810	45-54				F	226
POA0810	45-54				M	255
POA0810	45-54	0			F	1256
POA0810	45-54	0			M	1239
POA0810	45-54	1	0	1	F	148
POA0810	45-54	1	0	1	M	67
POA0810	45-54	1	1	0	F	534
POA0810	45-54	1	1	0	M	576
POA0810	45-54	1	1	1	F	34
POA0810	45-54	1	1	1	M	27
POA0810	55-64				F	197
POA0810	55-64				M	185
POA0810	55-64	0			F	1134
POA0810	55-64	0			M	1230
POA0810	55-64	1	0	1	F	278
POA0810	55-64	1	0	1	M	108
POA0810	55-64	1	1	0	F	50
POA0810	55-64	1	1	0	M	123
POA0810	55-64	1	1	1	F	3
POA0810	55-64	1	1	1	M	3
POA0810	65-74				F	134
POA0810	65-74				M	162
POA0810	65-74	0			F	685
POA0810	65-74	0			M	825
POA0810	65-74	1	0	1	F	190
POA0810	65-74	1	0	1	M	123
POA0810	65-74	1	1	0	F	12
POA0810	65-74	1	1	0	M	27
POA0810	65-74	1	1	1	M	3
POA0810	75-84				F	72
POA0810	75-84				M	56
POA0810	75-84	0			F	325
POA0810	75-84	0			M	340
POA0810	75-84	1	0	1	F	34
POA0810	75-84	1	0	1	M	25
POA0810	75-84	1	1	0	F	5
POA0810	85+				F	20
POA0810	85+				M	14
POA0810	85+	0			F	112
POA0810	85+	0			M	76
POA0812	15-19				F	71
POA0812	15-19				M	85
POA0812	15-19	0			F	431
POA0812	15-19	0			M	535
POA0812	15-19	1	0	1	F	65
POA0812	15-19	1	0	1	M	36
POA0812	15-19	1	1	0	F	9
POA0812	15-19	1	1	0	M	3
POA0812	20-24				F	68
POA0812	20-24				M	67
POA0812	20-24	0			F	367
POA0812	20-24	0			M	472
POA0812	20-24	1	0	1	F	49
POA0812	20-24	1	0	1	M	27
POA0812	20-24	1	1	0	F	41
POA0812	20-24	1	1	0	M	24
POA0812	20-24	1	1	1	F	3
POA0812	25-34				F	192
POA0812	25-34				M	193
POA0812	25-34	0			F	676
POA0812	25-34	0			M	823
POA0812	25-34	1	0	1	F	66
POA0812	25-34	1	0	1	M	43
POA0812	25-34	1	1	0	F	515
POA0812	25-34	1	1	0	M	312
POA0812	25-34	1	1	1	F	26
POA0812	25-34	1	1	1	M	9
POA0812	35-44				F	129
POA0812	35-44				M	139
POA0812	35-44	0			F	479
POA0812	35-44	0			M	568
POA0812	35-44	1	0	1	F	48
POA0812	35-44	1	0	1	M	38
POA0812	35-44	1	1	0	F	735
POA0812	35-44	1	1	0	M	621
POA0812	35-44	1	1	1	F	42
POA0812	35-44	1	1	1	M	10
POA0812	45-54				F	140
POA0812	45-54				M	138
POA0812	45-54	0			F	829
POA0812	45-54	0			M	780
POA0812	45-54	1	0	1	F	102
POA0812	45-54	1	0	1	M	39
POA0812	45-54	1	1	0	F	291
POA0812	45-54	1	1	0	M	335
POA0812	45-54	1	1	1	F	17
POA0812	45-54	1	1	1	M	10
POA0812	55-64				F	121
POA0812	55-64				M	139
POA0812	55-64	0			F	810
POA0812	55-64	0			M	874
POA0812	55-64	1	0	1	F	236
POA0812	55-64	1	0	1	M	98
POA0812	55-64	1	1	0	F	28
POA0812	55-64	1	1	0	M	96
POA0812	55-64	1	1	1	F	3
POA0812	55-64	1	1	1	M	3
POA0812	65-74				F	56
POA0812	65-74				M	72
POA0812	65-74	0			F	411
POA0812	65-74	0			M	507
POA0812	65-74	1	0	1	F	101
POA0812	65-74	1	0	1	M	69
POA0812	65-74	1	1	0	F	3
POA0812	65-74	1	1	0	M	19
POA0812	75-84				F	30
POA0812	75-84				M	20
POA0812	75-84	0			F	161
POA0812	75-84	0			M	153
POA0812	75-84	1	0	1	F	19
POA0812	75-84	1	0	1	M	5
POA0812	85+				F	5
POA0812	85+	0			F	43
POA0812	85+	0			M	30
POA0812	85+	1	0	1	M	3
POA0815	15-19				F	4
POA0815	15-19				M	9
POA0815	15-19	0			F	12
POA0815	15-19	0			M	4
POA0815	20-24				F	10
POA0815	20-24				M	29
POA0815	20-24	0			F	16
POA0815	20-24	0			M	47
POA0815	25-34				F	15
POA0815	25-34				M	29
POA0815	25-34	0			F	30
POA0815	25-34	0			M	56
POA0815	35-44				F	3
POA0815	35-44				M	4
POA0815	35-44	0			F	3
POA0815	35-44	0			M	7
POA0815	45-54	0			M	3
POA0815	55-64				M	3
POA0815	55-64	0			F	3
POA0820	15-19				F	54
POA0820	15-19				M	66
POA0820	15-19	0			F	315
POA0820	15-19	0			M	372
POA0820	15-19	1	0	1	F	19
POA0820	15-19	1	0	1	M	19
POA0820	15-19	1	1	0	F	6
POA0820	15-19	1	1	0	M	3
POA0820	20-24				F	73
POA0820	20-24				M	131
POA0820	20-24	0			F	467
POA0820	20-24	0			M	572
POA0820	20-24	1	0	1	F	26
POA0820	20-24	1	0	1	M	14
POA0820	20-24	1	1	0	F	40
POA0820	20-24	1	1	0	M	10
POA0820	25-34				F	278
POA0820	25-34				M	340
POA0820	25-34	0			F	1418
POA0820	25-34	0			M	1668
POA0820	25-34	1	0	1	F	75
POA0820	25-34	1	0	1	M	51
POA0820	25-34	1	1	0	F	468
POA0820	25-34	1	1	0	M	275
POA0820	25-34	1	1	1	F	15
POA0820	25-34	1	1	1	M	4
POA0820	35-44				F	164
POA0820	35-44				M	197
POA0820	35-44	0			F	562
POA0820	35-44	0			M	831
POA0820	35-44	1	0	1	F	48
POA0820	35-44	1	0	1	M	27
POA0820	35-44	1	1	0	F	663
POA0820	35-44	1	1	0	M	526
POA0820	35-44	1	1	1	F	22
POA0820	35-44	1	1	1	M	9
POA0820	45-54				F	131
POA0820	45-54				M	169
POA0820	45-54	0			F	782
POA0820	45-54	0			M	954
POA0820	45-54	1	0	1	F	82
POA0820	45-54	1	0	1	M	29
POA0820	45-54	1	1	0	F	264
POA0820	45-54	1	1	0	M	314
POA0820	45-54	1	1	1	F	11
POA0820	45-54	1	1	1	M	11
POA0820	55-64				F	114
POA0820	55-64				M	129
POA0820	55-64	0			F	697
POA0820	55-64	0			M	842
POA0820	55-64	1	0	1	F	143
POA0820	55-64	1	0	1	M	50
POA0820	55-64	1	1	0	F	25
POA0820	55-64	1	1	0	M	71
POA0820	55-64	1	1	1	M	3
POA0820	65-74				F	57
POA0820	65-74				M	87
POA0820	65-74	0			F	351
POA0820	65-74	0			M	497
POA0820	65-74	1	0	1	F	91
POA0820	65-74	1	0	1	M	58
POA0820	65-74	1	1	0	F	5
POA0820	65-74	1	1	0	M	18
POA0820	75-84				F	22
POA0820	75-84				M	39
POA0820	75-84	0			F	158
POA0820	75-84	0			M	180
POA0820	75-84	1	0	1	F	12
POA0820	75-84	1	0	1	M	9
POA0820	85+				F	9
POA0820	85+				M	12
POA0820	85+	0			F	74
POA0820	85+	0			M	53
POA0822	15-19				F	129
POA0822	15-19				M	195
POA0822	15-19	0			F	477
POA0822	15-19	0			M	641
POA0822	15-19	1	0	1	F	304
POA0822	15-19	1	0	1	M	229
POA0822	15-19	1	1	0	F	95
POA0822	15-19	1	1	0	M	43
POA0822	15-19	1	1	1	F	35
POA0822	15-19	1	1	1	M	19
POA0822	20-24				F	86
POA0822	20-24				M	97
POA0822	20-24	0			F	330
POA0822	20-24	0			M	507
POA0822	20-24	1	0	1	F	190
POA0822	20-24	1	0	1	M	188
POA0822	20-24	1	1	0	F	282
POA0822	20-24	1	1	0	M	156
POA0822	20-24	1	1	1	F	93
POA0822	20-24	1	1	1	M	64
POA0822	25-34				F	251
POA0822	25-34				M	283
POA0822	25-34	0			F	563
POA0822	25-34	0			M	858
POA0822	25-34	1	0	1	F	286
POA0822	25-34	1	0	1	M	259
POA0822	25-34	1	1	0	F	833
POA0822	25-34	1	1	0	M	582
POA0822	25-34	1	1	1	F	212
POA0822	25-34	1	1	1	M	148
POA0822	35-44				F	232
POA0822	35-44				M	323
POA0822	35-44	0			F	472
POA0822	35-44	0			M	708
POA0822	35-44	1	0	1	F	257
POA0822	35-44	1	0	1	M	196
POA0822	35-44	1	1	0	F	649
POA0822	35-44	1	1	0	M	547
POA0822	35-44	1	1	1	F	169
POA0822	35-44	1	1	1	M	107
POA0822	45-54				F	202
POA0822	45-54				M	223
POA0822	45-54	0			F	694
POA0822	45-54	0			M	837
POA0822	45-54	1	0	1	F	369
POA0822	45-54	1	0	1	M	245
POA0822	45-54	1	1	0	F	238
POA0822	45-54	1	1	0	M	272
POA0822	45-54	1	1	1	F	87
POA0822	45-54	1	1	1	M	72
POA0822	55-64				F	136
POA0822	55-64				M	188
POA0822	55-64	0			F	588
POA0822	55-64	0			M	694
POA0822	55-64	1	0	1	F	276
POA0822	55-64	1	0	1	M	186
POA0822	55-64	1	1	0	F	58
POA0822	55-64	1	1	0	M	75
POA0822	55-64	1	1	1	F	41
POA0822	55-64	1	1	1	M	22
POA0822	65-74				F	59
POA0822	65-74				M	96
POA0822	65-74	0			F	284
POA0822	65-74	0			M	363
POA0822	65-74	1	0	1	F	96
POA0822	65-74	1	0	1	M	62
POA0822	65-74	1	1	0	F	12
POA0822	65-74	1	1	0	M	14
POA0822	65-74	1	1	1	F	6
POA0822	65-74	1	1	1	M	4
POA0822	75-84				F	24
POA0822	75-84				M	28
POA0822	75-84	0			F	83
POA0822	75-84	0			M	94
POA0822	75-84	1	0	1	F	17
POA0822	75-84	1	0	1	M	8
POA0822	75-84	1	1	0	F	3
POA0822	75-84	1	1	0	M	3
POA0822	75-84	1	1	1	F	7
POA0822	85+				F	6
POA0822	85+	0			F	13
POA0822	85+	0			M	9
POA0822	85+	1	0	1	F	4
POA0828	15-19				F	10
POA0828	15-19				M	9
POA0828	15-19	0			F	60
POA0828	15-19	0			M	59
POA0828	15-19	1	0	1	F	5
POA0828	20-24				F	3
POA0828	20-24				M	6
POA0828	20-24	0			F	30
POA0828	20-24	0			M	38
POA0828	20-24	1	1	0	F	8
POA0828	20-24	1	1	0	M	4
POA0828	25-34				F	14
POA0828	25-34				M	4
POA0828	25-34	0			F	33
POA0828	25-34	0			M	46
POA0828	25-34	1	0	1	M	5
POA0828	25-34	1	1	0	F	24
