POA_CODE_2016	CountryOfBirth	Sex	persons
POA0800		F	542
POA0800		M	730
POA0800	AUS	F	1122
POA0800	AUS	M	1560
POA0800	BGD	F	3
POA0800	BGD	M	9
POA0800	CAN	F	13
POA0800	CAN	M	15
POA0800	CHN	F	67
POA0800	CHN	M	55
POA0800	DEU	F	31
POA0800	DEU	M	17
POA0800	EGY	F	3
POA0800	EGY	M	3
POA0800	FJI	F	4
POA0800	FJI	M	10
POA0800	FRA	F	17
POA0800	FRA	M	35
POA0800	GBR	F	155
POA0800	GBR	M	220
POA0800	GRC	F	12
POA0800	GRC	M	19
POA0800	HKG	F	10
POA0800	HKG	M	10
POA0800	IDN	F	27
POA0800	IDN	M	20
POA0800	IND	F	76
POA0800	IND	M	107
POA0800	IRL	F	82
POA0800	IRL	M	85
POA0800	IRN	F	11
POA0800	IRN	M	14
POA0800	ITA	F	17
POA0800	ITA	M	21
POA0800	JPN	F	65
POA0800	JPN	M	142
POA0800	KOR	F	58
POA0800	KOR	M	58
POA0800	LBN	M	4
POA0800	LKA	F	17
POA0800	LKA	M	14
POA0800	MMR	F	3
POA0800	MMR	M	3
POA0800	MYS	F	28
POA0800	MYS	M	9
POA0800	NLD	F	9
POA0800	NLD	M	15
POA0800	NPL	F	56
POA0800	NPL	M	76
POA0800	NZL	F	75
POA0800	NZL	M	112
POA0800	PAK	F	6
POA0800	PAK	M	7
POA0800	PHL	F	121
POA0800	PHL	M	91
POA0800	PNG	F	8
POA0800	PNG	M	3
POA0800	POL	F	3
POA0800	POL	M	4
POA0800	SGP	F	5
POA0800	SGP	M	23
POA0800	THA	F	21
POA0800	THA	M	13
POA0800	TUR	F	4
POA0800	TUR	M	4
POA0800	TWN	F	128
POA0800	TWN	M	53
POA0800	USA	F	17
POA0800	USA	M	25
POA0800	VNM	F	16
POA0800	VNM	M	23
POA0800	ZAF	F	9
POA0800	ZAF	M	16
POA0800	ZWE	F	4
POA0800	ZWE	M	16
POA0810		F	2393
POA0810		M	2491
POA0810	AFG	M	23
POA0810	AUS	F	9193
POA0810	AUS	M	9462
POA0810	BGD	F	59
POA0810	BGD	M	138
POA0810	BIH	F	7
POA0810	BIH	M	5
POA0810	CAN	F	41
POA0810	CAN	M	33
POA0810	CHL	F	8
POA0810	CHL	M	7
POA0810	CHN	F	276
POA0810	CHN	M	219
POA0810	DEU	F	105
POA0810	DEU	M	80
POA0810	EGY	F	14
POA0810	EGY	M	6
POA0810	FJI	F	42
POA0810	FJI	M	26
POA0810	FRA	F	22
POA0810	FRA	M	24
POA0810	GBR	F	612
POA0810	GBR	M	639
POA0810	GRC	F	295
POA0810	GRC	M	387
POA0810	HKG	F	38
POA0810	HKG	M	42
POA0810	HRV	F	3
POA0810	HRV	M	4
POA0810	IDN	F	194
POA0810	IDN	M	121
POA0810	IND	F	573
POA0810	IND	M	666
POA0810	IRL	F	71
POA0810	IRL	M	76
POA0810	IRN	F	12
POA0810	IRN	M	23
