POA_CODE_2016	CountryOfBirth	persons
POA0800		1269
POA0800	AUS	2674
POA0800	BGD	17
POA0800	CAN	28
POA0800	CHN	119
POA0800	DEU	45
POA0800	EGY	5
POA0800	FJI	12
POA0800	FRA	54
POA0800	GBR	367
POA0800	GRC	24
POA0800	HKG	22
POA0800	IDN	42
POA0800	IND	183
POA0800	IRL	168
POA0800	IRN	26
POA0800	ITA	36
POA0800	JPN	210
POA0800	KOR	108
POA0800	LBN	4
POA0800	LKA	32
POA0800	MMR	6
POA0800	MYS	35
POA0800	NLD	18
POA0800	NPL	139
POA0800	NZL	179
POA0800	PAK	11
POA0800	PHL	213
POA0800	PNG	9
POA0800	POL	8
POA0800	SGP	30
POA0800	THA	35
POA0800	TUR	7
POA0800	TWN	181
POA0800	USA	40
POA0800	VNM	35
POA0800	ZAF	28
POA0800	ZWE	20
POA0810		4880
POA0810	AFG	29
POA0810	AUS	18652
POA0810	BGD	197
POA0810	BIH	17
POA0810	CAN	67
POA0810	CHL	16
POA0810	CHN	501
POA0810	DEU	182
POA0810	EGY	22
POA0810	FJI	66
POA0810	FRA	49
POA0810	GBR	1235
POA0810	GRC	680
POA0810	HKG	84
POA0810	HRV	4
POA0810	IDN	307
POA0810	IND	1236
POA0810	IRL	144
POA0810	IRN	29
POA0810	IRQ	7
POA0810	ITA	116
POA0810	JPN	36
POA0810	KHM	35
POA0810	KOR	57
POA0810	LBN	25
POA0810	LKA	304
POA0810	MKD	3
POA0810	MLT	5
POA0810	MMR	90
POA0810	MUS	25
POA0810	MYS	200
POA0810	NLD	71
POA0810	NPL	568
POA0810	NZL	586
POA0810	PAK	144
POA0810	PHL	1556
POA0810	PNG	93
POA0810	POL	35
POA0810	SGP	74
POA0810	THA	183
POA0810	TUR	8
POA0810	TWN	85
POA0810	USA	131
POA0810	VNM	198
POA0810	ZAF	139
POA0810	ZWE	115
POA0812		2899
POA0812	AFG	7
POA0812	AUS	11653
POA0812	BGD	17
POA0812	BIH	10
POA0812	CAN	25
POA0812	CHL	10
POA0812	CHN	155
POA0812	DEU	87
POA0812	EGY	6
POA0812	FJI	40
POA0812	FRA	24
POA0812	GBR	553
POA0812	GRC	252
POA0812	HKG	58
POA0812	HRV	3
POA0812	IDN	224
POA0812	IND	311
POA0812	IRL	71
POA0812	IRN	5
POA0812	IRQ	3
POA0812	ITA	57
POA0812	JPN	24
POA0812	KHM	19
POA0812	KOR	22
POA0812	LBN	7
POA0812	LKA	88
POA0812	MLT	3
POA0812	MMR	44
POA0812	MUS	7
POA0812	MYS	116
POA0812	NLD	36
POA0812	NPL	36
POA0812	NZL	327
POA0812	PAK	49
POA0812	PHL	961
POA0812	PNG	88
POA0812	POL	15
POA0812	SGP	58
POA0812	THA	200
POA0812	TWN	48
POA0812	USA	50
POA0812	VNM	125
POA0812	ZAF	53
POA0812	ZWE	34
POA0815		126
POA0815	AUS	29
POA0815	BGD	13
POA0815	CHN	33
POA0815	GBR	3
POA0815	IDN	5
POA0815	IND	39
POA0815	LKA	3
POA0815	MMR	3
POA0815	MYS	3
POA0815	NLD	3
POA0815	NPL	7
POA0815	NZL	8
POA0815	PAK	10
POA0815	PHL	3
POA0815	TWN	5
POA0815	VNM	3
POA0820		2790
POA0820	AFG	8
POA0820	AUS	11587
POA0820	BGD	39
POA0820	BIH	3
POA0820	CAN	70
POA0820	CHL	12
POA0820	CHN	145
POA0820	DEU	130
POA0820	EGY	5
POA0820	FJI	44
POA0820	FRA	94
POA0820	GBR	960
POA0820	GRC	137
POA0820	HKG	34
POA0820	HRV	12
POA0820	IDN	154
POA0820	IND	322
POA0820	IRL	315
POA0820	IRN	51
POA0820	ITA	105
POA0820	JPN	84
POA0820	KHM	6
POA0820	KOR	56
POA0820	LBN	5
POA0820	LKA	94
POA0820	MKD	3
POA0820	MLT	10
POA0820	MMR	18
POA0820	MUS	16
POA0820	MYS	110
POA0820	NLD	46
POA0820	NPL	149
POA0820	NZL	495
POA0820	PAK	24
POA0820	PHL	606
POA0820	PNG	53
POA0820	POL	19
POA0820	SGP	47
POA0820	THA	117
POA0820	TUR	9
POA0820	TWN	93
POA0820	USA	94
POA0820	VNM	110
POA0820	ZAF	120
POA0820	ZWE	57
POA0822		1986
POA0822	AUS	22379
POA0822	CAN	7
POA0822	CHN	9
POA0822	DEU	48
POA0822	FJI	22
POA0822	FRA	13
POA0822	GBR	294
POA0822	GRC	3
POA0822	HKG	8
POA0822	HRV	3
POA0822	IDN	20
POA0822	IND	30
POA0822	IRL	20
POA0822	IRN	3
POA0822	ITA	25
POA0822	JPN	3
POA0822	KHM	25
POA0822	KOR	8
POA0822	LKA	3
POA0822	MLT	3
POA0822	MYS	21
POA0822	NLD	24
POA0822	NZL	240
POA0822	PHL	85
POA0822	PNG	23
POA0822	POL	4
POA0822	SGP	3
POA0822	THA	30
POA0822	TWN	11
POA0822	USA	25
POA0822	VNM	136
POA0822	ZAF	11
POA0822	ZWE	13
POA0828		185
POA0828	AUS	812
POA0828	CHN	3
POA0828	DEU	4
POA0828	GBR	28
POA0828	GRC	25
POA0828	IDN	8
POA0828	IND	16
POA0828	IRL	3
POA0828	ITA	12
POA0828	KOR	3
POA0828	MMR	3
POA0828	MYS	9
POA0828	NLD	3
POA0828	NZL	25
POA0828	PHL	31
POA0828	PNG	10
POA0828	THA	3
POA0828	TWN	3
POA0828	VNM	3
POA0828	ZAF	3
POA0829		93
POA0829	AFG	3
POA0829	AUS	1619
POA0829	CAN	3
POA0829	CHL	3
POA0829	CHN	3
POA0829	GBR	31
POA0829	HKG	4
POA0829	IDN	3
POA0829	ITA	3
POA0829	LKA	3
POA0829	MYS	3
POA0829	NZL	29
POA0829	PHL	13
POA0829	THA	10
POA0829	USA	6
POA0829	VNM	3
POA0829	ZAF	7
POA0830		2335
POA0830	AFG	3
POA0830	AUS	12828
POA0830	BGD	60
POA0830	BIH	4
POA0830	CAN	22
POA0830	CHN	29
POA0830	DEU	78
POA0830	FJI	28
POA0830	FRA	11
POA0830	GBR	510
POA0830	GRC	43
POA0830	HKG	12
POA0830	HRV	3
POA0830	IDN	95
POA0830	IND	204
POA0830	IRL	44
POA0830	IRN	4
POA0830	ITA	10
POA0830	JPN	18
POA0830	KHM	48
POA0830	KOR	13
POA0830	LKA	49
POA0830	MMR	13
POA0830	MYS	46
POA0830	NLD	32
POA0830	NPL	38
POA0830	NZL	412
POA0830	PAK	11
POA0830	PHL	680
POA0830	PNG	99
POA0830	POL	4
POA0830	SGP	14
POA0830	THA	114
POA0830	TUR	3
POA0830	TWN	22
POA0830	USA	34
POA0830	VNM	85
POA0830	ZAF	85
POA0830	ZWE	34
POA0832		1455
POA0832	AFG	9
POA0832	AUS	11017
POA0832	BGD	31
POA0832	BIH	3
POA0832	CAN	22
POA0832	CHL	7
POA0832	CHN	39
POA0832	DEU	35
POA0832	EGY	3
POA0832	FJI	29
POA0832	FRA	17
POA0832	GBR	497
POA0832	GRC	38
POA0832	HKG	8
POA0832	HRV	7
POA0832	IDN	85
POA0832	IND	327
POA0832	IRL	49
POA0832	IRN	8
POA0832	IRQ	4
POA0832	ITA	10
POA0832	JPN	15
POA0832	KHM	14
POA0832	KOR	33
POA0832	LBN	4
POA0832	LKA	46
POA0832	MLT	3
POA0832	MMR	4
POA0832	MUS	4
POA0832	MYS	49
POA0832	NLD	13
POA0832	NPL	55
POA0832	NZL	415
POA0832	PAK	51
POA0832	PHL	677
POA0832	PNG	45
POA0832	POL	12
POA0832	SGP	16
POA0832	THA	59
POA0832	TUR	4
POA0832	TWN	27
POA0832	USA	55
POA0832	VNM	45
POA0832	ZAF	109
POA0832	ZWE	97
POA0834		236
POA0834	AUS	1397
POA0834	CAN	4
POA0834	DEU	5
POA0834	GBR	68
POA0834	GRC	14
POA0834	IDN	3
POA0834	IND	5
POA0834	IRL	3
POA0834	ITA	4
POA0834	MYS	7
POA0834	NLD	3
POA0834	NZL	29
POA0834	PHL	9
