POA_CODE_2016	Age5yr	Indigenous	Sex	persons
POA0800	0-4		F	16
POA0800	0-4		M	19
POA0800	0-4	0	F	106
POA0800	0-4	0	M	118
POA0800	0-4	1	F	9
POA0800	0-4	1	M	10
POA0800	5-9		F	8
POA0800	5-9		M	10
POA0800	5-9	0	F	58
POA0800	5-9	0	M	69
POA0800	5-9	1	F	3
POA0800	10-14		F	10
POA0800	10-14		M	5
POA0800	10-14	0	F	46
POA0800	10-14	0	M	47
POA0800	10-14	1	M	3
POA0800	15-19		F	11
POA0800	15-19	0	F	58
POA0800	15-19	0	M	41
POA0800	15-19	1	F	3
POA0800	15-19	1	M	4
POA0800	20-24		F	64
POA0800	20-24		M	67
POA0800	20-24	0	F	256
POA0800	20-24	0	M	249
POA0800	20-24	1	F	13
POA0800	20-24	1	M	13
POA0800	25-29		F	91
POA0800	25-29		M	126
POA0800	25-29	0	F	489
POA0800	25-29	0	M	550
POA0800	25-29	1	F	12
POA0800	25-29	1	M	10
POA0800	30-34		F	71
POA0800	30-34		M	100
POA0800	30-34	0	F	386
POA0800	30-34	0	M	475
POA0800	30-34	1	F	17
POA0800	30-34	1	M	10
POA0800	35-39		F	30
POA0800	35-39		M	67
POA0800	35-39	0	F	207
POA0800	35-39	0	M	312
POA0800	35-39	1	F	4
POA0800	35-39	1	M	6
POA0800	40-44		F	27
POA0800	40-44		M	22
POA0800	40-44	0	F	127
POA0800	40-44	0	M	189
POA0800	40-44	1	F	3
POA0800	40-44	1	M	10
POA0800	45-49		F	22
POA0800	45-49		M	44
POA0800	45-49	0	F	143
POA0800	45-49	0	M	215
POA0800	45-49	1	F	10
POA0800	45-49	1	M	6
POA0800	50-54		F	21
POA0800	50-54		M	40
POA0800	50-54	0	F	116
POA0800	50-54	0	M	179
POA0800	50-54	1	F	15
POA0800	50-54	1	M	12
POA0800	55-59		F	21
POA0800	55-59		M	35
POA0800	55-59	0	F	116
POA0800	55-59	0	M	180
POA0800	55-59	1	F	6
POA0800	55-59	1	M	14
POA0800	60-64		F	14
POA0800	60-64		M	28
POA0800	60-64	0	F	75
POA0800	60-64	0	M	149
POA0800	60-64	1	F	8
POA0800	60-64	1	M	9
POA0800	65+		F	19
POA0800	65+		M	28
POA0800	65+	0	F	118
POA0800	65+	0	M	158
POA0800	65+	1	F	4
POA0800	65+	1	M	3
POA0810	0-4		F	120
POA0810	0-4		M	143
POA0810	0-4	0	F	1078
POA0810	0-4	0	M	1087
POA0810	0-4	1	F	87
POA0810	0-4	1	M	114
POA0810	5-9		F	102
POA0810	5-9		M	96
POA0810	5-9	0	F	847
POA0810	5-9	0	M	939
POA0810	5-9	1	F	106
POA0810	5-9	1	M	129
POA0810	10-14		F	76
POA0810	10-14		M	65
POA0810	10-14	0	F	768
POA0810	10-14	0	M	781
POA0810	10-14	1	F	99
POA0810	10-14	1	M	113
POA0810	15-19		F	74
POA0810	15-19		M	68
POA0810	15-19	0	F	698
POA0810	15-19	0	M	780
POA0810	15-19	1	F	108
POA0810	15-19	1	M	99
POA0810	20-24		F	113
POA0810	20-24		M	117
POA0810	20-24	0	F	797
POA0810	20-24	0	M	808
POA0810	20-24	1	F	95
POA0810	20-24	1	M	94
POA0810	25-29		F	167
POA0810	25-29		M	172
POA0810	25-29	0	F	1370
POA0810	25-29	0	M	1312
POA0810	25-29	1	F	69
POA0810	25-29	1	M	73
POA0810	30-34		F	159
POA0810	30-34		M	157
POA0810	30-34	0	F	1399
POA0810	30-34	0	M	1393
POA0810	30-34	1	F	46
POA0810	30-34	1	M	65
POA0810	35-39		F	114
POA0810	35-39		M	141
POA0810	35-39	0	F	1248
POA0810	35-39	0	M	1242
POA0810	35-39	1	F	64
POA0810	35-39	1	M	57
POA0810	40-44		F	103
POA0810	40-44		M	126
POA0810	40-44	0	F	1067
POA0810	40-44	0	M	1075
POA0810	40-44	1	F	76
POA0810	40-44	1	M	77
POA0810	45-49		F	114
POA0810	45-49		M	120
POA0810	45-49	0	F	1005
POA0810	45-49	0	M	977
POA0810	45-49	1	F	79
POA0810	45-49	1	M	60
POA0810	50-54		F	96
POA0810	50-54		M	99
POA0810	50-54	0	F	838
POA0810	50-54	0	M	848
POA0810	50-54	1	F	59
POA0810	50-54	1	M	50
