POA_CODE_2016	AustCitizen	Sex	persons
POA0800	0	F	1423
POA0800	0	M	1680
POA0800	1	F	1413
POA0800	1	M	1956
POA0810	0	F	4302
POA0810	0	M	4336
POA0810	1	F	12229
POA0810	1	M	12439
POA0812	0	F	1945
POA0812	0	M	1876
POA0812	1	F	7485
POA0812	1	M	7564
POA0815	0	F	84
POA0815	0	M	168
POA0815	1	F	18
POA0815	1	M	24
POA0820	0	F	2555
POA0820	0	M	2755
POA0820	1	F	6690
POA0820	1	M	7447
POA0822	0	F	1009
POA0822	0	M	1350
POA0822	1	F	11405
POA0822	1	M	11790
POA0828	0	F	120
POA0828	0	M	133
POA0828	1	F	457
POA0828	1	M	492
POA0829	0	F	105
POA0829	0	M	967
POA0829	1	F	153
POA0829	1	M	613
POA0830	0	F	1729
POA0830	0	M	1650
POA0830	1	F	7248
POA0830	1	M	7582
POA0832	0	F	1411
POA0832	0	M	1337
POA0832	1	F	6346
POA0832	1	M	6478
POA0834	0	F	123
POA0834	0	M	122
POA0834	1	F	756
POA0834	1	M	836
POA0835	0	F	258
POA0835	0	M	1436
POA0835	1	F	1307
POA0835	1	M	2133
POA0836	0	F	554
POA0836	0	M	580
POA0836	1	F	3126
POA0836	1	M	3495
POA0837	0	F	40
POA0837	0	M	50
POA0837	1	F	148
POA0837	1	M	176
POA0838	0	F	62
POA0838	0	M	73
POA0838	1	F	313
POA0838	1	M	365
POA0839	0	F	75
POA0839	0	M	72
POA0839	1	F	200
POA0839	1	M	204
POA0840	0	F	16
POA0840	0	M	15
POA0840	1	F	133
POA0840	1	M	198
POA0841	0	F	57
POA0841	0	M	67
POA0841	1	F	258
POA0841	1	M	317
POA0845	0	F	50
POA0845	0	M	50
POA0845	1	F	198
POA0845	1	M	209
POA0846	0	F	25
POA0846	0	M	39
POA0846	1	F	149
POA0846	1	M	144
POA0847	0	F	35
POA0847	0	M	27
POA0847	1	F	120
POA0847	1	M	149
POA0850	0	F	989
POA0850	0	M	1051
POA0850	1	F	2971
POA0850	1	M	3124
POA0852	0	F	496
POA0852	0	M	568
POA0852	1	F	3511
POA0852	1	M	3728
POA0853	0	F	37
POA0853	0	M	72
POA0853	1	F	321
POA0853	1	M	426
POA0854	0	F	53
POA0854	0	M	45
POA0854	1	F	370
POA0854	1	M	410
POA0860	0	F	258
POA0860	0	M	326
POA0860	1	F	1162
POA0860	1	M	1249
POA0862	0	F	18
POA0862	0	M	28
POA0862	1	F	360
POA0862	1	M	358
POA0870	0	F	2600
POA0870	0	M	2455
POA0870	1	F	7427
POA0870	1	M	7149
POA0872	0	F	799
POA0872	0	M	1311
POA0872	1	F	6870
POA0872	1	M	6486
POA0873	0	F	223
POA0873	0	M	206
POA0873	1	F	1017
POA0873	1	M	991
POA0874	0	F	147
POA0874	0	M	156
POA0874	1	F	133
POA0874	1	M	118
POA0875	0	F	229
POA0875	0	M	237
POA0875	1	F	986
POA0875	1	M	923
POA0880	0	F	388
POA0880	0	M	452
POA0880	1	F	2210
POA0880	1	M	2165
POA0885	0	F	74
POA0885	0	M	95
POA0885	1	F	307
POA0885	1	M	401
POA0886	0	F	141
POA0886	0	M	129
POA0886	1	F	359
POA0886	1	M	448
POA2000	0	F	9631
POA2000	0	M	9089
POA2000	1	F	3966
POA2000	1	M	4729
POA2006	0	F	139
POA2006	0	M	129
POA2006	1	F	579
POA2006	1	M	415
POA2007	0	F	3284
POA2007	0	M	2837
POA2007	1	F	1308
POA2007	1	M	1413
POA2008	0	F	4052
POA2008	0	M	3302
POA2008	1	F	2037
POA2008	1	M	2322
POA2009	0	F	2708
POA2009	0	M	2692
POA2009	1	F	3624
POA2009	1	M	3787
POA2010	0	F	4673
POA2010	0	M	6316
POA2010	1	F	7088
POA2010	1	M	9660
POA2011	0	F	3567
POA2011	0	M	5150
POA2011	1	F	5686
POA2011	1	M	6794
POA2015	0	F	1201
POA2015	0	M	1315
POA2015	1	F	3696
POA2015	1	M	3709
POA2016	0	F	1969
POA2016	0	M	2193
POA2016	1	F	4062
POA2016	1	M	4987
POA2017	0	F	6277
POA2017	0	M	6057
POA2017	1	F	5745
POA2017	1	M	6614
POA2018	0	F	2363
POA2018	0	M	2514
POA2018	1	F	6135
POA2018	1	M	6017
POA2019	0	F	954
POA2019	0	M	939
POA2019	1	F	4467
POA2019	1	M	4477
POA2020	0	F	2609
POA2020	0	M	2619
POA2020	1	F	4725
POA2020	1	M	4818
POA2021	0	F	1928
POA2021	0	M	1750
POA2021	1	F	6108
POA2021	1	M	5527
POA2022	0	F	2180
POA2022	0	M	1957
POA2022	1	F	4330
POA2022	1	M	4043
POA2023	0	F	1130
POA2023	0	M	1032
POA2023	1	F	4366
POA2023	1	M	4190
POA2024	0	F	1282
POA2024	0	M	1180
POA2024	1	F	4515
POA2024	1	M	4102
POA2025	0	F	861
POA2025	0	M	790
POA2025	1	F	3175
POA2025	1	M	2580
POA2026	0	F	5334
POA2026	0	M	5243
POA2026	1	F	11090
POA2026	1	M	10818
POA2027	0	F	1094
POA2027	0	M	942
POA2027	1	F	3343
POA2027	1	M	2816
POA2028	0	F	639
POA2028	0	M	500
POA2028	1	F	1969
POA2028	1	M	1536
POA2029	0	F	1089
POA2029	0	M	906
POA2029	1	F	4238
POA2029	1	M	3726
POA2030	0	F	1191
POA2030	0	M	976
POA2030	1	F	6189
POA2030	1	M	5719
POA2031	0	F	4654
POA2031	0	M	4581
POA2031	1	F	13491
POA2031	1	M	11998
POA2032	0	F	3420
POA2032	0	M	3772
POA2032	1	F	4846
POA2032	1	M	4653
POA2033	0	F	2059
POA2033	0	M	2043
POA2033	1	F	3744
POA2033	1	M	3727
POA2034	0	F	2773
POA2034	0	M	2570
POA2034	1	F	8192
POA2034	1	M	7180
POA2035	0	F	4227
POA2035	0	M	4163
POA2035	1	F	13526
POA2035	1	M	12571
POA2036	0	F	2895
POA2036	0	M	4464
POA2036	1	F	11796
POA2036	1	M	11254
POA2037	0	F	2591
POA2037	0	M	2231
POA2037	1	F	5926
POA2037	1	M	5366
POA2038	0	F	845
POA2038	0	M	870
POA2038	1	F	4066
POA2038	1	M	3673
POA2039	0	F	942
POA2039	0	M	914
POA2039	1	F	3611
POA2039	1	M	3258
POA2040	0	F	1951
POA2040	0	M	1886
POA2040	1	F	9661
POA2040	1	M	8745
POA2041	0	F	1612
POA2041	0	M	1564
POA2041	1	F	6558
POA2041	1	M	5954
POA2042	0	F	2450
POA2042	0	M	2441
POA2042	1	F	7107
POA2042	1	M	7134
POA2043	0	F	985
POA2043	0	M	1054
POA2043	1	F	2909
POA2043	1	M	3065
POA2044	0	F	758
POA2044	0	M	779
POA2044	1	F	3154
POA2044	1	M	3154
POA2045	0	F	411
POA2045	0	M	373
POA2045	1	F	2846
POA2045	1	M	2824
POA2046	0	F	2103
POA2046	0	M	1860
POA2046	1	F	12055
POA2046	1	M	10801
POA2047	0	F	1174
POA2047	0	M	999
POA2047	1	F	5163
POA2047	1	M	4614
POA2048	0	F	761
POA2048	0	M	752
POA2048	1	F	3241
POA2048	1	M	3187
POA2049	0	F	1134
POA2049	0	M	1118
POA2049	1	F	4605
POA2049	1	M	4427
POA2050	0	F	1682
POA2050	0	M	1439
POA2050	1	F	2890
POA2050	1	M	2958
POA2052	0	F	1067
POA2052	0	M	1044
POA2052	1	F	592
POA2052	1	M	724
POA2060	0	F	2077
POA2060	0	M	1970
POA2060	1	F	5164
POA2060	1	M	4779
POA2061	0	F	951
POA2061	0	M	898
POA2061	1	F	2148
POA2061	1	M	1952
POA2062	0	F	632
POA2062	0	M	590
POA2062	1	F	3089
POA2062	1	M	2693
POA2063	0	F	423
POA2063	0	M	376
POA2063	1	F	2863
POA2063	1	M	2685
POA2064	0	F	1449
POA2064	0	M	1290
POA2064	1	F	3427
POA2064	1	M	3364
POA2065	0	F	4037
POA2065	0	M	3507
POA2065	1	F	11674
POA2065	1	M	10894
POA2066	0	F	3140
POA2066	0	M	2862
POA2066	1	F	12938
POA2066	1	M	12681
POA2067	0	F	5552
POA2067	0	M	4672
POA2067	1	F	8332
POA2067	1	M	7848
POA2068	0	F	1396
POA2068	0	M	1121
POA2068	1	F	7322
POA2068	1	M	6971
POA2069	0	F	1245
POA2069	0	M	1020
POA2069	1	F	6035
POA2069	1	M	5956
POA2070	0	F	1145
POA2070	0	M	1016
POA2070	1	F	5828
POA2070	1	M	5514
POA2071	0	F	1422
POA2071	0	M	1238
POA2071	1	F	5604
POA2071	1	M	5279
POA2072	0	F	928
POA2072	0	M	849
POA2072	1	F	3073
POA2072	1	M	2809
POA2073	0	F	1342
POA2073	0	M	1154
POA2073	1	F	7243
POA2073	1	M	6613
POA2074	0	F	1769
POA2074	0	M	1502
POA2074	1	F	9835
POA2074	1	M	9149
POA2075	0	F	1920
POA2075	0	M	1571
POA2075	1	F	8743
POA2075	1	M	8218
POA2076	0	F	1883
POA2076	0	M	1722
POA2076	1	F	10904
POA2076	1	M	10143
POA2077	0	F	5263
POA2077	0	M	4577
POA2077	1	F	14092
POA2077	1	M	13860
POA2079	0	F	367
POA2079	0	M	330
POA2079	1	F	3194
POA2079	1	M	3202
POA2080	0	F	86
POA2080	0	M	89
POA2080	1	F	767
POA2080	1	M	765
POA2081	0	F	258
POA2081	0	M	236
POA2081	1	F	2429
POA2081	1	M	2444
POA2082	0	F	261
POA2082	0	M	264
POA2082	1	F	2472
POA2082	1	M	2401
POA2083	0	F	96
POA2083	0	M	108
POA2083	1	F	641
POA2083	1	M	674
POA2084	0	F	221
POA2084	0	M	203
POA2084	1	F	1620
POA2084	1	M	1583
POA2085	0	F	739
POA2085	0	M	643
POA2085	1	F	5262
POA2085	1	M	4982
POA2086	0	F	763
POA2086	0	M	742
POA2086	1	F	6011
POA2086	1	M	5904
POA2087	0	F	836
POA2087	0	M	719
POA2087	1	F	5780
POA2087	1	M	5466
POA2088	0	F	3085
POA2088	0	M	2734
POA2088	1	F	12205
POA2088	1	M	10455
POA2089	0	F	1628
POA2089	0	M	1402
POA2089	1	F	4685
POA2089	1	M	4204
POA2090	0	F	1737
POA2090	0	M	1455
POA2090	1	F	5681
POA2090	1	M	4855
POA2092	0	F	521
POA2092	0	M	484
POA2092	1	F	3178
POA2092	1	M	2958
POA2093	0	F	2003
POA2093	0	M	1864
POA2093	1	F	9796
POA2093	1	M	9206
POA2094	0	F	578
POA2094	0	M	531
POA2094	1	F	2474
POA2094	1	M	2256
POA2095	0	F	2537
POA2095	0	M	2527
POA2095	1	F	5438
POA2095	1	M	5362
POA2096	0	F	1561
POA2096	0	M	1465
POA2096	1	F	5823
POA2096	1	M	5807
POA2097	0	F	1162
POA2097	0	M	1055
POA2097	1	F	6789
POA2097	1	M	6527
POA2099	0	F	4306
POA2099	0	M	4072
POA2099	1	F	16135
POA2099	1	M	15412
POA2100	0	F	1582
POA2100	0	M	1499
POA2100	1	F	8969
POA2100	1	M	8865
POA2101	0	F	1377
POA2101	0	M	1280
POA2101	1	F	8560
POA2101	1	M	8183
POA2102	0	F	506
POA2102	0	M	455
POA2102	1	F	3388
POA2102	1	M	3144
POA2103	0	F	705
POA2103	0	M	604
POA2103	1	F	4841
POA2103	1	M	4522
POA2104	0	F	276
POA2104	0	M	233
POA2104	1	F	1681
POA2104	1	M	1426
POA2105	0	F	161
POA2105	0	M	178
POA2105	1	F	747
POA2105	1	M	760
POA2106	0	F	535
POA2106	0	M	480
POA2106	1	F	4197
POA2106	1	M	4087
