POA_CODE_2016	Age	MaritalStatus	Sex	responses
POA0800	15-19	Widowed	F	3
POA0800	20-24	Married	F	39
POA0800	20-24	Married	M	9
POA0800	25-34	Divorced	F	26
POA0800	25-34	Divorced	M	18
POA0800	25-34	Married	F	339
POA0800	25-34	Married	M	322
POA0800	25-34	Separated	F	11
POA0800	25-34	Separated	M	15
POA0800	25-34	Widowed	M	3
POA0800	35-44	Divorced	F	35
POA0800	35-44	Divorced	M	37
POA0800	35-44	Married	F	215
POA0800	35-44	Married	M	304
POA0800	35-44	Separated	F	15
POA0800	35-44	Separated	M	14
POA0800	45-54	Divorced	F	58
POA0800	45-54	Divorced	M	83
POA0800	45-54	Married	F	169
POA0800	45-54	Married	M	242
POA0800	45-54	Separated	F	19
POA0800	45-54	Separated	M	34
POA0800	45-54	Widowed	F	15
POA0800	45-54	Widowed	M	3
POA0800	55-64	Divorced	F	51
POA0800	55-64	Divorced	M	92
POA0800	55-64	Married	F	135
POA0800	55-64	Married	M	223
POA0800	55-64	Separated	F	12
POA0800	55-64	Separated	M	28
POA0800	55-64	Widowed	F	9
POA0800	55-64	Widowed	M	3
POA0800	65-74	Divorced	F	18
POA0800	65-74	Divorced	M	26
POA0800	65-74	Married	F	62
POA0800	65-74	Married	M	93
POA0800	65-74	Separated	F	10
POA0800	65-74	Separated	M	14
POA0800	65-74	Widowed	F	11
POA0800	65-74	Widowed	M	11
POA0800	75-84	Divorced	F	10
POA0800	75-84	Divorced	M	5
POA0800	75-84	Married	F	5
POA0800	75-84	Married	M	18
POA0800	75-84	Widowed	F	10
POA0800	75-84	Widowed	M	3
POA0800	85+	Married	F	3
POA0800	85+	Married	M	3
POA0800	85+	Widowed	F	3
POA0810	15-19	Married	F	3
POA0810	15-19	Married	M	5
POA0810	20-24	Married	F	187
POA0810	20-24	Married	M	68
POA0810	20-24	Separated	F	3
POA0810	20-24	Separated	M	5
POA0810	25-34	Divorced	F	52
POA0810	25-34	Divorced	M	47
POA0810	25-34	Married	F	1585
POA0810	25-34	Married	M	1285
POA0810	25-34	Separated	F	44
POA0810	25-34	Separated	M	35
POA0810	25-34	Widowed	F	4
POA0810	25-34	Widowed	M	6
POA0810	35-44	Divorced	F	203
POA0810	35-44	Divorced	M	109
POA0810	35-44	Married	F	1574
POA0810	35-44	Married	M	1688
POA0810	35-44	Separated	F	102
POA0810	35-44	Separated	M	62
POA0810	35-44	Widowed	F	9
POA0810	35-44	Widowed	M	6
POA0810	45-54	Divorced	F	284
POA0810	45-54	Divorced	M	249
POA0810	45-54	Married	F	1172
POA0810	45-54	Married	M	1203
POA0810	45-54	Separated	F	134
POA0810	45-54	Separated	M	89
POA0810	45-54	Widowed	F	64
POA0810	45-54	Widowed	M	17
POA0810	55-64	Divorced	F	321
POA0810	55-64	Divorced	M	276
POA0810	55-64	Married	F	869
POA0810	55-64	Married	M	951
POA0810	55-64	Separated	F	104
POA0810	55-64	Separated	M	76
POA0810	55-64	Widowed	F	125
POA0810	55-64	Widowed	M	20
POA0810	65-74	Divorced	F	204
POA0810	65-74	Divorced	M	184
POA0810	65-74	Married	F	512
POA0810	65-74	Married	M	701
POA0810	65-74	Separated	F	47
POA0810	65-74	Separated	M	64
POA0810	65-74	Widowed	F	200
POA0810	65-74	Widowed	M	43
POA0810	75-84	Divorced	F	61
POA0810	75-84	Divorced	M	52
POA0810	75-84	Married	F	126
POA0810	75-84	Married	M	261
POA0810	75-84	Separated	F	11
POA0810	75-84	Separated	M	20
POA0810	75-84	Widowed	F	219
POA0810	75-84	Widowed	M	51
POA0810	85+	Divorced	F	14
POA0810	85+	Divorced	M	4
POA0810	85+	Married	F	27
POA0810	85+	Married	M	37
POA0810	85+	Separated	F	5
POA0810	85+	Widowed	F	84
POA0810	85+	Widowed	M	38
POA0812	20-24	Married	F	43
POA0812	20-24	Married	M	21
POA0812	20-24	Separated	F	7
POA0812	25-34	Divorced	F	37
POA0812	25-34	Divorced	M	19
POA0812	25-34	Married	F	613
POA0812	25-34	Married	M	480
POA0812	25-34	Separated	F	34
POA0812	25-34	Separated	M	29
POA0812	25-34	Widowed	F	3
POA0812	35-44	Divorced	F	98
POA0812	35-44	Divorced	M	74
POA0812	35-44	Married	F	858
POA0812	35-44	Married	M	816
POA0812	35-44	Separated	F	56
POA0812	35-44	Separated	M	46
POA0812	35-44	Widowed	F	11
POA0812	45-54	Divorced	F	196
POA0812	45-54	Divorced	M	144
POA0812	45-54	Married	F	795
POA0812	45-54	Married	M	762
POA0812	45-54	Separated	F	71
POA0812	45-54	Separated	M	66
POA0812	45-54	Widowed	F	46
POA0812	45-54	Widowed	M	11
POA0812	55-64	Divorced	F	243
POA0812	55-64	Divorced	M	174
POA0812	55-64	Married	F	673
POA0812	55-64	Married	M	788
POA0812	55-64	Separated	F	72
POA0812	55-64	Separated	M	59
POA0812	55-64	Widowed	F	89
POA0812	55-64	Widowed	M	17
POA0812	65-74	Divorced	F	126
POA0812	65-74	Divorced	M	110
POA0812	65-74	Married	F	279
POA0812	65-74	Married	M	422
POA0812	65-74	Separated	F	19
POA0812	65-74	Separated	M	31
POA0812	65-74	Widowed	F	109
POA0812	65-74	Widowed	M	41
POA0812	75-84	Divorced	F	34
POA0812	75-84	Divorced	M	22
POA0812	75-84	Married	F	74
POA0812	75-84	Married	M	120
POA0812	75-84	Separated	F	3
POA0812	75-84	Separated	M	8
POA0812	75-84	Widowed	F	91
POA0812	75-84	Widowed	M	16
POA0812	85+	Divorced	F	4
POA0812	85+	Divorced	M	6
POA0812	85+	Married	F	4
POA0812	85+	Married	M	11
POA0812	85+	Separated	M	3
POA0812	85+	Widowed	F	32
POA0812	85+	Widowed	M	12
POA0815	25-34	Divorced	F	4
POA0815	25-34	Married	F	6
POA0815	25-34	Married	M	6
POA0815	35-44	Married	F	4
POA0815	35-44	Married	M	8
POA0815	45-54	Separated	M	4
POA0815	55-64	Married	F	3
POA0815	55-64	Married	M	4
POA0820	15-19	Married	F	9
POA0820	20-24	Married	F	68
POA0820	20-24	Married	M	32
POA0820	20-24	Separated	F	3
POA0820	20-24	Separated	M	5
POA0820	25-34	Divorced	F	57
POA0820	25-34	Divorced	M	35
POA0820	25-34	Married	F	799
POA0820	25-34	Married	M	663
POA0820	25-34	Separated	F	48
POA0820	25-34	Separated	M	21
POA0820	25-34	Widowed	M	3
POA0820	35-44	Divorced	F	100
POA0820	35-44	Divorced	M	104
POA0820	35-44	Married	F	859
POA0820	35-44	Married	M	883
POA0820	35-44	Separated	F	34
POA0820	35-44	Separated	M	58
POA0820	35-44	Widowed	F	6
POA0820	35-44	Widowed	M	10
POA0820	45-54	Divorced	F	200
POA0820	45-54	Divorced	M	188
POA0820	45-54	Married	F	722
POA0820	45-54	Married	M	844
POA0820	45-54	Separated	F	62
POA0820	45-54	Separated	M	65
POA0820	45-54	Widowed	F	32
POA0820	45-54	Widowed	M	12
POA0820	55-64	Divorced	F	224
POA0820	55-64	Divorced	M	232
POA0820	55-64	Married	F	514
POA0820	55-64	Married	M	568
POA0820	55-64	Separated	F	49
POA0820	55-64	Separated	M	63
POA0820	55-64	Widowed	F	59
POA0820	55-64	Widowed	M	16
POA0820	65-74	Divorced	F	98
POA0820	65-74	Divorced	M	129
POA0820	65-74	Married	F	272
POA0820	65-74	Married	M	388
POA0820	65-74	Separated	F	17
POA0820	65-74	Separated	M	31
POA0820	65-74	Widowed	F	91
