POA_CODE_2016	Sex	persons
POA0800	F	2836
POA0800	M	3636
POA0810	F	16531
POA0810	M	16775
POA0812	F	9430
POA0812	M	9440
POA0815	F	102
POA0815	M	192
POA0820	F	9245
POA0820	M	10202
POA0822	F	12414
POA0822	M	13140
POA0828	F	577
POA0828	M	625
POA0829	F	258
POA0829	M	1580
POA0830	F	8977
POA0830	M	9232
POA0832	F	7757
POA0832	M	7815
POA0834	F	879
POA0834	M	958
POA0835	F	1565
POA0835	M	3569
POA0836	F	3680
POA0836	M	4075
POA0837	F	188
POA0837	M	226
POA0838	F	375
POA0838	M	438
POA0839	F	275
POA0839	M	276
POA0840	F	149
POA0840	M	213
POA0841	F	315
POA0841	M	384
POA0845	F	248
POA0845	M	259
POA0846	F	174
POA0846	M	183
POA0847	F	155
POA0847	M	176
POA0850	F	3960
POA0850	M	4175
POA0852	F	4007
POA0852	M	4296
POA0853	F	358
POA0853	M	498
POA0854	F	423
POA0854	M	455
POA0860	F	1420
POA0860	M	1575
POA0862	F	378
POA0862	M	386
POA0870	F	10027
POA0870	M	9604
POA0872	F	7669
POA0872	M	7797
POA0873	F	1240
POA0873	M	1197
POA0874	F	280
POA0874	M	274
POA0875	F	1215
POA0875	M	1160
POA0880	F	2598
POA0880	M	2617
POA0885	F	381
POA0885	M	496
POA0886	F	500
POA0886	M	577
POA2000	F	13597
POA2000	M	13818
POA2006	F	718
POA2006	M	544
POA2007	F	4592
POA2007	M	4250
POA2008	F	6089
POA2008	M	5624
POA2009	F	6332
POA2009	M	6479
POA2010	F	11761
POA2010	M	15976
POA2011	F	9253
POA2011	M	11944
POA2015	F	4897
POA2015	M	5024
POA2016	F	6031
POA2016	M	7180
POA2017	F	12022
POA2017	M	12671
POA2018	F	8498
POA2018	M	8531
POA2019	F	5421
POA2019	M	5416
POA2020	F	7334
POA2020	M	7437
POA2021	F	8036
POA2021	M	7277
POA2022	F	6510
POA2022	M	6000
POA2023	F	5496
POA2023	M	5222
POA2024	F	5797
POA2024	M	5282
POA2025	F	4036
POA2025	M	3370
POA2026	F	16424
POA2026	M	16061
POA2027	F	4437
POA2027	M	3758
POA2028	F	2608
POA2028	M	2036
POA2029	F	5327
POA2029	M	4632
POA2030	F	7380
POA2030	M	6695
POA2031	F	18145
POA2031	M	16579
POA2032	F	8266
POA2032	M	8425
POA2033	F	5803
POA2033	M	5770
POA2034	F	10965
POA2034	M	9750
POA2035	F	17753
POA2035	M	16734
POA2036	F	14691
