POA_CODE_2016	HomeCensusNight	persons
POA0800	0	474
POA0800	1	5997
POA0810	0	1837
POA0810	1	31466
POA0812	0	904
POA0812	1	17968
POA0815	0	5
POA0815	1	283
POA0820	0	1175
POA0820	1	18273
POA0822	0	1306
POA0822	1	24253
POA0828	0	116
POA0828	1	1084
POA0829	0	162
POA0829	1	1679
POA0830	0	868
POA0830	1	17339
POA0832	0	800
POA0832	1	14770
POA0834	0	69
POA0834	1	1765
POA0835	0	233
POA0835	1	4899
POA0836	0	330
POA0836	1	7419
POA0837	0	22
POA0837	1	394
POA0838	0	35
POA0838	1	782
POA0839	0	25
POA0839	1	522
POA0840	0	27
POA0840	1	336
POA0841	0	43
POA0841	1	658
POA0845	0	38
POA0845	1	466
POA0846	0	23
POA0846	1	338
POA0847	0	24
POA0847	1	305
POA0850	0	537
POA0850	1	7602
POA0852	0	537
POA0852	1	7763
POA0853	0	86
POA0853	1	771
POA0854	0	44
POA0854	1	832
POA0860	0	272
POA0860	1	2719
POA0862	0	64
POA0862	1	704
POA0870	0	1433
POA0870	1	18198
POA0872	0	1127
POA0872	1	14341
POA0873	0	143
POA0873	1	2298
POA0874	0	38
POA0874	1	514
POA0875	0	197
POA0875	1	2181
POA0880	0	323
POA0880	1	4890
POA0885	0	83
POA0885	1	794
POA0886	0	95
POA0886	1	984
POA2000	0	1287
POA2000	1	26121
POA2006	0	63
POA2006	1	1194
POA2007	0	348
POA2007	1	8496
POA2008	0	466
POA2008	1	11244
POA2009	0	526
POA2009	1	12286
POA2010	0	1346
POA2010	1	26387
POA2011	0	1107
POA2011	1	20088
POA2015	0	449
POA2015	1	9476
POA2016	0	637
POA2016	1	12580
POA2017	0	882
POA2017	1	23813
POA2018	0	466
POA2018	1	16562
POA2019	0	336
POA2019	1	10501
POA2020	0	489
POA2020	1	14282
POA2021	0	776
POA2021	1	14533
POA2022	0	504
POA2022	1	12008
POA2023	0	485
POA2023	1	10231
POA2024	0	528
POA2024	1	10551
POA2025	0	422
POA2025	1	6989
POA2026	0	1476
POA2026	1	31018
POA2027	0	385
POA2027	1	7809
POA2028	0	266
POA2028	1	4384
POA2029	0	400
POA2029	1	9563
POA2030	0	501
POA2030	1	13576
POA2031	0	1395
POA2031	1	33337
POA2032	0	550
POA2032	1	16141
POA2033	0	444
POA2033	1	11133
POA2034	0	902
POA2034	1	19808
POA2035	0	1251
POA2035	1	33246
POA2036	0	954
POA2036	1	29452
POA2037	0	818
POA2037	1	15298
POA2038	0	424
POA2038	1	9028
POA2039	0	413
POA2039	1	8310
POA2040	0	936
POA2040	1	21309
POA2041	0	812
POA2041	1	14876
POA2042	0	924
POA2042	1	18201
POA2043	0	345
POA2043	1	7671
POA2044	0	275
POA2044	1	7563
POA2045	0	226
POA2045	1	6229
POA2046	0	975
POA2046	1	25850
POA2047	0	561
POA2047	1	11381
POA2048	0	314
POA2048	1	7627
POA2049	0	479
POA2049	1	10800
POA2050	0	399
POA2050	1	8566
POA2052	0	74
POA2052	1	3353
POA2060	0	724
POA2060	1	13261
POA2061	0	283
POA2061	1	5665
POA2062	0	314
POA2062	1	6685
POA2063	0	256
POA2063	1	6092
POA2064	0	328
POA2064	1	9198
POA2065	0	1307
POA2065	1	28811
POA2066	0	1078
POA2066	1	30545
POA2067	0	739
POA2067	1	25664
POA2068	0	650
POA2068	1	16166
POA2069	0	475
POA2069	1	13775
POA2070	0	476
POA2070	1	13024
POA2071	0	434
POA2071	1	13115
POA2072	0	239
POA2072	1	7424
POA2073	0	604
POA2073	1	15744
POA2074	0	873
POA2074	1	21383
POA2075	0	634
POA2075	1	19821
POA2076	0	831
POA2076	1	23818
POA2077	0	1125
POA2077	1	36670
POA2079	0	234
POA2079	1	6859
POA2080	0	54
POA2080	1	1656
POA2081	0	221
POA2081	1	5147
POA2082	0	175
POA2082	1	5222
POA2083	0	83
POA2083	1	1431
POA2084	0	128
POA2084	1	3496
POA2085	0	362
POA2085	1	11260
POA2086	0	414
POA2086	1	13003
POA2087	0	418
POA2087	1	12377
POA2088	0	1397
POA2088	1	27076
POA2089	0	614
POA2089	1	11299
POA2090	0	602
POA2090	1	13126
POA2092	0	280
POA2092	1	6857
POA2093	0	882
POA2093	1	21992
POA2094	0	269
POA2094	1	5569
POA2095	0	768
POA2095	1	15101
POA2096	0	739
POA2096	1	13918
POA2097	0	617
POA2097	1	14918
POA2099	0	1425
POA2099	1	38500
POA2100	0	770
POA2100	1	20139
POA2101	0	823
POA2101	1	18567
POA2102	0	362
POA2102	1	7136
POA2103	0	469
POA2103	1	10204
POA2104	0	199
POA2104	1	3420
POA2105	0	123
POA2105	1	1723
POA2106	0	524
POA2106	1	8781
POA2107	0	813
POA2107	1	13851
POA2108	0	228
POA2108	1	1444
POA2109	0	67
POA2109	1	3018
POA2110	0	452
POA2110	1	9894
POA2111	0	501
POA2111	1	13911
POA2112	0	1008
POA2112	1	31848
POA2113	0	560
POA2113	1	17810
POA2114	0	739
POA2114	1	23319
POA2115	0	412
POA2115	1	10328
POA2116	0	191
POA2116	1	6449
POA2117	0	618
POA2117	1	20665
POA2118	0	657
POA2118	1	23686
POA2119	0	368
POA2119	1	11273
POA2120	0	721
POA2120	1	19489
POA2121	0	762
POA2121	1	27453
POA2122	0	878
POA2122	1	30290
POA2125	0	456
POA2125	1	15918
POA2126	0	432
POA2126	1	18338
POA2127	0	442
POA2127	1	14092
POA2128	0	77
POA2128	1	4086
POA2130	0	226
POA2130	1	7084
POA2131	0	738
POA2131	1	23097
POA2132	0	305
POA2132	1	10310
POA2133	0	306
POA2133	1	10708
POA2134	0	489
POA2134	1	15540
POA2135	0	707
POA2135	1	24549
POA2136	0	236
POA2136	1	7132
POA2137	0	1042
POA2137	1	25470
POA2138	0	542
POA2138	1	19481
POA2139	1	52
POA2140	0	604
POA2140	1	15564
POA2141	0	753
POA2141	1	27920
POA2142	0	681
POA2142	1	25611
POA2143	0	228
POA2143	1	8696
POA2144	0	1005
POA2144	1	36368
POA2145	0	2011
POA2145	1	77197
POA2146	0	487
POA2146	1	16980
POA2147	0	971
POA2147	1	35367
POA2148	0	1719
POA2148	1	61354
POA2150	0	779
POA2150	1	30718
POA2151	0	614
POA2151	1	20693
POA2152	0	371
POA2152	1	10849
POA2153	0	1501
POA2153	1	55055
POA2154	0	1119
POA2154	1	38472
POA2155	0	1379
POA2155	1	54070
POA2156	0	466
POA2156	1	12480
POA2157	0	146
POA2157	1	3588
POA2158	0	311
POA2158	1	8266
POA2159	0	182
POA2159	1	4798
POA2160	0	1001
POA2160	1	34975
POA2161	0	885
POA2161	1	30535
POA2162	0	504
POA2162	1	18117
POA2163	0	266
POA2163	1	9328
POA2164	0	558
POA2164	1	19068
POA2165	0	1156
POA2165	1	41286
POA2166	0	1753
POA2166	1	51010
POA2167	0	262
POA2167	1	9372
POA2168	0	1087
POA2168	1	42365
POA2170	0	2844
POA2170	1	102607
POA2171	0	813
POA2171	1	34056
POA2172	0	77
POA2172	1	2701
POA2173	0	405
POA2173	1	14024
POA2174	0	50
POA2174	1	2217
POA2175	0	48
POA2175	1	1792
POA2176	0	1164
POA2176	1	46648
POA2177	0	443
POA2177	1	15539
POA2178	0	138
POA2178	1	4095
POA2179	0	240
POA2179	1	6287
POA2190	0	644
POA2190	1	24924
POA2191	0	158
POA2191	1	6163
POA2192	0	395
POA2192	1	12317
POA2193	0	503
POA2193	1	14745
POA2194	0	612
POA2194	1	23926
POA2195	0	582
POA2195	1	26572
POA2196	0	796
POA2196	1	31021
POA2197	0	259
POA2197	1	8813
