POA_CODE_2016	PrivateDwelling	Sex	persons
POA0800	0	F	2390
POA0800	0	M	3315
POA0800	1	F	2176
POA0800	1	M	2589
POA0810	0	F	2209
POA0810	0	M	2188
POA0810	1	F	14682
POA0810	1	M	14733
POA0812	0	F	981
POA0812	0	M	1317
POA0812	1	F	8579
POA0812	1	M	8418
POA0815	0	F	115
POA0815	0	M	203
POA0820	0	F	1707
POA0820	0	M	2728
POA0820	1	F	8203
POA0820	1	M	8580
POA0822	0	F	2093
POA0822	0	M	3201
POA0822	1	F	11149
POA0822	1	M	11470
POA0828	0	F	434
POA0828	0	M	462
POA0828	1	F	363
POA0828	1	M	388
POA0829	0	F	463
POA0829	0	M	1698
POA0829	1	F	101
POA0829	1	M	96
POA0830	0	F	910
POA0830	0	M	1045
POA0830	1	F	8120
POA0830	1	M	8201
POA0832	0	F	469
POA0832	0	M	435
POA0832	1	F	7238
POA0832	1	M	7194
POA0834	0	F	187
POA0834	0	M	205
POA0834	1	F	817
POA0834	1	M	883
POA0835	0	F	437
POA0835	0	M	3504
POA0835	1	F	1375
POA0835	1	M	1536
POA0836	0	F	382
POA0836	0	M	425
POA0836	1	F	3392
POA0836	1	M	3649
POA0837	0	F	61
POA0837	0	M	85
POA0837	1	F	158
POA0837	1	M	186
POA0838	0	F	83
POA0838	0	M	94
POA0838	1	F	335
POA0838	1	M	384
POA0839	0	F	103
POA0839	0	M	101
POA0839	1	F	229
POA0839	1	M	217
POA0840	0	F	32
POA0840	0	M	48
POA0840	1	F	139
POA0840	1	M	201
POA0841	0	F	37
POA0841	0	M	54
POA0841	1	F	279
POA0841	1	M	334
POA0845	0	F	131
POA0845	0	M	134
POA0845	1	F	186
POA0845	1	M	212
POA0846	0	F	61
POA0846	0	M	67
POA0846	1	F	159
POA0846	1	M	154
POA0847	0	F	84
POA0847	0	M	107
POA0847	1	F	129
POA0847	1	M	151
POA0850	0	F	1725
POA0850	0	M	1887
POA0850	1	F	3100
POA0850	1	M	3146
POA0852	0	F	1527
POA0852	0	M	2195
POA0852	1	F	3468
POA0852	1	M	3488
POA0853	0	F	87
POA0853	0	M	319
POA0853	1	F	298
POA0853	1	M	290
POA0854	0	F	106
POA0854	0	M	118
POA0854	1	F	360
POA0854	1	M	369
POA0860	0	F	288
POA0860	0	M	374
POA0860	1	F	1216
POA0860	1	M	1280
POA0862	0	F	250
POA0862	0	M	312
POA0862	1	F	338
POA0862	1	M	303
POA0870	0	F	2362
POA0870	0	M	2143
POA0870	1	F	8440
POA0870	1	M	8009
POA0872	0	F	2343
POA0872	0	M	3275
POA0872	1	F	6498
POA0872	1	M	6081
POA0873	0	F	833
POA0873	0	M	847
POA0873	1	F	975
POA0873	1	M	947
POA0874	0	F	70
POA0874	0	M	89
POA0874	1	F	218
POA0874	1	M	225
POA0875	0	F	100
POA0875	0	M	100
POA0875	1	F	1066
POA0875	1	M	1002
POA0880	0	F	323
POA0880	0	M	404
POA0880	1	F	2368
POA0880	1	M	2347
POA0885	0	F	86
POA0885	0	M	419
POA0885	1	F	334
POA0885	1	M	355
POA0886	0	F	318
POA0886	0	M	386
POA0886	1	F	397
POA0886	1	M	445
POA2000	0	F	7160
POA2000	0	M	10100
POA2000	1	F	11299
POA2000	1	M	10983
POA2006	0	F	967
POA2006	0	M	743
POA2006	1	F	6
POA2006	1	M	7
POA2007	0	F	1065
POA2007	0	M	1057
POA2007	1	F	3522
POA2007	1	M	3212
POA2008	0	F	1441
POA2008	0	M	1319
POA2008	1	F	4767
POA2008	1	M	4478
POA2009	0	F	874
POA2009	0	M	1111
POA2009	1	F	5774
POA2009	1	M	5795
POA2010	0	F	2465
POA2010	0	M	3879
POA2010	1	F	9646
POA2010	1	M	12578
POA2011	0	F	2906
POA2011	0	M	6174
POA2011	1	F	7091
POA2011	1	M	7976
POA2015	0	F	348
POA2015	0	M	414
POA2015	1	F	4460
POA2015	1	M	4495
POA2016	0	F	698
POA2016	0	M	974
POA2016	1	F	5224
POA2016	1	M	6160
POA2017	0	F	1355
POA2017	0	M	1604
