POA_CODE_2016	persons
POA0800	6464
POA0810	33302
POA0812	18873
POA0815	292
POA0820	19447
POA0822	25560
POA0828	1201
POA0829	1839
POA0830	18207
POA0832	15570
POA0834	1836
POA0835	5132
POA0836	7756
POA0837	412
POA0838	818
POA0839	548
POA0840	363
POA0841	696
POA0845	507
POA0846	353
POA0847	328
POA0850	8138
POA0852	8299
POA0853	857
POA0854	871
POA0860	2991
POA0862	765
POA0870	19628
POA0872	15469
POA0873	2436
POA0874	553
POA0875	2371
POA0880	5214
POA0885	873
POA0886	1081
POA2000	27411
POA2006	1259
POA2007	8845
POA2008	11712
POA2009	12813
POA2010	27734
POA2011	21196
POA2015	9918
POA2016	13213
POA2017	24695
POA2018	17028
POA2019	10838
POA2020	14772
POA2021	15313
POA2022	12507
POA2023	10716
POA2024	11073
POA2025	7405
POA2026	32490
POA2027	8195
POA2028	4642
POA2029	9961
POA2030	14079
POA2031	34726
POA2032	16689
POA2033	11570
POA2034	20713
POA2035	34490
POA2036	30407
POA2037	16115
POA2038	9451
POA2039	8725
POA2040	22242
POA2041	15690
POA2042	19129
POA2043	8014
POA2044	7846
POA2045	6457
POA2046	26822
POA2047	11950
POA2048	7938
POA2049	11282
POA2050	8963
POA2052	3425
POA2060	13988
POA2061	5943
POA2062	7006
POA2063	6347
POA2064	9523
POA2065	30119
POA2066	31626
POA2067	26403
POA2068	16813
POA2069	14253
POA2070	13505
POA2071	13545
POA2072	7668
POA2073	16352
POA2074	22258
POA2075	20451
POA2076	24648
POA2077	37791
POA2079	7095
POA2080	1708
POA2081	5369
POA2082	5397
POA2083	1519
POA2084	3625
POA2085	11624
POA2086	13414
POA2087	12798
POA2088	28475
POA2089	11918
POA2090	13724
POA2092	7139
POA2093	22873
POA2094	5840
POA2095	15866
POA2096	14657
POA2097	15529
POA2099	39925
POA2100	20911
POA2101	19395
POA2102	7501
POA2103	10670
POA2104	3620
POA2105	1848
POA2106	9301
POA2107	14669
POA2108	1673
POA2109	3086
POA2110	10343
POA2111	14412
POA2112	32852
POA2113	18371
POA2114	24057
POA2115	10737
POA2116	6642
POA2117	21285
POA2118	24341
POA2119	11643
POA2120	20208
POA2121	28214
POA2122	31160
POA2125	16374
POA2126	18765
POA2127	14532
POA2128	4166
POA2130	7311
POA2131	23841
POA2132	10612
POA2133	11012
POA2134	16033
POA2135	25251
POA2136	7364
POA2137	26507
POA2138	20023
POA2139	57
POA2140	16167
POA2141	28675
POA2142	26292
POA2143	8921
POA2144	37366
POA2145	79211
POA2146	17465
POA2147	36341
POA2148	63071
POA2150	31500
POA2151	21306
POA2152	11215
POA2153	56562
POA2154	39594
POA2155	55452
POA2156	12942
POA2157	3741
POA2158	8575
POA2159	4975
POA2160	35973
POA2161	31418
POA2162	18622
POA2163	9590
POA2164	19624
POA2165	42444
POA2166	52762
POA2167	9633
POA2168	43451
POA2170	105451
POA2171	34866
POA2172	2781
POA2173	14433
POA2174	2267
POA2175	1837
POA2176	47809
POA2177	15979
POA2178	4230
POA2179	6530
POA2190	25566
POA2191	6322
POA2192	12718
