POA_CODE_2016	AgeStudent	students
POA0800	0-4	27
POA0800	5-14	206
POA0800	15-19	69
POA0800	20-24	116
POA0800	25+	421
POA0810	0-4	483
POA0810	5-14	3659
POA0810	15-19	1291
POA0810	20-24	635
POA0810	25+	2136
POA0812	0-4	255
POA0812	5-14	2387
POA0812	15-19	814
POA0812	20-24	297
POA0812	25+	810
POA0815	15-19	14
POA0815	20-24	58
POA0815	25+	94
POA0820	0-4	207
POA0820	5-14	1749
POA0820	15-19	570
POA0820	20-24	287
POA0820	25+	1032
POA0822	0-4	442
POA0822	5-14	3763
POA0822	15-19	901
POA0822	20-24	89
POA0822	25+	409
POA0828	0-4	5
POA0828	5-14	150
POA0828	15-19	107
POA0828	20-24	21
POA0828	25+	31
POA0829	0-4	7
POA0829	5-14	23
POA0829	15-19	10
POA0829	20-24	4
POA0829	25+	13
POA0830	0-4	299
POA0830	5-14	2432
POA0830	15-19	707
POA0830	20-24	196
POA0830	25+	752
POA0832	0-4	316
POA0832	5-14	2205
POA0832	15-19	552
POA0832	20-24	235
POA0832	25+	748
POA0834	0-4	30
POA0834	5-14	224
POA0834	15-19	80
POA0834	20-24	24
POA0834	25+	52
POA0835	0-4	23
POA0835	5-14	390
POA0835	15-19	138
POA0835	20-24	44
POA0835	25+	118
POA0836	0-4	99
POA0836	5-14	1011
POA0836	15-19	320
POA0836	20-24	67
POA0836	25+	246
POA0837	0-4	5
POA0837	5-14	42
POA0837	15-19	9
POA0837	25+	18
POA0838	0-4	21
POA0838	5-14	88
POA0838	15-19	26
POA0838	20-24	4
POA0838	25+	20
POA0839	0-4	4
POA0839	5-14	40
POA0839	15-19	8
POA0839	20-24	19
POA0839	25+	27
POA0840	0-4	3
POA0840	5-14	20
POA0840	15-19	4
POA0840	25+	3
POA0841	0-4	9
POA0841	5-14	99
POA0841	15-19	22
POA0841	20-24	3
POA0841	25+	23
POA0845	0-4	10
POA0845	5-14	46
POA0845	15-19	18
POA0845	20-24	8
POA0845	25+	29
POA0846	0-4	4
POA0846	5-14	44
POA0846	15-19	5
POA0846	25+	8
POA0847	5-14	32
POA0847	15-19	10
POA0847	25+	3
POA0850	0-4	114
POA0850	5-14	883
POA0850	15-19	252
POA0850	20-24	47
POA0850	25+	265
POA0852	0-4	171
POA0852	5-14	1290
POA0852	15-19	203
POA0852	20-24	28
POA0852	25+	103
POA0853	0-4	31
POA0853	5-14	112
POA0853	15-19	13
POA0853	20-24	6
POA0853	25+	33
POA0854	0-4	13
POA0854	5-14	127
POA0854	15-19	18
POA0854	20-24	3
POA0854	25+	11
POA0860	0-4	47
POA0860	5-14	338
POA0860	15-19	80
POA0860	20-24	10
POA0860	25+	101
POA0862	0-4	14
POA0862	5-14	141
POA0862	15-19	18
POA0862	20-24	8
POA0862	25+	10
POA0870	0-4	259
POA0870	5-14	2284
POA0870	15-19	704
POA0870	20-24	165
POA0870	25+	1019
POA0872	0-4	287
POA0872	5-14	2115
POA0872	15-19	306
POA0872	20-24	56
POA0872	25+	262
POA0873	0-4	24
POA0873	5-14	237
POA0873	15-19	64
POA0873	20-24	18
POA0873	25+	69
POA0874	0-4	7
POA0874	5-14	52
POA0874	15-19	18
POA0874	20-24	4
POA0874	25+	21
POA0875	0-4	38
POA0875	5-14	362
POA0875	15-19	93
POA0875	20-24	14
POA0875	25+	113
POA0880	0-4	99
POA0880	5-14	785
POA0880	15-19	173
POA0880	20-24	34
POA0880	25+	177
POA0885	0-4	21
POA0885	5-14	138
POA0885	15-19	8
POA0885	20-24	6
POA0885	25+	42
POA0886	0-4	21
POA0886	5-14	116
POA0886	15-19	12
POA0886	20-24	4
POA0886	25+	32
POA2000	0-4	99
POA2000	5-14	434
POA2000	15-19	794
POA2000	20-24	2904
POA2000	25+	4398
POA2006	5-14	15
POA2006	15-19	505
POA2006	20-24	503
POA2006	25+	36
POA2007	0-4	26
POA2007	5-14	149
POA2007	15-19	602
POA2007	20-24	2150
POA2007	25+	1328
POA2008	0-4	22
POA2008	5-14	173
POA2008	15-19	843
POA2008	20-24	2774
POA2008	25+	1624
POA2009	0-4	111
POA2009	5-14	514
POA2009	15-19	205
POA2009	20-24	520
POA2009	25+	1112
POA2010	0-4	109
POA2010	5-14	547
POA2010	15-19	296
POA2010	20-24	827
