POA_CODE_2016	Age5yr	ChildrenEverBorn	females
POA0800	15-19		13
POA0800	15-19	0	58
POA0800	20-24		79
POA0800	20-24	0	235
POA0800	20-24	1	10
POA0800	20-24	2	5
POA0800	25-29		105
POA0800	25-29	0	441
POA0800	25-29	1	38
POA0800	25-29	2	6
POA0800	25-29	3	4
POA0800	30-34		84
POA0800	30-34	0	264
POA0800	30-34	1	90
POA0800	30-34	2	27
POA0800	30-34	3	9
POA0800	35-39		40
POA0800	35-39	0	104
POA0800	35-39	1	51
POA0800	35-39	2	39
POA0800	35-39	3	7
POA0800	35-39	4	3
POA0800	40-44		25
POA0800	40-44	0	67
POA0800	40-44	1	27
POA0800	40-44	2	32
POA0800	40-44	3	8
POA0800	40-44	4	4
POA0800	40-44	5	3
POA0800	45-49		23
POA0800	45-49	0	51
POA0800	45-49	1	32
POA0800	45-49	2	45
POA0800	45-49	3	18
POA0800	45-49	4	4
POA0800	50-54		27
POA0800	50-54	0	30
POA0800	50-54	1	26
POA0800	50-54	2	35
POA0800	50-54	3	21
POA0800	50-54	4	13
POA0800	55-59		26
POA0800	55-59	0	27
POA0800	55-59	1	11
POA0800	55-59	2	39
POA0800	55-59	3	36
POA0800	60-64		13
POA0800	60-64	0	18
POA0800	60-64	1	10
POA0800	60-64	2	32
POA0800	60-64	3	11
POA0800	60-64	4	5
POA0800	60-64	5	8
POA0800	65-69		19
POA0800	65-69	0	9
POA0800	65-69	1	11
POA0800	65-69	2	25
POA0800	65-69	3	7
POA0800	65-69	4	7
POA0800	65-69	5	3
POA0800	70-74		3
POA0800	70-74	0	3
POA0800	70-74	1	3
POA0800	70-74	2	7
POA0800	70-74	3	11
POA0800	70-74	4	3
POA0800	75-79		5
POA0800	75-79	0	7
POA0800	75-79	2	4
POA0800	80-84	6	3
POA0800	85+	0	3
POA0810	15-19		143
POA0810	15-19	0	718
POA0810	15-19	1	14
POA0810	20-24		143
POA0810	20-24	0	740
POA0810	20-24	1	87
POA0810	20-24	2	31
POA0810	25-29		207
POA0810	25-29	0	994
POA0810	25-29	1	236
POA0810	25-29	2	121
POA0810	25-29	3	32
POA0810	25-29	4	9
POA0810	25-29	5	3
POA0810	30-34		189
POA0810	30-34	0	664
POA0810	30-34	1	341
POA0810	30-34	2	275
POA0810	30-34	3	93
POA0810	30-34	4	25
POA0810	30-34	5	10
POA0810	30-34	6	7
POA0810	35-39		133
POA0810	35-39	0	337
POA0810	35-39	1	277
POA0810	35-39	2	416
POA0810	35-39	3	179
POA0810	35-39	4	63
POA0810	35-39	5	11
POA0810	35-39	6	5
POA0810	40-44		113
POA0810	40-44	0	220
POA0810	40-44	1	201
POA0810	40-44	2	410
POA0810	40-44	3	207
POA0810	40-44	4	69
POA0810	40-44	5	20
POA0810	40-44	6	16
POA0810	45-49		131
POA0810	45-49	0	224
POA0810	45-49	1	173
POA0810	45-49	2	352
POA0810	45-49	3	201
POA0810	45-49	4	75
POA0810	45-49	5	27
POA0810	45-49	6	19
POA0810	50-54		102
POA0810	50-54	0	203
POA0810	50-54	1	110
POA0810	50-54	2	282
POA0810	50-54	3	187
POA0810	50-54	4	70
POA0810	50-54	5	25
POA0810	50-54	6	16
POA0810	55-59		103
POA0810	55-59	0	131
POA0810	55-59	1	118
POA0810	55-59	2	263
POA0810	55-59	3	162
POA0810	55-59	4	75
POA0810	55-59	5	25
POA0810	55-59	6	8
POA0810	60-64		104
POA0810	60-64	0	92
POA0810	60-64	1	87
POA0810	60-64	2	230
POA0810	60-64	3	152
POA0810	60-64	4	74
POA0810	60-64	5	33
POA0810	60-64	6	15
POA0810	65-69		72
POA0810	65-69	0	64
POA0810	65-69	1	68
