POA_CODE_2016	Age	Sex	persons
POA0800	0-4	F	129
POA0800	0-4	M	148
POA0800	5-14	F	125
POA0800	5-14	M	132
POA0800	15-19	F	73
POA0800	15-19	M	50
POA0800	20-24	F	332
POA0800	20-24	M	329
POA0800	25-34	F	1057
POA0800	25-34	M	1280
POA0800	35-44	F	407
POA0800	35-44	M	599
POA0800	45-54	F	327
POA0800	45-54	M	497
POA0800	55-64	F	240
POA0800	55-64	M	411
POA0800	65-74	F	108
POA0800	65-74	M	151
POA0800	75-84	F	30
POA0800	75-84	M	27
POA0800	85+	F	8
POA0800	85+	M	10
POA0810	0-4	F	1285
POA0810	0-4	M	1338
POA0810	5-14	F	2005
POA0810	5-14	M	2124
POA0810	15-19	F	877
POA0810	15-19	M	954
POA0810	20-24	F	1007
POA0810	20-24	M	1017
POA0810	25-34	F	3211
POA0810	25-34	M	3160
POA0810	35-44	F	2678
POA0810	35-44	M	2724
POA0810	45-54	F	2196
POA0810	45-54	M	2159
POA0810	55-64	F	1670
POA0810	55-64	M	1656
POA0810	65-74	F	1029
POA0810	65-74	M	1132
POA0810	75-84	F	436
POA0810	75-84	M	423
POA0810	85+	F	134
POA0810	85+	M	89
POA0812	0-4	F	674
POA0812	0-4	M	651
POA0812	5-14	F	1350
POA0812	5-14	M	1395
POA0812	15-19	F	572
POA0812	15-19	M	657
POA0812	20-24	F	524
POA0812	20-24	M	590
POA0812	25-34	F	1471
POA0812	25-34	M	1385
POA0812	35-44	F	1436
POA0812	35-44	M	1380
POA0812	45-54	F	1379
POA0812	45-54	M	1298
POA0812	55-64	F	1192
POA0812	55-64	M	1209
POA0812	65-74	F	570
POA0812	65-74	M	665
POA0812	75-84	F	207
POA0812	75-84	M	179
POA0812	85+	F	46
POA0812	85+	M	33
POA0815	5-14	F	3
POA0815	15-19	F	16
POA0815	15-19	M	7
POA0815	20-24	F	25
POA0815	20-24	M	77
POA0815	25-34	F	45
POA0815	25-34	M	84
POA0815	35-44	F	6
POA0815	35-44	M	15
POA0815	45-54	M	4
POA0815	55-64	F	3
POA0815	55-64	M	6
POA0815	65-74	F	4
POA0820	0-4	F	558
POA0820	0-4	M	548
POA0820	5-14	F	944
POA0820	5-14	M	1009
POA0820	15-19	F	392
POA0820	15-19	M	463
POA0820	20-24	F	604
POA0820	20-24	M	732
POA0820	25-34	F	2254
POA0820	25-34	M	2343
POA0820	35-44	F	1456
POA0820	35-44	M	1591
POA0820	45-54	F	1274
POA0820	45-54	M	1476
POA0820	55-64	F	988
POA0820	55-64	M	1095
POA0820	65-74	F	510
POA0820	65-74	M	657
POA0820	75-84	F	195
POA0820	75-84	M	231
POA0820	85+	F	84
POA0820	85+	M	64
POA0822	0-4	F	1034
POA0822	0-4	M	1090
POA0822	5-14	F	2139
POA0822	5-14	M	2396
POA0822	15-19	F	1037
POA0822	15-19	M	1129
POA0822	20-24	F	986
POA0822	20-24	M	1020
POA0822	25-34	F	2141
POA0822	25-34	M	2132
POA0822	35-44	F	1783
POA0822	35-44	M	1886
POA0822	45-54	F	1588
POA0822	45-54	M	1645
POA0822	55-64	F	1096
POA0822	55-64	M	1168
POA0822	65-74	F	451
POA0822	65-74	M	534
