POA_CODE_2016	medianRent
POA0800	26000
POA0810	19760
POA0812	21320
POA0815	
POA0820	23400
POA0822	3120
POA0828	13780
POA0829	18200
POA0830	20800
POA0832	23400
POA0834	23400
POA0835	20800
POA0836	23400
POA0837	9880
POA0838	20800
POA0839	18720
POA0840	7800
POA0841	15600
POA0845	7696
POA0846	10400
POA0847	4264
POA0850	13000
POA0852	3120
POA0853	13000
POA0854	1716
POA0860	9100
POA0862	2600
POA0870	18720
POA0872	3120
POA0873	8996
POA0874	11700
POA0875	17160
POA0880	624
POA0885	4160
POA0886	1924
POA2000	37700
POA2006	
POA2007	28808
POA2008	29120
POA2009	33904
POA2010	28704
POA2011	24960
POA2015	30160
POA2016	26000
POA2017	30160
POA2018	24180
POA2019	27040
POA2020	31720
POA2021	29952
POA2022	33280
POA2023	32500
POA2024	31200
POA2025	34060
POA2026	33280
POA2027	36400
POA2028	35360
POA2029	31200
POA2030	33800
POA2031	29640
POA2032	26000
POA2033	28080
POA2034	30004
POA2035	27560
POA2036	21840
POA2037	25480
POA2038	28080
POA2039	34060
POA2040	28600
POA2041	31200
POA2042	27040
POA2043	31304
POA2044	30160
POA2045	26000
POA2046	28600
POA2047	29692
POA2048	26000
POA2049	23400
POA2050	26000
POA2052	21164
POA2060	29640
POA2061	31460
POA2062	30160
POA2063	35360
POA2064	28132
POA2065	29900
POA2066	26260
POA2067	31200
POA2068	31200
POA2069	33800
POA2070	31512
POA2071	34060
POA2072	33800
POA2073	34892
POA2074	31200
POA2075	36400
POA2076	29224
POA2077	24440
POA2079	28340
POA2080	24960
POA2081	28600
POA2082	28600
POA2083	18200
POA2084	33800
POA2085	43160
POA2086	39520
POA2087	34320
POA2088	29120
POA2089	28600
POA2090	30680
POA2092	40560
POA2093	28600
POA2094	33696
POA2095	33800
POA2096	29120
POA2097	29120
POA2099	26000
POA2100	29120
POA2101	27716
POA2102	35360
POA2103	29900
POA2104	26000
POA2105	26520
POA2106	27560
POA2107	33800
POA2108	36140
POA2109	27040
POA2110	26000
POA2111	22360
POA2112	24960
POA2113	23920
POA2114	21892
POA2115	14404
POA2116	20800
POA2117	20280
POA2118	26520
POA2119	31200
POA2120	27040
POA2121	27560
POA2122	24180
POA2123	
POA2125	30680
POA2126	33800
POA2127	27300
POA2128	23400
POA2129	
POA2130	23140
POA2131	22880
POA2132	23400
POA2133	20800
POA2134	27040
POA2135	26000
POA2136	24960
POA2137	28080
POA2138	31720
POA2139	
POA2140	23920
POA2141	22360
POA2142	20280
POA2143	20280
POA2144	20800
POA2145	21840
POA2146	20800
POA2147	19240
POA2148	20020
POA2150	21840
POA2151	21320
POA2152	22880
POA2153	27040
POA2154	28860
POA2155	32240
POA2156	29120
POA2157	21736
POA2158	28080
POA2159	23400
POA2160	20020
POA2161	19240
POA2162	18200
POA2163	12012
POA2164	20280
POA2165	18720
POA2166	16640
POA2167	20280
POA2168	15600
POA2170	18720
POA2171	26000
POA2172	15860
POA2173	24440
POA2174	29120
POA2175	18200
POA2176	22360
POA2177	17160
POA2178	20800
POA2179	21840
POA2190	19188
POA2191	22360
POA2192	18720
POA2193	22880
POA2194	20540
POA2195	18200
POA2196	19240
POA2197	19760
POA2198	24440
POA2199	19760
POA2200	20800
POA2203	23400
POA2204	23400
POA2205	28600
POA2206	26000
POA2207	23400
POA2208	24960
POA2209	20800
POA2210	15600
POA2211	21840
POA2212	21372
POA2213	21840
POA2214	26000
POA2216	23660
POA2217	23400
POA2218	22880
POA2219	23400
POA2220	24960
POA2221	25480
POA2222	20800
POA2223	21840
POA2224	23400
POA2225	30680
POA2226	21320
POA2227	24960
POA2228	22880
POA2229	23400
POA2230	23400
POA2231	26208
POA2232	22360
POA2233	22880
POA2234	28600
POA2250	18200
POA2251	19760
POA2256	17940
POA2257	18200
POA2258	17680
POA2259	18200
POA2260	23400
POA2261	17680
POA2262	17680
POA2263	16120
POA2264	18200
POA2265	16120
POA2267	15600
POA2278	17680
POA2280	16640
POA2281	16120
POA2282	18720
POA2283	15600
POA2284	16120
POA2285	18200
POA2286	17420
POA2287	18200
POA2289	18200
POA2290	17680
POA2291	18720
POA2292	18200
POA2293	20540
POA2294	18720
POA2295	17160
POA2296	18200
POA2297	17160
POA2298	16640
POA2299	16640
POA2300	19500
POA2302	21060
POA2303	14820
POA2304	16640
POA2305	17940
POA2306	8632
POA2307	17160
POA2308	
POA2311	9100
POA2312	14560
POA2314	
POA2315	17160
POA2316	18200
POA2317	17680
POA2318	18200
POA2319	16640
POA2320	16640
POA2321	19760
POA2322	15600
POA2323	15600
POA2324	14040
POA2325	14560
POA2326	13000
POA2327	14300
POA2328	13000
POA2329	8320
POA2330	14560
POA2331	
POA2333	13000
POA2334	16640
POA2335	16640
POA2336	11440
POA2337	13000
POA2338	8840
POA2339	7176
POA2340	14040
POA2341	9880
POA2342	5720
POA2343	9360
POA2344	10660
POA2345	13000
POA2346	10920
POA2347	7540
POA2350	13260
POA2351	
POA2352	14820
POA2353	10400
POA2354	7280
POA2355	6396
POA2356	2600
POA2357	9100
POA2358	10400
POA2359	7800
POA2360	11440
POA2361	7280
POA2365	10400
POA2369	8060
POA2370	10400
POA2371	7540
POA2372	9880
POA2379	1300
POA2380	13000
POA2381	8840
POA2382	11440
POA2386	1040
POA2387	1820
POA2388	7800
POA2390	11180
POA2395	6760
POA2396	7280
POA2397	2600
POA2398	5200
POA2399	6240
POA2400	9620
POA2401	
POA2402	7800
POA2403	8736
POA2404	7800
POA2405	
POA2406	5200
POA2408	
POA2409	5980
POA2410	2600
POA2411	
POA2415	10400
POA2420	12480
POA2421	13676
POA2422	11440
POA2423	11440
POA2424	10400
POA2425	13000
POA2426	10920
POA2427	14560
POA2428	14040
POA2429	11960
POA2430	13000
POA2431	14300
POA2439	15600
POA2440	11960
POA2441	12480
POA2443	14040
POA2444	16900
POA2445	18200
POA2446	15080
POA2447	13000
POA2448	13000
POA2449	10400
POA2450	15600
POA2452	16120
POA2453	10348
POA2454	15600
POA2455	14196
POA2456	16640
POA2460	13000
POA2462	11440
POA2463	14040
POA2464	15860
POA2465	14560
POA2466	12480
POA2469	7800
POA2470	12480
POA2471	13000
POA2472	13260
POA2473	13520
POA2474	11440
POA2475	9620
POA2476	7280
POA2477	16120
POA2478	18200
POA2479	21840
POA2480	13780
POA2481	24440
POA2482	18200
POA2483	18876
POA2484	14820
POA2485	16380
POA2486	18200
POA2487	18720
POA2488	18720
POA2489	20280
POA2490	15600
POA2500	17680
POA2502	13000
POA2505	14040
POA2506	11960
POA2508	24440
POA2515	23504
POA2516	16536
POA2517	16640
POA2518	14560
POA2519	17680
POA2522	
POA2525	18200
POA2526	15600
POA2527	18720
POA2528	15392
POA2529	20280
POA2530	17680
POA2533	20280
POA2534	20800
POA2535	15860
POA2536	14040
POA2537	13000
POA2538	13780
POA2539	15080
POA2540	15080
POA2541	13208
POA2545	8996
POA2546	11856
POA2548	14040
POA2549	14040
