POA_CODE_2016	MaxSchoolingCompleted	Sex	persons
POA0841	Year 11	M	38
POA0841	Year 12	F	95
POA0841	Year 12	M	72
POA0845	Year 8	F	12
POA0845	Year 8	M	14
POA0845	Year 9	F	14
POA0845	Year 9	M	21
POA0845	Year 10	F	48
POA0845	Year 10	M	43
POA0845	Year 11	F	22
POA0845	Year 11	M	22
POA0845	Year 12	F	49
POA0845	Year 12	M	58
POA0846	Year 8	F	3
POA0846	Year 8	M	16
POA0846	Year 9	F	16
POA0846	Year 9	M	13
POA0846	Year 10	F	36
POA0846	Year 10	M	30
POA0846	Year 11	F	18
POA0846	Year 11	M	11
POA0846	Year 12	F	35
POA0846	Year 12	M	41
POA0847	Did not go to school	F	5
POA0847	Did not go to school	M	4
POA0847	Year 8	F	10
POA0847	Year 8	M	15
POA0847	Year 9	F	8
POA0847	Year 9	M	24
POA0847	Year 10	F	27
POA0847	Year 10	M	39
POA0847	Year 11	F	20
POA0847	Year 11	M	21
POA0847	Year 12	F	25
POA0847	Year 12	M	26
POA0850	Did not go to school	F	20
POA0850	Did not go to school	M	30
POA0850	Year 8	F	124
POA0850	Year 8	M	175
POA0850	Year 9	F	174
POA0850	Year 9	M	188
POA0850	Year 10	F	560
POA0850	Year 10	M	660
POA0850	Year 11	F	342
POA0850	Year 11	M	358
POA0850	Year 12	F	1158
POA0850	Year 12	M	1001
POA0852	Did not go to school	F	133
POA0852	Did not go to school	M	153
POA0852	Year 8	F	377
POA0852	Year 8	M	435
POA0852	Year 9	F	285
POA0852	Year 9	M	358
POA0852	Year 10	F	589
POA0852	Year 10	M	659
POA0852	Year 11	F	398
POA0852	Year 11	M	307
POA0852	Year 12	F	538
POA0852	Year 12	M	538
POA0853	Year 8	M	3
POA0853	Year 9	F	8
POA0853	Year 9	M	4
POA0853	Year 10	F	36
POA0853	Year 10	M	36
POA0853	Year 11	F	18
POA0853	Year 11	M	44
POA0853	Year 12	F	170
POA0853	Year 12	M	229
POA0854	Did not go to school	F	4
POA0854	Did not go to school	M	14
POA0854	Year 8	F	33
POA0854	Year 8	M	50
POA0854	Year 9	F	37
POA0854	Year 9	M	47
POA0854	Year 10	F	83
POA0854	Year 10	M	79
POA0854	Year 11	F	49
POA0854	Year 11	M	39
