POA_CODE_2016	medianTotalHouseholdIncome
POA0800	117728
POA0810	109564
POA0812	105456
POA0815	
POA0820	121732
POA0822	67288
POA0828	89336
POA0829	101816
POA0830	105820
POA0832	122512
POA0834	122772
POA0835	117156
POA0836	125944
POA0837	79248
POA0838	112788
POA0839	83772
POA0840	32240
POA0841	93028
POA0845	58500
POA0846	52884
POA0847	49140
POA0850	91052
POA0852	57980
POA0853	116272
POA0854	67028
POA0860	81640
POA0862	69316
POA0870	102076
POA0872	59176
POA0873	76024
POA0874	115388
POA0875	93964
POA0880	115960
POA0885	166764
POA0886	110604
POA2000	101036
POA2006	
POA2007	63960
POA2008	63596
POA2009	118560
POA2010	111800
POA2011	96772
POA2015	123500
POA2016	94692
POA2017	84396
POA2018	78000
POA2019	105456
POA2020	101660
POA2021	124748
POA2022	112164
POA2023	150384
POA2024	127400
POA2025	131508
POA2026	120900
POA2027	136656
POA2028	128856
POA2029	118040
POA2030	146380
POA2031	115752
POA2032	66196
POA2033	94328
POA2034	118404
POA2035	90272
POA2036	85228
POA2037	91104
POA2038	121524
POA2039	149396
POA2040	118196
POA2041	138944
POA2042	107640
POA2043	129064
POA2044	108784
POA2045	112528
POA2046	109096
POA2047	122356
POA2048	113308
POA2049	102336
POA2050	92664
POA2052	3744
POA2060	120432
POA2061	125580
POA2062	122772
POA2063	173888
POA2064	113516
POA2065	125632
POA2066	121888
POA2067	99268
POA2068	142220
POA2069	147992
POA2070	136656
POA2071	131664
POA2072	120276
POA2073	156520
POA2074	131612
POA2075	132184
POA2076	128388
POA2077	93964
POA2079	117936
POA2080	105144
POA2081	119808
POA2082	110240
POA2083	81848
POA2084	128284
POA2085	115856
POA2086	130572
POA2087	118924
POA2088	131144
POA2089	122148
POA2090	123084
POA2092	175968
POA2093	123864
POA2094	136240
POA2095	127348
POA2096	121056
POA2097	118248
POA2099	93860
POA2100	115128
POA2101	100152
POA2102	112320
POA2103	104052
POA2104	76752
POA2105	114504
POA2106	107432
POA2107	117000
POA2108	107016
POA2109	75556
POA2110	142428
POA2111	103948
POA2112	94068
POA2113	99684
POA2114	92716
POA2115	84240
POA2116	80756
POA2117	81848
POA2118	95368
POA2119	140036
POA2120	119132
POA2121	106496
POA2122	85540
POA2123	
POA2125	139100
POA2126	127036
POA2127	104260
POA2128	79872
POA2129	
POA2130	100880
POA2131	84864
POA2132	95992
POA2133	83044
POA2134	72696
POA2135	97916
POA2136	89648
POA2137	109720
POA2138	95420
POA2139	
POA2140	89596
POA2141	76960
POA2142	68952
POA2143	68796
POA2144	64480
POA2145	89024
POA2146	89648
POA2147	84084
POA2148	77896
POA2150	88192
POA2151	88868
POA2152	85228
POA2153	112216
POA2154	115388
POA2155	133588
POA2156	125216
POA2157	103220
