POA_CODE_2016	AustCitizen	persons
POA0800	0	3094
POA0800	1	3370
POA0810	0	8636
POA0810	1	24666
POA0812	0	3829
POA0812	1	15044
POA0815	0	246
POA0815	1	46
POA0820	0	5303
POA0820	1	14144
POA0822	0	2364
POA0822	1	23196
POA0828	0	251
POA0828	1	950
POA0829	0	1075
POA0829	1	764
POA0830	0	3383
POA0830	1	14824
POA0832	0	2752
POA0832	1	12818
POA0834	0	245
POA0834	1	1591
POA0835	0	1694
POA0835	1	3438
POA0836	0	1136
POA0836	1	6620
POA0837	0	83
POA0837	1	329
POA0838	0	136
POA0838	1	682
POA0839	0	145
POA0839	1	403
POA0840	0	38
POA0840	1	325
POA0841	0	126
POA0841	1	570
POA0845	0	100
POA0845	1	407
POA0846	0	61
POA0846	1	292
POA0847	0	58
POA0847	1	270
POA0850	0	2043
POA0850	1	6095
POA0852	0	1056
POA0852	1	7243
POA0853	0	109
POA0853	1	748
POA0854	0	83
POA0854	1	788
POA0860	0	584
POA0860	1	2407
POA0862	0	51
POA0862	1	714
POA0870	0	5055
POA0870	1	14573
POA0872	0	2111
POA0872	1	13358
POA0873	0	431
POA0873	1	2005
POA0874	0	306
POA0874	1	247
POA0875	0	463
POA0875	1	1908
POA0880	0	839
POA0880	1	4375
POA0885	0	163
POA0885	1	710
POA0886	0	276
POA0886	1	805
POA2000	0	18724
POA2000	1	8687
POA2006	0	271
POA2006	1	988
POA2007	0	6120
POA2007	1	2725
POA2008	0	7358
POA2008	1	4354
POA2009	0	5406
POA2009	1	7407
POA2010	0	10987
POA2010	1	16747
POA2011	0	8720
POA2011	1	12476
POA2015	0	2516
POA2015	1	7402
POA2016	0	4166
POA2016	1	9047
POA2017	0	12335
POA2017	1	12360
POA2018	0	4875
POA2018	1	12153
POA2019	0	1891
POA2019	1	8947
POA2020	0	5231
POA2020	1	9541
POA2021	0	3677
POA2021	1	11636
POA2022	0	4128
POA2022	1	8379
POA2023	0	2158
POA2023	1	8558
POA2024	0	2462
POA2024	1	8611
POA2025	0	1649
POA2025	1	5756
POA2026	0	10584
POA2026	1	21906
POA2027	0	2035
POA2027	1	6160
POA2028	0	1139
POA2028	1	3503
POA2029	0	1990
POA2029	1	7971
POA2030	0	2174
POA2030	1	11905
POA2031	0	9231
POA2031	1	25495
POA2032	0	7187
POA2032	1	9502
POA2033	0	4100
POA2033	1	7470
POA2034	0	5340
POA2034	1	15373
POA2035	0	8392
POA2035	1	26098
POA2036	0	7365
POA2036	1	23042
POA2037	0	4821
POA2037	1	11294
POA2038	0	1708
POA2038	1	7743
POA2039	0	1860
POA2039	1	6865
POA2040	0	3834
POA2040	1	18408
POA2041	0	3178
POA2041	1	12512
POA2042	0	4890
POA2042	1	14239
POA2043	0	2041
POA2043	1	5973
POA2044	0	1533
POA2044	1	6313
POA2045	0	781
POA2045	1	5676
POA2046	0	3966
POA2046	1	22856
POA2047	0	2171
POA2047	1	9779
POA2048	0	1507
POA2048	1	6431
POA2049	0	2243
POA2049	1	9039
POA2050	0	3114
POA2050	1	5849
POA2052	0	2110
POA2052	1	1315
POA2060	0	4043
POA2060	1	9945
POA2061	0	1845
POA2061	1	4098
POA2062	0	1225
POA2062	1	5781
POA2063	0	799
POA2063	1	5548
POA2064	0	2736
POA2064	1	6787
POA2065	0	7553
POA2065	1	22566
POA2066	0	6001
POA2066	1	25625
POA2067	0	10221
POA2067	1	16182
POA2068	0	2514
POA2068	1	14299
POA2069	0	2255
POA2069	1	11998
POA2070	0	2164
POA2070	1	11341
POA2071	0	2659
POA2071	1	10886
POA2072	0	1782
POA2072	1	5886
POA2073	0	2501
POA2073	1	13851
POA2074	0	3273
POA2074	1	18985
POA2075	0	3491
POA2075	1	16960
POA2076	0	3594
POA2076	1	21054
POA2077	0	9840
POA2077	1	27951
POA2079	0	697
POA2079	1	6398
POA2080	0	179
POA2080	1	1529
POA2081	0	493
POA2081	1	4876
POA2082	0	519
POA2082	1	4878
POA2083	0	205
POA2083	1	1314
POA2084	0	419
POA2084	1	3206
POA2085	0	1386
POA2085	1	10238
POA2086	0	1503
POA2086	1	11911
POA2087	0	1549
POA2087	1	11249
POA2088	0	5815
POA2088	1	22660
POA2089	0	3026
POA2089	1	8892
POA2090	0	3187
POA2090	1	10537
POA2092	0	999
POA2092	1	6140
POA2093	0	3871
POA2093	1	19002
POA2094	0	1103
POA2094	1	4737
POA2095	0	5074
POA2095	1	10792
POA2096	0	3027
POA2096	1	11630
POA2097	0	2216
POA2097	1	13313
POA2099	0	8382
POA2099	1	31543
POA2100	0	3079
POA2100	1	17832
POA2101	0	2653
POA2101	1	16742
POA2102	0	975
POA2102	1	6526
POA2103	0	1307
POA2103	1	9363
POA2104	0	510
POA2104	1	3110
POA2105	0	338
POA2105	1	1510
POA2106	0	1014
POA2106	1	8287
POA2107	0	1678
POA2107	1	12991
POA2108	0	264
POA2108	1	1409
POA2109	0	1719
POA2109	1	1367
POA2110	0	1186
POA2110	1	9157
POA2111	0	2064
POA2111	1	12348
POA2112	0	7725
POA2112	1	25127
POA2113	0	4146
POA2113	1	14225
POA2114	0	6598
POA2114	1	17459
POA2115	0	1815
POA2115	1	8922
POA2116	0	1279
POA2116	1	5363
POA2117	0	4649
POA2117	1	16636
POA2118	0	5589
POA2118	1	18752
POA2119	0	1460
POA2119	1	10183
POA2120	0	2749
POA2120	1	17459
POA2121	0	7385
POA2121	1	20829
POA2122	0	9900
POA2122	1	21260
POA2123	0	0
POA2123	1	0
POA2125	0	1855
POA2125	1	14519
POA2126	0	2792
POA2126	1	15973
POA2127	0	5137
POA2127	1	9395
POA2128	0	2589
POA2128	1	1577
POA2129	0	0
POA2129	1	0
POA2130	0	1531
POA2130	1	5780
POA2131	0	8528
POA2131	1	15313
POA2132	0	1954
POA2132	1	8658
POA2133	0	1822
POA2133	1	9190
POA2134	0	7817
POA2134	1	8216
POA2135	0	9232
POA2135	1	16019
POA2136	0	1362
POA2136	1	6002
POA2137	0	4946
POA2137	1	21561
POA2138	0	8825
POA2138	1	11198
POA2139	0	17
POA2139	1	40
POA2140	0	7806
POA2140	1	8361
POA2141	0	9655
POA2141	1	19020
POA2142	0	9119
POA2142	1	17173
POA2143	0	1981
POA2143	1	6940
POA2144	0	14898
POA2144	1	22468
POA2145	0	19926
POA2145	1	59285
POA2146	0	3750
POA2146	1	13715
POA2147	0	6094
POA2147	1	30247
POA2148	0	14786
POA2148	1	48285
POA2150	0	16956
POA2150	1	14544
POA2151	0	4781
POA2151	1	16525
POA2152	0	1930
POA2152	1	9285
POA2153	0	8264
POA2153	1	48298
POA2154	0	6192
POA2154	1	33402
POA2155	0	7880
POA2155	1	47572
POA2156	0	1027
POA2156	1	11915
POA2157	0	429
POA2157	1	3312
POA2158	0	1003
POA2158	1	7572
POA2159	0	428
POA2159	1	4547
POA2160	0	8844
POA2160	1	27129
POA2161	0	6749
POA2161	1	24669
POA2162	0	3115
POA2162	1	15507
POA2163	0	2439
POA2163	1	7151
POA2164	0	3427
POA2164	1	16197
POA2165	0	10849
POA2165	1	31595
POA2166	0	10874
POA2166	1	41888
POA2167	0	2243
POA2167	1	7390
POA2168	0	7186
POA2168	1	36265
POA2170	0	22025
POA2170	1	83426
POA2171	0	4159
POA2171	1	30707
POA2172	0	216
POA2172	1	2565
POA2173	0	1896
POA2173	1	12537
POA2174	0	450
POA2174	1	1817
POA2175	0	244
POA2175	1	1593
POA2176	0	6659
POA2176	1	41150
POA2177	0	1975
POA2177	1	14004
POA2178	0	632
POA2178	1	3598
POA2179	0	1084
POA2179	1	5446
POA2190	0	3541
POA2190	1	22025
POA2191	0	866
POA2191	1	5456
POA2192	0	2897
POA2192	1	9821
POA2193	0	3147
POA2193	1	12109
POA2194	0	9831
POA2194	1	14710
POA2195	0	9783
POA2195	1	17371
POA2196	0	6102
POA2196	1	25713
POA2197	0	1136
POA2197	1	7933
POA2198	0	990
POA2198	1	8048
POA2199	0	2943
POA2199	1	15070
POA2200	0	10257
POA2200	1	33430
POA2203	0	2607
POA2203	1	11100
POA2204	0	5376
POA2204	1	21126
POA2205	0	7549
POA2205	1	11898
POA2206	0	2511
POA2206	1	16893
POA2207	0	5371
POA2207	1	23163
POA2208	0	1858
POA2208	1	10588
POA2209	0	3430
POA2209	1	12339
POA2210	0	5376
POA2210	1	25210
POA2211	0	2426
POA2211	1	14420
POA2212	0	2480
POA2212	1	13367
POA2213	0	2445
POA2213	1	19339
POA2214	0	297
POA2214	1	3655
POA2216	0	8905
POA2216	1	19162
POA2217	0	7484
POA2217	1	19359
POA2218	0	4584
POA2218	1	11847
POA2219	0	1642
POA2219	1	11558
POA2220	0	13182
POA2220	1	19305
POA2221	0	2406
POA2221	1	14075
POA2222	0	3313
POA2222	1	9473
POA2223	0	3239
POA2223	1	17671
POA2224	0	1509
POA2224	1	12704
POA2225	0	406
POA2225	1	5001
POA2226	0	1208
POA2226	1	11296
POA2227	0	1337
POA2227	1	13289
POA2228	0	2511
POA2228	1	15850
POA2229	0	2874
POA2229	1	25844
POA2230	0	3795
POA2230	1	25048
POA2231	0	183
POA2231	1	2084
POA2232	0	3709
POA2232	1	29161
POA2233	0	1882
POA2233	1	27616
POA2234	0	2083
POA2234	1	28497
POA2250	0	8289
POA2250	1	58905
POA2251	0	3187
POA2251	1	29515
POA2256	0	1937
POA2256	1	13661
POA2257	0	3310
POA2257	1	25700
POA2258	0	499
POA2258	1	4665
POA2259	0	6171
POA2259	1	53342
POA2260	0	2394
POA2260	1	21023
POA2261	0	5200
POA2261	1	47554
POA2262	0	1928
POA2262	1	18902
POA2263	0	2918
POA2263	1	21349
POA2264	0	1312
POA2264	1	12921
POA2265	0	645
POA2265	1	5160
POA2267	0	219
POA2267	1	2540
POA2278	0	124
POA2278	1	2446
POA2280	0	1802
POA2280	1	24876
POA2281	0	1068
POA2281	1	13206
POA2282	0	1104
POA2282	1	13673
POA2283	0	1944
POA2283	1	21356
POA2284	0	791
POA2284	1	9709
POA2285	0	2171
POA2285	1	28543
POA2286	0	242
POA2286	1	3667
POA2287	0	3858
POA2287	1	32542
POA2289	0	1258
POA2289	1	17859
POA2290	0	2775
POA2290	1	30651
POA2291	0	1089
POA2291	1	12328
POA2292	0	224
POA2292	1	2241
POA2293	0	252
POA2293	1	2269
POA2294	0	195
POA2294	1	1734
POA2295	0	632
POA2295	1	6293
POA2296	0	233
POA2296	1	1650
POA2297	0	220
POA2297	1	1460
POA2298	0	1105
POA2298	1	8393
POA2299	0	2075
POA2299	1	9132
POA2300	0	1689
POA2300	1	8889
POA2302	0	124
POA2302	1	440
POA2303	0	947
