POA_CODE_2016	Age	persons
POA0800	0-4	278
POA0800	5-14	261
POA0800	15-19	121
POA0800	20-24	656
POA0800	25-34	2334
POA0800	35-44	1007
POA0800	45-54	827
POA0800	55-64	647
POA0800	65-74	263
POA0800	75-84	57
POA0800	85+	19
POA0810	0-4	2626
POA0810	5-14	4125
POA0810	15-19	1834
POA0810	20-24	2024
POA0810	25-34	6375
POA0810	35-44	5401
POA0810	45-54	4350
POA0810	55-64	3324
POA0810	65-74	2163
POA0810	75-84	861
POA0810	85+	223
POA0812	0-4	1324
POA0812	5-14	2747
POA0812	15-19	1230
POA0812	20-24	1119
POA0812	25-34	2859
POA0812	35-44	2816
POA0812	45-54	2680
POA0812	55-64	2403
POA0812	65-74	1230
POA0812	75-84	387
POA0812	85+	80
POA0815	5-14	3
POA0815	15-19	24
POA0815	20-24	101
POA0815	25-34	128
POA0815	35-44	18
POA0815	45-54	4
POA0815	55-64	9
POA0815	65-74	4
POA0820	0-4	1108
POA0820	5-14	1951
POA0820	15-19	857
POA0820	20-24	1330
POA0820	25-34	4591
POA0820	35-44	3046
POA0820	45-54	2751
POA0820	55-64	2076
POA0820	65-74	1163
POA0820	75-84	428
POA0820	85+	151
POA0822	0-4	2123
POA0822	5-14	4542
POA0822	15-19	2164
POA0822	20-24	2001
POA0822	25-34	4275
POA0822	35-44	3662
POA0822	45-54	3237
POA0822	55-64	2261
POA0822	65-74	985
POA0822	75-84	264
POA0822	85+	37
POA0828	0-4	56
POA0828	5-14	191
POA0828	15-19	149
POA0828	20-24	92
POA0828	25-34	145
POA0828	35-44	128
POA0828	45-54	159
POA0828	55-64	153
POA0828	65-74	94
POA0828	75-84	14
POA0828	85+	10
POA0829	0-4	21
POA0829	5-14	29
POA0829	15-19	94
POA0829	20-24	477
POA0829	25-34	559
POA0829	35-44	309
POA0829	45-54	219
POA0829	55-64	100
POA0829	65-74	26
POA0829	75-84	3
POA0829	85+	3
POA0830	0-4	1700
POA0830	5-14	2813
POA0830	15-19	1196
POA0830	20-24	1269
POA0830	25-34	3252
POA0830	35-44	2833
POA0830	45-54	2444
POA0830	55-64	1620
POA0830	65-74	753
POA0830	75-84	260
