POA_CODE_2016	FamilyHousehold	IncomeHousehold.max	households
POA0800	0		73
POA0800	0	0	13
POA0800	0	7875	7
POA0800	0	15750	9
POA0800	0	21000	30
POA0800	0	26250	28
POA0800	0	34125	22
POA0800	0	42000	36
POA0800	0	52500	71
POA0800	0	65625	96
POA0800	0	78750	86
POA0800	0	91875	97
POA0800	0	105000	88
POA0800	0	131250	205
POA0800	0	157500	34
POA0800	0	183750	21
POA0800	0	210000	156
POA0800	0	Inf	42
POA0800	1		118
POA0800	1	0	8
POA0800	1	15750	3
POA0800	1	21000	4
POA0800	1	26250	8
POA0800	1	34125	9
POA0800	1	42000	24
POA0800	1	52500	13
POA0800	1	65625	35
POA0800	1	78750	65
POA0800	1	91875	58
POA0800	1	105000	65
POA0800	1	131250	175
POA0800	1	157500	146
POA0800	1	183750	101
POA0800	1	210000	158
POA0800	1	Inf	240
POA0810	0		284
POA0810	0	0	56
POA0810	0	7875	30
POA0810	0	15750	79
POA0810	0	21000	196
POA0810	0	26250	234
POA0810	0	34125	150
POA0810	0	42000	146
POA0810	0	52500	204
POA0810	0	65625	241
POA0810	0	78750	232
POA0810	0	91875	196
POA0810	0	105000	194
POA0810	0	131250	332
POA0810	0	157500	67
POA0810	0	183750	65
POA0810	0	210000	110
POA0810	0	Inf	84
POA0810	1		1042
POA0810	1	0	47
POA0810	1	7875	18
POA0810	1	15750	26
POA0810	1	21000	31
POA0810	1	26250	96
POA0810	1	34125	106
POA0810	1	42000	207
POA0810	1	52500	225
POA0810	1	65625	383
POA0810	1	78750	442
POA0810	1	91875	395
POA0810	1	105000	438
POA0810	1	131250	1073
POA0810	1	157500	871
POA0810	1	183750	654
POA0810	1	210000	470
POA0810	1	Inf	1244
POA0812	0		112
POA0812	0	0	37
POA0812	0	7875	8
POA0812	0	15750	41
POA0812	0	21000	91
POA0812	0	26250	108
POA0812	0	34125	81
POA0812	0	42000	93
POA0812	0	52500	95
POA0812	0	65625	154
POA0812	0	78750	139
POA0812	0	91875	111
POA0812	0	105000	95
POA0812	0	131250	119
POA0812	0	157500	21
POA0812	0	183750	17
POA0812	0	210000	50
POA0812	0	Inf	19
POA0812	1		602
POA0812	1	0	25
POA0812	1	7875	15
POA0812	1	15750	30
POA0812	1	21000	27
POA0812	1	26250	79
POA0812	1	34125	80
POA0812	1	42000	127
POA0812	1	52500	166
POA0812	1	65625	212
POA0812	1	78750	236
POA0812	1	91875	257
POA0812	1	105000	279
POA0812	1	131250	611
POA0812	1	157500	509
POA0812	1	183750	401
POA0812	1	210000	315
POA0812	1	Inf	614
POA0820	0		241
POA0820	0	0	42
POA0820	0	7875	11
POA0820	0	15750	54
POA0820	0	21000	100
POA0820	0	26250	121
POA0820	0	34125	76
POA0820	0	42000	70
POA0820	0	52500	127
POA0820	0	65625	196
POA0820	0	78750	209
POA0820	0	91875	193
POA0820	0	105000	184
POA0820	0	131250	318
POA0820	0	157500	80
POA0820	0	183750	51
POA0820	0	210000	201
POA0820	0	Inf	130
POA0820	1		569
POA0820	1	0	14
POA0820	1	7875	6
POA0820	1	15750	17
POA0820	1	21000	15
POA0820	1	26250	44
POA0820	1	34125	39
POA0820	1	42000	93
POA0820	1	52500	69
POA0820	1	65625	153
