POA_CODE_2016	MotorVehicles.min	occupied_private_dwellings
POA0800		103
POA0800	0	333
POA0800	1	1138
POA0800	2	635
POA0800	3	94
POA0800	4	30
POA0810		498
POA0810	0	654
POA0810	1	3387
POA0810	2	4116
POA0810	3	1352
POA0810	4	672
POA0812		287
POA0812	0	297
POA0812	1	1772
POA0812	2	2329
POA0812	3	847
POA0812	4	459
POA0820		269
POA0820	0	401
POA0820	1	2524
POA0820	2	2599
POA0820	3	764
POA0820	4	334
POA0822		294
POA0822	0	1803
POA0822	1	1343
POA0822	2	937
POA0822	3	441
POA0822	4	256
POA0828		10
POA0828	0	33
POA0828	1	85
POA0828	2	78
POA0828	3	36
POA0828	4	36
POA0829		9
POA0829	0	3
POA0829	1	22
POA0829	2	31
POA0829	3	12
POA0829	4	3
POA0830		263
POA0830	0	357
POA0830	1	1708
POA0830	2	2357
POA0830	3	782
POA0830	4	364
POA0832		181
POA0832	0	101
POA0832	1	1340
POA0832	2	2394
POA0832	3	660
POA0832	4	262
POA0834		31
POA0834	0	10
POA0834	1	101
POA0834	2	204
POA0834	3	121
POA0834	4	119
POA0835		50
POA0835	0	9
POA0835	1	157
POA0835	2	366
POA0835	3	240
POA0835	4	188
POA0836		118
POA0836	0	32
POA0836	1	367
POA0836	2	895
POA0836	3	502
POA0836	4	409
POA0837		6
POA0837	0	4
POA0837	1	35
POA0837	2	45
POA0837	3	25
POA0837	4	18
POA0838		17
POA0838	0	5
POA0838	1	38
POA0838	2	95
POA0838	3	58
POA0838	4	29
POA0839		16
POA0839	0	6
POA0839	1	82
POA0839	2	78
POA0839	3	21
POA0839	4	4
POA0840		13
POA0840	0	3
POA0840	1	62
POA0840	2	74
POA0840	3	16
POA0840	4	9
POA0841		14
POA0841	0	4
POA0841	1	49
POA0841	2	81
POA0841	3	46
POA0841	4	30
POA0845		7
POA0845	0	23
POA0845	1	82
POA0845	2	48
POA0845	3	8
POA0845	4	3
POA0846		19
POA0846	0	8
POA0846	1	50
POA0846	2	31
POA0846	3	13
POA0846	4	10
POA0847		6
POA0847	0	17
POA0847	1	43
POA0847	2	23
POA0847	3	4
POA0847	4	7
POA0850		167
POA0850	0	188
POA0850	1	745
POA0850	2	768
POA0850	3	274
POA0850	4	144
POA0852		130
POA0852	0	511
POA0852	1	449
POA0852	2	238
POA0852	3	87
POA0852	4	74
POA0853		7
POA0853	1	52
POA0853	2	111
POA0853	3	12
POA0853	4	7
POA0854		27
POA0854	0	48
POA0854	1	50
POA0854	2	27
POA0854	3	13
POA0854	4	15
POA0860		64
POA0860	0	166
POA0860	1	332
POA0860	2	192
POA0860	3	76
POA0860	4	40
POA0862		11
POA0862	0	44
POA0862	1	71
POA0862	2	26
POA0862	3	4
POA0862	4	9
POA0870		307
POA0870	0	466
POA0870	1	2344
POA0870	2	2223
POA0870	3	781
POA0870	4	327
POA0872		224
POA0872	0	1331
POA0872	1	1078
