POA_CODE_2016	OnlyEnglishSpokenHome	persons
POA0800	0	1952
POA0800	1	3441
POA0810	0	10125
POA0810	1	19850
POA0812	0	4744
POA0812	1	12312
POA0815	0	144
POA0815	1	43
POA0820	0	4002
POA0820	1	13316
POA0822	0	16519
POA0822	1	6396
POA0828	0	340
POA0828	1	654
POA0829	0	61
POA0829	1	726
POA0830	0	2467
POA0830	1	13838
POA0832	0	2598
POA0832	1	11938
POA0834	0	89
POA0834	1	1566
POA0835	0	320
POA0835	1	3398
POA0836	0	368
POA0836	1	6536
POA0837	0	41
POA0837	1	303
POA0838	0	54
POA0838	1	674
POA0839	0	40
POA0839	1	408
POA0840	0	10
POA0840	1	326
POA0841	0	22
POA0841	1	572
POA0845	0	40
POA0845	1	376
POA0846	0	19
POA0846	1	290
POA0847	0	61
POA0847	1	218
POA0850	0	1222
POA0850	1	5230
POA0852	0	5146
POA0852	1	2017
POA0853	0	59
POA0853	1	719
POA0854	0	93
POA0854	1	689
POA0860	0	968
POA0860	1	1607
POA0862	0	233
POA0862	1	498
POA0870	0	3747
POA0870	1	13498
POA0872	0	10266
POA0872	1	2667
POA0873	0	658
POA0873	1	1445
POA0874	0	51
POA0874	1	406
POA0875	0	408
POA0875	1	1687
POA0880	0	2168
POA0880	1	2398
POA0885	0	80
POA0885	1	708
POA0886	0	178
POA0886	1	701
POA2000	0	16613
POA2000	1	6885
POA2006	0	128
POA2006	1	982
POA2007	0	5698
POA2007	1	2091
POA2008	0	6211
POA2008	1	4223
POA2009	0	5312
POA2009	1	6296
POA2010	0	7075
POA2010	1	16678
POA2011	0	3870
POA2011	1	12838
POA2015	0	2098
POA2015	1	7006
POA2016	0	3641
POA2016	1	8141
POA2017	0	11391
POA2017	1	10633
POA2018	0	9217
POA2018	1	6717
POA2019	0	2756
POA2019	1	7412
POA2020	0	7529
POA2020	1	6344
POA2021	0	2124
POA2021	1	11697
POA2022	0	3120
POA2022	1	7901
POA2023	0	1872
POA2023	1	8024
POA2024	0	1763
POA2024	1	8291
POA2025	0	1052
POA2025	1	5596
POA2026	0	6695
POA2026	1	22038
POA2027	0	1227
POA2027	1	5918
POA2028	0	741
POA2028	1	3449
POA2029	0	1890
POA2029	1	7329
POA2030	0	2766
POA2030	1	10495
POA2031	0	7805
POA2031	1	24201
POA2032	0	9141
POA2032	1	6656
POA2033	0	4864
POA2033	1	5855
POA2034	0	3851
POA2034	1	14968
POA2035	0	13175
POA2035	1	19310
POA2036	0	9131
POA2036	1	17433
POA2037	0	4128
POA2037	1	10377
POA2038	0	1440
POA2038	1	7314
POA2039	0	1197
POA2039	1	6802
POA2040	0	4204
POA2040	1	16529
POA2041	0	1767
POA2041	1	12585
POA2042	0	3637
POA2042	1	13705
POA2043	0	1362
POA2043	1	5955
POA2044	0	2339
POA2044	1	5014
POA2045	0	2050
POA2045	1	4167
POA2046	0	8118
POA2046	1	17128
POA2047	0	2533
POA2047	1	8477
POA2048	0	1592
POA2048	1	5654
POA2049	0	2471
POA2049	1	7902
POA2050	0	2594
POA2050	1	5599
POA2052	0	1954
POA2052	1	1239
POA2060	0	3287
POA2060	1	9502
POA2061	0	1438
POA2061	1	3940
POA2062	0	1169
POA2062	1	5474
POA2063	0	1160
POA2063	1	4949
POA2064	0	4194
POA2064	1	4834
POA2065	0	8174
POA2065	1	20010
POA2066	0	8612
POA2066	1	21702
POA2067	0	15677
POA2067	1	9357
POA2068	0	4198
POA2068	1	11931
POA2069	0	3887
POA2069	1	9824
POA2070	0	4230
POA2070	1	8837
POA2071	0	5231
POA2071	1	7871
POA2072	0	3092
POA2072	1	4289
POA2073	0	4363
POA2073	1	11513
POA2074	0	4593
POA2074	1	16666
POA2075	0	5645
POA2075	1	14214
POA2076	0	5953
POA2076	1	17731
POA2077	0	16564
POA2077	1	19741
POA2079	0	1276
POA2079	1	5660
POA2080	0	240
POA2080	1	1401
POA2081	0	614
POA2081	1	4614
POA2082	0	440
POA2082	1	4779
POA2083	0	107
POA2083	1	1319
POA2084	0	325
POA2084	1	3099
POA2085	0	1758
POA2085	1	9370
POA2086	0	2247
POA2086	1	10820
