POA_CODE_2016	Age5yr	Indigenous	persons
POA0800	0-4		42
POA0800	0-4	0	224
POA0800	0-4	1	14
POA0800	5-9		20
POA0800	5-9	0	123
POA0800	5-9	1	3
POA0800	10-14		17
POA0800	10-14	0	96
POA0800	10-14	1	3
POA0800	15-19		16
POA0800	15-19	0	103
POA0800	15-19	1	3
POA0800	20-24		133
POA0800	20-24	0	506
POA0800	20-24	1	21
POA0800	25-29		216
POA0800	25-29	0	1036
POA0800	25-29	1	23
POA0800	30-34		174
POA0800	30-34	0	855
POA0800	30-34	1	23
POA0800	35-39		95
POA0800	35-39	0	517
POA0800	35-39	1	19
POA0800	40-44		50
POA0800	40-44	0	314
POA0800	40-44	1	14
POA0800	45-49		64
POA0800	45-49	0	354
POA0800	45-49	1	16
POA0800	50-54		63
POA0800	50-54	0	296
POA0800	50-54	1	25
POA0800	55-59		59
POA0800	55-59	0	292
POA0800	55-59	1	16
POA0800	60-64		43
POA0800	60-64	0	222
POA0800	60-64	1	16
POA0800	65+		46
POA0800	65+	0	272
POA0800	65+	1	8
POA0810	0-4		261
POA0810	0-4	0	2160
POA0810	0-4	1	207
POA0810	5-9		197
POA0810	5-9	0	1787
POA0810	5-9	1	232
POA0810	10-14		149
POA0810	10-14	0	1551
POA0810	10-14	1	210
POA0810	15-19		151
POA0810	15-19	0	1476
POA0810	15-19	1	211
POA0810	20-24		230
POA0810	20-24	0	1604
POA0810	20-24	1	186
POA0810	25-29		335
POA0810	25-29	0	2676
POA0810	25-29	1	142
POA0810	30-34		308
POA0810	30-34	0	2788
POA0810	30-34	1	113
POA0810	35-39		260
POA0810	35-39	0	2493
POA0810	35-39	1	129
POA0810	40-44		229
POA0810	40-44	0	2144
POA0810	40-44	1	153
POA0810	45-49		236
POA0810	45-49	0	1977
POA0810	45-49	1	144
POA0810	50-54		197
POA0810	50-54	0	1692
POA0810	50-54	1	108
POA0810	55-59		161
POA0810	55-59	0	1539
POA0810	55-59	1	99
POA0810	60-64		173
POA0810	60-64	0	1262
POA0810	60-64	1	89
POA0810	65+		330
POA0810	65+	0	2764
POA0810	65+	1	146
POA0812	0-4		124
POA0812	0-4	0	984
POA0812	0-4	1	212
POA0812	5-9		137
POA0812	5-9	0	1003
POA0812	5-9	1	295
POA0812	10-14		119
POA0812	10-14	0	927
POA0812	10-14	1	276
POA0812	15-19		107
POA0812	15-19	0	918
POA0812	15-19	1	207
POA0812	20-24		110
