POA_CODE_2016	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
POA0800	15-19		F	14
POA0800	15-19		M	7
POA0800	15-19	0	F	56
POA0800	15-19	0	M	40
POA0800	15-19	1	F	3
POA0800	20-24		F	62
POA0800	20-24		M	71
POA0800	20-24	0	F	259
POA0800	20-24	0	M	254
POA0800	20-24	1	F	3
POA0800	20-24	1	M	10
POA0800	25-34		F	177
POA0800	25-34		M	245
POA0800	25-34	0	F	848
POA0800	25-34	0	M	996
POA0800	25-34	1	F	38
POA0800	25-34	1	M	32
POA0800	35-44		F	66
POA0800	35-44		M	95
POA0800	35-44	0	F	326
POA0800	35-44	0	M	484
POA0800	35-44	1	F	17
POA0800	35-44	1	M	27
POA0800	45-54		F	58
POA0800	45-54		M	93
POA0800	45-54	0	F	242
POA0800	45-54	0	M	389
POA0800	45-54	1	F	32
POA0800	45-54	1	M	20
POA0800	55-64		F	44
POA0800	55-64		M	73
POA0800	55-64	0	F	161
POA0800	55-64	0	M	311
POA0800	55-64	1	F	33
POA0800	55-64	1	M	24
POA0800	65-74		F	23
POA0800	65-74		M	27
POA0800	65-74	0	F	80
POA0800	65-74	0	M	119
POA0800	65-74	1	F	7
POA0800	65-74	1	M	7
POA0800	75-84		F	3
POA0800	75-84		M	5
POA0800	75-84	0	F	19
POA0800	75-84	0	M	24
POA0800	75-84	1	F	3
POA0800	85+	0	F	5
POA0800	85+	0	M	6
POA0800	85+	1	M	3
POA0810	15-19		F	117
POA0810	15-19		M	111
POA0810	15-19	0	F	712
POA0810	15-19	0	M	791
POA0810	15-19	1	F	50
POA0810	15-19	1	M	47
POA0810	20-24		F	132
POA0810	20-24		M	134
POA0810	20-24	0	F	821
POA0810	20-24	0	M	839
POA0810	20-24	1	F	52
POA0810	20-24	1	M	40
POA0810	25-34		F	387
POA0810	25-34		M	387
POA0810	25-34	0	F	2631
POA0810	25-34	0	M	2616
POA0810	25-34	1	F	201
POA0810	25-34	1	M	154
POA0810	35-44		F	267
POA0810	35-44		M	329
POA0810	35-44	0	F	2123
POA0810	35-44	0	M	2186
POA0810	35-44	1	F	295
POA0810	35-44	1	M	209
POA0810	45-54		F	240
POA0810	45-54		M	263
POA0810	45-54	0	F	1676
POA0810	45-54	0	M	1713
POA0810	45-54	1	F	276
POA0810	45-54	1	M	186
POA0810	55-64		F	212
POA0810	55-64		M	207
POA0810	55-64	0	F	1245
POA0810	55-64	0	M	1315
POA0810	55-64	1	F	215
POA0810	55-64	1	M	141
POA0810	65-74		F	154
POA0810	65-74		M	165
POA0810	65-74	0	F	723
POA0810	65-74	0	M	862
POA0810	65-74	1	F	151
POA0810	65-74	1	M	102
POA0810	75-84		F	77
POA0810	75-84		M	71
POA0810	75-84	0	F	324
POA0810	75-84	0	M	312
POA0810	75-84	1	F	40
POA0810	75-84	1	M	49
POA0810	85+		F	22
POA0810	85+		M	16
POA0810	85+	0	F	108
POA0810	85+	0	M	64
POA0810	85+	1	F	3
POA0810	85+	1	M	8
POA0812	15-19		F	75
POA0812	15-19		M	100
POA0812	15-19	0	F	459
POA0812	15-19	0	M	518
POA0812	15-19	1	F	35
POA0812	15-19	1	M	44
POA0812	20-24		F	70
POA0812	20-24		M	69
POA0812	20-24	0	F	419
POA0812	20-24	0	M	491
POA0812	20-24	1	F	37
POA0812	20-24	1	M	34
POA0812	25-34		F	193
POA0812	25-34		M	199
POA0812	25-34	0	F	1154
POA0812	25-34	0	M	1113
POA0812	25-34	1	F	125
POA0812	25-34	1	M	71
POA0812	35-44		F	142
POA0812	35-44		M	151
POA0812	35-44	0	F	1116
POA0812	35-44	0	M	1120
POA0812	35-44	1	F	183
POA0812	35-44	1	M	109
POA0812	45-54		F	149
POA0812	45-54		M	136
POA0812	45-54	0	F	1006
POA0812	45-54	0	M	1036
POA0812	45-54	1	F	225
POA0812	45-54	1	M	120
POA0812	55-64		F	130
POA0812	55-64		M	139
POA0812	55-64	0	F	898
POA0812	55-64	0	M	967
POA0812	55-64	1	F	168
POA0812	55-64	1	M	102
POA0812	65-74		F	60
POA0812	65-74		M	78
POA0812	65-74	0	F	431
POA0812	65-74	0	M	536
POA0812	65-74	1	F	77
POA0812	65-74	1	M	47
POA0812	75-84		F	31
POA0812	75-84		M	18
POA0812	75-84	0	F	166
POA0812	75-84	0	M	138
POA0812	75-84	1	F	21
POA0812	75-84	1	M	23
POA0812	85+		F	10
POA0812	85+	0	F	36
POA0812	85+	0	M	22
POA0812	85+	1	M	10
POA0815	15-19		F	4
POA0815	15-19		M	9
POA0815	15-19	0	F	11
POA0815	15-19	0	M	4
POA0815	20-24		F	9
POA0815	20-24		M	31
POA0815	20-24	0	F	12
POA0815	20-24	0	M	42
POA0815	20-24	1	F	4
POA0815	25-34		F	15
POA0815	25-34		M	29
POA0815	25-34	0	F	29
POA0815	25-34	0	M	57
POA0815	35-44		F	3
POA0815	35-44		M	6
POA0815	35-44	0	F	3
POA0815	35-44	0	M	5
POA0815	45-54	0	M	4
POA0815	55-64		M	3
POA0815	55-64	0	F	3
POA0820	15-19		F	56
POA0820	15-19		M	69
POA0820	15-19	0	F	321
POA0820	15-19	0	M	378
POA0820	15-19	1	F	13
POA0820	15-19	1	M	14
POA0820	20-24		F	71
POA0820	20-24		M	136
POA0820	20-24	0	F	499
POA0820	20-24	0	M	573
POA0820	20-24	1	F	31
POA0820	20-24	1	M	22
POA0820	25-34		F	279
POA0820	25-34		M	356
POA0820	25-34	0	F	1866
POA0820	25-34	0	M	1918
POA0820	25-34	1	F	101
POA0820	25-34	1	M	75
POA0820	35-44		F	176
POA0820	35-44		M	207
POA0820	35-44	0	F	1165
POA0820	35-44	0	M	1298
POA0820	35-44	1	F	118
POA0820	35-44	1	M	85
POA0820	45-54		F	136
POA0820	45-54		M	172
POA0820	45-54	0	F	991
POA0820	45-54	0	M	1206
POA0820	45-54	1	F	142
POA0820	45-54	1	M	101
POA0820	55-64		F	115
POA0820	55-64		M	133
POA0820	55-64	0	F	736
POA0820	55-64	0	M	875
POA0820	55-64	1	F	130
POA0820	55-64	1	M	87
POA0820	65-74		F	62
POA0820	65-74		M	90
POA0820	65-74	0	F	375
POA0820	65-74	0	M	506
POA0820	65-74	1	F	66
POA0820	65-74	1	M	56
POA0820	75-84		F	14
POA0820	75-84		M	36
POA0820	75-84	0	F	156
POA0820	75-84	0	M	185
POA0820	75-84	1	F	23
POA0820	75-84	1	M	9
POA0820	85+		F	14
POA0820	85+		M	15
POA0820	85+	0	F	75
POA0820	85+	0	M	40
POA0820	85+	1	F	3
POA0820	85+	1	M	3
POA0822	15-19		F	158
POA0822	15-19		M	231
POA0822	15-19	0	F	728
POA0822	15-19	0	M	755
POA0822	15-19	1	F	156
POA0822	15-19	1	M	140
POA0822	20-24		F	103
POA0822	20-24		M	115
POA0822	20-24	0	F	726
POA0822	20-24	0	M	766
POA0822	20-24	1	F	151
POA0822	20-24	1	M	137
POA0822	25-34		F	293
POA0822	25-34		M	330
POA0822	25-34	0	F	1457
POA0822	25-34	0	M	1512
POA0822	25-34	1	F	387
POA0822	25-34	1	M	284
POA0822	35-44		F	276
POA0822	35-44		M	354
POA0822	35-44	0	F	1156
POA0822	35-44	0	M	1288
POA0822	35-44	1	F	355
POA0822	35-44	1	M	240
POA0822	45-54		F	248
POA0822	45-54		M	265
POA0822	45-54	0	F	1062
POA0822	45-54	0	M	1190
POA0822	45-54	1	F	284
POA0822	45-54	1	M	197
POA0822	55-64		F	152
POA0822	55-64		M	195
POA0822	55-64	0	F	760
POA0822	55-64	0	M	839
POA0822	55-64	1	F	184
POA0822	55-64	1	M	129
POA0822	65-74		F	78
POA0822	65-74		M	104
POA0822	65-74	0	F	321
POA0822	65-74	0	M	397
POA0822	65-74	1	F	57
POA0822	65-74	1	M	41
POA0822	75-84		F	22
POA0822	75-84		M	30
POA0822	75-84	0	F	95
POA0822	75-84	0	M	93
POA0822	75-84	1	F	9
POA0822	75-84	1	M	5
POA0822	85+		F	10
POA0822	85+	0	F	18
POA0822	85+	0	M	7
POA0822	85+	1	F	4
POA0822	85+	1	M	3
POA0828	15-19		F	10
POA0828	15-19		M	13
POA0828	15-19	0	F	62
POA0828	15-19	0	M	58
POA0828	20-24		F	3
POA0828	20-24		M	10
POA0828	20-24	0	F	31
POA0828	20-24	0	M	35
POA0828	20-24	1	F	3
POA0828	20-24	1	M	3
POA0828	25-34		F	17
POA0828	25-34		M	7
POA0828	25-34	0	F	55
POA0828	25-34	0	M	64
POA0828	25-34	1	F	8
POA0828	25-34	1	M	5
POA0828	35-44		F	8
POA0828	35-44		M	14
POA0828	35-44	0	F	45
POA0828	35-44	0	M	48
POA0828	35-44	1	F	7
POA0828	35-44	1	M	3
POA0828	45-54		F	12
POA0828	45-54		M	17
POA0828	45-54	0	F	49
POA0828	45-54	0	M	67
POA0828	45-54	1	F	11
POA0828	45-54	1	M	3
POA0828	55-64		F	17
POA0828	55-64		M	26
POA0828	55-64	0	F	45
POA0828	55-64	0	M	59
POA0828	55-64	1	F	7
POA0828	55-64	1	M	6
POA0828	65-74		F	13
POA0828	65-74		M	14
POA0828	65-74	0	F	21
POA0828	65-74	0	M	39
POA0828	65-74	1	F	8
POA0828	65-74	1	M	9
POA0828	75-84	0	F	7
POA0828	75-84	0	M	8
POA0828	85+	0	F	3
POA0828	85+	0	M	3
POA0829	15-19		M	27
POA0829	15-19	0	F	7
POA0829	15-19	0	M	62
POA0829	20-24		F	14
POA0829	20-24		M	164
POA0829	20-24	0	F	39
POA0829	20-24	0	M	261
POA0829	20-24	1	M	4
POA0829	25-34		F	24
POA0829	25-34		M	350
POA0829	25-34	0	F	25
POA0829	25-34	0	M	149
POA0829	25-34	1	F	3
POA0829	25-34	1	M	3
POA0829	35-44		F	24
POA0829	35-44		M	231
POA0829	35-44	0	F	15
POA0829	35-44	0	M	40
POA0829	35-44	1	M	3
POA0829	45-54		F	14
POA0829	45-54		M	147
POA0829	45-54	0	F	15
POA0829	45-54	0	M	36
POA0829	45-54	1	F	7
POA0829	45-54	1	M	5
POA0829	55-64		F	9
POA0829	55-64		M	46
POA0829	55-64	0	F	23
POA0829	55-64	0	M	23
POA0829	65-74		F	3
POA0829	65-74		M	4
POA0829	65-74	0	F	4
POA0829	65-74	0	M	9
POA0829	75-84	0	M	3
POA0830	15-19		F	93
POA0830	15-19		M	97
POA0830	15-19	0	F	460
POA0830	15-19	0	M	485
POA0830	15-19	1	F	34
POA0830	15-19	1	M	22
POA0830	20-24		F	91
POA0830	20-24		M	83
POA0830	20-24	0	F	478
POA0830	20-24	0	M	559
POA0830	20-24	1	F	28
POA0830	20-24	1	M	31
POA0830	25-34		F	212
POA0830	25-34		M	189
POA0830	25-34	0	F	1338
POA0830	25-34	0	M	1301
POA0830	25-34	1	F	130
POA0830	25-34	1	M	75
POA0830	35-44		F	151
POA0830	35-44		M	160
POA0830	35-44	0	F	1093
POA0830	35-44	0	M	1138
POA0830	35-44	1	F	193
POA0830	35-44	1	M	98
POA0830	45-54		F	122
POA0830	45-54		M	148
POA0830	45-54	0	F	910
POA0830	45-54	0	M	1024
POA0830	45-54	1	F	139
POA0830	45-54	1	M	105
POA0830	55-64		F	101
POA0830	55-64		M	116
POA0830	55-64	0	F	577
POA0830	55-64	0	M	668
POA0830	55-64	1	F	99
POA0830	55-64	1	M	65
POA0830	65-74		F	67
POA0830	65-74		M	60
POA0830	65-74	0	F	259
POA0830	65-74	0	M	292
POA0830	65-74	1	F	45
POA0830	65-74	1	M	31
POA0830	75-84		F	25
POA0830	75-84		M	23
POA0830	75-84	0	F	98
POA0830	75-84	0	M	75
POA0830	75-84	1	F	12
POA0830	75-84	1	M	21
POA0830	85+		F	8
POA0830	85+		M	4
POA0830	85+	0	F	31
POA0830	85+	0	M	17
POA0830	85+	1	M	4
POA0832	15-19		F	47
POA0832	15-19		M	48
POA0832	15-19	0	F	350
POA0832	15-19	0	M	375
POA0832	15-19	1	F	21
POA0832	15-19	1	M	24
POA0832	20-24		F	55
POA0832	20-24		M	68
POA0832	20-24	0	F	599
POA0832	20-24	0	M	578
POA0832	20-24	1	F	35
POA0832	20-24	1	M	24
POA0832	25-34		F	130
POA0832	25-34		M	150
POA0832	25-34	0	F	1476
POA0832	25-34	0	M	1544
POA0832	25-34	1	F	136
POA0832	25-34	1	M	73
POA0832	35-44		F	105
POA0832	35-44		M	105
POA0832	35-44	0	F	1080
POA0832	35-44	0	M	1148
POA0832	35-44	1	F	148
POA0832	35-44	1	M	88
POA0832	45-54		F	50
POA0832	45-54		M	72
POA0832	45-54	0	F	622
POA0832	45-54	0	M	706
POA0832	45-54	1	F	97
POA0832	45-54	1	M	59
POA0832	55-64		F	56
POA0832	55-64		M	43
POA0832	55-64	0	F	344
POA0832	55-64	0	M	361
POA0832	55-64	1	F	69
POA0832	55-64	1	M	33
POA0832	65-74		F	12
POA0832	65-74		M	15
POA0832	65-74	0	F	145
POA0832	65-74	0	M	109
POA0832	65-74	1	F	24
POA0832	65-74	1	M	19
POA0832	75-84		F	5
POA0832	75-84		M	10
POA0832	75-84	0	F	58
POA0832	75-84	0	M	43
POA0832	75-84	1	F	8
