POA_CODE_2016	FamilyComposition	families_with_children
POA2519	Step family with no other children present	102
POA2525	Blended family with no other children present	52
POA2525	Intact family with no other children present	1434
POA2525	Intact family with other children present	10
POA2525	Other couple family with other children only	3
POA2525	Step family with no other children present	77
POA2526	Blended family with no other children present	80
POA2526	Blended family with other children present	3
POA2526	Intact family with no other children present	1921
POA2526	Intact family with other children present	16
POA2526	Other couple family with other children only	15
POA2526	Step family with no other children present	124
POA2526	Step family with other children present	3
POA2527	Blended family with no other children present	168
POA2527	Blended family with other children present	4
POA2527	Intact family with no other children present	2357
POA2527	Intact family with other children present	46
POA2527	Other couple family with other children only	25
POA2527	Step family with no other children present	224
POA2527	Step family with other children present	8
POA2528	Blended family with no other children present	141
POA2528	Blended family with other children present	4
POA2528	Intact family with no other children present	1923
POA2528	Intact family with other children present	43
POA2528	Other couple family with other children only	23
POA2528	Step family with no other children present	221
POA2528	Step family with other children present	5
POA2529	Blended family with no other children present	146
POA2529	Intact family with no other children present	3120
POA2529	Intact family with other children present	36
POA2529	Other couple family with other children only	32
POA2529	Step family with no other children present	251
POA2529	Step family with other children present	11
POA2530	Blended family with no other children present	240
POA2530	Intact family with no other children present	3382
POA2530	Intact family with other children present	42
POA2530	Other couple family with other children only	29
POA2530	Step family with no other children present	349
POA2530	Step family with other children present	10
POA2533	Blended family with no other children present	82
POA2533	Intact family with no other children present	1625
POA2533	Intact family with other children present	19
POA2533	Other couple family with other children only	8
POA2533	Step family with no other children present	115
POA2533	Step family with other children present	3
POA2534	Blended family with no other children present	19
POA2534	Intact family with no other children present	574
POA2534	Intact family with other children present	9
POA2534	Other couple family with other children only	6
POA2534	Step family with no other children present	37
POA2535	Blended family with no other children present	17
POA2535	Intact family with no other children present	586
POA2535	Intact family with other children present	8
POA2535	Other couple family with other children only	12
POA2535	Step family with no other children present	42
POA2536	Blended family with no other children present	71
POA2536	Blended family with other children present	3
POA2536	Intact family with no other children present	1103
POA2536	Intact family with other children present	16
POA2536	Other couple family with other children only	16
POA2536	Step family with no other children present	118
POA2536	Step family with other children present	3
POA2537	Blended family with no other children present	49
POA2537	Intact family with no other children present	798
POA2537	Intact family with other children present	9
POA2537	Other couple family with other children only	8
POA2537	Step family with no other children present	93
POA2538	Blended family with no other children present	9
POA2538	Intact family with no other children present	193
POA2538	Intact family with other children present	3
POA2538	Step family with no other children present	9
POA2539	Blended family with no other children present	84
POA2539	Blended family with other children present	3
POA2539	Intact family with no other children present	1261
POA2539	Intact family with other children present	20
POA2539	Other couple family with other children only	15
POA2539	Step family with no other children present	133
POA2539	Step family with other children present	4
POA2540	Blended family with no other children present	228
POA2540	Blended family with other children present	7
POA2540	Intact family with no other children present	3421
POA2540	Intact family with other children present	59
POA2540	Other couple family with other children only	62
POA2540	Step family with no other children present	359
POA2540	Step family with other children present	10
POA2541	Blended family with no other children present	138
POA2541	Blended family with other children present	3
POA2541	Intact family with no other children present	1828
POA2541	Intact family with other children present	37
POA2541	Other couple family with other children only	38
POA2541	Step family with no other children present	232
POA2541	Step family with other children present	3
POA2545	Blended family with no other children present	7
POA2545	Intact family with no other children present	73
POA2545	Step family with no other children present	9
POA2546	Blended family with no other children present	33
POA2546	Intact family with no other children present	492
POA2546	Intact family with other children present	9
POA2546	Other couple family with other children only	9
POA2546	Step family with no other children present	52
POA2548	Blended family with no other children present	22
POA2548	Intact family with no other children present	474
POA2548	Intact family with other children present	4
POA2548	Other couple family with other children only	9
POA2548	Step family with no other children present	74
POA2549	Blended family with no other children present	18
POA2549	Intact family with no other children present	287
POA2549	Intact family with other children present	11
POA2549	Other couple family with other children only	3
POA2549	Step family with no other children present	33
POA2550	Blended family with no other children present	90
POA2550	Intact family with no other children present	1309
POA2550	Intact family with other children present	15
POA2550	Other couple family with other children only	20
POA2550	Step family with no other children present	95
POA2550	Step family with other children present	4
POA2551	Blended family with no other children present	18
POA2551	Intact family with no other children present	213
POA2551	Intact family with other children present	3
POA2551	Other couple family with other children only	3
POA2551	Step family with no other children present	30
POA2555	Intact family with no other children present	22
POA2556	Blended family with no other children present	6
POA2556	Blended family with other children present	3
POA2556	Intact family with no other children present	324
POA2556	Intact family with other children present	4
POA2556	Other couple family with other children only	4
POA2556	Step family with no other children present	22
POA2557	Blended family with no other children present	38
POA2557	Intact family with no other children present	1173
POA2557	Intact family with other children present	17
POA2557	Step family with no other children present	62
POA2557	Step family with other children present	4
POA2558	Blended family with no other children present	81
POA2558	Intact family with no other children present	1386
POA2558	Intact family with other children present	33
POA2558	Other couple family with other children only	5
POA2558	Step family with no other children present	103
POA2559	Blended family with no other children present	18
POA2559	Intact family with no other children present	158
POA2559	Intact family with other children present	8
POA2559	Step family with no other children present	25
POA2560	Blended family with no other children present	489
POA2560	Blended family with other children present	10
POA2560	Intact family with no other children present	7828
POA2560	Intact family with other children present	200
POA2560	Other couple family with other children only	90
POA2560	Step family with no other children present	621
POA2560	Step family with other children present	33
POA2563	Intact family with no other children present	26
POA2563	Step family with no other children present	3
POA2564	Blended family with no other children present	57
POA2564	Intact family with no other children present	1569
POA2564	Intact family with other children present	38
POA2564	Other couple family with other children only	8
POA2564	Step family with no other children present	103
POA2565	Blended family with no other children present	84
POA2565	Blended family with other children present	3
POA2565	Intact family with no other children present	2478
POA2565	Intact family with other children present	51
POA2565	Other couple family with other children only	7
POA2565	Step family with no other children present	139
POA2565	Step family with other children present	7
POA2566	Blended family with no other children present	163
POA2566	Blended family with other children present	5
POA2566	Intact family with no other children present	3306
POA2566	Intact family with other children present	82
POA2566	Other couple family with other children only	15
POA2566	Step family with no other children present	230
POA2566	Step family with other children present	11
POA2567	Blended family with no other children present	303
POA2567	Blended family with other children present	10
POA2567	Intact family with no other children present	5271
POA2567	Intact family with other children present	65
POA2567	Other couple family with other children only	32
POA2567	Step family with no other children present	427
POA2567	Step family with other children present	13
POA2568	Intact family with no other children present	141
POA2568	Step family with no other children present	6
POA2569	Blended family with no other children present	9
POA2569	Intact family with no other children present	160
POA2569	Other couple family with other children only	4
POA2569	Step family with no other children present	10
POA2570	Blended family with no other children present	277
POA2570	Blended family with other children present	5
POA2570	Intact family with no other children present	5055
POA2570	Intact family with other children present	67
POA2570	Other couple family with other children only	33
POA2570	Step family with no other children present	356
POA2570	Step family with other children present	3
POA2571	Blended family with no other children present	89
POA2571	Intact family with no other children present	1552
POA2571	Intact family with other children present	17
POA2571	Other couple family with other children only	9
POA2571	Step family with no other children present	117
POA2572	Blended family with no other children present	39
POA2572	Intact family with no other children present	489
POA2572	Intact family with other children present	10
POA2572	Other couple family with other children only	3
POA2572	Step family with no other children present	30
POA2573	Blended family with no other children present	45
POA2573	Intact family with no other children present	505
POA2573	Intact family with other children present	13
POA2573	Other couple family with other children only	8
POA2573	Step family with no other children present	55
POA2574	Blended family with no other children present	45
POA2574	Intact family with no other children present	634
POA2574	Intact family with other children present	7
POA2574	Other couple family with other children only	3
POA2574	Step family with no other children present	68
POA2575	Blended family with no other children present	90
POA2575	Intact family with no other children present	1519
POA2575	Intact family with other children present	18
POA2575	Other couple family with other children only	13
POA2575	Step family with no other children present	142
POA2576	Blended family with no other children present	22
POA2576	Blended family with other children present	5
POA2576	Intact family with no other children present	1185
POA2576	Intact family with other children present	8
POA2576	Other couple family with other children only	7
POA2576	Step family with no other children present	70
POA2577	Blended family with no other children present	83
POA2577	Intact family with no other children present	1335
POA2577	Intact family with other children present	8
POA2577	Other couple family with other children only	11
POA2577	Step family with no other children present	119
POA2578	Blended family with no other children present	4
POA2578	Intact family with no other children present	185
POA2578	Intact family with other children present	3
POA2578	Step family with no other children present	13
POA2579	Blended family with no other children present	22
POA2579	Intact family with no other children present	346
POA2579	Intact family with other children present	8
POA2579	Other couple family with other children only	3
POA2579	Step family with no other children present	40
POA2580	Blended family with no other children present	173
POA2580	Blended family with other children present	3
POA2580	Intact family with no other children present	2451
POA2580	Intact family with other children present	30
POA2580	Other couple family with other children only	20
POA2580	Step family with no other children present	236
POA2580	Step family with other children present	6
POA2581	Blended family with no other children present	11
POA2581	Intact family with no other children present	225
POA2581	Intact family with other children present	3
POA2581	Other couple family with other children only	3
POA2581	Step family with no other children present	19
POA2582	Blended family with no other children present	66
POA2582	Intact family with no other children present	1360
POA2582	Intact family with other children present	13
POA2582	Other couple family with other children only	8
POA2582	Step family with no other children present	115
POA2583	Blended family with no other children present	15
POA2583	Intact family with no other children present	386
POA2583	Intact family with other children present	6
POA2583	Step family with no other children present	22
POA2584	Intact family with no other children present	51
POA2584	Step family with no other children present	3
POA2585	Blended family with no other children present	3
POA2585	Intact family with no other children present	21
POA2586	Blended family with no other children present	13
POA2586	Intact family with no other children present	211
POA2586	Intact family with other children present	6
POA2586	Other couple family with other children only	5
POA2586	Step family with no other children present	19
POA2587	Blended family with no other children present	16
POA2587	Intact family with no other children present	229
POA2587	Other couple family with other children only	3
POA2587	Step family with no other children present	19
POA2588	Intact family with no other children present	30
POA2588	Step family with no other children present	3
POA2590	Blended family with no other children present	31
POA2590	Intact family with no other children present	520
POA2590	Intact family with other children present	10
POA2590	Other couple family with other children only	12
POA2590	Step family with no other children present	41
POA2590	Step family with other children present	3
POA2594	Blended family with no other children present	68
POA2594	Intact family with no other children present	993
POA2594	Intact family with other children present	11
POA2594	Other couple family with other children only	5
POA2594	Step family with no other children present	84
POA2600	Blended family with no other children present	10
POA2600	Intact family with no other children present	714
POA2600	Intact family with other children present	3
POA2600	Other couple family with other children only	3
POA2600	Step family with no other children present	50
POA2601	Intact family with no other children present	71
POA2601	Step family with no other children present	7
POA2602	Blended family with no other children present	70
POA2602	Intact family with no other children present	2831
POA2602	Intact family with other children present	21
POA2602	Other couple family with other children only	18
POA2602	Step family with no other children present	198
POA2602	Step family with other children present	3
POA2603	Blended family with no other children present	22
POA2603	Intact family with no other children present	924
POA2603	Intact family with other children present	10
POA2603	Other couple family with other children only	7
POA2603	Step family with no other children present	48
POA2604	Blended family with no other children present	20
POA2604	Intact family with no other children present	811
POA2604	Other couple family with other children only	3
POA2604	Step family with no other children present	50
POA2605	Blended family with no other children present	25
POA2605	Blended family with other children present	3
POA2605	Intact family with no other children present	1386
POA2605	Intact family with other children present	14
POA2605	Step family with no other children present	89
POA2606	Blended family with no other children present	17
POA2606	Intact family with no other children present	857
POA2606	Intact family with other children present	9
POA2606	Step family with no other children present	50
POA2607	Blended family with no other children present	48
POA2607	Intact family with no other children present	1600
POA2607	Intact family with other children present	14
POA2607	Other couple family with other children only	9
POA2607	Step family with no other children present	94
POA2607	Step family with other children present	3
POA2609	Blended family with no other children present	3
POA2609	Intact family with no other children present	45
POA2609	Step family with no other children present	4
POA2611	Blended family with no other children present	115
POA2611	Intact family with no other children present	3161
POA2611	Intact family with other children present	27
POA2611	Other couple family with other children only	5
POA2611	Step family with no other children present	208
POA2611	Step family with other children present	3
POA2612	Blended family with no other children present	21
POA2612	Intact family with no other children present	870
POA2612	Intact family with other children present	4
POA2612	Step family with no other children present	56
POA2614	Blended family with no other children present	59
POA2614	Intact family with no other children present	2048
POA2614	Intact family with other children present	17
POA2614	Other couple family with other children only	13
POA2614	Step family with no other children present	132
POA2615	Blended family with no other children present	242
POA2615	Blended family with other children present	8
POA2615	Intact family with no other children present	5019
POA2615	Intact family with other children present	53
POA2615	Other couple family with other children only	21
POA2615	Step family with no other children present	365
POA2615	Step family with other children present	4
POA2617	Blended family with no other children present	94
POA2617	Intact family with no other children present	2944
POA2617	Intact family with other children present	31
POA2617	Other couple family with other children only	13
POA2617	Step family with no other children present	172
POA2617	Step family with other children present	3
POA2618	Blended family with no other children present	10
POA2618	Intact family with no other children present	190
POA2618	Intact family with other children present	3
POA2618	Step family with no other children present	7
POA2619	Blended family with no other children present	59
POA2619	Blended family with other children present	4
POA2619	Intact family with no other children present	1439
POA2619	Intact family with other children present	9
POA2619	Other couple family with other children only	3
POA2619	Step family with no other children present	105
POA2620	Blended family with no other children present	220
POA2620	Blended family with other children present	3
POA2620	Intact family with no other children present	3942
POA2620	Intact family with other children present	41
POA2620	Other couple family with other children only	31
POA2620	Step family with no other children present	309
POA2621	Blended family with no other children present	39
POA2621	Intact family with no other children present	762
POA2621	Intact family with other children present	12
POA2621	Other couple family with other children only	4
POA2621	Step family with no other children present	62
POA2622	Blended family with no other children present	18
POA2622	Intact family with no other children present	295
POA2622	Intact family with other children present	5
POA2622	Other couple family with other children only	7
POA2622	Step family with no other children present	34
POA2623	Blended family with no other children present	3
POA2623	Intact family with no other children present	58
POA2623	Step family with no other children present	7
POA2625	Intact family with no other children present	15
POA2625	Step family with no other children present	3
POA2626	Intact family with no other children present	50
POA2626	Step family with no other children present	6
POA2627	Blended family with no other children present	12
POA2627	Intact family with no other children present	422
POA2627	Intact family with other children present	3
POA2627	Step family with no other children present	25
POA2628	Blended family with no other children present	10
POA2628	Intact family with no other children present	194
POA2628	Step family with no other children present	9
POA2629	Intact family with no other children present	25
POA2629	Step family with no other children present	3
POA2630	Blended family with no other children present	51
POA2630	Intact family with no other children present	683
POA2630	Intact family with other children present	3
POA2630	Other couple family with other children only	3
POA2630	Step family with no other children present	62
POA2631	Blended family with no other children present	5
POA2631	Intact family with no other children present	48
POA2631	Step family with no other children present	3
POA2632	Blended family with no other children present	11
POA2632	Intact family with no other children present	162
POA2632	Intact family with other children present	3
POA2632	Other couple family with other children only	3
POA2632	Step family with no other children present	7
POA2633	Intact family with no other children present	25
POA2633	Step family with no other children present	3
POA2640	Blended family with no other children present	147
POA2640	Intact family with no other children present	3373
POA2640	Intact family with other children present	21
POA2640	Other couple family with other children only	19
POA2640	Step family with no other children present	255
POA2640	Step family with other children present	3
POA2641	Blended family with no other children present	81
POA2641	Intact family with no other children present	1146
POA2641	Intact family with other children present	23
POA2641	Other couple family with other children only	12
POA2641	Step family with no other children present	113
POA2641	Step family with other children present	3
POA2642	Blended family with no other children present	25
POA2642	Intact family with no other children present	515
POA2642	Intact family with other children present	6
POA2642	Other couple family with other children only	4
POA2642	Step family with no other children present	30
POA2642	Step family with other children present	3
POA2643	Blended family with no other children present	22
POA2643	Intact family with no other children present	224
POA2643	Step family with no other children present	24
POA2643	Step family with other children present	3
POA2644	Blended family with no other children present	10
POA2644	Intact family with no other children present	199
POA2644	Intact family with other children present	4
POA2644	Other couple family with other children only	3
POA2644	Step family with no other children present	18
POA2645	Intact family with no other children present	33
POA2646	Blended family with no other children present	38
POA2646	Intact family with no other children present	528
POA2646	Intact family with other children present	3
POA2646	Other couple family with other children only	9
POA2646	Step family with no other children present	43
POA2647	Blended family with no other children present	11
POA2647	Intact family with no other children present	159
POA2647	Intact family with other children present	3
POA2647	Step family with no other children present	8
POA2648	Blended family with no other children present	4
POA2648	Intact family with no other children present	153
POA2648	Intact family with other children present	3
POA2648	Other couple family with other children only	3
POA2648	Step family with no other children present	19
POA2649	Intact family with no other children present	5
POA2650	Blended family with no other children present	304
POA2650	Blended family with other children present	8
POA2650	Intact family with no other children present	5344
POA2650	Intact family with other children present	53
POA2650	Other couple family with other children only	35
POA2650	Step family with no other children present	374
POA2650	Step family with other children present	11
POA2651	Blended family with no other children present	12
POA2651	Intact family with no other children present	211
POA2651	Step family with no other children present	16
POA2652	Blended family with no other children present	24
POA2652	Intact family with no other children present	429
POA2652	Intact family with other children present	4
POA2652	Other couple family with other children only	9
POA2652	Step family with no other children present	32
POA2653	Blended family with no other children present	13
POA2653	Intact family with no other children present	171
POA2653	Intact family with other children present	3
POA2653	Other couple family with other children only	3
POA2653	Step family with no other children present	27
POA2655	Blended family with no other children present	9
POA2655	Intact family with no other children present	134
POA2655	Intact family with other children present	3
POA2655	Step family with no other children present	11
POA2656	Blended family with no other children present	13
POA2656	Intact family with no other children present	103
POA2656	Step family with no other children present	3
POA2658	Blended family with no other children present	9
POA2658	Intact family with no other children present	114
POA2658	Intact family with other children present	6
POA2658	Other couple family with other children only	8
POA2658	Step family with no other children present	5
POA2659	Intact family with no other children present	85
POA2659	Step family with no other children present	7
POA2660	Blended family with no other children present	11
POA2660	Intact family with no other children present	139
POA2660	Other couple family with other children only	5
POA2660	Step family with no other children present	5
POA2661	Blended family with no other children present	3
POA2661	Intact family with no other children present	27
POA2663	Blended family with no other children present	25
POA2663	Intact family with no other children present	349
POA2663	Intact family with other children present	10
POA2663	Other couple family with other children only	10
POA2663	Step family with no other children present	31
POA2665	Blended family with no other children present	7
POA2665	Intact family with no other children present	205
POA2665	Intact family with other children present	3
POA2665	Other couple family with other children only	6
POA2665	Step family with no other children present	11
POA2666	Blended family with no other children present	14
POA2666	Intact family with no other children present	509
POA2666	Intact family with other children present	3
POA2666	Other couple family with other children only	6
POA2666	Step family with no other children present	41
POA2668	Blended family with no other children present	3
POA2668	Intact family with no other children present	38
POA2669	Blended family with no other children present	4
POA2669	Intact family with no other children present	145
POA2669	Step family with no other children present	5
POA2671	Blended family with no other children present	21
POA2671	Intact family with no other children present	321
POA2671	Other couple family with other children only	7
POA2671	Step family with no other children present	19
POA2672	Blended family with no other children present	7
POA2672	Intact family with no other children present	118
POA2672	Intact family with other children present	6
POA2672	Step family with no other children present	3
POA2675	Blended family with no other children present	7
POA2675	Intact family with no other children present	140
POA2675	Intact family with other children present	3
POA2675	Step family with no other children present	5
POA2680	Blended family with no other children present	84
POA2680	Blended family with other children present	3
POA2680	Intact family with no other children present	2464
POA2680	Intact family with other children present	35
POA2680	Other couple family with other children only	23
POA2680	Step family with no other children present	133
POA2681	Blended family with no other children present	6
POA2681	Intact family with no other children present	190
POA2681	Other couple family with other children only	7
POA2681	Step family with no other children present	9
POA2700	Blended family with no other children present	20
POA2700	Intact family with no other children present	389
POA2700	Intact family with other children present	6
POA2700	Other couple family with other children only	3
POA2700	Step family with no other children present	21
POA2701	Blended family with no other children present	9
POA2701	Intact family with no other children present	223
POA2701	Intact family with other children present	3
POA2701	Other couple family with other children only	3
POA2701	Step family with no other children present	12
POA2702	Blended family with no other children present	3
POA2702	Intact family with no other children present	67
POA2702	Other couple family with other children only	4
POA2702	Step family with no other children present	5
POA2703	Blended family with no other children present	6
POA2703	Intact family with no other children present	47
POA2703	Step family with no other children present	9
POA2705	Blended family with no other children present	62
POA2705	Blended family with other children present	3
POA2705	Intact family with no other children present	928
POA2705	Intact family with other children present	10
POA2705	Other couple family with other children only	12
POA2705	Step family with no other children present	50
POA2705	Step family with other children present	5
POA2706	Blended family with no other children present	14
POA2706	Intact family with no other children present	89
POA2706	Intact family with other children present	3
POA2706	Other couple family with other children only	3
POA2706	Step family with no other children present	8
POA2707	Blended family with no other children present	7
POA2707	Intact family with no other children present	131
POA2707	Intact family with other children present	3
POA2707	Step family with no other children present	3
POA2710	Blended family with no other children present	46
POA2710	Intact family with no other children present	771
POA2710	Intact family with other children present	12
POA2710	Other couple family with other children only	12
POA2710	Step family with no other children present	57
POA2711	Blended family with no other children present	7
POA2711	Intact family with no other children present	283
POA2711	Intact family with other children present	3
POA2711	Other couple family with other children only	10
POA2711	Step family with no other children present	14
POA2712	Intact family with no other children present	107
POA2712	Step family with no other children present	9
POA2713	Blended family with no other children present	15
POA2713	Intact family with no other children present	205
POA2713	Intact family with other children present	3
POA2713	Step family with no other children present	14
POA2714	Blended family with no other children present	9
POA2714	Intact family with no other children present	188
POA2714	Intact family with other children present	5
POA2714	Other couple family with other children only	3
POA2714	Step family with no other children present	14
POA2715	Blended family with no other children present	11
POA2715	Intact family with no other children present	125
POA2715	Step family with no other children present	7
POA2716	Blended family with no other children present	3
POA2716	Intact family with no other children present	95
POA2716	Step family with no other children present	4
POA2717	Blended family with no other children present	6
POA2717	Intact family with no other children present	84
POA2717	Intact family with other children present	3
POA2717	Other couple family with other children only	3
POA2717	Step family with no other children present	6
POA2720	Blended family with no other children present	37
POA2720	Intact family with no other children present	699
POA2720	Intact family with other children present	5
POA2720	Other couple family with other children only	4
POA2720	Step family with no other children present	50
POA2721	Intact family with no other children present	20
POA2721	Step family with no other children present	3
POA2722	Blended family with no other children present	15
POA2722	Intact family with no other children present	274
POA2722	Intact family with other children present	3
POA2722	Other couple family with other children only	3
POA2722	Step family with no other children present	21
POA2725	Intact family with no other children present	27
POA2726	Intact family with no other children present	17
POA2727	Intact family with no other children present	40
POA2729	Blended family with no other children present	13
POA2729	Intact family with no other children present	176
POA2729	Other couple family with other children only	3
POA2729	Step family with no other children present	13
POA2730	Blended family with no other children present	8
POA2730	Intact family with no other children present	84
POA2730	Step family with no other children present	8
POA2731	Blended family with no other children present	18
POA2731	Intact family with no other children present	586
POA2731	Intact family with other children present	4
POA2731	Other couple family with other children only	6
POA2731	Step family with no other children present	35
POA2732	Blended family with no other children present	8
POA2732	Intact family with no other children present	118
POA2732	Step family with no other children present	11
POA2733	Intact family with no other children present	46
POA2734	Intact family with no other children present	51
POA2734	Step family with no other children present	5
POA2735	Blended family with no other children present	3
POA2735	Intact family with no other children present	41
POA2736	Intact family with no other children present	33
POA2736	Step family with no other children present	3
POA2737	Blended family with no other children present	3
POA2737	Intact family with no other children present	81
POA2737	Step family with no other children present	3
POA2738	Blended family with no other children present	14
POA2738	Intact family with no other children present	201
POA2738	Other couple family with other children only	3
POA2738	Step family with no other children present	6
POA2739	Blended family with no other children present	7
POA2739	Intact family with no other children present	126
POA2739	Intact family with other children present	3
POA2739	Other couple family with other children only	3
POA2739	Step family with no other children present	13
POA2745	Blended family with no other children present	211
POA2745	Blended family with other children present	4
POA2745	Intact family with no other children present	4082
POA2745	Intact family with other children present	45
POA2745	Other couple family with other children only	18
POA2745	Step family with no other children present	306
POA2745	Step family with other children present	8
POA2747	Blended family with no other children present	278
POA2747	Blended family with other children present	9
POA2747	Intact family with no other children present	4582
POA2747	Intact family with other children present	86
POA2747	Other couple family with other children only	44
POA2747	Step family with no other children present	365
POA2747	Step family with other children present	12
POA2748	Blended family with no other children present	7
POA2748	Intact family with no other children present	261
POA2748	Intact family with other children present	3
POA2748	Step family with no other children present	8
POA2749	Blended family with no other children present	107
POA2749	Blended family with other children present	3
POA2749	Intact family with no other children present	2013
POA2749	Intact family with other children present	27
POA2749	Other couple family with other children only	18
POA2749	Step family with no other children present	169
POA2749	Step family with other children present	5
POA2750	Blended family with no other children present	279
POA2750	Blended family with other children present	9
POA2750	Intact family with no other children present	4343
POA2750	Intact family with other children present	62
POA2750	Other couple family with other children only	34
POA2750	Step family with no other children present	392
POA2750	Step family with other children present	13
POA2752	Blended family with no other children present	39
POA2752	Intact family with no other children present	646
POA2752	Intact family with other children present	11
POA2752	Other couple family with other children only	4
POA2752	Step family with no other children present	53
POA2752	Step family with other children present	6
POA2753	Blended family with no other children present	121
POA2753	Intact family with no other children present	1699
POA2753	Intact family with other children present	26
POA2753	Other couple family with other children only	14
POA2753	Step family with no other children present	170
POA2753	Step family with other children present	3
POA2754	Blended family with no other children present	50
POA2754	Intact family with no other children present	549
POA2754	Intact family with other children present	16
POA2754	Other couple family with other children only	4
POA2754	Step family with no other children present	61
POA2756	Blended family with no other children present	229
POA2756	Blended family with other children present	3
POA2756	Intact family with no other children present	3905
POA2756	Intact family with other children present	58
POA2756	Other couple family with other children only	25
POA2756	Step family with no other children present	372
POA2756	Step family with other children present	9
POA2757	Blended family with no other children present	8
POA2757	Intact family with no other children present	94
POA2757	Step family with no other children present	4
POA2758	Blended family with no other children present	56
POA2758	Intact family with no other children present	1075
POA2758	Intact family with other children present	17
POA2758	Other couple family with other children only	11
POA2758	Step family with no other children present	54
POA2759	Blended family with no other children present	168
POA2759	Blended family with other children present	5
POA2759	Intact family with no other children present	3499
POA2759	Intact family with other children present	66
POA2759	Other couple family with other children only	18
POA2759	Step family with no other children present	239
POA2759	Step family with other children present	9
POA2760	Blended family with no other children present	193
POA2760	Blended family with other children present	8
POA2760	Intact family with no other children present	3275
POA2760	Intact family with other children present	73
POA2760	Other couple family with other children only	18
POA2760	Step family with no other children present	307
POA2760	Step family with other children present	3
POA2761	Blended family with no other children present	182
POA2761	Blended family with other children present	4
POA2761	Intact family with no other children present	4450
POA2761	Intact family with other children present	122
POA2761	Other couple family with other children only	13
POA2761	Step family with no other children present	212
POA2761	Step family with other children present	7
POA2762	Blended family with no other children present	26
POA2762	Intact family with no other children present	696
POA2762	Intact family with other children present	11
POA2762	Step family with no other children present	37
POA2763	Blended family with no other children present	132
POA2763	Blended family with other children present	3
POA2763	Intact family with no other children present	4576
POA2763	Intact family with other children present	104
POA2763	Other couple family with other children only	14
POA2763	Step family with no other children present	252
POA2763	Step family with other children present	4
POA2765	Blended family with no other children present	76
POA2765	Blended family with other children present	6
POA2765	Intact family with no other children present	1750
POA2765	Intact family with other children present	33
POA2765	Other couple family with other children only	9
POA2765	Step family with no other children present	121
POA2765	Step family with other children present	5
POA2766	Blended family with no other children present	69
POA2766	Intact family with no other children present	1986
POA2766	Intact family with other children present	52
POA2766	Other couple family with other children only	5
POA2766	Step family with no other children present	108
POA2767	Blended family with no other children present	102
POA2767	Blended family with other children present	3
POA2767	Intact family with no other children present	3037
POA2767	Intact family with other children present	87
POA2767	Other couple family with other children only	15
POA2767	Step family with no other children present	154
POA2767	Step family with other children present	5
POA2768	Blended family with no other children present	121
POA2768	Blended family with other children present	3
POA2768	Intact family with no other children present	4557
POA2768	Intact family with other children present	89
POA2768	Other couple family with other children only	12
POA2768	Step family with no other children present	225
POA2768	Step family with other children present	10
POA2769	Blended family with no other children present	59
POA2769	Intact family with no other children present	2067
POA2769	Intact family with other children present	24
POA2769	Other couple family with other children only	4
POA2769	Step family with no other children present	95
POA2770	Blended family with no other children present	347
POA2770	Blended family with other children present	9
POA2770	Intact family with no other children present	5900
POA2770	Intact family with other children present	197
POA2770	Other couple family with other children only	62
POA2770	Step family with no other children present	382
POA2770	Step family with other children present	23
POA2773	Blended family with no other children present	27
POA2773	Intact family with no other children present	758
POA2773	Intact family with other children present	8
POA2773	Other couple family with other children only	3
POA2773	Step family with no other children present	52
POA2774	Blended family with no other children present	65
POA2774	Intact family with no other children present	1611
POA2774	Intact family with other children present	12
POA2774	Other couple family with other children only	3
POA2774	Step family with no other children present	140
POA2774	Step family with other children present	4
POA2775	Blended family with no other children present	4
POA2775	Intact family with no other children present	103
POA2775	Other couple family with other children only	3
POA2775	Step family with no other children present	11
POA2776	Blended family with no other children present	32
POA2776	Intact family with no other children present	462
POA2776	Intact family with other children present	7
POA2776	Other couple family with other children only	4
POA2776	Step family with no other children present	41
POA2777	Blended family with no other children present	88
POA2777	Intact family with no other children present	2041
POA2777	Intact family with other children present	14
POA2777	Other couple family with other children only	15
POA2777	Step family with no other children present	179
POA2778	Blended family with no other children present	17
POA2778	Intact family with no other children present	271
POA2778	Step family with no other children present	22
POA2779	Blended family with no other children present	36
POA2779	Intact family with no other children present	562
POA2779	Intact family with other children present	5
POA2779	Other couple family with other children only	6
POA2779	Step family with no other children present	47
POA2779	Step family with other children present	3
POA2780	Blended family with no other children present	52
POA2780	Intact family with no other children present	908
POA2780	Intact family with other children present	14
POA2780	Other couple family with other children only	6
POA2780	Step family with no other children present	91
