POA_CODE_2016	FamilyComposition	families_with_children
POA2009	Intact family with no other children present	759
POA2009	Intact family with other children present	4
POA2009	Step family with no other children present	48
POA2010	Blended family with no other children present	11
POA2010	Intact family with no other children present	816
POA2010	Intact family with other children present	9
POA2010	Step family with no other children present	65
POA2011	Blended family with no other children present	9
POA2011	Intact family with no other children present	426
POA2011	Intact family with other children present	4
POA2011	Step family with no other children present	36
POA2015	Blended family with no other children present	10
POA2015	Intact family with no other children present	646
POA2015	Intact family with other children present	3
POA2015	Step family with no other children present	47
POA2015	Step family with other children present	3
POA2016	Blended family with no other children present	9
POA2016	Intact family with no other children present	532
POA2016	Intact family with other children present	4
POA2016	Other couple family with other children only	9
POA2016	Step family with no other children present	37
POA2017	Blended family with no other children present	14
POA2017	Intact family with no other children present	1023
POA2017	Intact family with other children present	11
POA2017	Other couple family with other children only	5
POA2017	Step family with no other children present	67
POA2018	Blended family with no other children present	41
POA2018	Intact family with no other children present	1793
POA2018	Intact family with other children present	38
POA2018	Other couple family with other children only	4
POA2018	Step family with no other children present	79
POA2019	Blended family with no other children present	40
POA2019	Intact family with no other children present	1361
POA2019	Intact family with other children present	15
POA2019	Other couple family with other children only	7
POA2019	Step family with no other children present	73
POA2020	Blended family with no other children present	46
POA2020	Intact family with no other children present	1405
POA2020	Intact family with other children present	20
POA2020	Other couple family with other children only	4
POA2020	Step family with no other children present	70
POA2021	Blended family with no other children present	25
POA2021	Intact family with no other children present	1185
POA2021	Other couple family with other children only	3
POA2021	Step family with no other children present	73
POA2022	Blended family with no other children present	11
POA2022	Intact family with no other children present	1061
POA2022	Intact family with other children present	10
POA2022	Other couple family with other children only	5
POA2022	Step family with no other children present	71
POA2023	Blended family with no other children present	32
POA2023	Intact family with no other children present	1178
POA2023	Intact family with other children present	3
POA2023	Other couple family with other children only	3
POA2023	Step family with no other children present	51
POA2024	Blended family with no other children present	21
POA2024	Intact family with no other children present	1188
POA2024	Intact family with other children present	5
POA2024	Step family with no other children present	53
POA2025	Blended family with no other children present	6
POA2025	Intact family with no other children present	670
POA2025	Step family with no other children present	37
POA2026	Blended family with no other children present	45
POA2026	Intact family with no other children present	2668
POA2026	Intact family with other children present	11
POA2026	Other couple family with other children only	3
POA2026	Step family with no other children present	126
POA2027	Blended family with no other children present	5
POA2027	Intact family with no other children present	547
POA2027	Intact family with other children present	3
POA2027	Step family with no other children present	39
POA2028	Blended family with no other children present	4
POA2028	Intact family with no other children present	338
POA2028	Step family with no other children present	22
POA2029	Blended family with no other children present	21
POA2029	Intact family with no other children present	1080
POA2029	Intact family with other children present	10
POA2029	Step family with no other children present	68
POA2030	Blended family with no other children present	35
POA2030	Intact family with no other children present	1915
POA2030	Intact family with other children present	12
POA2030	Step family with no other children present	80
POA2031	Blended family with no other children present	65
POA2031	Intact family with no other children present	3394
POA2031	Intact family with other children present	15
POA2031	Other couple family with other children only	10
POA2031	Step family with no other children present	165
POA2031	Step family with other children present	3
POA2032	Blended family with no other children present	22
POA2032	Intact family with no other children present	1319
POA2032	Intact family with other children present	13
POA2032	Other couple family with other children only	4
POA2032	Step family with no other children present	57
POA2033	Blended family with no other children present	17
POA2033	Intact family with no other children present	908
POA2033	Intact family with other children present	10
POA2033	Other couple family with other children only	3
POA2033	Step family with no other children present	49
POA2034	Blended family with no other children present	30
POA2034	Intact family with no other children present	1988
POA2034	Intact family with other children present	10
POA2034	Other couple family with other children only	3
POA2034	Step family with no other children present	84
POA2035	Blended family with no other children present	68
POA2035	Blended family with other children present	3
POA2035	Intact family with no other children present	3796
POA2035	Intact family with other children present	33
POA2035	Other couple family with other children only	12
POA2035	Step family with no other children present	171
POA2035	Step family with other children present	9
POA2036	Blended family with no other children present	121
POA2036	Intact family with no other children present	3333
POA2036	Intact family with other children present	42
POA2036	Other couple family with other children only	21
POA2036	Step family with no other children present	187
POA2037	Blended family with no other children present	17
POA2037	Intact family with no other children present	921
POA2037	Intact family with other children present	7
POA2037	Step family with no other children present	76
POA2038	Blended family with no other children present	21
POA2038	Intact family with no other children present	913
POA2038	Other couple family with other children only	3
POA2038	Step family with no other children present	62
POA2039	Blended family with no other children present	9
POA2039	Intact family with no other children present	901
POA2039	Intact family with other children present	7
POA2039	Step family with no other children present	42
POA2040	Blended family with no other children present	47
POA2040	Intact family with no other children present	2513
POA2040	Intact family with other children present	16
POA2040	Other couple family with other children only	3
POA2040	Step family with no other children present	146
POA2040	Step family with other children present	3
POA2041	Blended family with no other children present	30
POA2041	Intact family with no other children present	1647
POA2041	Intact family with other children present	3
POA2041	Other couple family with other children only	3
POA2041	Step family with no other children present	86
POA2042	Blended family with no other children present	20
POA2042	Intact family with no other children present	1168
POA2042	Intact family with other children present	11
POA2042	Other couple family with other children only	9
POA2042	Step family with no other children present	84
POA2042	Step family with other children present	3
POA2043	Blended family with no other children present	6
POA2043	Intact family with no other children present	531
POA2043	Step family with no other children present	34
POA2044	Blended family with no other children present	12
POA2044	Intact family with no other children present	715
POA2044	Intact family with other children present	15
POA2044	Other couple family with other children only	10
POA2044	Step family with no other children present	43
POA2045	Blended family with no other children present	12
POA2045	Intact family with no other children present	898
POA2045	Intact family with other children present	7
POA2045	Step family with no other children present	35
POA2046	Blended family with no other children present	53
POA2046	Intact family with no other children present	3271
POA2046	Intact family with other children present	13
POA2046	Other couple family with other children only	11
POA2046	Step family with no other children present	166
POA2046	Step family with other children present	3
POA2047	Blended family with no other children present	24
POA2047	Intact family with no other children present	1198
POA2047	Intact family with other children present	6
POA2047	Other couple family with other children only	7
POA2047	Step family with no other children present	61
POA2048	Blended family with no other children present	12
POA2048	Intact family with no other children present	658
POA2048	Intact family with other children present	9
POA2048	Step family with no other children present	34
POA2049	Blended family with no other children present	15
POA2049	Intact family with no other children present	989
POA2049	Intact family with other children present	10
POA2049	Other couple family with other children only	4
POA2049	Step family with no other children present	48
POA2050	Blended family with no other children present	3
POA2050	Intact family with no other children present	409
POA2050	Step family with no other children present	23
POA2052	Intact family with no other children present	6
POA2060	Blended family with no other children present	13
POA2060	Intact family with no other children present	954
POA2060	Intact family with other children present	5
POA2060	Step family with no other children present	67
POA2061	Blended family with no other children present	3
POA2061	Intact family with no other children present	337
POA2061	Step family with no other children present	20
POA2062	Blended family with no other children present	21
POA2062	Intact family with no other children present	734
POA2062	Other couple family with other children only	3
POA2062	Step family with no other children present	38
POA2063	Blended family with no other children present	14
POA2063	Intact family with no other children present	937
POA2063	Intact family with other children present	10
POA2063	Step family with no other children present	40
POA2064	Blended family with no other children present	12
POA2064	Intact family with no other children present	1217
POA2064	Intact family with other children present	10
POA2064	Other couple family with other children only	3
POA2064	Step family with no other children present	39
POA2065	Blended family with no other children present	40
POA2065	Intact family with no other children present	2897
POA2065	Intact family with other children present	19
POA2065	Other couple family with other children only	3
POA2065	Step family with no other children present	157
POA2066	Blended family with no other children present	64
POA2066	Intact family with no other children present	4011
POA2066	Intact family with other children present	18
POA2066	Other couple family with other children only	6
POA2066	Step family with no other children present	165
POA2067	Blended family with no other children present	37
POA2067	Intact family with no other children present	3127
POA2067	Intact family with other children present	24
POA2067	Other couple family with other children only	13
POA2067	Step family with no other children present	119
POA2068	Blended family with no other children present	51
POA2068	Intact family with no other children present	2506
POA2068	Intact family with other children present	15
POA2068	Other couple family with other children only	4
POA2068	Step family with no other children present	88
POA2069	Blended family with no other children present	31
POA2069	Intact family with no other children present	2125
POA2069	Intact family with other children present	13
POA2069	Step family with no other children present	67
POA2070	Blended family with no other children present	28
POA2070	Blended family with other children present	3
POA2070	Intact family with no other children present	2013
POA2070	Intact family with other children present	23
POA2070	Step family with no other children present	78
POA2071	Blended family with no other children present	28
POA2071	Intact family with no other children present	2007
POA2071	Intact family with other children present	21
POA2071	Other couple family with other children only	6
POA2071	Step family with no other children present	91
POA2072	Blended family with no other children present	20
POA2072	Intact family with no other children present	1075
POA2072	Intact family with other children present	11
POA2072	Step family with no other children present	47
POA2073	Blended family with no other children present	30
POA2073	Intact family with no other children present	2667
POA2073	Intact family with other children present	15
POA2073	Other couple family with other children only	7
POA2073	Step family with no other children present	79
POA2074	Blended family with no other children present	53
POA2074	Intact family with no other children present	3179
POA2074	Intact family with other children present	27
POA2074	Step family with no other children present	116
POA2075	Blended family with no other children present	49
POA2075	Intact family with no other children present	3153
POA2075	Intact family with other children present	31
POA2075	Other couple family with other children only	4
POA2075	Step family with no other children present	130
POA2076	Blended family with no other children present	50
POA2076	Blended family with other children present	3
POA2076	Intact family with no other children present	3489
POA2076	Intact family with other children present	17
POA2076	Other couple family with other children only	8
POA2076	Step family with no other children present	125
POA2077	Blended family with no other children present	89
POA2077	Intact family with no other children present	5075
POA2077	Intact family with other children present	47
POA2077	Other couple family with other children only	14
POA2077	Step family with no other children present	193
POA2077	Step family with other children present	3
POA2079	Blended family with no other children present	21
POA2079	Intact family with no other children present	1096
POA2079	Intact family with other children present	10
POA2079	Other couple family with other children only	3
POA2079	Step family with no other children present	65
POA2080	Blended family with no other children present	3
POA2080	Intact family with no other children present	241
POA2080	Intact family with other children present	4
POA2080	Step family with no other children present	14
POA2081	Blended family with no other children present	20
POA2081	Intact family with no other children present	839
POA2081	Intact family with other children present	9
POA2081	Step family with no other children present	37
POA2082	Blended family with no other children present	26
POA2082	Intact family with no other children present	831
POA2082	Intact family with other children present	3
POA2082	Step family with no other children present	50
POA2083	Blended family with no other children present	6
POA2083	Intact family with no other children present	128
POA2083	Step family with no other children present	15
POA2084	Blended family with no other children present	10
POA2084	Intact family with no other children present	502
POA2084	Intact family with other children present	7
POA2084	Step family with no other children present	22
POA2085	Blended family with no other children present	37
POA2085	Intact family with no other children present	1603
POA2085	Intact family with other children present	13
POA2085	Other couple family with other children only	8
POA2085	Step family with no other children present	88
POA2086	Blended family with no other children present	47
POA2086	Intact family with no other children present	2106
POA2086	Intact family with other children present	12
POA2086	Other couple family with other children only	3
POA2086	Step family with no other children present	100
POA2086	Step family with other children present	3
POA2087	Blended family with no other children present	31
POA2087	Intact family with no other children present	1904
POA2087	Intact family with other children present	9
POA2087	Step family with no other children present	83
POA2087	Step family with other children present	3
POA2088	Blended family with no other children present	46
POA2088	Intact family with no other children present	3309
POA2088	Intact family with other children present	10
POA2088	Other couple family with other children only	4
POA2088	Step family with no other children present	143
POA2089	Blended family with no other children present	16
POA2089	Intact family with no other children present	905
POA2089	Other couple family with other children only	4
POA2089	Step family with no other children present	64
POA2090	Blended family with no other children present	21
POA2090	Intact family with no other children present	1268
POA2090	Intact family with other children present	3
POA2090	Step family with no other children present	75
POA2092	Blended family with no other children present	14
POA2092	Intact family with no other children present	1143
POA2092	Intact family with other children present	6
POA2092	Other couple family with other children only	3
POA2092	Step family with no other children present	43
POA2093	Blended family with no other children present	56
POA2093	Intact family with no other children present	3218
POA2093	Intact family with other children present	15
POA2093	Other couple family with other children only	8
POA2093	Step family with no other children present	137
POA2093	Step family with other children present	3
POA2094	Blended family with no other children present	16
POA2094	Intact family with no other children present	659
POA2094	Intact family with other children present	3
POA2094	Step family with no other children present	36
POA2095	Blended family with no other children present	18
POA2095	Intact family with no other children present	1288
POA2095	Intact family with other children present	10
POA2095	Other couple family with other children only	3
POA2095	Step family with no other children present	85
POA2096	Blended family with no other children present	35
POA2096	Intact family with no other children present	1704
POA2096	Intact family with other children present	6
POA2096	Other couple family with other children only	4
POA2096	Step family with no other children present	71
POA2097	Blended family with no other children present	52
POA2097	Intact family with no other children present	2039
POA2097	Intact family with other children present	24
POA2097	Other couple family with other children only	6
POA2097	Step family with no other children present	117
