POA_CODE_2016	PrivateDwelling	persons
POA0800	0	5711
POA0800	1	4764
POA0810	0	4400
POA0810	1	29411
POA0812	0	2298
POA0812	1	16992
POA0815	0	321
POA0820	0	4437
POA0820	1	16781
POA0822	0	5298
POA0822	1	22622
POA0828	0	899
POA0828	1	752
POA0829	0	2159
POA0829	1	201
POA0830	0	1952
POA0830	1	16324
POA0832	0	909
POA0832	1	14432
POA0834	0	389
POA0834	1	1701
POA0835	0	3941
POA0835	1	2911
POA0836	0	804
POA0836	1	7045
POA0837	0	150
POA0837	1	340
POA0838	0	172
POA0838	1	724
POA0839	0	202
POA0839	1	454
POA0840	0	83
POA0840	1	336
POA0841	0	92
POA0841	1	610
POA0845	0	265
POA0845	1	400
POA0846	0	130
POA0846	1	314
POA0847	0	193
POA0847	1	274
POA0850	0	3611
POA0850	1	6246
POA0852	0	3725
POA0852	1	6950
POA0853	0	404
POA0853	1	587
POA0854	0	221
POA0854	1	729
POA0860	0	665
POA0860	1	2500
POA0862	0	557
POA0862	1	636
POA0870	0	4509
POA0870	1	16446
POA0872	0	5623
POA0872	1	12582
POA0873	0	1680
POA0873	1	1924
POA0874	0	158
POA0874	1	444
POA0875	0	196
POA0875	1	2066
POA0880	0	729
POA0880	1	4714
POA0885	0	505
POA0885	1	690
POA0886	0	701
POA0886	1	844
POA2000	0	17264
POA2000	1	22276
POA2006	0	1713
POA2006	1	16
POA2007	0	2125
POA2007	1	6735
POA2008	0	2761
POA2008	1	9239
POA2009	0	1989
POA2009	1	11564
POA2010	0	6336
POA2010	1	22230
POA2011	0	9079
POA2011	1	15060
POA2015	0	761
POA2015	1	8962
POA2016	0	1672
POA2016	1	11384
POA2017	0	2965
POA2017	1	21910
POA2018	0	1005
POA2018	1	15925
POA2019	0	747
POA2019	1	9999
POA2020	0	2161
POA2020	1	13827
POA2021	0	1725
POA2021	1	13284
POA2022	0	1936
POA2022	1	10735
POA2023	0	1059
POA2023	1	9544
POA2024	0	1516
POA2024	1	9431
POA2025	0	913
POA2025	1	6361
POA2026	0	4084
POA2026	1	28119
POA2027	0	1218
POA2027	1	7005
POA2028	0	572
POA2028	1	4080
POA2029	0	852
POA2029	1	8969
POA2030	0	1092
POA2030	1	12861
POA2031	0	4333
POA2031	1	30848
POA2032	0	846
POA2032	1	15723
POA2033	0	1139
POA2033	1	10221
POA2034	0	2317
POA2034	1	18432
POA2035	0	1951
POA2035	1	32034
POA2036	0	3844
POA2036	1	26359
POA2037	0	2114
POA2037	1	13920
POA2038	0	986
POA2038	1	8274
POA2039	0	720
POA2039	1	7827
POA2040	0	1903
POA2040	1	20072
POA2041	0	1410
POA2041	1	13971
POA2042	0	2514
POA2042	1	16329
POA2043	0	640
POA2043	1	7216
POA2044	0	620
POA2044	1	7215
POA2045	0	274
POA2045	1	6085
POA2046	0	1548
POA2046	1	24908
POA2047	0	1051
POA2047	1	10666
POA2048	0	870
POA2048	1	7005
POA2049	0	1318
POA2049	1	9837
POA2050	0	1592
POA2050	1	7894
