POA_CODE_2016	Age	Sex	Volunteer	adults
POA0800	15-19	F		16
POA0800	15-19	F	0	53
POA0800	15-19	F	1	10
POA0800	15-19	M		7
POA0800	15-19	M	0	34
POA0800	15-19	M	1	10
POA0800	20-24	F		67
POA0800	20-24	F	0	238
POA0800	20-24	F	1	29
POA0800	20-24	M		65
POA0800	20-24	M	0	225
POA0800	20-24	M	1	32
POA0800	25-34	F		173
POA0800	25-34	F	0	767
POA0800	25-34	F	1	114
POA0800	25-34	M		243
POA0800	25-34	M	0	904
POA0800	25-34	M	1	134
POA0800	35-44	F		68
POA0800	35-44	F	0	267
POA0800	35-44	F	1	77
POA0800	35-44	M		97
POA0800	35-44	M	0	414
POA0800	35-44	M	1	90
POA0800	45-54	F		51
POA0800	45-54	F	0	207
POA0800	45-54	F	1	60
POA0800	45-54	M		86
POA0800	45-54	M	0	354
POA0800	45-54	M	1	53
POA0800	55-64	F		38
POA0800	55-64	F	0	149
POA0800	55-64	F	1	49
POA0800	55-64	M		73
POA0800	55-64	M	0	273
POA0800	55-64	M	1	66
POA0800	65-74	F		23
POA0800	65-74	F	0	56
POA0800	65-74	F	1	30
POA0800	65-74	M		25
POA0800	65-74	M	0	100
POA0800	65-74	M	1	28
POA0800	75-84	F		3
POA0800	75-84	F	0	16
POA0800	75-84	F	1	6
POA0800	75-84	M		9
POA0800	75-84	M	0	17
POA0800	75-84	M	1	3
POA0800	85+	F		5
POA0800	85+	F	0	6
POA0800	85+	M	0	9
POA0810	15-19	F		107
POA0810	15-19	F	0	569
POA0810	15-19	F	1	198
POA0810	15-19	M		98
POA0810	15-19	M	0	688
POA0810	15-19	M	1	166
POA0810	20-24	F		126
POA0810	20-24	F	0	729
POA0810	20-24	F	1	155
POA0810	20-24	M		126
POA0810	20-24	M	0	765
POA0810	20-24	M	1	122
POA0810	25-34	F		368
POA0810	25-34	F	0	2208
POA0810	25-34	F	1	640
POA0810	25-34	M		379
POA0810	25-34	M	0	2362
POA0810	25-34	M	1	424
POA0810	35-44	F		250
POA0810	35-44	F	0	1751
POA0810	35-44	F	1	680
POA0810	35-44	M		307
POA0810	35-44	M	0	1894
POA0810	35-44	M	1	524
POA0810	45-54	F		230
POA0810	45-54	F	0	1393
POA0810	45-54	F	1	574
POA0810	45-54	M		250
POA0810	45-54	M	0	1450
POA0810	45-54	M	1	466
POA0810	55-64	F		199
POA0810	55-64	F	0	1083
POA0810	55-64	F	1	391
POA0810	55-64	M		188
POA0810	55-64	M	0	1171
POA0810	55-64	M	1	302
POA0810	65-74	F		131
POA0810	65-74	F	0	650
POA0810	65-74	F	1	244
POA0810	65-74	M		149
POA0810	65-74	M	0	784
POA0810	65-74	M	1	200
POA0810	75-84	F		70
POA0810	75-84	F	0	293
POA0810	75-84	F	1	76
POA0810	75-84	M		53
POA0810	75-84	M	0	315
POA0810	75-84	M	1	55
POA0810	85+	F		20
POA0810	85+	F	0	102
POA0810	85+	F	1	5
POA0810	85+	M		13
POA0810	85+	M	0	67
POA0810	85+	M	1	5
POA0812	15-19	F		70
POA0812	15-19	F	0	384
POA0812	15-19	F	1	114
POA0812	15-19	M		92
POA0812	15-19	M	0	466
POA0812	15-19	M	1	101
POA0812	20-24	F		70
POA0812	20-24	F	0	354
POA0812	20-24	F	1	110
POA0812	20-24	M		70
POA0812	20-24	M	0	465
POA0812	20-24	M	1	59
POA0812	25-34	F		192
POA0812	25-34	F	0	1035
POA0812	25-34	F	1	244
POA0812	25-34	M		194
POA0812	25-34	M	0	1009
POA0812	25-34	M	1	181
POA0812	35-44	F		130
POA0812	35-44	F	0	979
POA0812	35-44	F	1	327
POA0812	35-44	M		143
POA0812	35-44	M	0	968
POA0812	35-44	M	1	270
POA0812	45-54	F		144
POA0812	45-54	F	0	929
POA0812	45-54	F	1	307
POA0812	45-54	M		132
POA0812	45-54	M	0	922
POA0812	45-54	M	1	247
POA0812	55-64	F		129
POA0812	55-64	F	0	813
POA0812	55-64	F	1	256
POA0812	55-64	M		131
POA0812	55-64	M	0	894
POA0812	55-64	M	1	184
POA0812	65-74	F		51
POA0812	65-74	F	0	412
POA0812	65-74	F	1	108
POA0812	65-74	M		76
POA0812	65-74	M	0	486
POA0812	65-74	M	1	102
POA0812	75-84	F		29
POA0812	75-84	F	0	152
POA0812	75-84	F	1	28
POA0812	75-84	M		18
POA0812	75-84	M	0	144
POA0812	75-84	M	1	14
POA0812	85+	F		5
POA0812	85+	F	0	35
POA0812	85+	F	1	3
POA0812	85+	M	0	31
POA0812	85+	M	1	3
POA0815	15-19	F		4
POA0815	15-19	F	0	6
POA0815	15-19	F	1	5
POA0815	15-19	M		9
POA0815	15-19	M	0	3
POA0815	20-24	F		10
POA0815	20-24	F	0	14
POA0815	20-24	F	1	4
POA0815	20-24	M		29
POA0815	20-24	M	0	42
POA0815	20-24	M	1	8
POA0815	25-34	F		15
POA0815	25-34	F	0	20
POA0815	25-34	F	1	7
POA0815	25-34	M		26
POA0815	25-34	M	0	35
POA0815	25-34	M	1	19
POA0815	35-44	F		3
POA0815	35-44	M		7
POA0815	35-44	M	0	6
POA0815	35-44	M	1	3
POA0815	45-54	M	0	3
POA0815	55-64	F	0	3
POA0815	55-64	M		3
POA0815	55-64	M	0	4
POA0820	15-19	F		47
POA0820	15-19	F	0	271
POA0820	15-19	F	1	73
POA0820	15-19	M		64
POA0820	15-19	M	0	321
POA0820	15-19	M	1	73
POA0820	20-24	F		71
POA0820	20-24	F	0	431
POA0820	20-24	F	1	99
POA0820	20-24	M		129
POA0820	20-24	M	0	501
POA0820	20-24	M	1	95
POA0820	25-34	F		275
POA0820	25-34	F	0	1560
POA0820	25-34	F	1	415
POA0820	25-34	M		344
POA0820	25-34	M	0	1693
POA0820	25-34	M	1	306
POA0820	35-44	F		160
POA0820	35-44	F	0	910
POA0820	35-44	F	1	384
POA0820	35-44	M		200
POA0820	35-44	M	0	1099
POA0820	35-44	M	1	292
POA0820	45-54	F		132
POA0820	45-54	F	0	783
POA0820	45-54	F	1	355
POA0820	45-54	M		171
POA0820	45-54	M	0	986
POA0820	45-54	M	1	315
POA0820	55-64	F		114
POA0820	55-64	F	0	626
POA0820	55-64	F	1	245
POA0820	55-64	M		127
POA0820	55-64	M	0	751
POA0820	55-64	M	1	213
POA0820	65-74	F		58
POA0820	65-74	F	0	324
POA0820	65-74	F	1	128
POA0820	65-74	M		82
POA0820	65-74	M	0	445
POA0820	65-74	M	1	132
POA0820	75-84	F		15
POA0820	75-84	F	0	138
POA0820	75-84	F	1	38
POA0820	75-84	M		35
POA0820	75-84	M	0	164
POA0820	75-84	M	1	37
POA0820	85+	F		9
POA0820	85+	F	0	67
POA0820	85+	F	1	4
POA0820	85+	M		12
POA0820	85+	M	0	47
POA0820	85+	M	1	4
POA0822	15-19	F		146
POA0822	15-19	F	0	804
POA0822	15-19	F	1	93
POA0822	15-19	M		206
POA0822	15-19	M	0	846
POA0822	15-19	M	1	77
POA0822	20-24	F		108
POA0822	20-24	F	0	798
POA0822	20-24	F	1	76
POA0822	20-24	M		107
POA0822	20-24	M	0	813
POA0822	20-24	M	1	101
POA0822	25-34	F		284
POA0822	25-34	F	0	1584
POA0822	25-34	F	1	277
POA0822	25-34	M		330
POA0822	25-34	M	0	1562
POA0822	25-34	M	1	239
POA0822	35-44	F		261
POA0822	35-44	F	0	1232
POA0822	35-44	F	1	292
POA0822	35-44	M		339
POA0822	35-44	M	0	1291
POA0822	35-44	M	1	247
POA0822	45-54	F		222
POA0822	45-54	F	0	1099
POA0822	45-54	F	1	261
POA0822	45-54	M		248
POA0822	45-54	M	0	1178
POA0822	45-54	M	1	222
POA0822	55-64	F		139
POA0822	55-64	F	0	766
POA0822	55-64	F	1	186
POA0822	55-64	M		196
POA0822	55-64	M	0	803
POA0822	55-64	M	1	164
POA0822	65-74	F		66
POA0822	65-74	F	0	306
POA0822	65-74	F	1	80
POA0822	65-74	M		94
POA0822	65-74	M	0	371
POA0822	65-74	M	1	70
POA0822	75-84	F		20
POA0822	75-84	F	0	97
POA0822	75-84	F	1	17
POA0822	75-84	M		35
POA0822	75-84	M	0	84
POA0822	75-84	M	1	16
POA0822	85+	F		7
POA0822	85+	F	0	15
POA0822	85+	F	1	3
POA0822	85+	M	0	8
POA0828	15-19	F		12
POA0828	15-19	F	0	44
POA0828	15-19	F	1	22
POA0828	15-19	M		9
POA0828	15-19	M	0	57
POA0828	15-19	M	1	5
POA0828	20-24	F		3
POA0828	20-24	F	0	30
POA0828	20-24	F	1	10
POA0828	20-24	M		6
POA0828	20-24	M	0	37
POA0828	20-24	M	1	9
POA0828	25-34	F		18
POA0828	25-34	F	0	47
POA0828	25-34	F	1	8
POA0828	25-34	M		6
POA0828	25-34	M	0	59
POA0828	25-34	M	1	12
POA0828	35-44	F		13
POA0828	35-44	F	0	44
POA0828	35-44	F	1	14
POA0828	35-44	M		14
POA0828	35-44	M	0	45
POA0828	35-44	M	1	10
POA0828	45-54	F		12
POA0828	45-54	F	0	50
POA0828	45-54	F	1	21
POA0828	45-54	M		12
POA0828	45-54	M	0	50
POA0828	45-54	M	1	19
POA0828	55-64	F		17
POA0828	55-64	F	0	36
POA0828	55-64	F	1	14
POA0828	55-64	M		26
POA0828	55-64	M	0	44
POA0828	55-64	M	1	21
POA0828	65-74	F		11
POA0828	65-74	F	0	25
POA0828	65-74	F	1	4
POA0828	65-74	M		14
POA0828	65-74	M	0	40
POA0828	65-74	M	1	7
POA0828	75-84	F	0	3
POA0828	75-84	F	1	4
POA0828	75-84	M	0	4
POA0828	75-84	M	1	3
POA0828	85+	M	0	3
POA0829	15-19	F	0	5
POA0829	15-19	F	1	3
POA0829	15-19	M		24
POA0829	15-19	M	0	56
POA0829	15-19	M	1	7
POA0829	20-24	F		14
POA0829	20-24	F	0	36
POA0829	20-24	F	1	3
POA0829	20-24	M		160
POA0829	20-24	M	0	223
POA0829	20-24	M	1	39
POA0829	25-34	F		30
POA0829	25-34	F	0	24
POA0829	25-34	F	1	5
POA0829	25-34	M		346
POA0829	25-34	M	0	124
POA0829	25-34	M	1	27
POA0829	35-44	F		24
POA0829	35-44	F	0	12
POA0829	35-44	F	1	3
POA0829	35-44	M		231
POA0829	35-44	M	0	33
POA0829	35-44	M	1	11
POA0829	45-54	F		14
POA0829	45-54	F	0	11
POA0829	45-54	F	1	6
POA0829	45-54	M		147
POA0829	45-54	M	0	33
POA0829	45-54	M	1	9
