POA_CODE_2016	HomeCensusNight	Sex	persons
POA0800	0	F	186
POA0800	0	M	287
POA0800	1	F	2651
POA0800	1	M	3342
POA0810	0	F	868
POA0810	0	M	961
POA0810	1	F	15656
POA0810	1	M	15811
POA0812	0	F	422
POA0812	0	M	487
POA0812	1	F	9015
POA0812	1	M	8959
POA0815	0	M	4
POA0815	1	F	99
POA0815	1	M	187
POA0820	0	F	497
POA0820	0	M	675
POA0820	1	F	8751
POA0820	1	M	9525
POA0822	0	F	659
POA0822	0	M	646
POA0822	1	F	11752
POA0822	1	M	12496
POA0828	0	F	45
POA0828	0	M	73
POA0828	1	F	528
POA0828	1	M	558
POA0829	0	F	16
POA0829	0	M	148
POA0829	1	F	240
POA0829	1	M	1434
POA0830	0	F	351
POA0830	0	M	515
POA0830	1	F	8630
POA0830	1	M	8712
POA0832	0	F	348
POA0832	0	M	453
POA0832	1	F	7408
POA0832	1	M	7355
POA0834	0	F	38
POA0834	0	M	36
POA0834	1	F	844
POA0834	1	M	922
POA0835	0	F	84
POA0835	0	M	147
POA0835	1	F	1473
POA0835	1	M	3425
POA0836	0	F	136
POA0836	0	M	197
POA0836	1	F	3543
POA0836	1	M	3877
POA0837	0	F	12
POA0837	0	M	11
POA0837	1	F	179
POA0837	1	M	216
POA0838	0	F	16
POA0838	0	M	19
POA0838	1	F	361
POA0838	1	M	417
POA0839	0	F	10
POA0839	0	M	17
POA0839	1	F	262
POA0839	1	M	259
POA0840	0	F	13
POA0840	0	M	15
POA0840	1	F	131
POA0840	1	M	199
POA0841	0	F	12
POA0841	0	M	29
POA0841	1	F	296
POA0841	1	M	360
POA0845	0	F	21
POA0845	0	M	24
POA0845	1	F	224
POA0845	1	M	241
POA0846	0	F	6
POA0846	0	M	14
POA0846	1	F	165
POA0846	1	M	172
POA0847	0	F	10
POA0847	0	M	12
POA0847	1	F	140
POA0847	1	M	167
POA0850	0	F	248
POA0850	0	M	293
POA0850	1	F	3714
POA0850	1	M	3882
POA0852	0	F	278
POA0852	0	M	266
POA0852	1	F	3734
POA0852	1	M	4031
POA0853	0	F	18
POA0853	0	M	72
POA0853	1	F	342
POA0853	1	M	427
POA0854	0	F	15
POA0854	0	M	27
POA0854	1	F	403
POA0854	1	M	426
POA0860	0	F	127
POA0860	0	M	145
POA0860	1	F	1288
POA0860	1	M	1431
POA0862	0	F	25
POA0862	0	M	37
POA0862	1	F	354
POA0862	1	M	346
POA0870	0	F	686
POA0870	0	M	746
POA0870	1	F	9341
POA0870	1	M	8861
POA0872	0	F	602
POA0872	0	M	519
POA0872	1	F	7063
POA0872	1	M	7277
