POA_CODE_2016	Age	NeedsAssistance	Sex	persons
POA0800	0-4		F	18
POA0800	0-4		M	17
POA0800	0-4	0	F	108
POA0800	0-4	0	M	129
POA0800	5-14		F	19
POA0800	5-14		M	18
POA0800	5-14	0	F	105
POA0800	5-14	0	M	115
POA0800	5-14	1	M	3
POA0800	15-19		F	10
POA0800	15-19		M	5
POA0800	15-19	0	F	60
POA0800	15-19	0	M	46
POA0800	20-24		F	64
POA0800	20-24		M	64
POA0800	20-24	0	F	261
POA0800	20-24	0	M	260
POA0800	25-34		F	171
POA0800	25-34		M	239
POA0800	25-34	0	F	882
POA0800	25-34	0	M	1030
POA0800	25-34	1	F	3
POA0800	25-34	1	M	7
POA0800	35-44		F	63
POA0800	35-44		M	97
POA0800	35-44	0	F	343
POA0800	35-44	0	M	497
POA0800	35-44	1	M	3
POA0800	45-54		F	56
POA0800	45-54		M	87
POA0800	45-54	0	F	258
POA0800	45-54	0	M	404
POA0800	45-54	1	F	7
POA0800	45-54	1	M	9
POA0800	55-64		F	33
POA0800	55-64		M	65
POA0800	55-64	0	F	198
POA0800	55-64	0	M	333
POA0800	55-64	1	F	8
POA0800	55-64	1	M	7
POA0800	65-74		F	19
POA0800	65-74		M	22
POA0800	65-74	0	F	88
POA0800	65-74	0	M	123
POA0800	65-74	1	F	4
POA0800	65-74	1	M	9
POA0800	75-84		F	7
POA0800	75-84		M	8
POA0800	75-84	0	F	20
POA0800	75-84	0	M	20
POA0800	75-84	1	F	9
POA0800	75-84	1	M	3
POA0800	85+	0	F	4
POA0800	85+	0	M	4
POA0800	85+	1	F	5
POA0800	85+	1	M	3
POA0810	0-4		F	140
POA0810	0-4		M	165
POA0810	0-4	0	F	1138
POA0810	0-4	0	M	1159
POA0810	0-4	1	F	13
POA0810	0-4	1	M	20
POA0810	5-14		F	187
POA0810	5-14		M	170
POA0810	5-14	0	F	1792
POA0810	5-14	0	M	1875
POA0810	5-14	1	F	28
POA0810	5-14	1	M	77
POA0810	15-19		F	78
POA0810	15-19		M	82
POA0810	15-19	0	F	792
POA0810	15-19	0	M	837
POA0810	15-19	1	F	14
POA0810	15-19	1	M	37
POA0810	20-24		F	118
POA0810	20-24		M	122
POA0810	20-24	0	F	878
POA0810	20-24	0	M	879
POA0810	20-24	1	F	6
POA0810	20-24	1	M	16
POA0810	25-34		F	363
POA0810	25-34		M	366
POA0810	25-34	0	F	2813
POA0810	25-34	0	M	2751
POA0810	25-34	1	F	35
POA0810	25-34	1	M	40
POA0810	35-44		F	251
POA0810	35-44		M	305
POA0810	35-44	0	F	2390
POA0810	35-44	0	M	2371
POA0810	35-44	1	F	42
POA0810	35-44	1	M	43
POA0810	45-54		F	228
POA0810	45-54		M	242
POA0810	45-54	0	F	1910
POA0810	45-54	0	M	1868
POA0810	45-54	1	F	59
POA0810	45-54	1	M	44
POA0810	55-64		F	184
POA0810	55-64		M	180
POA0810	55-64	0	F	1409
POA0810	55-64	0	M	1383
POA0810	55-64	1	F	76
POA0810	55-64	1	M	88
POA0810	65-74		F	112
POA0810	65-74		M	139
POA0810	65-74	0	F	820
POA0810	65-74	0	M	899
POA0810	65-74	1	F	91
POA0810	65-74	1	M	96
