POA_CODE_2016	IndigenousStatus	persons
POA0800	Aboriginal	188
POA0800	Both Aboriginal & Torres Strait Islander	11
POA0800	Non-indigenous	6245
POA0800	Torres Strait Islander	20
POA0810	Aboriginal	1856
POA0810	Both Aboriginal & Torres Strait Islander	189
POA0810	Non-indigenous	31132
POA0810	Torres Strait Islander	125
POA0812	Aboriginal	1701
POA0812	Both Aboriginal & Torres Strait Islander	296
POA0812	Non-indigenous	16771
POA0812	Torres Strait Islander	105
POA0815	Aboriginal	4
POA0815	Non-indigenous	288
POA0820	Aboriginal	978
POA0820	Both Aboriginal & Torres Strait Islander	41
POA0820	Non-indigenous	18397
POA0820	Torres Strait Islander	31
POA0822	Aboriginal	17540
POA0822	Both Aboriginal & Torres Strait Islander	261
POA0822	Non-indigenous	7697
POA0822	Torres Strait Islander	62
POA0828	Aboriginal	357
POA0828	Both Aboriginal & Torres Strait Islander	11
POA0828	Non-indigenous	833
POA0829	Aboriginal	792
POA0829	Both Aboriginal & Torres Strait Islander	6
POA0829	Non-indigenous	1035
POA0829	Torres Strait Islander	6
POA0830	Aboriginal	2222
POA0830	Both Aboriginal & Torres Strait Islander	164
POA0830	Non-indigenous	15719
POA0830	Torres Strait Islander	102
POA0832	Aboriginal	1166
POA0832	Both Aboriginal & Torres Strait Islander	104
POA0832	Non-indigenous	14245
POA0832	Torres Strait Islander	55
POA0834	Aboriginal	111
POA0834	Both Aboriginal & Torres Strait Islander	3
POA0834	Non-indigenous	1715
POA0834	Torres Strait Islander	7
POA0835	Aboriginal	194
POA0835	Both Aboriginal & Torres Strait Islander	7
POA0835	Non-indigenous	4918
POA0835	Torres Strait Islander	13
POA0836	Aboriginal	470
POA0836	Both Aboriginal & Torres Strait Islander	51
POA0836	Non-indigenous	7212
POA0836	Torres Strait Islander	23
POA0837	Aboriginal	80
POA0837	Both Aboriginal & Torres Strait Islander	3
POA0837	Non-indigenous	329
POA0838	Aboriginal	72
POA0838	Both Aboriginal & Torres Strait Islander	4
POA0838	Non-indigenous	739
POA0838	Torres Strait Islander	3
POA0839	Aboriginal	44
POA0839	Both Aboriginal & Torres Strait Islander	3
POA0839	Non-indigenous	497
POA0839	Torres Strait Islander	4
POA0840	Aboriginal	18
POA0840	Non-indigenous	345
POA0841	Aboriginal	42
POA0841	Both Aboriginal & Torres Strait Islander	8
POA0841	Non-indigenous	643
POA0841	Torres Strait Islander	3
POA0845	Aboriginal	157
POA0845	Both Aboriginal & Torres Strait Islander	15
POA0845	Non-indigenous	332
POA0845	Torres Strait Islander	3
POA0846	Aboriginal	84
POA0846	Both Aboriginal & Torres Strait Islander	3
POA0846	Non-indigenous	266
POA0847	Aboriginal	146
POA0847	Non-indigenous	182
POA0850	Aboriginal	1825
POA0850	Both Aboriginal & Torres Strait Islander	55
POA0850	Non-indigenous	6229
POA0850	Torres Strait Islander	29
POA0852	Aboriginal	5804
POA0852	Both Aboriginal & Torres Strait Islander	146
POA0852	Non-indigenous	2330
POA0852	Torres Strait Islander	19
POA0853	Aboriginal	24
POA0853	Non-indigenous	833
POA0854	Aboriginal	644
POA0854	Both Aboriginal & Torres Strait Islander	18
POA0854	Non-indigenous	204
POA0854	Torres Strait Islander	5
POA0860	Aboriginal	1509
POA0860	Both Aboriginal & Torres Strait Islander	21
POA0860	Non-indigenous	1455
POA0860	Torres Strait Islander	6
POA0862	Aboriginal	499
POA0862	Both Aboriginal & Torres Strait Islander	6
POA0862	Non-indigenous	257
POA0862	Torres Strait Islander	3
POA0870	Aboriginal	3051
POA0870	Both Aboriginal & Torres Strait Islander	55
POA0870	Non-indigenous	16489
POA0870	Torres Strait Islander	33
POA0872	Aboriginal	12059
POA0872	Both Aboriginal & Torres Strait Islander	112
POA0872	Non-indigenous	3254
POA0872	Torres Strait Islander	44
POA0873	Aboriginal	791
POA0873	Both Aboriginal & Torres Strait Islander	5
POA0873	Non-indigenous	1634
POA0873	Torres Strait Islander	6
POA0874	Aboriginal	17
POA0874	Non-indigenous	536
POA0875	Aboriginal	622
POA0875	Both Aboriginal & Torres Strait Islander	17
POA0875	Non-indigenous	1721
POA0875	Torres Strait Islander	11
POA0880	Aboriginal	2136
POA0880	Both Aboriginal & Torres Strait Islander	66
POA0880	Non-indigenous	2992
POA0880	Torres Strait Islander	20
POA0885	Aboriginal	66
POA0885	Both Aboriginal & Torres Strait Islander	6
POA0885	Non-indigenous	801
POA0886	Aboriginal	251
POA0886	Both Aboriginal & Torres Strait Islander	6
POA0886	Non-indigenous	821
POA0886	Torres Strait Islander	3
POA2000	Aboriginal	43
POA2000	Non-indigenous	27361
POA2000	Torres Strait Islander	7
POA2006	Aboriginal	14
POA2006	Both Aboriginal & Torres Strait Islander	4
POA2006	Non-indigenous	1241
POA2007	Aboriginal	57
POA2007	Non-indigenous	8785
POA2007	Torres Strait Islander	3
POA2008	Aboriginal	73
POA2008	Non-indigenous	11636
POA2008	Torres Strait Islander	3
POA2009	Aboriginal	109
POA2009	Both Aboriginal & Torres Strait Islander	11
POA2009	Non-indigenous	12688
POA2009	Torres Strait Islander	5
POA2010	Aboriginal	211
POA2010	Both Aboriginal & Torres Strait Islander	7
POA2010	Non-indigenous	27501
POA2010	Torres Strait Islander	15
POA2011	Aboriginal	208
POA2011	Both Aboriginal & Torres Strait Islander	10
POA2011	Non-indigenous	20964
POA2011	Torres Strait Islander	14
POA2015	Aboriginal	195
POA2015	Both Aboriginal & Torres Strait Islander	9
POA2015	Non-indigenous	9714
POA2016	Aboriginal	254
POA2016	Both Aboriginal & Torres Strait Islander	19
POA2016	Non-indigenous	12932
POA2016	Torres Strait Islander	8
POA2017	Aboriginal	487
POA2017	Both Aboriginal & Torres Strait Islander	25
POA2017	Non-indigenous	24175
POA2017	Torres Strait Islander	8
POA2018	Aboriginal	163
POA2018	Both Aboriginal & Torres Strait Islander	7
POA2018	Non-indigenous	16850
POA2018	Torres Strait Islander	8
POA2019	Aboriginal	271
POA2019	Both Aboriginal & Torres Strait Islander	7
POA2019	Non-indigenous	10555
POA2019	Torres Strait Islander	5
POA2020	Aboriginal	163
POA2020	Both Aboriginal & Torres Strait Islander	5
POA2020	Non-indigenous	14601
POA2020	Torres Strait Islander	3
POA2021	Aboriginal	47
POA2021	Both Aboriginal & Torres Strait Islander	4
POA2021	Non-indigenous	15255
POA2021	Torres Strait Islander	7
POA2022	Aboriginal	54
POA2022	Non-indigenous	12446
POA2022	Torres Strait Islander	7
POA2023	Aboriginal	42
POA2023	Non-indigenous	10674
POA2024	Aboriginal	55
POA2024	Non-indigenous	11018
POA2025	Aboriginal	15
POA2025	Non-indigenous	7387
POA2025	Torres Strait Islander	3
POA2026	Aboriginal	107
POA2026	Both Aboriginal & Torres Strait Islander	3
POA2026	Non-indigenous	32375
POA2026	Torres Strait Islander	5
POA2027	Aboriginal	29
POA2027	Non-indigenous	8163
POA2027	Torres Strait Islander	3
POA2028	Aboriginal	15
POA2028	Non-indigenous	4627
POA2029	Aboriginal	30
POA2029	Both Aboriginal & Torres Strait Islander	3
POA2029	Non-indigenous	9928
POA2030	Aboriginal	31
POA2030	Both Aboriginal & Torres Strait Islander	4
POA2030	Non-indigenous	14041
POA2030	Torres Strait Islander	3
POA2031	Aboriginal	186
POA2031	Non-indigenous	34532
POA2031	Torres Strait Islander	8
POA2032	Aboriginal	157
POA2032	Both Aboriginal & Torres Strait Islander	7
POA2032	Non-indigenous	16520
POA2032	Torres Strait Islander	5
POA2033	Aboriginal	56
POA2033	Non-indigenous	11511
POA2033	Torres Strait Islander	3
POA2034	Aboriginal	180
POA2034	Both Aboriginal & Torres Strait Islander	11
POA2034	Non-indigenous	20509
POA2034	Torres Strait Islander	13
POA2035	Aboriginal	395
POA2035	Both Aboriginal & Torres Strait Islander	4
POA2035	Non-indigenous	34071
POA2035	Torres Strait Islander	20
POA2036	Aboriginal	1239
POA2036	Both Aboriginal & Torres Strait Islander	23
POA2036	Non-indigenous	29126
POA2036	Torres Strait Islander	19
POA2037	Aboriginal	284
POA2037	Both Aboriginal & Torres Strait Islander	8
POA2037	Non-indigenous	15809
POA2037	Torres Strait Islander	14
POA2038	Aboriginal	87
POA2038	Non-indigenous	9360
POA2038	Torres Strait Islander	4
POA2039	Aboriginal	65
POA2039	Non-indigenous	8660
POA2040	Aboriginal	276
POA2040	Both Aboriginal & Torres Strait Islander	15
POA2040	Non-indigenous	21931
