SA3_NAME16	MaxSchoolingCompleted	Sex	persons
Queanbeyan	Did not go to school	F	95
Queanbeyan	Did not go to school	M	84
Queanbeyan	Year 8	F	837
Queanbeyan	Year 8	M	912
Queanbeyan	Year 9	F	1174
Queanbeyan	Year 9	M	1309
Queanbeyan	Year 10	F	4607
Queanbeyan	Year 10	M	4901
Queanbeyan	Year 11	F	1328
Queanbeyan	Year 11	M	1530
Queanbeyan	Year 12	F	13050
Queanbeyan	Year 12	M	12180
Snowy Mountains	Did not go to school	F	23
Snowy Mountains	Did not go to school	M	43
Snowy Mountains	Year 8	F	345
Snowy Mountains	Year 8	M	416
Snowy Mountains	Year 9	F	525
Snowy Mountains	Year 9	M	606
Snowy Mountains	Year 10	F	1922
Snowy Mountains	Year 10	M	2268
Snowy Mountains	Year 11	F	563
Snowy Mountains	Year 11	M	576
Snowy Mountains	Year 12	F	3564
Snowy Mountains	Year 12	M	3288
South Coast	Did not go to school	F	58
South Coast	Did not go to school	M	72
South Coast	Year 8	F	1564
South Coast	Year 8	M	1777
South Coast	Year 9	F	2604
South Coast	Year 9	M	2658
South Coast	Year 10	F	8796
South Coast	Year 10	M	8760
South Coast	Year 11	F	2573
South Coast	Year 11	M	2395
South Coast	Year 12	F	11887
South Coast	Year 12	M	10301
Goulburn - Mulwaree	Did not go to school	F	58
Goulburn - Mulwaree	Did not go to school	M	87
Goulburn - Mulwaree	Year 8	F	759
Goulburn - Mulwaree	Year 8	M	956
Goulburn - Mulwaree	Year 9	F	1288
Goulburn - Mulwaree	Year 9	M	1344
Goulburn - Mulwaree	Year 10	F	4345
Goulburn - Mulwaree	Year 10	M	4563
Goulburn - Mulwaree	Year 11	F	987
Goulburn - Mulwaree	Year 11	M	932
Goulburn - Mulwaree	Year 12	F	5477
Goulburn - Mulwaree	Year 12	M	4702
Young - Yass	Did not go to school	F	46
Young - Yass	Did not go to school	M	69
Young - Yass	Year 8	F	696
Young - Yass	Year 8	M	860
Young - Yass	Year 9	F	1107
Young - Yass	Year 9	M	1221
Young - Yass	Year 10	F	3775
Young - Yass	Year 10	M	4097
Young - Yass	Year 11	F	1100
Young - Yass	Year 11	M	971
Young - Yass	Year 12	F	6513
Young - Yass	Year 12	M	5355
Gosford	Did not go to school	F	178
Gosford	Did not go to school	M	189
Gosford	Year 8	F	2800
Gosford	Year 8	M	2460
Gosford	Year 9	F	5825
Gosford	Year 9	M	5032
Gosford	Year 10	F	20202
Gosford	Year 10	M	18257
Gosford	Year 11	F	4489
Gosford	Year 11	M	4810
Gosford	Year 12	F	33117
Gosford	Year 12	M	30403
Wyong	Did not go to school	F	187
Wyong	Did not go to school	M	255
Wyong	Year 8	F	3444
Wyong	Year 8	M	3319
Wyong	Year 9	F	6815
Wyong	Year 9	M	6035
Wyong	Year 10	F	22184
Wyong	Year 10	M	20911
Wyong	Year 11	F	4645
Wyong	Year 11	M	4805
Wyong	Year 12	F	23604
Wyong	Year 12	M	20476
Bathurst	Did not go to school	F	57
Bathurst	Did not go to school	M	55
Bathurst	Year 8	F	790
Bathurst	Year 8	M	922
Bathurst	Year 9	F	1416
Bathurst	Year 9	M	1433
Bathurst	Year 10	F	5033
Bathurst	Year 10	M	5432
Bathurst	Year 11	F	1179
Bathurst	Year 11	M	1296
Bathurst	Year 12	F	8492
Bathurst	Year 12	M	6920
Lachlan Valley	Did not go to school	F	52
Lachlan Valley	Did not go to school	M	104
Lachlan Valley	Year 8	F	1376
Lachlan Valley	Year 8	M	1917
Lachlan Valley	Year 9	F	2128
Lachlan Valley	Year 9	M	2400
Lachlan Valley	Year 10	F	6985
Lachlan Valley	Year 10	M	7451
Lachlan Valley	Year 11	F	1652
Lachlan Valley	Year 11	M	1450
Lachlan Valley	Year 12	F	7526
Lachlan Valley	Year 12	M	5932
Lithgow - Mudgee	Did not go to school	F	44
Lithgow - Mudgee	Did not go to school	M	67
Lithgow - Mudgee	Year 8	F	1073
Lithgow - Mudgee	Year 8	M	1316
Lithgow - Mudgee	Year 9	F	1765
Lithgow - Mudgee	Year 9	M	1798
Lithgow - Mudgee	Year 10	F	5779
Lithgow - Mudgee	Year 10	M	6526
Lithgow - Mudgee	Year 11	F	1297
Lithgow - Mudgee	Year 11	M	1353
Lithgow - Mudgee	Year 12	F	6474
Lithgow - Mudgee	Year 12	M	5104
Orange	Did not go to school	F	79
Orange	Did not go to school	M	83
Orange	Year 8	F	1171
Orange	Year 8	M	1344
Orange	Year 9	F	1860
Orange	Year 9	M	1896
Orange	Year 10	F	6553
Orange	Year 10	M	6842
Orange	Year 11	F	1591
Orange	Year 11	M	1459
Orange	Year 12	F	10094
Orange	Year 12	M	8166
Clarence Valley	Did not go to school	F	56
Clarence Valley	Did not go to school	M	72
Clarence Valley	Year 8	F	1300
Clarence Valley	Year 8	M	1548
Clarence Valley	Year 9	F	2186
Clarence Valley	Year 9	M	2264
Clarence Valley	Year 10	F	7386
Clarence Valley	Year 10	M	7031
Clarence Valley	Year 11	F	1527
Clarence Valley	Year 11	M	1371
Clarence Valley	Year 12	F	6757
Clarence Valley	Year 12	M	5906
Coffs Harbour	Did not go to school	F	201
Coffs Harbour	Did not go to school	M	173
Coffs Harbour	Year 8	F	1727
Coffs Harbour	Year 8	M	1889
Coffs Harbour	Year 9	F	3064
Coffs Harbour	Year 9	M	3110
Coffs Harbour	Year 10	F	10652
Coffs Harbour	Year 10	M	10025
Coffs Harbour	Year 11	F	2639
Coffs Harbour	Year 11	M	2639
Coffs Harbour	Year 12	F	14791
Coffs Harbour	Year 12	M	12622
Bourke - Cobar - Coonamble	Did not go to school	F	47
Bourke - Cobar - Coonamble	Did not go to school	M	93
Bourke - Cobar - Coonamble	Year 8	F	575
Bourke - Cobar - Coonamble	Year 8	M	912
Bourke - Cobar - Coonamble	Year 9	F	874
Bourke - Cobar - Coonamble	Year 9	M	1034
Bourke - Cobar - Coonamble	Year 10	F	2438
Bourke - Cobar - Coonamble	Year 10	M	2894
Bourke - Cobar - Coonamble	Year 11	F	736
Bourke - Cobar - Coonamble	Year 11	M	705
Bourke - Cobar - Coonamble	Year 12	F	3138
Bourke - Cobar - Coonamble	Year 12	M	2447
Broken Hill and Far West	Did not go to school	F	18
Broken Hill and Far West	Did not go to school	M	30
Broken Hill and Far West	Year 8	F	720
Broken Hill and Far West	Year 8	M	827
Broken Hill and Far West	Year 9	F	1023
Broken Hill and Far West	Year 9	M	953
Broken Hill and Far West	Year 10	F	2765
Broken Hill and Far West	Year 10	M	2647
Broken Hill and Far West	Year 11	F	611
Broken Hill and Far West	Year 11	M	697
Broken Hill and Far West	Year 12	F	2259
Broken Hill and Far West	Year 12	M	1936
Dubbo	Did not go to school	F	87
Dubbo	Did not go to school	M	103
Dubbo	Year 8	F	1478
Dubbo	Year 8	M	1913
Dubbo	Year 9	F	2443
Dubbo	Year 9	M	2606
Dubbo	Year 10	F	8248
Dubbo	Year 10	M	8616
Dubbo	Year 11	F	2038
Dubbo	Year 11	M	1771
Dubbo	Year 12	F	10889
Dubbo	Year 12	M	8441
Lower Hunter	Did not go to school	F	70
Lower Hunter	Did not go to school	M	95
Lower Hunter	Year 8	F	1965
Lower Hunter	Year 8	M	2098
Lower Hunter	Year 9	F	3911
Lower Hunter	Year 9	M	3639
Lower Hunter	Year 10	F	11630
Lower Hunter	Year 10	M	12688
Lower Hunter	Year 11	F	2554
Lower Hunter	Year 11	M	2913
Lower Hunter	Year 12	F	11404
Lower Hunter	Year 12	M	9259
Maitland	Did not go to school	F	67
Maitland	Did not go to school	M	86
Maitland	Year 8	F	1312
Maitland	Year 8	M	1257
Maitland	Year 9	F	2920
Maitland	Year 9	M	2614
Maitland	Year 10	F	9632
Maitland	Year 10	M	9677
Maitland	Year 11	F	2199
Maitland	Year 11	M	2338
Maitland	Year 12	F	11950
Maitland	Year 12	M	9936
Port Stephens	Did not go to school	F	79
Port Stephens	Did not go to school	M	110
Port Stephens	Year 8	F	1272
Port Stephens	Year 8	M	1384
Port Stephens	Year 9	F	3111
Port Stephens	Year 9	M	2871
Port Stephens	Year 10	F	9889
Port Stephens	Year 10	M	9788
Port Stephens	Year 11	F	2134
Port Stephens	Year 11	M	2308
Port Stephens	Year 12	F	10545
Port Stephens	Year 12	M	9500
Upper Hunter	Did not go to school	F	28
Upper Hunter	Did not go to school	M	43
Upper Hunter	Year 8	F	645
Upper Hunter	Year 8	M	801
Upper Hunter	Year 9	F	1161
Upper Hunter	Year 9	M	1184
Upper Hunter	Year 10	F	3621
Upper Hunter	Year 10	M	4224
Upper Hunter	Year 11	F	890
Upper Hunter	Year 11	M	900
Upper Hunter	Year 12	F	4178
Upper Hunter	Year 12	M	3229
Dapto - Port Kembla	Did not go to school	F	437
Dapto - Port Kembla	Did not go to school	M	272
Dapto - Port Kembla	Year 8	F	2462
Dapto - Port Kembla	Year 8	M	2096
Dapto - Port Kembla	Year 9	F	2895
Dapto - Port Kembla	Year 9	M	2658
Dapto - Port Kembla	Year 10	F	9555
Dapto - Port Kembla	Year 10	M	9571
Dapto - Port Kembla	Year 11	F	2074
Dapto - Port Kembla	Year 11	M	2284
Dapto - Port Kembla	Year 12	F	11476
Dapto - Port Kembla	Year 12	M	10441
Kiama - Shellharbour	Did not go to school	F	200
Kiama - Shellharbour	Did not go to school	M	163
Kiama - Shellharbour	Year 8	F	1967
Kiama - Shellharbour	Year 8	M	1818
Kiama - Shellharbour	Year 9	F	3317
Kiama - Shellharbour	Year 9	M	3009
Kiama - Shellharbour	Year 10	F	11959
Kiama - Shellharbour	Year 10	M	11577
Kiama - Shellharbour	Year 11	F	2604
Kiama - Shellharbour	Year 11	M	2707
Kiama - Shellharbour	Year 12	F	14503
Kiama - Shellharbour	Year 12	M	13093
