SA3_NAME16	FamilyHousehold	IncomeHousehold.max	households
Queanbeyan	0		293
Queanbeyan	0	0	94
Queanbeyan	0	7875	61
Queanbeyan	0	15750	217
Queanbeyan	0	21000	388
Queanbeyan	0	26250	724
Queanbeyan	0	34125	388
Queanbeyan	0	42000	443
Queanbeyan	0	52500	503
Queanbeyan	0	65625	610
Queanbeyan	0	78750	505
Queanbeyan	0	91875	440
Queanbeyan	0	105000	309
Queanbeyan	0	131250	484
Queanbeyan	0	157500	36
Queanbeyan	0	183750	37
Queanbeyan	0	210000	174
Queanbeyan	0	Inf	25
Queanbeyan	1		1641
Queanbeyan	1	0	84
Queanbeyan	1	7875	39
Queanbeyan	1	15750	74
Queanbeyan	1	21000	69
Queanbeyan	1	26250	241
Queanbeyan	1	34125	245
Queanbeyan	1	42000	574
Queanbeyan	1	52500	567
Queanbeyan	1	65625	803
Queanbeyan	1	78750	811
Queanbeyan	1	91875	772
Queanbeyan	1	105000	859
Queanbeyan	1	131250	1884
Queanbeyan	1	157500	1534
Queanbeyan	1	183750	1264
Queanbeyan	1	210000	1009
Queanbeyan	1	Inf	2255
Snowy Mountains	0		188
Snowy Mountains	0	0	51
Snowy Mountains	0	7875	37
Snowy Mountains	0	15750	138
Snowy Mountains	0	21000	244
Snowy Mountains	0	26250	438
Snowy Mountains	0	34125	268
Snowy Mountains	0	42000	234
Snowy Mountains	0	52500	263
Snowy Mountains	0	65625	185
Snowy Mountains	0	78750	128
Snowy Mountains	0	91875	92
Snowy Mountains	0	105000	67
Snowy Mountains	0	131250	89
Snowy Mountains	0	157500	19
Snowy Mountains	0	183750	5
Snowy Mountains	0	210000	36
Snowy Mountains	0	Inf	11
Snowy Mountains	1		610
Snowy Mountains	1	0	27
Snowy Mountains	1	7875	30
Snowy Mountains	1	15750	43
Snowy Mountains	1	21000	35
Snowy Mountains	1	26250	144
Snowy Mountains	1	34125	132
Snowy Mountains	1	42000	417
Snowy Mountains	1	52500	288
Snowy Mountains	1	65625	422
Snowy Mountains	1	78750	435
Snowy Mountains	1	91875	329
