SA3_NAME16	Age	MaritalStatus	Registered	adults
Queanbeyan	15-19	Married	0	43
Queanbeyan	15-19	Never married		3237
Queanbeyan	20-24	Married	0	482
Queanbeyan	20-24	Married	1	154
Queanbeyan	20-24	Never married		2221
Queanbeyan	25-34	Married	0	1454
Queanbeyan	25-34	Married	1	2961
Queanbeyan	25-34	Never married		2440
Queanbeyan	35-44	Married	0	1026
Queanbeyan	35-44	Married	1	4573
Queanbeyan	35-44	Never married		1603
Queanbeyan	45-54	Married	0	969
Queanbeyan	45-54	Married	1	5151
Queanbeyan	45-54	Never married		2095
Queanbeyan	55-64	Married	0	571
Queanbeyan	55-64	Married	1	3942
Queanbeyan	55-64	Never married		1784
Queanbeyan	65-74	Married	0	202
Queanbeyan	65-74	Married	1	2394
Queanbeyan	65-74	Never married		1141
Queanbeyan	75-84	Married	0	45
Queanbeyan	75-84	Married	1	869
Queanbeyan	75-84	Never married		691
Queanbeyan	85+	Married	0	3
Queanbeyan	85+	Married	1	147
Queanbeyan	85+	Never married		322
Snowy Mountains	15-19	Married	0	19
Snowy Mountains	15-19	Never married		909
Snowy Mountains	20-24	Married	0	162
Snowy Mountains	20-24	Married	1	31
Snowy Mountains	20-24	Never married		579
Snowy Mountains	25-34	Married	0	428
Snowy Mountains	25-34	Married	1	560
Snowy Mountains	25-34	Never married		700
Snowy Mountains	35-44	Married	0	319
Snowy Mountains	35-44	Married	1	1157
Snowy Mountains	35-44	Never married		467
Snowy Mountains	45-54	Married	0	351
Snowy Mountains	45-54	Married	1	1425
Snowy Mountains	45-54	Never married		655
Snowy Mountains	55-64	Married	0	233
Snowy Mountains	55-64	Married	1	1325
Snowy Mountains	55-64	Never married		754
Snowy Mountains	65-74	Married	0	107
Snowy Mountains	65-74	Married	1	1159
Snowy Mountains	65-74	Never married		589
Snowy Mountains	75-84	Married	0	25
Snowy Mountains	75-84	Married	1	511
Snowy Mountains	75-84	Never married		389
Snowy Mountains	85+	Married	0	6
Snowy Mountains	85+	Married	1	77
Snowy Mountains	85+	Never married		235
South Coast	15-19	Married	0	93
South Coast	15-19	Never married		3088
South Coast	20-24	Married	0	466
South Coast	20-24	Married	1	104
South Coast	20-24	Never married		1459
South Coast	25-34	Married	0	1120
South Coast	25-34	Married	1	1470
South Coast	25-34	Never married		1793
South Coast	35-44	Married	0	1112
South Coast	35-44	Married	1	2868
South Coast	35-44	Never married		1800
South Coast	45-54	Married	0	1311
South Coast	45-54	Married	1	4154
South Coast	45-54	Never married		2629
South Coast	55-64	Married	0	1301
South Coast	55-64	Married	1	6549
South Coast	55-64	Never married		3257
South Coast	65-74	Married	0	683
South Coast	65-74	Married	1	6512
South Coast	65-74	Never married		2693
South Coast	75-84	Married	0	177
South Coast	75-84	Married	1	2832
South Coast	75-84	Never married		1881
South Coast	85+	Married	0	23
South Coast	85+	Married	1	565
South Coast	85+	Never married		998
Goulburn - Mulwaree	15-19	Married	0	30
Goulburn - Mulwaree	15-19	Never married		1813
Goulburn - Mulwaree	20-24	Married	0	301
Goulburn - Mulwaree	20-24	Married	1	85
Goulburn - Mulwaree	20-24	Never married		1126
Goulburn - Mulwaree	25-34	Married	0	717
Goulburn - Mulwaree	25-34	Married	1	1345
Goulburn - Mulwaree	25-34	Never married		1238
Goulburn - Mulwaree	35-44	Married	0	472
Goulburn - Mulwaree	35-44	Married	1	2123
Goulburn - Mulwaree	35-44	Never married		946
Goulburn - Mulwaree	45-54	Married	0	479
Goulburn - Mulwaree	45-54	Married	1	2542
Goulburn - Mulwaree	45-54	Never married		1284
Goulburn - Mulwaree	55-64	Married	0	333
Goulburn - Mulwaree	55-64	Married	1	2684
Goulburn - Mulwaree	55-64	Never married		1313
Goulburn - Mulwaree	65-74	Married	0	169
Goulburn - Mulwaree	65-74	Married	1	2157
Goulburn - Mulwaree	65-74	Never married		1188
Goulburn - Mulwaree	75-84	Married	0	50
Goulburn - Mulwaree	75-84	Married	1	980
Goulburn - Mulwaree	75-84	Never married		837
Goulburn - Mulwaree	85+	Married	0	14
Goulburn - Mulwaree	85+	Married	1	185
Goulburn - Mulwaree	85+	Never married		426
Young - Yass	15-19	Married	0	32
Young - Yass	15-19	Married	1	3
Young - Yass	15-19	Never married		1943
Young - Yass	20-24	Married	0	303
Young - Yass	20-24	Married	1	76
Young - Yass	20-24	Never married		1024
Young - Yass	25-34	Married	0	707
Young - Yass	25-34	Married	1	1179
Young - Yass	25-34	Never married		1027
Young - Yass	35-44	Married	0	519
Young - Yass	35-44	Married	1	2570
Young - Yass	35-44	Never married		871
Young - Yass	45-54	Married	0	587
