SA3_NAME16	Religion	Denomination	Sex	persons
Queanbeyan	(Other)		F	2697
Queanbeyan	(Other)		M	3031
Queanbeyan	(Other)	(Other)	F	113
Queanbeyan	(Other)	(Other)	M	71
Queanbeyan	(Other)	Australian Aboriginal Traditional	F	12
Queanbeyan	(Other)	Australian Aboriginal Traditional	M	7
Queanbeyan	(Other)	Other spiritual beliefs	F	54
Queanbeyan	(Other)	Other spiritual beliefs	M	43
Queanbeyan	(Other)	Secular beliefs	F	80
Queanbeyan	(Other)	Secular beliefs	M	108
Queanbeyan	(Other)	Sikhism	F	198
Queanbeyan	(Other)	Sikhism	M	230
Queanbeyan	Buddhism		F	266
Queanbeyan	Buddhism		M	218
Queanbeyan	Christianity		F	687
Queanbeyan	Christianity		M	663
Queanbeyan	Christianity	(Other)	F	23
Queanbeyan	Christianity	(Other)	M	19
Queanbeyan	Christianity	Anglican	F	5002
Queanbeyan	Christianity	Anglican	M	4422
Queanbeyan	Christianity	Baptist	F	233
Queanbeyan	Christianity	Baptist	M	229
Queanbeyan	Christianity	Brethren	F	74
Queanbeyan	Christianity	Brethren	M	85
Queanbeyan	Christianity	Catholic	F	7928
Queanbeyan	Christianity	Catholic	M	7463
Queanbeyan	Christianity	Churches Of Christ	F	15
Queanbeyan	Christianity	Churches Of Christ	M	13
Queanbeyan	Christianity	Eastern Orthodox	F	698
Queanbeyan	Christianity	Eastern Orthodox	M	758
Queanbeyan	Christianity	Jehovah's Witnesses	F	72
Queanbeyan	Christianity	Jehovah's Witnesses	M	57
Queanbeyan	Christianity	Latter Day Saints	F	31
Queanbeyan	Christianity	Latter Day Saints	M	56
Queanbeyan	Christianity	Lutheran	F	176
Queanbeyan	Christianity	Lutheran	M	147
Queanbeyan	Christianity	Oriental Orthodox	F	9
Queanbeyan	Christianity	Oriental Orthodox	M	17
Queanbeyan	Christianity	Pentecostal	F	242
Queanbeyan	Christianity	Pentecostal	M	195
Queanbeyan	Christianity	Presbyterian Reformed	F	624
Queanbeyan	Christianity	Presbyterian Reformed	M	564
Queanbeyan	Christianity	Protestant (Other)	F	107
Queanbeyan	Christianity	Protestant (Other)	M	103
Queanbeyan	Christianity	Salvation Army	F	58
Queanbeyan	Christianity	Salvation Army	M	51
Queanbeyan	Christianity	Seventh Day Adventist	F	39
Queanbeyan	Christianity	Seventh Day Adventist	M	35
Queanbeyan	Christianity	Uniting Church	F	827
Queanbeyan	Christianity	Uniting Church	M	660
Queanbeyan	Hinduism		F	323
Queanbeyan	Hinduism		M	360
Queanbeyan	Islam		F	303
Queanbeyan	Islam		M	342
Queanbeyan	Judaism		F	18
Queanbeyan	Judaism		M	22
Queanbeyan	No religion		F	7599
Queanbeyan	No religion		M	8879
Snowy Mountains	(Other)		F	1006
Snowy Mountains	(Other)		M	1355
Snowy Mountains	(Other)	(Other)	F	36
Snowy Mountains	(Other)	(Other)	M	25
Snowy Mountains	(Other)	Australian Aboriginal Traditional	F	3
Snowy Mountains	(Other)	Australian Aboriginal Traditional	M	3
