SA3_NAME16	MaxSchoolingCompleted	adults
Queanbeyan	Did not go to school	182
Queanbeyan	Year 8	1748
Queanbeyan	Year 9	2482
Queanbeyan	Year 10	9514
Queanbeyan	Year 11	2861
Queanbeyan	Year 12	25229
Snowy Mountains	Did not go to school	61
Snowy Mountains	Year 8	761
Snowy Mountains	Year 9	1133
Snowy Mountains	Year 10	4192
Snowy Mountains	Year 11	1138
Snowy Mountains	Year 12	6856
South Coast	Did not go to school	138
South Coast	Year 8	3337
South Coast	Year 9	5265
South Coast	Year 10	17560
South Coast	Year 11	4970
South Coast	Year 12	22185
Goulburn - Mulwaree	Did not go to school	141
Goulburn - Mulwaree	Year 8	1714
Goulburn - Mulwaree	Year 9	2632
Goulburn - Mulwaree	Year 10	8917
Goulburn - Mulwaree	Year 11	1913
Goulburn - Mulwaree	Year 12	10180
Young - Yass	Did not go to school	112
Young - Yass	Year 8	1553
Young - Yass	Year 9	2324
Young - Yass	Year 10	7876
Young - Yass	Year 11	2071
Young - Yass	Year 12	11863
Gosford	Did not go to school	371
Gosford	Year 8	5260
Gosford	Year 9	10853
Gosford	Year 10	38458
Gosford	Year 11	9297
Gosford	Year 12	63525
Wyong	Did not go to school	438
Wyong	Year 8	6767
Wyong	Year 9	12851
Wyong	Year 10	43097
Wyong	Year 11	9450
Wyong	Year 12	44079
Bathurst	Did not go to school	117
Bathurst	Year 8	1711
Bathurst	Year 9	2851
Bathurst	Year 10	10468
Bathurst	Year 11	2475
Bathurst	Year 12	15408
Lachlan Valley	Did not go to school	156
Lachlan Valley	Year 8	3296
Lachlan Valley	Year 9	4529
Lachlan Valley	Year 10	14443
Lachlan Valley	Year 11	3102
Lachlan Valley	Year 12	13457
Lithgow - Mudgee	Did not go to school	109
Lithgow - Mudgee	Year 8	2387
Lithgow - Mudgee	Year 9	3563
Lithgow - Mudgee	Year 10	12303
Lithgow - Mudgee	Year 11	2657
Lithgow - Mudgee	Year 12	11578
Orange	Did not go to school	166
Orange	Year 8	2516
Orange	Year 9	3750
Orange	Year 10	13397
Orange	Year 11	3049
Orange	Year 12	18258
Clarence Valley	Did not go to school	130
Clarence Valley	Year 8	2848
Clarence Valley	Year 9	4449
Clarence Valley	Year 10	14417
Clarence Valley	Year 11	2894
Clarence Valley	Year 12	12659
Coffs Harbour	Did not go to school	369
Coffs Harbour	Year 8	3611
Coffs Harbour	Year 9	6171
Coffs Harbour	Year 10	20672
Coffs Harbour	Year 11	5285
Coffs Harbour	Year 12	27414
Bourke - Cobar - Coonamble	Did not go to school	133
Bourke - Cobar - Coonamble	Year 8	1487
Bourke - Cobar - Coonamble	Year 9	1908
Bourke - Cobar - Coonamble	Year 10	5335
Bourke - Cobar - Coonamble	Year 11	1438
Bourke - Cobar - Coonamble	Year 12	5589
Broken Hill and Far West	Did not go to school	52
Broken Hill and Far West	Year 8	1545
Broken Hill and Far West	Year 9	1976
Broken Hill and Far West	Year 10	5415
Broken Hill and Far West	Year 11	1305
Broken Hill and Far West	Year 12	4191
Dubbo	Did not go to school	186
Dubbo	Year 8	3388
Dubbo	Year 9	5050
Dubbo	Year 10	16868
Dubbo	Year 11	3809
Dubbo	Year 12	19324
Lower Hunter	Did not go to school	164
Lower Hunter	Year 8	4068
Lower Hunter	Year 9	7551
Lower Hunter	Year 10	24315
Lower Hunter	Year 11	5473
Lower Hunter	Year 12	20667
Maitland	Did not go to school	148
Maitland	Year 8	2572
Maitland	Year 9	5525
Maitland	Year 10	19313
Maitland	Year 11	4537
Maitland	Year 12	21889
Port Stephens	Did not go to school	186
Port Stephens	Year 8	2655
Port Stephens	Year 9	5986
Port Stephens	Year 10	19677
Port Stephens	Year 11	4438
Port Stephens	Year 12	20041
Upper Hunter	Did not go to school	71
Upper Hunter	Year 8	1442
Upper Hunter	Year 9	2344
Upper Hunter	Year 10	7846
Upper Hunter	Year 11	1793
Upper Hunter	Year 12	7410
Dapto - Port Kembla	Did not go to school	706
Dapto - Port Kembla	Year 8	4557
Dapto - Port Kembla	Year 9	5554
Dapto - Port Kembla	Year 10	19127
Dapto - Port Kembla	Year 11	4361
Dapto - Port Kembla	Year 12	21915
Illawarra Catchment Reserve	Year 9	4
Illawarra Catchment Reserve	Year 12	3
Kiama - Shellharbour	Did not go to school	371
Kiama - Shellharbour	Year 8	3784
Kiama - Shellharbour	Year 9	6328
Kiama - Shellharbour	Year 10	23536
Kiama - Shellharbour	Year 11	5312
Kiama - Shellharbour	Year 12	27598
Wollongong	Did not go to school	682
Wollongong	Year 8	4964
Wollongong	Year 9	6892
Wollongong	Year 10	24691
Wollongong	Year 11	5962
Wollongong	Year 12	55507
Great Lakes	Did not go to school	78
Great Lakes	Year 8	1790
Great Lakes	Year 9	3288
Great Lakes	Year 10	9291
Great Lakes	Year 11	1789
Great Lakes	Year 12	7626
Kempsey - Nambucca	Did not go to school	131
Kempsey - Nambucca	Year 8	2914
Kempsey - Nambucca	Year 9	4563
Kempsey - Nambucca	Year 10	13090
Kempsey - Nambucca	Year 11	2726
Kempsey - Nambucca	Year 12	11234
Lord Howe Island	Year 8	4
Lord Howe Island	Year 9	10
Lord Howe Island	Year 10	82
Lord Howe Island	Year 11	24
Lord Howe Island	Year 12	160
Port Macquarie	Did not go to school	151
Port Macquarie	Year 8	3395
Port Macquarie	Year 9	6317
Port Macquarie	Year 10	20630
Port Macquarie	Year 11	4960
Port Macquarie	Year 12	23622
Taree - Gloucester	Did not go to school	117
Taree - Gloucester	Year 8	3168
Taree - Gloucester	Year 9	5203
Taree - Gloucester	Year 10	15466
