SA3_NAME16	EduInstitutionType	Sex	students
Queanbeyan		F	2421
Queanbeyan		M	2410
Queanbeyan	Infants/Primary	F	2414
Queanbeyan	Infants/Primary	M	2516
Queanbeyan	Pre-school	F	364
Queanbeyan	Pre-school	M	502
Queanbeyan	Secondary	F	1871
Queanbeyan	Secondary	M	1968
Queanbeyan	Technical or Further Educational Institution	F	615
Queanbeyan	Technical or Further Educational Institution	M	596
Queanbeyan	University or other tertiary	F	1366
Queanbeyan	University or other tertiary	M	973
Snowy Mountains		F	993
Snowy Mountains		M	1200
Snowy Mountains	Infants/Primary	F	732
Snowy Mountains	Infants/Primary	M	809
Snowy Mountains	Pre-school	F	127
Snowy Mountains	Pre-school	M	163
Snowy Mountains	Secondary	F	548
Snowy Mountains	Secondary	M	577
Snowy Mountains	Technical or Further Educational Institution	F	210
Snowy Mountains	Technical or Further Educational Institution	M	164
Snowy Mountains	University or other tertiary	F	266
Snowy Mountains	University or other tertiary	M	129
South Coast		F	3500
South Coast		M	3263
South Coast	Infants/Primary	F	2333
South Coast	Infants/Primary	M	2504
South Coast	Pre-school	F	437
South Coast	Pre-school	M	487
South Coast	Secondary	F	1934
South Coast	Secondary	M	1927
South Coast	Technical or Further Educational Institution	F	553
South Coast	Technical or Further Educational Institution	M	434
South Coast	University or other tertiary	F	673
South Coast	University or other tertiary	M	257
Goulburn - Mulwaree		F	1589
Goulburn - Mulwaree		M	2083
Goulburn - Mulwaree	Infants/Primary	F	1356
Goulburn - Mulwaree	Infants/Primary	M	1476
Goulburn - Mulwaree	Pre-school	F	302
Goulburn - Mulwaree	Pre-school	M	317
Goulburn - Mulwaree	Secondary	F	987
Goulburn - Mulwaree	Secondary	M	1054
Goulburn - Mulwaree	Technical or Further Educational Institution	F	394
Goulburn - Mulwaree	Technical or Further Educational Institution	M	321
Goulburn - Mulwaree	University or other tertiary	F	463
Goulburn - Mulwaree	University or other tertiary	M	248
Young - Yass		F	1573
Young - Yass		M	1420
Young - Yass	Infants/Primary	F	1619
Young - Yass	Infants/Primary	M	1681
Young - Yass	Pre-school	F	317
Young - Yass	Pre-school	M	359
Young - Yass	Secondary	F	1263
Young - Yass	Secondary	M	1208
Young - Yass	Technical or Further Educational Institution	F	411
Young - Yass	Technical or Further Educational Institution	M	267
Young - Yass	University or other tertiary	F	559
Young - Yass	University or other tertiary	M	257
Gosford		F	6130
Gosford		M	5394
Gosford	Infants/Primary	F	6641
Gosford	Infants/Primary	M	6996
Gosford	Pre-school	F	1544
Gosford	Pre-school	M	1671
Gosford	Secondary	F	5310
Gosford	Secondary	M	5377
Gosford	Technical or Further Educational Institution	F	1703
Gosford	Technical or Further Educational Institution	M	1450
Gosford	University or other tertiary	F	3628
Gosford	University or other tertiary	M	2436
Wyong		F	6469
Wyong		M	5485
Wyong	Infants/Primary	F	6525
Wyong	Infants/Primary	M	7039
Wyong	Pre-school	F	1548
Wyong	Pre-school	M	1715
Wyong	Secondary	F	4954
