SA3_NAME16	HomeCensusNight	persons
Queanbeyan	0	2956
Queanbeyan	1	54376
Snowy Mountains	0	1347
Snowy Mountains	1	18023
South Coast	0	5467
South Coast	1	65175
Goulburn - Mulwaree	0	1950
Goulburn - Mulwaree	1	33610
Young - Yass	0	2089
Young - Yass	1	33848
Gosford	0	8117
Gosford	1	160935
Wyong	0	7409
Wyong	1	151275
Bathurst	0	2584
Bathurst	1	44015
Lachlan Valley	0	3443
Lachlan Valley	1	51893
Lithgow - Mudgee	0	2681
Lithgow - Mudgee	1	43938
Orange	0	3225
Orange	1	54386
Clarence Valley	0	2944
Clarence Valley	1	47321
Coffs Harbour	0	4949
Coffs Harbour	1	81073
Bourke - Cobar - Coonamble	0	1884
Bourke - Cobar - Coonamble	1	22261
Broken Hill and Far West	0	1630
Broken Hill and Far West	1	18589
Dubbo	0	4461
Dubbo	1	64950
Lower Hunter	0	4457
Lower Hunter	1	83215
Maitland	0	3460
Maitland	1	70705
Port Stephens	0	4451
Port Stephens	1	66933
Upper Hunter	0	1496
Upper Hunter	1	28702
Dapto - Port Kembla	0	3059
Dapto - Port Kembla	1	72296
Illawarra Catchment Reserve	1	8
Kiama - Shellharbour	0	4319
Kiama - Shellharbour	1	85522
Wollongong	0	6195
Wollongong	1	122100
Great Lakes	0	2097
Great Lakes	1	29173
Kempsey - Nambucca	0	2693
Kempsey - Nambucca	1	45434
Lord Howe Island	0	69
Lord Howe Island	1	312
Port Macquarie	0	4584
Port Macquarie	1	73983
Taree - Gloucester	0	3200
Taree - Gloucester	1	50655
Albury	0	3864
Albury	1	57408
Lower Murray	0	907
Lower Murray	1	11638
Upper Murray exc. Albury	0	3103
Upper Murray exc. Albury	1	38883
Armidale	0	2625
Armidale	1	34463
Inverell - Tenterfield	0	2527
Inverell - Tenterfield	1	35822
Moree - Narrabri	0	1745
Moree - Narrabri	1	23880
Tamworth - Gunnedah	0	4719
Tamworth - Gunnedah	1	75773
Lake Macquarie - East	0	6099
Lake Macquarie - East	1	113920
Lake Macquarie - West	0	4034
Lake Macquarie - West	1	71174
Newcastle	0	8685
Newcastle	1	155198
Richmond Valley - Coastal	0	4543
Richmond Valley - Coastal	1	73736
Richmond Valley - Hinterland	0	3516
Richmond Valley - Hinterland	1	66431
Tweed Valley	0	4680
Tweed Valley	1	86688
Griffith - Murrumbidgee (West)	0	2734
Griffith - Murrumbidgee (West)	1	45408
Tumut - Tumbarumba	0	978
Tumut - Tumbarumba	1	13454
Wagga Wagga	0	5596
Wagga Wagga	1	87757
Shoalhaven	0	6793
Shoalhaven	1	92695
Southern Highlands	0	2628
Southern Highlands	1	45238
Baulkham Hills	0	3876
Baulkham Hills	1	139864
Dural - Wisemans Ferry	0	985
Dural - Wisemans Ferry	1	25250
Hawkesbury	0	1002
Hawkesbury	1	23587
Rouse Hill - McGraths Hill	0	943
Rouse Hill - McGraths Hill	1	32242
Blacktown	0	3630
Blacktown	1	131118
Blacktown - North	0	2012
Blacktown - North	1	90810
Mount Druitt	0	3088
Mount Druitt	1	108976
Botany	0	1480
Botany	1	45207
Marrickville - Sydenham - Petersham	0	2214
Marrickville - Sydenham - Petersham	1	52397
Sydney Inner City	0	9606
Sydney Inner City	1	204645
Eastern Suburbs - North	0	5731
Eastern Suburbs - North	1	120656
Eastern Suburbs - South	0	5176
Eastern Suburbs - South	1	135475
Bankstown	0	4830
Bankstown	1	166598
Canterbury	0	3503
