SA3_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
Queanbeyan	0-4	0		24
Queanbeyan	0-4	0	Both	345
Queanbeyan	0-4	0	Father only	23
Queanbeyan	0-4	0	Mother only	31
Queanbeyan	0-4	0	Neither	24
Queanbeyan	0-4	1		12
Queanbeyan	0-4	1	Both	2083
Queanbeyan	0-4	1	Father only	241
Queanbeyan	0-4	1	Mother only	198
Queanbeyan	0-4	1	Neither	433
Queanbeyan	5-9	0		10
Queanbeyan	5-9	0	Both	442
Queanbeyan	5-9	0	Father only	31
Queanbeyan	5-9	0	Mother only	58
Queanbeyan	5-9	0	Neither	27
Queanbeyan	5-9	1		17
Queanbeyan	5-9	1	Both	2150
Queanbeyan	5-9	1	Father only	259
Queanbeyan	5-9	1	Mother only	232
Queanbeyan	5-9	1	Neither	356
Queanbeyan	10-12	0		12
Queanbeyan	10-12	0	Both	235
Queanbeyan	10-12	0	Father only	17
Queanbeyan	10-12	0	Mother only	30
Queanbeyan	10-12	0	Neither	21
Queanbeyan	10-12	1		5
Queanbeyan	10-12	1	Both	1255
Queanbeyan	10-12	1	Father only	133
Queanbeyan	10-12	1	Mother only	136
Queanbeyan	10-12	1	Neither	188
Queanbeyan	13-14	0		10
Queanbeyan	13-14	0	Both	175
Queanbeyan	13-14	0	Father only	12
Queanbeyan	13-14	0	Mother only	21
Queanbeyan	13-14	0	Neither	18
Queanbeyan	13-14	1		12
Queanbeyan	13-14	1	Both	795
Queanbeyan	13-14	1	Father only	97
Queanbeyan	13-14	1	Mother only	98
Queanbeyan	13-14	1	Neither	130
Queanbeyan	15-17	0		3
Queanbeyan	15-17	0	Both	235
Queanbeyan	15-17	0	Father only	14
Queanbeyan	15-17	0	Mother only	21
Queanbeyan	15-17	0	Neither	27
Queanbeyan	15-17	1		7
Queanbeyan	15-17	1	Both	1168
Queanbeyan	15-17	1	Father only	110
Queanbeyan	15-17	1	Mother only	134
Queanbeyan	15-17	1	Neither	169
Queanbeyan	18-20	0	Both	62
Queanbeyan	18-20	0	Father only	11
Queanbeyan	18-20	0	Mother only	7
Queanbeyan	18-20	0	Neither	13
Queanbeyan	18-20	1	Both	326
Queanbeyan	18-20	1	Father only	36
Queanbeyan	18-20	1	Mother only	63
Queanbeyan	18-20	1	Neither	94
Queanbeyan	21-24	0		6
Queanbeyan	21-24	0	Both	20
Queanbeyan	21-24	0	Father only	5
Queanbeyan	21-24	0	Mother only	6
Queanbeyan	21-24	0	Neither	8
Queanbeyan	21-24	1	Both	120
Queanbeyan	21-24	1	Father only	27
Queanbeyan	21-24	1	Mother only	22
Queanbeyan	21-24	1	Neither	36
Snowy Mountains	0-4	0		3
Snowy Mountains	0-4	0	Both	92
Snowy Mountains	0-4	0	Father only	6
Snowy Mountains	0-4	0	Mother only	14
Snowy Mountains	0-4	0	Neither	7
Snowy Mountains	0-4	1		3
Snowy Mountains	0-4	1	Both	621
Snowy Mountains	0-4	1	Father only	42
Snowy Mountains	0-4	1	Mother only	30
Snowy Mountains	0-4	1	Neither	16
Snowy Mountains	5-9	0		4
Snowy Mountains	5-9	0	Both	141
Snowy Mountains	5-9	0	Father only	10
Snowy Mountains	5-9	0	Mother only	10
Snowy Mountains	5-9	0	Neither	11
Snowy Mountains	5-9	1		6
Snowy Mountains	5-9	1	Both	767
Snowy Mountains	5-9	1	Father only	61
Snowy Mountains	5-9	1	Mother only	58
Snowy Mountains	5-9	1	Neither	36
Snowy Mountains	10-12	0		4
Snowy Mountains	10-12	0	Both	103
Snowy Mountains	10-12	0	Father only	18
Snowy Mountains	10-12	0	Mother only	11
Snowy Mountains	10-12	0	Neither	3
Snowy Mountains	10-12	1		5
Snowy Mountains	10-12	1	Both	420
Snowy Mountains	10-12	1	Father only	45
Snowy Mountains	10-12	1	Mother only	42
Snowy Mountains	10-12	1	Neither	25
Snowy Mountains	13-14	0		3
Snowy Mountains	13-14	0	Both	72
Snowy Mountains	13-14	0	Father only	8
Snowy Mountains	13-14	0	Mother only	15
Snowy Mountains	13-14	1		3
Snowy Mountains	13-14	1	Both	231
Snowy Mountains	13-14	1	Father only	17
Snowy Mountains	13-14	1	Mother only	14
Snowy Mountains	13-14	1	Neither	12
Snowy Mountains	15-17	0	Both	88
Snowy Mountains	15-17	0	Father only	8
Snowy Mountains	15-17	0	Mother only	12
Snowy Mountains	15-17	0	Neither	3
Snowy Mountains	15-17	1	Both	320
Snowy Mountains	15-17	1	Father only	29
Snowy Mountains	15-17	1	Mother only	25
Snowy Mountains	15-17	1	Neither	19
Snowy Mountains	18-20	0	Both	17
Snowy Mountains	18-20	0	Neither	3
Snowy Mountains	18-20	1	Both	45
Snowy Mountains	18-20	1	Father only	9
Snowy Mountains	18-20	1	Mother only	3
Snowy Mountains	18-20	1	Neither	4
Snowy Mountains	21-24	0	Both	8
Snowy Mountains	21-24	1	Both	13
Snowy Mountains	21-24	1	Father only	3
