SA3_NAME16	Age5yr	Indigenous	persons
Queanbeyan	0-4		243
Queanbeyan	0-4	0	3297
Queanbeyan	0-4	1	189
Queanbeyan	5-9		236
Queanbeyan	5-9	0	3432
Queanbeyan	5-9	1	196
Queanbeyan	10-14		226
Queanbeyan	10-14	0	3199
Queanbeyan	10-14	1	216
Queanbeyan	15-19		226
Queanbeyan	15-19	0	3191
Queanbeyan	15-19	1	176
Queanbeyan	20-24		232
Queanbeyan	20-24	0	2891
Queanbeyan	20-24	1	159
Queanbeyan	25-29		307
Queanbeyan	25-29	0	3365
Queanbeyan	25-29	1	131
Queanbeyan	30-34		296
Queanbeyan	30-34	0	3600
Queanbeyan	30-34	1	106
Queanbeyan	35-39		267
Queanbeyan	35-39	0	3414
Queanbeyan	35-39	1	91
Queanbeyan	40-44		296
Queanbeyan	40-44	0	3874
Queanbeyan	40-44	1	112
Queanbeyan	45-49		315
Queanbeyan	45-49	0	4317
Queanbeyan	45-49	1	94
Queanbeyan	50-54		325
Queanbeyan	50-54	0	4041
Queanbeyan	50-54	1	83
Queanbeyan	55-59		275
Queanbeyan	55-59	0	3607
Queanbeyan	55-59	1	86
Queanbeyan	60-64		225
Queanbeyan	60-64	0	2933
Queanbeyan	60-64	1	45
Queanbeyan	65+		630
Queanbeyan	65+	0	6338
Queanbeyan	65+	1	60
Snowy Mountains	0-4		56
Snowy Mountains	0-4	0	815
Snowy Mountains	0-4	1	31
Snowy Mountains	5-9		83
Snowy Mountains	5-9	0	1083
Snowy Mountains	5-9	1	41
Snowy Mountains	10-14		89
Snowy Mountains	10-14	0	1036
Snowy Mountains	10-14	1	34
Snowy Mountains	15-19		81
Snowy Mountains	15-19	0	997
Snowy Mountains	15-19	1	50
Snowy Mountains	20-24		108
Snowy Mountains	20-24	0	905
Snowy Mountains	20-24	1	25
Snowy Mountains	25-29		103
Snowy Mountains	25-29	0	960
Snowy Mountains	25-29	1	29
Snowy Mountains	30-34		88
Snowy Mountains	30-34	0	957
Snowy Mountains	30-34	1	23
Snowy Mountains	35-39		72
