SA3_NAME16	CountryOfBirth	persons
Young - Yass	FRA	21
Young - Yass	GBR	1053
Young - Yass	GRC	21
Young - Yass	HKG	11
Young - Yass	HRV	35
Young - Yass	IDN	18
Young - Yass	IND	58
Young - Yass	IRL	61
Young - Yass	IRN	3
Young - Yass	IRQ	3
Young - Yass	ITA	48
Young - Yass	JPN	4
Young - Yass	KHM	9
Young - Yass	KOR	7
Young - Yass	LBN	78
Young - Yass	LKA	11
Young - Yass	MKD	6
Young - Yass	MLT	15
Young - Yass	MMR	3
Young - Yass	MYS	18
Young - Yass	NLD	120
Young - Yass	NPL	3
Young - Yass	NZL	363
Young - Yass	PAK	4
Young - Yass	PHL	78
Young - Yass	PNG	45
Young - Yass	POL	17
Young - Yass	SGP	10
Young - Yass	THA	16
Young - Yass	TUR	9
Young - Yass	TWN	13
Young - Yass	USA	109
Young - Yass	VNM	14
Young - Yass	ZAF	62
Young - Yass	ZWE	19
Gosford		13306
Gosford	AFG	7
Gosford	AUS	129785
Gosford	BGD	56
Gosford	BIH	39
Gosford	CAN	400
Gosford	CHL	172
Gosford	CHN	1043
Gosford	DEU	699
Gosford	EGY	213
Gosford	FJI	226
Gosford	FRA	193
Gosford	GBR	10732
Gosford	GRC	180
Gosford	HKG	183
Gosford	HRV	151
Gosford	IDN	227
Gosford	IND	851
Gosford	IRL	611
Gosford	IRN	80
Gosford	IRQ	32
Gosford	ITA	439
Gosford	JPN	210
Gosford	KHM	33
Gosford	KOR	440
Gosford	LBN	92
Gosford	LKA	173
Gosford	MKD	13
Gosford	MLT	240
Gosford	MMR	42
Gosford	MUS	78
Gosford	MYS	241
Gosford	NLD	546
Gosford	NPL	56
Gosford	NZL	2972
Gosford	PAK	70
Gosford	PHL	937
Gosford	PNG	207
Gosford	POL	231
Gosford	SGP	134
Gosford	THA	352
Gosford	TUR	65
Gosford	TWN	94
Gosford	USA	709
Gosford	VNM	182
Gosford	ZAF	1161
Gosford	ZWE	153
Wyong		12742
Wyong	AFG	16
Wyong	AUS	128598
Wyong	BGD	20
Wyong	BIH	33
Wyong	CAN	164
Wyong	CHL	134
Wyong	CHN	455
Wyong	DEU	477
Wyong	EGY	134
Wyong	FJI	157
Wyong	FRA	91
Wyong	GBR	7122
Wyong	GRC	151
Wyong	HKG	86
Wyong	HRV	112
Wyong	IDN	158
Wyong	IND	541
Wyong	IRL	442
Wyong	IRN	41
Wyong	IRQ	26
Wyong	ITA	444
Wyong	JPN	71
Wyong	KHM	34
Wyong	KOR	137
Wyong	LBN	97
Wyong	LKA	63
Wyong	MKD	26
Wyong	MLT	395
Wyong	MMR	21
Wyong	MUS	68
Wyong	MYS	175
Wyong	NLD	460
Wyong	NPL	31
Wyong	NZL	2531
Wyong	PAK	69
Wyong	PHL	814
Wyong	PNG	96
Wyong	POL	107
Wyong	SGP	61
Wyong	THA	211
Wyong	TUR	26
Wyong	TWN	23
Wyong	USA	348
Wyong	VNM	124
Wyong	ZAF	454
Wyong	ZWE	125
Bathurst		4232
Bathurst	AFG	12
Bathurst	AUS	38707
Bathurst	BGD	37
Bathurst	BIH	11
Bathurst	CAN	56
Bathurst	CHL	12
Bathurst	CHN	134
Bathurst	DEU	125
Bathurst	EGY	19
Bathurst	FJI	49
Bathurst	FRA	23
Bathurst	GBR	1161
Bathurst	GRC	18
Bathurst	HKG	24
Bathurst	HRV	28
Bathurst	IDN	20
Bathurst	IND	182
Bathurst	IRL	73
Bathurst	IRN	29
Bathurst	IRQ	20
Bathurst	ITA	59
Bathurst	JPN	26
Bathurst	KHM	11
Bathurst	KOR	33
Bathurst	LBN	38
Bathurst	LKA	57
Bathurst	MKD	10
Bathurst	MLT	26
Bathurst	MMR	8
Bathurst	MUS	8
Bathurst	MYS	46
Bathurst	NLD	121
Bathurst	NPL	52
Bathurst	NZL	525
Bathurst	PAK	27
Bathurst	PHL	163
Bathurst	PNG	29
