SA3_NAME16	Age5yr	ChildrenEverBorn	females
Queanbeyan	15-19		198
Queanbeyan	15-19	0	1512
Queanbeyan	15-19	1	12
Queanbeyan	15-19	2	3
Queanbeyan	20-24		154
Queanbeyan	20-24	0	1319
Queanbeyan	20-24	1	133
Queanbeyan	20-24	2	53
Queanbeyan	20-24	3	9
Queanbeyan	20-24	4	3
Queanbeyan	20-24	6	3
Queanbeyan	25-29		185
Queanbeyan	25-29	0	1043
Queanbeyan	25-29	1	397
Queanbeyan	25-29	2	228
Queanbeyan	25-29	3	81
Queanbeyan	25-29	4	12
Queanbeyan	25-29	6	3
Queanbeyan	30-34		170
Queanbeyan	30-34	0	670
Queanbeyan	30-34	1	446
Queanbeyan	30-34	2	483
Queanbeyan	30-34	3	169
Queanbeyan	30-34	4	58
Queanbeyan	30-34	5	13
Queanbeyan	30-34	6	4
Queanbeyan	35-39		138
Queanbeyan	35-39	0	380
Queanbeyan	35-39	1	351
Queanbeyan	35-39	2	600
Queanbeyan	35-39	3	330
Queanbeyan	35-39	4	93
Queanbeyan	35-39	5	25
Queanbeyan	35-39	6	11
Queanbeyan	40-44		125
Queanbeyan	40-44	0	355
Queanbeyan	40-44	1	301
Queanbeyan	40-44	2	745
Queanbeyan	40-44	3	414
Queanbeyan	40-44	4	115
Queanbeyan	40-44	5	34
Queanbeyan	40-44	6	23
Queanbeyan	45-49		158
Queanbeyan	45-49	0	412
Queanbeyan	45-49	1	286
Queanbeyan	45-49	2	894
Queanbeyan	45-49	3	465
Queanbeyan	45-49	4	160
Queanbeyan	45-49	5	26
Queanbeyan	45-49	6	21
Queanbeyan	50-54		153
Queanbeyan	50-54	0	341
Queanbeyan	50-54	1	270
Queanbeyan	50-54	2	782
Queanbeyan	50-54	3	423
Queanbeyan	50-54	4	141
Queanbeyan	50-54	5	36
Queanbeyan	50-54	6	23
Queanbeyan	55-59		153
Queanbeyan	55-59	0	290
Queanbeyan	55-59	1	200
Queanbeyan	55-59	2	648
Queanbeyan	55-59	3	415
Queanbeyan	55-59	4	156
Queanbeyan	55-59	5	33
Queanbeyan	55-59	6	23
Queanbeyan	60-64		118
Queanbeyan	60-64	0	236
Queanbeyan	60-64	1	149
Queanbeyan	60-64	2	527
Queanbeyan	60-64	3	362
Queanbeyan	60-64	4	137
Queanbeyan	60-64	5	42
Queanbeyan	60-64	6	21
Queanbeyan	65-69		111
Queanbeyan	65-69	0	132
Queanbeyan	65-69	1	107
Queanbeyan	65-69	2	420
Queanbeyan	65-69	3	314
Queanbeyan	65-69	4	124
Queanbeyan	65-69	5	44
Queanbeyan	65-69	6	24
Queanbeyan	70-74		94
Queanbeyan	70-74	0	69
Queanbeyan	70-74	1	68
Queanbeyan	70-74	2	263
Queanbeyan	70-74	3	229
Queanbeyan	70-74	4	101
Queanbeyan	70-74	5	29
Queanbeyan	70-74	6	17
Queanbeyan	75-79		66
Queanbeyan	75-79	0	42
Queanbeyan	75-79	1	37
Queanbeyan	75-79	2	144
Queanbeyan	75-79	3	161
Queanbeyan	75-79	4	96
Queanbeyan	75-79	5	39
Queanbeyan	75-79	6	26
Queanbeyan	80-84		30
Queanbeyan	80-84	0	24
Queanbeyan	80-84	1	22
Queanbeyan	80-84	2	67
Queanbeyan	80-84	3	109
Queanbeyan	80-84	4	61
Queanbeyan	80-84	5	29
Queanbeyan	80-84	6	22
Queanbeyan	85+		76
Queanbeyan	85+	0	16
Queanbeyan	85+	1	42
Queanbeyan	85+	2	81
Queanbeyan	85+	3	101
Queanbeyan	85+	4	65
Queanbeyan	85+	5	32
Queanbeyan	85+	6	31
Snowy Mountains	15-19		73
Snowy Mountains	15-19	0	444
Snowy Mountains	15-19	1	3
Snowy Mountains	20-24		59
Snowy Mountains	20-24	0	363
Snowy Mountains	20-24	1	24
Snowy Mountains	20-24	2	14
Snowy Mountains	20-24	3	3
Snowy Mountains	25-29		51
Snowy Mountains	25-29	0	283
Snowy Mountains	25-29	1	83
Snowy Mountains	25-29	2	57
Snowy Mountains	25-29	3	25
Snowy Mountains	25-29	4	3
Snowy Mountains	30-34		44
Snowy Mountains	30-34	0	178
Snowy Mountains	30-34	1	82
Snowy Mountains	30-34	2	115
Snowy Mountains	30-34	3	71
Snowy Mountains	30-34	4	15
Snowy Mountains	30-34	5	3
Snowy Mountains	35-39		36
Snowy Mountains	35-39	0	89
Snowy Mountains	35-39	1	66
Snowy Mountains	35-39	2	178
Snowy Mountains	35-39	3	96
Snowy Mountains	35-39	4	33
Snowy Mountains	35-39	5	4
Snowy Mountains	35-39	6	12
Snowy Mountains	40-44		49
Snowy Mountains	40-44	0	87
Snowy Mountains	40-44	1	84
Snowy Mountains	40-44	2	218
Snowy Mountains	40-44	3	127
Snowy Mountains	40-44	4	38
Snowy Mountains	40-44	5	9
Snowy Mountains	40-44	6	3
Snowy Mountains	45-49		66
Snowy Mountains	45-49	0	96
Snowy Mountains	45-49	1	99
Snowy Mountains	45-49	2	257
Snowy Mountains	45-49	3	125
Snowy Mountains	45-49	4	49
Snowy Mountains	45-49	5	14
Snowy Mountains	45-49	6	9
Snowy Mountains	50-54		73
Snowy Mountains	50-54	0	104
Snowy Mountains	50-54	1	94
Snowy Mountains	50-54	2	247
Snowy Mountains	50-54	3	151
Snowy Mountains	50-54	4	51
Snowy Mountains	50-54	5	20
Snowy Mountains	50-54	6	15
Snowy Mountains	55-59		52
Snowy Mountains	55-59	0	102
Snowy Mountains	55-59	1	62
Snowy Mountains	55-59	2	235
Snowy Mountains	55-59	3	166
Snowy Mountains	55-59	4	59
Snowy Mountains	55-59	5	23
Snowy Mountains	55-59	6	12
Snowy Mountains	60-64		53
Snowy Mountains	60-64	0	91
Snowy Mountains	60-64	1	50
Snowy Mountains	60-64	2	194
Snowy Mountains	60-64	3	134
Snowy Mountains	60-64	4	65
Snowy Mountains	60-64	5	19
Snowy Mountains	60-64	6	7
Snowy Mountains	65-69		55
Snowy Mountains	65-69	0	68
Snowy Mountains	65-69	1	51
Snowy Mountains	65-69	2	214
Snowy Mountains	65-69	3	116
Snowy Mountains	65-69	4	65
Snowy Mountains	65-69	5	16
Snowy Mountains	65-69	6	12
Snowy Mountains	70-74		40
Snowy Mountains	70-74	0	39
Snowy Mountains	70-74	1	43
Snowy Mountains	70-74	2	154
Snowy Mountains	70-74	3	102
Snowy Mountains	70-74	4	55
Snowy Mountains	70-74	5	19
Snowy Mountains	70-74	6	11
Snowy Mountains	75-79		42
Snowy Mountains	75-79	0	27
Snowy Mountains	75-79	1	7
Snowy Mountains	75-79	2	83
Snowy Mountains	75-79	3	71
Snowy Mountains	75-79	4	44
Snowy Mountains	75-79	5	20
Snowy Mountains	75-79	6	23
Snowy Mountains	80-84		41
Snowy Mountains	80-84	0	23
Snowy Mountains	80-84	1	10
Snowy Mountains	80-84	2	44
Snowy Mountains	80-84	3	56
Snowy Mountains	80-84	4	37
Snowy Mountains	80-84	5	20
Snowy Mountains	80-84	6	15
Snowy Mountains	85+		62
Snowy Mountains	85+	0	18
Snowy Mountains	85+	1	16
Snowy Mountains	85+	2	56
Snowy Mountains	85+	3	46
Snowy Mountains	85+	4	36
Snowy Mountains	85+	5	17
Snowy Mountains	85+	6	21
South Coast	15-19		273
South Coast	15-19	0	1462
South Coast	15-19	1	30
South Coast	15-19	2	3
South Coast	15-19	3	3
South Coast	15-19	6	3
South Coast	20-24		118
South Coast	20-24	0	811
South Coast	20-24	1	163
South Coast	20-24	2	72
South Coast	20-24	3	20
South Coast	25-29		96
South Coast	25-29	0	553
South Coast	25-29	1	228
South Coast	25-29	2	205
South Coast	25-29	3	78
South Coast	25-29	4	31
South Coast	25-29	5	8
South Coast	25-29	6	3
South Coast	30-34		113
South Coast	30-34	0	313
South Coast	30-34	1	270
South Coast	30-34	2	407
South Coast	30-34	3	193
South Coast	30-34	4	68
South Coast	30-34	5	25
South Coast	30-34	6	9
South Coast	35-39		109
South Coast	35-39	0	236
South Coast	35-39	1	208
South Coast	35-39	2	518
South Coast	35-39	3	288
South Coast	35-39	4	118
South Coast	35-39	5	50
South Coast	35-39	6	24
South Coast	40-44		143
South Coast	40-44	0	232
South Coast	40-44	1	231
South Coast	40-44	2	679
South Coast	40-44	3	373
South Coast	40-44	4	154
South Coast	40-44	5	56
South Coast	40-44	6	44
South Coast	45-49		150
South Coast	45-49	0	328
South Coast	45-49	1	264
South Coast	45-49	2	757
South Coast	45-49	3	436
South Coast	45-49	4	189
South Coast	45-49	5	58
South Coast	45-49	6	39
South Coast	50-54		207
South Coast	50-54	0	410
South Coast	50-54	1	324
South Coast	50-54	2	877
South Coast	50-54	3	524
South Coast	50-54	4	213
South Coast	50-54	5	67
South Coast	50-54	6	34
South Coast	55-59		232
South Coast	55-59	0	498
South Coast	55-59	1	359
South Coast	55-59	2	1076
South Coast	55-59	3	710
South Coast	55-59	4	284
South Coast	55-59	5	77
South Coast	55-59	6	46
South Coast	60-64		270
South Coast	60-64	0	452
South Coast	60-64	1	358
South Coast	60-64	2	1215
South Coast	60-64	3	765
South Coast	60-64	4	294
South Coast	60-64	5	76
South Coast	60-64	6	37
South Coast	65-69		252
South Coast	65-69	0	349
South Coast	65-69	1	279
South Coast	65-69	2	1205
South Coast	65-69	3	721
South Coast	65-69	4	336
South Coast	65-69	5	78
South Coast	65-69	6	47
South Coast	70-74		226
South Coast	70-74	0	249
South Coast	70-74	1	189
South Coast	70-74	2	827
South Coast	70-74	3	603
South Coast	70-74	4	278
South Coast	70-74	5	83
South Coast	70-74	6	57
South Coast	75-79		216
South Coast	75-79	0	126
South Coast	75-79	1	97
South Coast	75-79	2	446
South Coast	75-79	3	477
South Coast	75-79	4	252
South Coast	75-79	5	103
South Coast	75-79	6	57
South Coast	80-84		155
South Coast	80-84	0	99
South Coast	80-84	1	75
South Coast	80-84	2	262
South Coast	80-84	3	285
South Coast	80-84	4	200
South Coast	80-84	5	99
South Coast	80-84	6	65
South Coast	85+		297
South Coast	85+	0	93
South Coast	85+	1	113
South Coast	85+	2	294
South Coast	85+	3	298
South Coast	85+	4	207
South Coast	85+	5	91
South Coast	85+	6	73
Goulburn - Mulwaree	15-19		144
Goulburn - Mulwaree	15-19	0	838
Goulburn - Mulwaree	15-19	1	20
Goulburn - Mulwaree	20-24		73
Goulburn - Mulwaree	20-24	0	577
Goulburn - Mulwaree	20-24	1	104
Goulburn - Mulwaree	20-24	2	64
Goulburn - Mulwaree	20-24	3	6
Goulburn - Mulwaree	20-24	4	3
Goulburn - Mulwaree	25-29		79
Goulburn - Mulwaree	25-29	0	433
Goulburn - Mulwaree	25-29	1	217
Goulburn - Mulwaree	25-29	2	170
Goulburn - Mulwaree	25-29	3	57
Goulburn - Mulwaree	25-29	4	20
Goulburn - Mulwaree	25-29	5	8
Goulburn - Mulwaree	25-29	6	3
Goulburn - Mulwaree	30-34		74
