SA3_NAME16	BornAust	persons
Heathcote - Castlemaine - Kyneton	0	5345
Heathcote - Castlemaine - Kyneton	1	37542
Loddon - Elmore	0	797
Loddon - Elmore	1	9383
Barwon - West	0	1811
Barwon - West	1	15896
Geelong	0	32151
Geelong	1	143492
Surf Coast - Bellarine Peninsula	0	8972
Surf Coast - Bellarine Peninsula	1	58097
Upper Goulburn Valley	0	5636
Upper Goulburn Valley	1	42908
Wangaratta - Benalla	0	3642
Wangaratta - Benalla	1	38550
Wodonga - Alpine	0	7308
Wodonga - Alpine	1	57452
Baw Baw	0	5276
Baw Baw	1	39516
Gippsland - East	0	4894
Gippsland - East	1	35699
Gippsland - South West	0	7910
Gippsland - South West	1	48247
Latrobe Valley	0	9091
Latrobe Valley	1	57270
Wellington	0	4541
Wellington	1	34545
Brunswick - Coburg	0	26611
Brunswick - Coburg	1	54190
Darebin - South	0	13364
Darebin - South	1	35235
Essendon	0	18357
Essendon	1	43511
Melbourne City	0	75805
Melbourne City	1	44439
Port Phillip	0	31878
Port Phillip	1	58428
Stonnington - West	0	20924
Stonnington - West	1	35680
Yarra	0	25350
Yarra	1	53612
Boroondara	0	51744
Boroondara	1	107415
Manningham - West	0	40154
Manningham - West	1	46260
Whitehorse - West	0	40777
Whitehorse - West	1	56733
Bayside	0	24830
Bayside	1	66948
Glen Eira	0	54827
Glen Eira	1	86170
Kingston	0	30998
Kingston	1	79161
Stonnington - East	0	11803
Stonnington - East	1	27474
Banyule	0	28609
Banyule	1	87093
Darebin - North	0	35480
Darebin - North	1	51676
Nillumbik - Kinglake	0	9934
Nillumbik - Kinglake	1	52038
Whittlesea - Wallan	0	72304
Whittlesea - Wallan	1	127899
Keilor	0	15967
Keilor	1	39356
Macedon Ranges	0	3561
Macedon Ranges	1	23988
Moreland - North	0	28402
Moreland - North	1	41546
Sunbury	0	6182
Sunbury	1	30943
Tullamarine - Broadmeadows	0	64736
Tullamarine - Broadmeadows	1	84673
Knox	0	46510
Knox	1	100948
Manningham - East	0	6201
Manningham - East	1	18639
Maroondah	0	25432
Maroondah	1	79399
Whitehorse - East	0	21838
Whitehorse - East	1	36479
Yarra Ranges	0	24289
Yarra Ranges	1	115958
Cardinia	0	17872
Cardinia	1	70482
Casey - North	0	50401
Casey - North	1	74029
Casey - South	0	64023
Casey - South	1	94006
Dandenong	0	104015
Dandenong	1	71101
Monash	0	86515
Monash	1	79930
Brimbank	0	90936
Brimbank	1	81202
Hobsons Bay	0	24672
Hobsons Bay	1	54154
Maribyrnong	0	32989
Maribyrnong	1	43130
Melton - Bacchus Marsh	0	42820
Melton - Bacchus Marsh	1	100741
Wyndham	0	92667
Wyndham	1	116567
Frankston	0	28846
Frankston	1	95936
