SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Port Stephens	1	4	3431
Port Stephens	1	5	1550
Port Stephens	1	6	773
Upper Hunter	0	1	3012
Upper Hunter	0	2	264
Upper Hunter	0	3	38
Upper Hunter	0	4	6
Upper Hunter	0	5	3
Upper Hunter	1	2	3530
Upper Hunter	1	3	1541
Upper Hunter	1	4	1492
Upper Hunter	1	5	730
Upper Hunter	1	6	293
Dapto - Port Kembla	0	1	6398
Dapto - Port Kembla	0	2	489
Dapto - Port Kembla	0	3	58
Dapto - Port Kembla	0	4	19
Dapto - Port Kembla	0	5	3
Dapto - Port Kembla	1	2	8147
Dapto - Port Kembla	1	3	4290
Dapto - Port Kembla	1	4	4449
Dapto - Port Kembla	1	5	1857
Dapto - Port Kembla	1	6	1073
Kiama - Shellharbour	0	1	6518
Kiama - Shellharbour	0	2	553
Kiama - Shellharbour	0	3	61
Kiama - Shellharbour	0	4	23
Kiama - Shellharbour	0	5	8
Kiama - Shellharbour	1	2	10297
Kiama - Shellharbour	1	3	5050
Kiama - Shellharbour	1	4	5376
Kiama - Shellharbour	1	5	2346
Kiama - Shellharbour	1	6	1085
Wollongong	0	1	12470
Wollongong	0	2	1660
Wollongong	0	3	639
Wollongong	0	4	288
Wollongong	0	5	96
Wollongong	0	6	63
Wollongong	1	2	13967
Wollongong	1	3	6700
Wollongong	1	4	7184
Wollongong	1	5	2972
Wollongong	1	6	1142
Great Lakes	0	1	4103
Great Lakes	0	2	353
Great Lakes	0	3	26
Great Lakes	0	4	7
Great Lakes	1	2	5121
Great Lakes	1	3	1471
Great Lakes	1	4	1135
Great Lakes	1	5	471
Great Lakes	1	6	231
Kempsey - Nambucca	0	1	5574
Kempsey - Nambucca	0	2	505
Kempsey - Nambucca	0	3	51
Kempsey - Nambucca	0	4	18
Kempsey - Nambucca	0	5	3
Kempsey - Nambucca	0	6	3
Kempsey - Nambucca	1	2	6537
Kempsey - Nambucca	1	3	2342
Kempsey - Nambucca	1	4	1799
Kempsey - Nambucca	1	5	945
Kempsey - Nambucca	1	6	569
Lord Howe Island	0	1	43
Lord Howe Island	0	2	3
Lord Howe Island	1	2	51
Lord Howe Island	1	3	20
Lord Howe Island	1	4	14
