SA3_NAME16	AustCitizen	Sex	persons
Queanbeyan	0	F	3689
Queanbeyan	0	M	3776
Queanbeyan	1	F	24812
Queanbeyan	1	M	25052
Snowy Mountains	0	F	1194
Snowy Mountains	0	M	1401
Snowy Mountains	1	F	8160
Snowy Mountains	1	M	8612
South Coast	0	F	3801
South Coast	0	M	3749
South Coast	1	F	32228
South Coast	1	M	30857
Goulburn - Mulwaree	0	F	1833
Goulburn - Mulwaree	0	M	2449
Goulburn - Mulwaree	1	F	15739
Goulburn - Mulwaree	1	M	15540
Young - Yass	0	F	1658
Young - Yass	0	M	1550
Young - Yass	1	F	16599
Young - Yass	1	M	16128
Gosford	0	F	9993
Gosford	0	M	9336
Gosford	1	F	77180
Gosford	1	M	72544
Wyong	0	F	8530
Wyong	0	M	7876
Wyong	1	F	73273
Wyong	1	M	69008
Bathurst	0	F	2607
Bathurst	0	M	3511
Bathurst	1	F	20545
Bathurst	1	M	19934
Lachlan Valley	0	F	3090
Lachlan Valley	0	M	2998
Lachlan Valley	1	F	24789
Lachlan Valley	1	M	24464
Lithgow - Mudgee	0	F	3016
Lithgow - Mudgee	0	M	3406
Lithgow - Mudgee	1	F	20069
Lithgow - Mudgee	1	M	20124
Orange	0	F	2907
Orange	0	M	2916
Orange	1	F	26439
Orange	1	M	25348
Clarence Valley	0	F	2431
Clarence Valley	0	M	2615
Clarence Valley	1	F	22926
Clarence Valley	1	M	22292
Coffs Harbour	0	F	5560
Coffs Harbour	0	M	5302
Coffs Harbour	1	F	38784
Coffs Harbour	1	M	36375
Bourke - Cobar - Coonamble	0	F	1825
Bourke - Cobar - Coonamble	0	M	1897
Bourke - Cobar - Coonamble	1	F	10009
Bourke - Cobar - Coonamble	1	M	10417
Broken Hill and Far West	0	F	1029
Broken Hill and Far West	0	M	1099
Broken Hill and Far West	1	F	9222
Broken Hill and Far West	1	M	8866
Dubbo	0	F	4086
Dubbo	0	M	4537
Dubbo	1	F	31127
Dubbo	1	M	29661
Lower Hunter	0	F	4350
Lower Hunter	0	M	4988
Lower Hunter	1	F	39415
Lower Hunter	1	M	38923
Maitland	0	F	3179
Maitland	0	M	3023
Maitland	1	F	34769
Maitland	1	M	33194
Port Stephens	0	F	3860
Port Stephens	0	M	3710
Port Stephens	1	F	32232
Port Stephens	1	M	31579
Upper Hunter	0	F	1819
Upper Hunter	0	M	2052
Upper Hunter	1	F	13165
Upper Hunter	1	M	13164
Dapto - Port Kembla	0	F	4154
Dapto - Port Kembla	0	M	3980
Dapto - Port Kembla	1	F	34202
Dapto - Port Kembla	1	M	33022
Illawarra Catchment Reserve	0	M	4
Illawarra Catchment Reserve	1	F	3
Kiama - Shellharbour	0	F	4733
Kiama - Shellharbour	0	M	4393
Kiama - Shellharbour	1	F	41174
Kiama - Shellharbour	1	M	39538
Wollongong	0	F	9150
Wollongong	0	M	9776
Wollongong	1	F	55592
Wollongong	1	M	53776
Great Lakes	0	F	1639
Great Lakes	0	M	1544
Great Lakes	1	F	14378
Great Lakes	1	M	13708
Kempsey - Nambucca	0	F	2663
Kempsey - Nambucca	0	M	2963
Kempsey - Nambucca	1	F	21579
Kempsey - Nambucca	1	M	20919
Lord Howe Island	0	F	28
Lord Howe Island	0	M	35
Lord Howe Island	1	F	163
Lord Howe Island	1	M	157
Port Macquarie	0	F	4022
Port Macquarie	0	M	3799
Port Macquarie	1	F	36839
Port Macquarie	1	M	33905
Taree - Gloucester	0	F	2618
Taree - Gloucester	0	M	2423
Taree - Gloucester	1	F	24980
Taree - Gloucester	1	M	23840
Albury	0	F	3536
Albury	0	M	3389
Albury	1	F	27972
Albury	1	M	26368
Lower Murray	0	F	818
Lower Murray	0	M	856
Lower Murray	1	F	5292
Lower Murray	1	M	5582
Upper Murray exc. Albury	0	F	2388
Upper Murray exc. Albury	0	M	2431
Upper Murray exc. Albury	1	F	18732
Upper Murray exc. Albury	1	M	18431
Armidale	0	F	2548
Armidale	0	M	2438
Armidale	1	F	16587
Armidale	1	M	15519
Inverell - Tenterfield	0	F	2251
Inverell - Tenterfield	0	M	2272
Inverell - Tenterfield	1	F	17188
Inverell - Tenterfield	1	M	16633
Moree - Narrabri	0	F	1766
Moree - Narrabri	0	M	1753
Moree - Narrabri	1	F	10990
Moree - Narrabri	1	M	11115
Tamworth - Gunnedah	0	F	4418
Tamworth - Gunnedah	0	M	4452
Tamworth - Gunnedah	1	F	36551
Tamworth - Gunnedah	1	M	35079
Lake Macquarie - East	0	F	4651
Lake Macquarie - East	0	M	4364
Lake Macquarie - East	1	F	56868
Lake Macquarie - East	1	M	54136
Lake Macquarie - West	0	F	3207
Lake Macquarie - West	0	M	3015
Lake Macquarie - West	1	F	35270
Lake Macquarie - West	1	M	33720
Newcastle	0	F	8988
Newcastle	0	M	9106
Newcastle	1	F	74094
Newcastle	1	M	71692
Richmond Valley - Coastal	0	F	5643
Richmond Valley - Coastal	0	M	5317
Richmond Valley - Coastal	1	F	34817
Richmond Valley - Coastal	1	M	32503
Richmond Valley - Hinterland	0	F	3793
Richmond Valley - Hinterland	0	M	3754
Richmond Valley - Hinterland	1	F	31821
Richmond Valley - Hinterland	1	M	30580
Tweed Valley	0	F	5830
Tweed Valley	0	M	5409
Tweed Valley	1	F	41431
Tweed Valley	1	M	38700
