SA3_NAME16	AgeStudent	students
Queanbeyan	0-4	727
Queanbeyan	5-14	6847
Queanbeyan	15-19	2668
Queanbeyan	20-24	1044
Queanbeyan	25+	2283
Snowy Mountains	0-4	235
Snowy Mountains	5-14	2116
Snowy Mountains	15-19	725
Snowy Mountains	20-24	202
Snowy Mountains	25+	554
South Coast	0-4	741
South Coast	5-14	6802
South Coast	15-19	2378
South Coast	20-24	445
South Coast	25+	1468
Goulburn - Mulwaree	0-4	499
Goulburn - Mulwaree	5-14	3908
Goulburn - Mulwaree	15-19	1363
Goulburn - Mulwaree	20-24	414
Goulburn - Mulwaree	25+	941
Young - Yass	0-4	548
Young - Yass	5-14	4596
Young - Yass	15-19	1572
Young - Yass	20-24	419
Young - Yass	25+	953
Gosford	0-4	2562
Gosford	5-14	19190
Gosford	15-19	7573
Gosford	20-24	3068
Gosford	25+	5376
Wyong	0-4	2617
Wyong	5-14	18923
Wyong	15-19	6727
Wyong	20-24	2407
Wyong	25+	4392
Bathurst	0-4	682
Bathurst	5-14	5690
Bathurst	15-19	2379
Bathurst	20-24	1224
Bathurst	25+	1549
Lachlan Valley	0-4	847
Lachlan Valley	5-14	6551
Lachlan Valley	15-19	2146
Lachlan Valley	20-24	464
Lachlan Valley	25+	1062
Lithgow - Mudgee	0-4	606
Lithgow - Mudgee	5-14	5051
Lithgow - Mudgee	15-19	1679
Lithgow - Mudgee	20-24	414
Lithgow - Mudgee	25+	1149
Orange	0-4	926
Orange	5-14	7435
Orange	15-19	2629
Orange	20-24	794
Orange	25+	1996
Clarence Valley	0-4	611
Clarence Valley	5-14	5206
Clarence Valley	15-19	1945
Clarence Valley	20-24	380
Clarence Valley	25+	1188
Coffs Harbour	0-4	1234
Coffs Harbour	5-14	9931
Coffs Harbour	15-19	3511
Coffs Harbour	20-24	1060
Coffs Harbour	25+	2748
Bourke - Cobar - Coonamble	0-4	403
Bourke - Cobar - Coonamble	5-14	2772
Bourke - Cobar - Coonamble	15-19	676
Bourke - Cobar - Coonamble	20-24	158
Bourke - Cobar - Coonamble	25+	484
Broken Hill and Far West	0-4	280
Broken Hill and Far West	5-14	1995
Broken Hill and Far West	15-19	653
Broken Hill and Far West	20-24	165
Broken Hill and Far West	25+	557
Dubbo	0-4	1133
Dubbo	5-14	8347
Dubbo	15-19	2713
Dubbo	20-24	715
Dubbo	25+	1820
Lower Hunter	0-4	1389
Lower Hunter	5-14	10857
Lower Hunter	15-19	3672
Lower Hunter	20-24	982
Lower Hunter	25+	1985
Maitland	0-4	1293
Maitland	5-14	9923
Maitland	15-19	3428
Maitland	20-24	1263
Maitland	25+	2342
Port Stephens	0-4	1001
Port Stephens	5-14	8028
Port Stephens	15-19	2836
Port Stephens	20-24	860
Port Stephens	25+	1692
Upper Hunter	0-4	510
Upper Hunter	5-14	3957
Upper Hunter	15-19	1207
Upper Hunter	20-24	247
Upper Hunter	25+	656
Dapto - Port Kembla	0-4	1350
Dapto - Port Kembla	5-14	8948
Dapto - Port Kembla	15-19	3505
Dapto - Port Kembla	20-24	1328
Dapto - Port Kembla	25+	2019
Kiama - Shellharbour	0-4	1554
Kiama - Shellharbour	5-14	10936
Kiama - Shellharbour	15-19	4370
Kiama - Shellharbour	20-24	1593
Kiama - Shellharbour	25+	2327
Wollongong	0-4	2002
Wollongong	5-14	13988
Wollongong	15-19	6624
Wollongong	20-24	6128
Wollongong	25+	6276
Great Lakes	0-4	376
Great Lakes	5-14	2771
Great Lakes	15-19	1022
Great Lakes	20-24	204
Great Lakes	25+	641
Kempsey - Nambucca	0-4	653
Kempsey - Nambucca	5-14	5034
Kempsey - Nambucca	15-19	1749
Kempsey - Nambucca	20-24	308
Kempsey - Nambucca	25+	1021
Lord Howe Island	5-14	28
Lord Howe Island	15-19	4
Lord Howe Island	25+	11
Port Macquarie	0-4	1100
Port Macquarie	5-14	8569
Port Macquarie	15-19	3244
Port Macquarie	20-24	793
Port Macquarie	25+	2221
Taree - Gloucester	0-4	735
Taree - Gloucester	5-14	5739
Taree - Gloucester	15-19	2068
Taree - Gloucester	20-24	422
Taree - Gloucester	25+	1222
Albury	0-4	844
Albury	5-14	7256
Albury	15-19	2758
Albury	20-24	1141
Albury	25+	1970
Lower Murray	0-4	168
Lower Murray	5-14	1396
Lower Murray	15-19	476
Lower Murray	20-24	84
Lower Murray	25+	209
