SA3_NAME16	AustCitizen	persons
Queanbeyan	0	7472
Queanbeyan	1	49859
Snowy Mountains	0	2601
Snowy Mountains	1	16765
South Coast	0	7552
South Coast	1	63086
Goulburn - Mulwaree	0	4276
Goulburn - Mulwaree	1	31283
Young - Yass	0	3213
Young - Yass	1	32729
Gosford	0	19331
Gosford	1	149722
Wyong	0	16407
Wyong	1	142276
Bathurst	0	6114
Bathurst	1	40480
Lachlan Valley	0	6079
Lachlan Valley	1	49257
Lithgow - Mudgee	0	6411
Lithgow - Mudgee	1	40201
Orange	0	5829
Orange	1	51785
Clarence Valley	0	5038
Clarence Valley	1	45223
Coffs Harbour	0	10861
Coffs Harbour	1	75160
Bourke - Cobar - Coonamble	0	3727
Bourke - Cobar - Coonamble	1	20425
Broken Hill and Far West	0	2127
Broken Hill and Far West	1	18090
Dubbo	0	8632
Dubbo	1	60782
Lower Hunter	0	9344
Lower Hunter	1	78331
Maitland	0	6199
Maitland	1	67963
Port Stephens	0	7562
Port Stephens	1	63819
Upper Hunter	0	3865
Upper Hunter	1	26331
Dapto - Port Kembla	0	8128
Dapto - Port Kembla	1	67226
Illawarra Catchment Reserve	0	2
Illawarra Catchment Reserve	1	6
Kiama - Shellharbour	0	9123
Kiama - Shellharbour	1	80714
Wollongong	0	18931
Wollongong	1	109370
Great Lakes	0	3188
Great Lakes	1	28084
Kempsey - Nambucca	0	5626
Kempsey - Nambucca	1	42501
Lord Howe Island	0	64
Lord Howe Island	1	318
Port Macquarie	0	7821
Port Macquarie	1	70746
Taree - Gloucester	0	5033
Taree - Gloucester	1	48823
Albury	0	6928
Albury	1	54343
Lower Murray	0	1670
Lower Murray	1	10877
Upper Murray exc. Albury	0	4814
Upper Murray exc. Albury	1	37166
Armidale	0	4982
Armidale	1	32108
Inverell - Tenterfield	0	4528
Inverell - Tenterfield	1	33817
Moree - Narrabri	0	3522
Moree - Narrabri	1	22100
Tamworth - Gunnedah	0	8864
Tamworth - Gunnedah	1	71632
Lake Macquarie - East	0	9016
Lake Macquarie - East	1	110998
Lake Macquarie - West	0	6213
Lake Macquarie - West	1	68992
Newcastle	0	18096
Newcastle	1	145788
Richmond Valley - Coastal	0	10960
Richmond Valley - Coastal	1	67320
Richmond Valley - Hinterland	0	7547
Richmond Valley - Hinterland	1	62403
Tweed Valley	0	11240
Tweed Valley	1	80131
Griffith - Murrumbidgee (West)	0	7783
Griffith - Murrumbidgee (West)	1	40361
Tumut - Tumbarumba	0	1938
Tumut - Tumbarumba	1	12499
Wagga Wagga	0	10448
Wagga Wagga	1	82909
Shoalhaven	0	11051
Shoalhaven	1	88439
Southern Highlands	0	5533
Southern Highlands	1	42336
Baulkham Hills	0	21034
Baulkham Hills	1	122704
Dural - Wisemans Ferry	0	2758
Dural - Wisemans Ferry	1	23471
Hawkesbury	0	2660
Hawkesbury	1	21928
Rouse Hill - McGraths Hill	0	3956
Rouse Hill - McGraths Hill	1	29226
Blacktown	0	27657
Blacktown	1	107096
Blacktown - North	0	15677
Blacktown - North	1	77146
Mount Druitt	0	22367
Mount Druitt	1	89699
Botany	0	12180
Botany	1	34513
Marrickville - Sydenham - Petersham	0	10965
Marrickville - Sydenham - Petersham	1	43644
Sydney Inner City	0	93040
Sydney Inner City	1	121209
Eastern Suburbs - North	0	31993
Eastern Suburbs - North	1	94389
Eastern Suburbs - South	0	41105
Eastern Suburbs - South	1	99549
Bankstown	0	27977
Bankstown	1	143452
Canterbury	0	34306
Canterbury	1	100764
Hurstville	0	30747
Hurstville	1	96446
Kogarah - Rockdale	0	36228
Kogarah - Rockdale	1	101495
Canada Bay	0	19929
Canada Bay	1	65427
Leichhardt	0	10577
Leichhardt	1	45489
Strathfield - Burwood - Ashfield	0	46195
Strathfield - Burwood - Ashfield	1	105678
Chatswood - Lane Cove	0	27312
Chatswood - Lane Cove	1	84933
Hornsby	0	14758
Hornsby	1	65845
Ku-ring-gai	0	19678
Ku-ring-gai	1	98693
North Sydney - Mosman	0	22343
North Sydney - Mosman	1	71796
Manly	0	9339
Manly	1	32549
Pittwater	0	7378
Pittwater	1	53060
Warringah	0	24631
Warringah	1	125912
Camden	0	5651
Camden	1	56859
Campbelltown (NSW)	0	26259
Campbelltown (NSW)	1	132142
Wollondilly	0	3751
Wollondilly	1	37401
Blue Mountains	0	7546
Blue Mountains	1	69148
Blue Mountains - South	0	0
Blue Mountains - South	1	3
Penrith	0	17147
Penrith	1	122545
Richmond - Windsor	0	4828
Richmond - Windsor	1	31719
St Marys	0	8461
St Marys	1	45532
Auburn	0	33445
Auburn	1	56225
Carlingford	0	13771
Carlingford	1	52799
Merrylands - Guildford	0	32198
Merrylands - Guildford	1	119064
Parramatta	0	45691
Parramatta	1	95200
Pennant Hills - Epping	0	9921
Pennant Hills - Epping	1	37669
Ryde - Hunters Hill	0	33411
Ryde - Hunters Hill	1	101117
Bringelly - Green Valley	0	14716
Bringelly - Green Valley	1	88095
Fairfield	0	34684
Fairfield	1	151118
Liverpool	0	23470
Liverpool	1	93886
Cronulla - Miranda - Caringbah	0	12385
Cronulla - Miranda - Caringbah	1	97456
Sutherland - Menai - Heathcote	0	9105
Sutherland - Menai - Heathcote	1	98931
Migratory - Offshore - Shipping (NSW)	0	87
Migratory - Offshore - Shipping (NSW)	1	325
No usual address (NSW)	0	5085
No usual address (NSW)	1	7203
Ballarat	0	10740
Ballarat	1	93075
Creswick - Daylesford - Ballan	0	3527
Creswick - Daylesford - Ballan	1	24780
Maryborough - Pyrenees	0	2878
Maryborough - Pyrenees	1	22487
Bendigo	0	9638
Bendigo	1	84740
Heathcote - Castlemaine - Kyneton	0	6090
Heathcote - Castlemaine - Kyneton	1	41201
Loddon - Elmore	0	1349
Loddon - Elmore	1	10072
Barwon - West	0	1695
Barwon - West	1	17323
Geelong	0	25128
Geelong	1	163052
Surf Coast - Bellarine Peninsula	0	7339
Surf Coast - Bellarine Peninsula	1	64390
Upper Goulburn Valley	0	6596
Upper Goulburn Valley	1	47244
Wangaratta - Benalla	0	4531
Wangaratta - Benalla	1	41569
Wodonga - Alpine	0	7540
Wodonga - Alpine	1	62709
Baw Baw	0	5107
Baw Baw	1	43519
