SA3_NAME16	Age	HoursHousekeeping	Sex	adults
Queanbeyan	15-19		F	161
Queanbeyan	15-19		M	175
Queanbeyan	15-19	0	F	478
Queanbeyan	15-19	0	M	622
Queanbeyan	15-19	<5	F	862
Queanbeyan	15-19	<5	M	919
Queanbeyan	15-19	5-14	F	191
Queanbeyan	15-19	5-14	M	120
Queanbeyan	15-19	15-29	F	28
Queanbeyan	15-19	15-29	M	13
Queanbeyan	15-19	30+	F	4
Queanbeyan	15-19	30+	M	9
Queanbeyan	20-24		F	136
Queanbeyan	20-24		M	146
Queanbeyan	20-24	0	F	339
Queanbeyan	20-24	0	M	537
Queanbeyan	20-24	<5	F	633
Queanbeyan	20-24	<5	M	660
Queanbeyan	20-24	5-14	F	407
Queanbeyan	20-24	5-14	M	234
Queanbeyan	20-24	15-29	F	85
Queanbeyan	20-24	15-29	M	26
Queanbeyan	20-24	30+	F	77
Queanbeyan	20-24	30+	M	13
Queanbeyan	25-34		F	356
Queanbeyan	25-34		M	317
Queanbeyan	25-34	0	F	386
Queanbeyan	25-34	0	M	785
Queanbeyan	25-34	<5	F	758
Queanbeyan	25-34	<5	M	1343
Queanbeyan	25-34	5-14	F	1320
Queanbeyan	25-34	5-14	M	1099
Queanbeyan	25-34	15-29	F	561
Queanbeyan	25-34	15-29	M	211
Queanbeyan	25-34	30+	F	582
Queanbeyan	25-34	30+	M	84
Queanbeyan	35-44		F	274
Queanbeyan	35-44		M	336
Queanbeyan	35-44	0	F	277
Queanbeyan	35-44	0	M	581
Queanbeyan	35-44	<5	F	477
Queanbeyan	35-44	<5	M	1140
Queanbeyan	35-44	5-14	F	1521
Queanbeyan	35-44	5-14	M	1442
Queanbeyan	35-44	15-29	F	858
Queanbeyan	35-44	15-29	M	351
Queanbeyan	35-44	30+	F	654
Queanbeyan	35-44	30+	M	135
Queanbeyan	45-54		F	330
Queanbeyan	45-54		M	406
Queanbeyan	45-54	0	F	345
Queanbeyan	45-54	0	M	676
Queanbeyan	45-54	<5	F	602
Queanbeyan	45-54	<5	M	1259
Queanbeyan	45-54	5-14	F	1823
Queanbeyan	45-54	5-14	M	1675
Queanbeyan	45-54	15-29	F	974
Queanbeyan	45-54	15-29	M	435
Queanbeyan	45-54	30+	F	521
Queanbeyan	45-54	30+	M	151
Queanbeyan	55-64		F	288
Queanbeyan	55-64		M	323
Queanbeyan	55-64	0	F	417
Queanbeyan	55-64	0	M	650
Queanbeyan	55-64	<5	F	398
Queanbeyan	55-64	<5	M	877
Queanbeyan	55-64	5-14	F	1207
Queanbeyan	55-64	5-14	M	1233
Queanbeyan	55-64	15-29	F	751
Queanbeyan	55-64	15-29	M	370
