SA3_NAME16	OnlyEnglishSpokenHome	persons
Queanbeyan	0	6855
Queanbeyan	1	46344
Snowy Mountains	0	1028
Snowy Mountains	1	16558
South Coast	0	2406
South Coast	1	62958
Goulburn - Mulwaree	0	1472
Goulburn - Mulwaree	1	31104
Young - Yass	0	1227
Young - Yass	1	32385
Gosford	0	11679
Gosford	1	148067
Wyong	0	7539
Wyong	1	141705
Bathurst	0	1879
Bathurst	1	40365
Lachlan Valley	0	1327
Lachlan Valley	1	48927
Lithgow - Mudgee	0	1399
Lithgow - Mudgee	1	40126
Orange	0	2718
Orange	1	51185
Clarence Valley	0	1073
Clarence Valley	1	45386
Coffs Harbour	0	5871
Coffs Harbour	1	74070
Bourke - Cobar - Coonamble	0	801
Bourke - Cobar - Coonamble	1	20211
Broken Hill and Far West	0	503
Broken Hill and Far West	1	17775
Dubbo	0	2699
Dubbo	1	60473
Lower Hunter	0	1863
Lower Hunter	1	78870
Maitland	0	2947
Maitland	1	67559
Port Stephens	0	2462
Port Stephens	1	63841
Upper Hunter	0	985
Upper Hunter	1	26623
Dapto - Port Kembla	0	12772
Dapto - Port Kembla	1	59098
Illawarra Catchment Reserve	1	7
Kiama - Shellharbour	0	8032
Kiama - Shellharbour	1	77094
Wollongong	0	21521
Wollongong	1	100216
Great Lakes	0	814
Great Lakes	1	28174
Kempsey - Nambucca	0	1108
Kempsey - Nambucca	1	42564
Lord Howe Island	0	22
Lord Howe Island	1	321
Port Macquarie	0	2401
Port Macquarie	1	71283
Taree - Gloucester	0	1347
Taree - Gloucester	1	48799
Albury	0	3649
Albury	1	53468
Lower Murray	0	505
Lower Murray	1	10640
Upper Murray exc. Albury	0	1096
Upper Murray exc. Albury	1	37224
Armidale	0	2461
Armidale	1	31854
Inverell - Tenterfield	0	924
Inverell - Tenterfield	1	33739
Moree - Narrabri	0	684
Moree - Narrabri	1	21959
Tamworth - Gunnedah	0	2618
Tamworth - Gunnedah	1	71661
Lake Macquarie - East	0	5436
Lake Macquarie - East	1	109574
Lake Macquarie - West	0	3087
Lake Macquarie - West	1	68670
Newcastle	0	15819
Newcastle	1	139380
Richmond Valley - Coastal	0	3788
Richmond Valley - Coastal	1	67195
Richmond Valley - Hinterland	0	2548
Richmond Valley - Hinterland	1	61835
Tweed Valley	0	3845
Tweed Valley	1	81054
Griffith - Murrumbidgee (West)	0	6555
Griffith - Murrumbidgee (West)	1	37089
Tumut - Tumbarumba	0	504
Tumut - Tumbarumba	1	12512
Wagga Wagga	0	4767
Wagga Wagga	1	81898
Shoalhaven	0	4009
Shoalhaven	1	88002
Southern Highlands	0	2705
Southern Highlands	1	42253
Baulkham Hills	0	51261
Baulkham Hills	1	88286
Dural - Wisemans Ferry	0	3940
Dural - Wisemans Ferry	1	21112
Hawkesbury	0	1100
Hawkesbury	1	21819
Rouse Hill - McGraths Hill	0	7090
Rouse Hill - McGraths Hill	1	24914
Blacktown	0	58833
Blacktown	1	69489
Blacktown - North	0	35809
Blacktown - North	1	52628
Mount Druitt	0	45298
Mount Druitt	1	59717
Botany	0	20796
Botany	1	22953
Marrickville - Sydenham - Petersham	0	16432
Marrickville - Sydenham - Petersham	1	34057
Sydney Inner City	0	76469
Sydney Inner City	1	111737
Eastern Suburbs - North	0	23246
Eastern Suburbs - North	1	90739
Eastern Suburbs - South	0	45110
Eastern Suburbs - South	1	83943
Bankstown	0	95989
Bankstown	1	65956
Canterbury	0	90233
Canterbury	1	36892
Hurstville	0	67664
Hurstville	1	54270
Kogarah - Rockdale	0	78099
Kogarah - Rockdale	1	51630
Canada Bay	0	33857
Canada Bay	1	46697
Leichhardt	0	8590
Leichhardt	1	43208
Strathfield - Burwood - Ashfield	0	80861
Strathfield - Burwood - Ashfield	1	62055
Chatswood - Lane Cove	0	40235
Chatswood - Lane Cove	1	66640
Hornsby	0	25065
Hornsby	1	52809
Ku-ring-gai	0	32783
Ku-ring-gai	1	81341
North Sydney - Mosman	0	18496
North Sydney - Mosman	1	68695
Manly	0	5894
Manly	1	33384
Pittwater	0	5217
Pittwater	1	52360
Warringah	0	27099
Warringah	1	116023
Camden	0	6677
Camden	1	53611
Campbelltown (NSW)	0	48031
Campbelltown (NSW)	1	101047
Wollondilly	0	2337
Wollondilly	1	36613
Blue Mountains	0	4691
Blue Mountains	1	68558
Blue Mountains - South	1	3
Penrith	0	19267
Penrith	1	113335
Richmond - Windsor	0	2554
Richmond - Windsor	1	30917
St Marys	0	13041
St Marys	1	37673
Auburn	0	64636
Auburn	1	17889
Carlingford	0	33212
Carlingford	1	30750
Merrylands - Guildford	0	90073
Merrylands - Guildford	1	51883
Parramatta	0	76702
Parramatta	1	55435
Pennant Hills - Epping	0	20668
Pennant Hills - Epping	1	25474
Ryde - Hunters Hill	0	61487
Ryde - Hunters Hill	1	67219
Bringelly - Green Valley	0	50528
Bringelly - Green Valley	1	46020
Fairfield	0	131042
Fairfield	1	46891
Liverpool	0	59598
Liverpool	1	49221
Cronulla - Miranda - Caringbah	0	15252
Cronulla - Miranda - Caringbah	1	89461
Sutherland - Menai - Heathcote	0	13097
Sutherland - Menai - Heathcote	1	91666
Migratory - Offshore - Shipping (NSW)	0	92
Migratory - Offshore - Shipping (NSW)	1	279
No usual address (NSW)	0	1822
No usual address (NSW)	1	7212
Ballarat	0	5548
Ballarat	1	91983
Creswick - Daylesford - Ballan	0	1148
Creswick - Daylesford - Ballan	1	24833
Maryborough - Pyrenees	0	589
Maryborough - Pyrenees	1	22598
Bendigo	0	4749
Bendigo	1	83258
Heathcote - Castlemaine - Kyneton	0	1684
