SA3_NAME16	Age	NeedsAssistance	Sex	persons
Queanbeyan	0-4		F	119
Queanbeyan	0-4		M	158
Queanbeyan	0-4	0	F	1594
Queanbeyan	0-4	0	M	1814
Queanbeyan	0-4	1	F	19
Queanbeyan	0-4	1	M	27
Queanbeyan	5-14		F	249
Queanbeyan	5-14		M	228
Queanbeyan	5-14	0	F	3346
Queanbeyan	5-14	0	M	3498
Queanbeyan	5-14	1	F	71
Queanbeyan	5-14	1	M	131
Queanbeyan	15-19		F	109
Queanbeyan	15-19		M	119
Queanbeyan	15-19	0	F	1588
Queanbeyan	15-19	0	M	1690
Queanbeyan	15-19	1	F	26
Queanbeyan	15-19	1	M	56
Queanbeyan	20-24		F	126
Queanbeyan	20-24		M	128
Queanbeyan	20-24	0	F	1517
Queanbeyan	20-24	0	M	1453
Queanbeyan	20-24	1	F	31
Queanbeyan	20-24	1	M	35
Queanbeyan	25-34		F	340
Queanbeyan	25-34		M	319
Queanbeyan	25-34	0	F	3555
Queanbeyan	25-34	0	M	3452
Queanbeyan	25-34	1	F	72
Queanbeyan	25-34	1	M	62
Queanbeyan	35-44		F	290
Queanbeyan	35-44		M	340
Queanbeyan	35-44	0	F	3695
Queanbeyan	35-44	0	M	3572
Queanbeyan	35-44	1	F	77
Queanbeyan	35-44	1	M	67
Queanbeyan	45-54		F	321
Queanbeyan	45-54		M	408
Queanbeyan	45-54	0	F	4134
Queanbeyan	45-54	0	M	4084
Queanbeyan	45-54	1	F	128
Queanbeyan	45-54	1	M	100
Queanbeyan	55-64		F	273
Queanbeyan	55-64		M	304
Queanbeyan	55-64	0	F	3102
Queanbeyan	55-64	0	M	3198
Queanbeyan	55-64	1	F	148
Queanbeyan	55-64	1	M	148
Queanbeyan	65-74		F	207
Queanbeyan	65-74		M	206
Queanbeyan	65-74	0	F	1797
Queanbeyan	65-74	0	M	1904
Queanbeyan	65-74	1	F	155
Queanbeyan	65-74	1	M	160
Queanbeyan	75-84		F	89
Queanbeyan	75-84		M	85
Queanbeyan	75-84	0	F	706
Queanbeyan	75-84	0	M	678
Queanbeyan	75-84	1	F	191
Queanbeyan	75-84	1	M	154
Queanbeyan	85+		F	46
Queanbeyan	85+		M	17
Queanbeyan	85+	0	F	160
Queanbeyan	85+	0	M	127
Queanbeyan	85+	1	F	237
Queanbeyan	85+	1	M	106
Snowy Mountains	0-4		F	27
Snowy Mountains	0-4		M	35
Snowy Mountains	0-4	0	F	394
Snowy Mountains	0-4	0	M	445
Snowy Mountains	0-4	1	F	4
Snowy Mountains	0-4	1	M	5
Snowy Mountains	5-14		F	93
Snowy Mountains	5-14		M	88
Snowy Mountains	5-14	0	F	1008
Snowy Mountains	5-14	0	M	1106
Snowy Mountains	5-14	1	F	27
Snowy Mountains	5-14	1	M	47
Snowy Mountains	15-19		F	43
Snowy Mountains	15-19		M	52
Snowy Mountains	15-19	0	F	469
Snowy Mountains	15-19	0	M	532
Snowy Mountains	15-19	1	F	14
Snowy Mountains	15-19	1	M	18
Snowy Mountains	20-24		F	49
Snowy Mountains	20-24		M	72
Snowy Mountains	20-24	0	F	407
Snowy Mountains	20-24	0	M	489
Snowy Mountains	20-24	1	F	12
Snowy Mountains	20-24	1	M	9
Snowy Mountains	25-34		F	101
Snowy Mountains	25-34		M	181
Snowy Mountains	25-34	0	F	900
Snowy Mountains	25-34	0	M	939
Snowy Mountains	25-34	1	F	21
