SA3_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Queanbeyan		0	76
Queanbeyan		7875	4
Queanbeyan		10500	3
Queanbeyan		11812	3
Queanbeyan		18375	4
Queanbeyan	(Other)	0	22
Queanbeyan	(Other)	3937	7
Queanbeyan	(Other)	5250	19
Queanbeyan	(Other)	7875	20
Queanbeyan	(Other)	10500	11
Queanbeyan	(Other)	11812	118
Queanbeyan	(Other)	14437	157
Queanbeyan	(Other)	18375	54
Queanbeyan	(Other)	23625	11
Queanbeyan	(Other)	28875	5
Queanbeyan	(Other)	34125	6
Queanbeyan	(Other)	49875	3
Queanbeyan	Co-op/church group etc	0	4
Queanbeyan	Co-op/church group etc	5250	13
Queanbeyan	Co-op/church group etc	7875	37
Queanbeyan	Co-op/church group etc	10500	13
Queanbeyan	Co-op/church group etc	11812	10
Queanbeyan	Co-op/church group etc	14437	10
Queanbeyan	Co-op/church group etc	18375	6
Queanbeyan	Person not in same household	0	70
Queanbeyan	Person not in same household	3937	6
Queanbeyan	Person not in same household	5250	35
Queanbeyan	Person not in same household	7875	91
Queanbeyan	Person not in same household	10500	68
Queanbeyan	Person not in same household	11812	141
Queanbeyan	Person not in same household	14437	203
Queanbeyan	Person not in same household	18375	269
Queanbeyan	Person not in same household	23625	141
Queanbeyan	Person not in same household	28875	45
Queanbeyan	Person not in same household	34125	15
Queanbeyan	Person not in same household	39375	6
Queanbeyan	Person not in same household	44625	3
Queanbeyan	Person not in same household	49875	5
Queanbeyan	Real estate agent	0	7
Queanbeyan	Real estate agent	3937	5
Queanbeyan	Real estate agent	5250	24
Queanbeyan	Real estate agent	7875	252
Queanbeyan	Real estate agent	10500	332
Queanbeyan	Real estate agent	11812	490
Queanbeyan	Real estate agent	14437	635
Queanbeyan	Real estate agent	18375	935
Queanbeyan	Real estate agent	23625	375
Queanbeyan	Real estate agent	28875	177
Queanbeyan	Real estate agent	34125	61
Queanbeyan	Real estate agent	39375	20
Queanbeyan	Real estate agent	44625	11
Queanbeyan	Real estate agent	49875	9
Queanbeyan	State or territory housing authority	0	21
Queanbeyan	State or territory housing authority	3937	23
Queanbeyan	State or territory housing authority	5250	181
Queanbeyan	State or territory housing authority	7875	130
Queanbeyan	State or territory housing authority	10500	55
Queanbeyan	State or territory housing authority	11812	60
Queanbeyan	State or territory housing authority	14437	47
Queanbeyan	State or territory housing authority	18375	71
Queanbeyan	State or territory housing authority	23625	8
Snowy Mountains		0	68
Snowy Mountains		5250	3
Snowy Mountains		7875	3
Snowy Mountains		34125	3
Snowy Mountains	(Other)	0	49
Snowy Mountains	(Other)	3937	7
Snowy Mountains	(Other)	5250	17
Snowy Mountains	(Other)	7875	18
Snowy Mountains	(Other)	10500	16
Snowy Mountains	(Other)	11812	13
Snowy Mountains	(Other)	14437	20
Snowy Mountains	(Other)	18375	14
Snowy Mountains	(Other)	28875	3
Snowy Mountains	(Other)	39375	7
Snowy Mountains	(Other)	44625	5
Snowy Mountains	(Other)	49875	3
Snowy Mountains	Co-op/church group etc	3937	3
Snowy Mountains	Co-op/church group etc	5250	8
Snowy Mountains	Co-op/church group etc	7875	8
Snowy Mountains	Co-op/church group etc	10500	9
Snowy Mountains	Co-op/church group etc	11812	3
Snowy Mountains	Person not in same household	0	66
Snowy Mountains	Person not in same household	3937	14
Snowy Mountains	Person not in same household	5250	56
Snowy Mountains	Person not in same household	7875	92
Snowy Mountains	Person not in same household	10500	83
Snowy Mountains	Person not in same household	11812	100
Snowy Mountains	Person not in same household	14437	62
Snowy Mountains	Person not in same household	18375	40
Snowy Mountains	Person not in same household	23625	3
Snowy Mountains	Person not in same household	28875	7
Snowy Mountains	Person not in same household	34125	5
Snowy Mountains	Person not in same household	49875	6
Snowy Mountains	Real estate agent	0	4
Snowy Mountains	Real estate agent	3937	4
Snowy Mountains	Real estate agent	5250	61
Snowy Mountains	Real estate agent	7875	136
Snowy Mountains	Real estate agent	10500	99
Snowy Mountains	Real estate agent	11812	211
Snowy Mountains	Real estate agent	14437	163
Snowy Mountains	Real estate agent	18375	121
Snowy Mountains	Real estate agent	23625	16
Snowy Mountains	Real estate agent	28875	5
Snowy Mountains	Real estate agent	34125	5
Snowy Mountains	Real estate agent	39375	6
Snowy Mountains	Real estate agent	44625	3
Snowy Mountains	Real estate agent	49875	14
Snowy Mountains	State or territory housing authority	0	6
Snowy Mountains	State or territory housing authority	3937	4
Snowy Mountains	State or territory housing authority	5250	24
Snowy Mountains	State or territory housing authority	7875	17
Snowy Mountains	State or territory housing authority	10500	10
Snowy Mountains	State or territory housing authority	11812	23
Snowy Mountains	State or territory housing authority	14437	3
South Coast		0	147
South Coast		5250	12
South Coast		7875	9
South Coast		10500	7
South Coast		11812	12
South Coast		14437	11
South Coast		18375	4
South Coast	(Other)	0	51
South Coast	(Other)	3937	15
South Coast	(Other)	5250	26
South Coast	(Other)	7875	53
South Coast	(Other)	10500	25
South Coast	(Other)	11812	30
South Coast	(Other)	14437	30
South Coast	(Other)	18375	15
South Coast	(Other)	23625	4
South Coast	Co-op/church group etc	0	3
South Coast	Co-op/church group etc	3937	15
South Coast	Co-op/church group etc	5250	51
South Coast	Co-op/church group etc	7875	60
South Coast	Co-op/church group etc	10500	16
South Coast	Co-op/church group etc	11812	18
South Coast	Co-op/church group etc	14437	10
South Coast	Co-op/church group etc	18375	7
South Coast	Person not in same household	0	177
South Coast	Person not in same household	3937	15
South Coast	Person not in same household	5250	154
South Coast	Person not in same household	7875	246
South Coast	Person not in same household	10500	265
South Coast	Person not in same household	11812	338
South Coast	Person not in same household	14437	406
South Coast	Person not in same household	18375	205
South Coast	Person not in same household	23625	32
South Coast	Person not in same household	28875	7
South Coast	Person not in same household	34125	3
