SA3_NAME16	OnlyEnglishSpokenHome	Sex	persons
Queanbeyan	0	F	3488
Queanbeyan	0	M	3363
Queanbeyan	1	F	23001
Queanbeyan	1	M	23342
Snowy Mountains	0	F	548
Snowy Mountains	0	M	488
Snowy Mountains	1	F	8040
Snowy Mountains	1	M	8522
South Coast	0	F	1299
South Coast	0	M	1108
South Coast	1	F	32086
South Coast	1	M	30867
Goulburn - Mulwaree	0	F	741
Goulburn - Mulwaree	0	M	731
Goulburn - Mulwaree	1	F	15630
Goulburn - Mulwaree	1	M	15473
Young - Yass	0	F	613
Young - Yass	0	M	615
Young - Yass	1	F	16490
Young - Yass	1	M	15898
Gosford	0	F	6345
Gosford	0	M	5325
Gosford	1	F	76050
Gosford	1	M	72023
Wyong	0	F	4058
Wyong	0	M	3487
Wyong	1	F	72781
Wyong	1	M	68928
Bathurst	0	F	934
Bathurst	0	M	944
Bathurst	1	F	20510
Bathurst	1	M	19857
Lachlan Valley	0	F	700
Lachlan Valley	0	M	630
Lachlan Valley	1	F	24642
Lachlan Valley	1	M	24288
Lithgow - Mudgee	0	F	729
Lithgow - Mudgee	0	M	665
Lithgow - Mudgee	1	F	20020
Lithgow - Mudgee	1	M	20108
Orange	0	F	1417
Orange	0	M	1298
Orange	1	F	26104
Orange	1	M	25079
Clarence Valley	0	F	600
Clarence Valley	0	M	476
Clarence Valley	1	F	22988
Clarence Valley	1	M	22395
Coffs Harbour	0	F	3124
Coffs Harbour	0	M	2743
Coffs Harbour	1	F	38092
Coffs Harbour	1	M	35973
Bourke - Cobar - Coonamble	0	F	412
Bourke - Cobar - Coonamble	0	M	389
Bourke - Cobar - Coonamble	1	F	9937
Bourke - Cobar - Coonamble	1	M	10280
Broken Hill and Far West	0	F	256
Broken Hill and Far West	0	M	248
Broken Hill and Far West	1	F	9014
Broken Hill and Far West	1	M	8754
Dubbo	0	F	1404
Dubbo	0	M	1295
Dubbo	1	F	30937
Dubbo	1	M	29536
Lower Hunter	0	F	981
Lower Hunter	0	M	879
Lower Hunter	1	F	39707
Lower Hunter	1	M	39164
Maitland	0	F	1587
Maitland	0	M	1366
Maitland	1	F	34534
Maitland	1	M	33020
Port Stephens	0	F	1288
Port Stephens	0	M	1171
Port Stephens	1	F	32283
Port Stephens	1	M	31560
Upper Hunter	0	F	493
Upper Hunter	0	M	491
Upper Hunter	1	F	13344
Upper Hunter	1	M	13283
Dapto - Port Kembla	0	F	6711
Dapto - Port Kembla	0	M	6060
Dapto - Port Kembla	1	F	29908
Dapto - Port Kembla	1	M	29189
Illawarra Catchment Reserve	1	M	4
Kiama - Shellharbour	0	F	4249
Kiama - Shellharbour	0	M	3781
Kiama - Shellharbour	1	F	39276
Kiama - Shellharbour	1	M	37819
Wollongong	0	F	10895
Wollongong	0	M	10631
Wollongong	1	F	50612
Wollongong	1	M	49603
Great Lakes	0	F	427
Great Lakes	0	M	390
Great Lakes	1	F	14446
Great Lakes	1	M	13728
Kempsey - Nambucca	0	F	628
Kempsey - Nambucca	0	M	480
Kempsey - Nambucca	1	F	21570
Kempsey - Nambucca	1	M	20986
Lord Howe Island	0	F	6
Lord Howe Island	0	M	10
Lord Howe Island	1	F	161
Lord Howe Island	1	M	154
Port Macquarie	0	F	1305
Port Macquarie	0	M	1095
Port Macquarie	1	F	37090
Port Macquarie	1	M	34191
Taree - Gloucester	0	F	744
Taree - Gloucester	0	M	601
Taree - Gloucester	1	F	24947
Taree - Gloucester	1	M	23853
Albury	0	F	1917
Albury	0	M	1733
Albury	1	F	27502
Albury	1	M	25964
Lower Murray	0	F	259
Lower Murray	0	M	242
Lower Murray	1	F	5180
Lower Murray	1	M	5454
Upper Murray exc. Albury	0	F	545
Upper Murray exc. Albury	0	M	550
Upper Murray exc. Albury	1	F	18727
Upper Murray exc. Albury	1	M	18496
Armidale	0	F	1268
Armidale	0	M	1196
Armidale	1	F	16443
Armidale	1	M	15411
Inverell - Tenterfield	0	F	492
Inverell - Tenterfield	0	M	435
Inverell - Tenterfield	1	F	17175
Inverell - Tenterfield	1	M	16564
Moree - Narrabri	0	F	333
Moree - Narrabri	0	M	350
Moree - Narrabri	1	F	10929
Moree - Narrabri	1	M	11039
Tamworth - Gunnedah	0	F	1246
Tamworth - Gunnedah	0	M	1367
Tamworth - Gunnedah	1	F	36639
Tamworth - Gunnedah	1	M	35026
Lake Macquarie - East	0	F	2939
Lake Macquarie - East	0	M	2503
Lake Macquarie - East	1	F	56001
Lake Macquarie - East	1	M	53575
Lake Macquarie - West	0	F	1648
Lake Macquarie - West	0	M	1434
Lake Macquarie - West	1	F	35023
Lake Macquarie - West	1	M	33646
Newcastle	0	F	8181
Newcastle	0	M	7637
Newcastle	1	F	70492
Newcastle	1	M	68886
Richmond Valley - Coastal	0	F	2032
Richmond Valley - Coastal	0	M	1753
Richmond Valley - Coastal	1	F	34689
Richmond Valley - Coastal	1	M	32510
Richmond Valley - Hinterland	0	F	1397
Richmond Valley - Hinterland	0	M	1147
Richmond Valley - Hinterland	1	F	31447
Richmond Valley - Hinterland	1	M	30391
Tweed Valley	0	F	2145
Tweed Valley	0	M	1703
Tweed Valley	1	F	41831
Tweed Valley	1	M	39229
Griffith - Murrumbidgee (West)	0	F	3230
Griffith - Murrumbidgee (West)	0	M	3322
Griffith - Murrumbidgee (West)	1	F	18577
Griffith - Murrumbidgee (West)	1	M	18520
Tumut - Tumbarumba	0	F	253
Tumut - Tumbarumba	0	M	252
Tumut - Tumbarumba	1	F	6241
Tumut - Tumbarumba	1	M	6267
Wagga Wagga	0	F	2292
Wagga Wagga	0	M	2473
Wagga Wagga	1	F	41861
Wagga Wagga	1	M	40036
Shoalhaven	0	F	2153
Shoalhaven	0	M	1855
Shoalhaven	1	F	44731
Shoalhaven	1	M	43268
Southern Highlands	0	F	1437
Southern Highlands	0	M	1269
Southern Highlands	1	F	22080
Southern Highlands	1	M	20172
Baulkham Hills	0	F	26794
Baulkham Hills	0	M	24474
Baulkham Hills	1	F	44416
Baulkham Hills	1	M	43871
Dural - Wisemans Ferry	0	F	2031
Dural - Wisemans Ferry	0	M	1912
Dural - Wisemans Ferry	1	F	10526
Dural - Wisemans Ferry	1	M	10586
Hawkesbury	0	F	556
Hawkesbury	0	M	548
Hawkesbury	1	F	10808
Hawkesbury	1	M	11015
Rouse Hill - McGraths Hill	0	F	3655
Rouse Hill - McGraths Hill	0	M	3430
Rouse Hill - McGraths Hill	1	F	12334
Rouse Hill - McGraths Hill	1	M	12577
Blacktown	0	F	29684
Blacktown	0	M	29155
Blacktown	1	F	34376
Blacktown	1	M	35115
Blacktown - North	0	F	18285
Blacktown - North	0	M	17525
Blacktown - North	1	F	26297
Blacktown - North	1	M	26330
Mount Druitt	0	F	23475
Mount Druitt	0	M	21829
Mount Druitt	1	F	30082
Mount Druitt	1	M	29633
Botany	0	F	10831
Botany	0	M	9971
Botany	1	F	11169
Botany	1	M	11788
Marrickville - Sydenham - Petersham	0	F	8583
Marrickville - Sydenham - Petersham	0	M	7846
Marrickville - Sydenham - Petersham	1	F	17061
Marrickville - Sydenham - Petersham	1	M	16997
Sydney Inner City	0	F	40384
Sydney Inner City	0	M	36088
Sydney Inner City	1	F	51428
Sydney Inner City	1	M	60304
Eastern Suburbs - North	0	F	12696
Eastern Suburbs - North	0	M	10553
Eastern Suburbs - North	1	F	46885
Eastern Suburbs - North	1	M	43850
Eastern Suburbs - South	0	F	23700
Eastern Suburbs - South	0	M	21413
Eastern Suburbs - South	1	F	42773
Eastern Suburbs - South	1	M	41169
Bankstown	0	F	49323
Bankstown	0	M	46673
Bankstown	1	F	32961
Bankstown	1	M	32996
Canterbury	0	F	44917
Canterbury	0	M	45310
Canterbury	1	F	17941
Canterbury	1	M	18954
Hurstville	0	F	35387
Hurstville	0	M	32277
Hurstville	1	F	27238
Hurstville	1	M	27034
Kogarah - Rockdale	0	F	40019
Kogarah - Rockdale	0	M	38088
Kogarah - Rockdale	1	F	25575
Kogarah - Rockdale	1	M	26056
Canada Bay	0	F	18098
Canada Bay	0	M	15759
Canada Bay	1	F	23839
Canada Bay	1	M	22856
Leichhardt	0	F	4704
Leichhardt	0	M	3883
Leichhardt	1	F	22373
Leichhardt	1	M	20832
Strathfield - Burwood - Ashfield	0	F	41960
Strathfield - Burwood - Ashfield	0	M	38900
Strathfield - Burwood - Ashfield	1	F	30879
Strathfield - Burwood - Ashfield	1	M	31171
Chatswood - Lane Cove	0	F	21995
Chatswood - Lane Cove	0	M	18240
Chatswood - Lane Cove	1	F	33186
Chatswood - Lane Cove	1	M	33459
Hornsby	0	F	13294
Hornsby	0	M	11765
Hornsby	1	F	26428
Hornsby	1	M	26385
Ku-ring-gai	0	F	17804
Ku-ring-gai	0	M	14978
Ku-ring-gai	1	F	41484
Ku-ring-gai	1	M	39860
North Sydney - Mosman	0	F	10310
North Sydney - Mosman	0	M	8185
North Sydney - Mosman	1	F	36116
North Sydney - Mosman	1	M	32582
Manly	0	F	3226
Manly	0	M	2662
Manly	1	F	16950
Manly	1	M	16441
Pittwater	0	F	2841
Pittwater	0	M	2373
Pittwater	1	F	26665
Pittwater	1	M	25700
Warringah	0	F	14511
Warringah	0	M	12589
Warringah	1	F	58517
Warringah	1	M	57506
Camden	0	F	3535
Camden	0	M	3141
Camden	1	F	27451
Camden	1	M	26155
Campbelltown (NSW)	0	F	24754
Campbelltown (NSW)	0	M	23279
Campbelltown (NSW)	1	F	51005
Campbelltown (NSW)	1	M	50038
Wollondilly	0	F	1197
Wollondilly	0	M	1137
Wollondilly	1	F	18352
Wollondilly	1	M	18263
Blue Mountains	0	F	2534
Blue Mountains	0	M	2155
Blue Mountains	1	F	35398
Blue Mountains	1	M	33159
Blue Mountains - South	1	M	3
Penrith	0	F	10139
Penrith	0	M	9121
Penrith	1	F	57409
Penrith	1	M	55925
Richmond - Windsor	0	F	1333
Richmond - Windsor	0	M	1215
Richmond - Windsor	1	F	15786
Richmond - Windsor	1	M	15134
St Marys	0	F	6704
St Marys	0	M	6338
St Marys	1	F	18831
St Marys	1	M	18836
Auburn	0	F	30668
Auburn	0	M	33969
Auburn	1	F	8409
Auburn	1	M	9479
Carlingford	0	F	17197
Carlingford	0	M	16018
Carlingford	1	F	15345
Carlingford	1	M	15407
Merrylands - Guildford	0	F	44829
Merrylands - Guildford	0	M	45240
Merrylands - Guildford	1	F	25774
Merrylands - Guildford	1	M	26110
Parramatta	0	F	38088
Parramatta	0	M	38607
Parramatta	1	F	27611
Parramatta	1	M	27820
Pennant Hills - Epping	0	F	10749
Pennant Hills - Epping	0	M	9916
Pennant Hills - Epping	1	F	12831
Pennant Hills - Epping	1	M	12645
Ryde - Hunters Hill	0	F	32446
Ryde - Hunters Hill	0	M	29043
Ryde - Hunters Hill	1	F	33561
Ryde - Hunters Hill	1	M	33658
Bringelly - Green Valley	0	F	26014
