SA3_NAME16	Age	Sex	Volunteer	adults
Queanbeyan	15-19	F		160
Queanbeyan	15-19	F	0	1139
Queanbeyan	15-19	F	1	425
Queanbeyan	15-19	M		179
Queanbeyan	15-19	M	0	1360
Queanbeyan	15-19	M	1	327
Queanbeyan	20-24	F		138
Queanbeyan	20-24	F	0	1275
Queanbeyan	20-24	F	1	260
Queanbeyan	20-24	M		139
Queanbeyan	20-24	M	0	1239
Queanbeyan	20-24	M	1	238
Queanbeyan	25-34	F		344
Queanbeyan	25-34	F	0	2976
Queanbeyan	25-34	F	1	645
Queanbeyan	25-34	M		310
Queanbeyan	25-34	M	0	3034
Queanbeyan	25-34	M	1	483
Queanbeyan	35-44	F		273
Queanbeyan	35-44	F	0	2675
Queanbeyan	35-44	F	1	1110
Queanbeyan	35-44	M		317
Queanbeyan	35-44	M	0	2842
Queanbeyan	35-44	M	1	820
Queanbeyan	45-54	F		302
Queanbeyan	45-54	F	0	3066
Queanbeyan	45-54	F	1	1217
Queanbeyan	45-54	M		378
Queanbeyan	45-54	M	0	3153
Queanbeyan	45-54	M	1	1064
Queanbeyan	55-64	F		265
Queanbeyan	55-64	F	0	2439
Queanbeyan	55-64	F	1	818
Queanbeyan	55-64	M		303
Queanbeyan	55-64	M	0	2575
Queanbeyan	55-64	M	1	766
Queanbeyan	65-74	F		214
Queanbeyan	65-74	F	0	1390
Queanbeyan	65-74	F	1	548
Queanbeyan	65-74	M		233
Queanbeyan	65-74	M	0	1526
Queanbeyan	65-74	M	1	508
Queanbeyan	75-84	F		141
Queanbeyan	75-84	F	0	683
Queanbeyan	75-84	F	1	163
Queanbeyan	75-84	M		115
Queanbeyan	75-84	M	0	650
Queanbeyan	75-84	M	1	159
Queanbeyan	85+	F		66
Queanbeyan	85+	F	0	354
Queanbeyan	85+	F	1	27
Queanbeyan	85+	M		31
Queanbeyan	85+	M	0	199
Queanbeyan	85+	M	1	17
Snowy Mountains	15-19	F		63
Snowy Mountains	15-19	F	0	344
Snowy Mountains	15-19	F	1	117
Snowy Mountains	15-19	M		87
Snowy Mountains	15-19	M	0	390
Snowy Mountains	15-19	M	1	131
Snowy Mountains	20-24	F		52
Snowy Mountains	20-24	F	0	341
Snowy Mountains	20-24	F	1	67
Snowy Mountains	20-24	M		77
Snowy Mountains	20-24	M	0	396
Snowy Mountains	20-24	M	1	99
Snowy Mountains	25-34	F		86
Snowy Mountains	25-34	F	0	681
Snowy Mountains	25-34	F	1	251
Snowy Mountains	25-34	M		190
Snowy Mountains	25-34	M	0	770
Snowy Mountains	25-34	M	1	179
Snowy Mountains	35-44	F		90
Snowy Mountains	35-44	F	0	678
Snowy Mountains	35-44	F	1	357
Snowy Mountains	35-44	M		162
Snowy Mountains	35-44	M	0	755
Snowy Mountains	35-44	M	1	282
Snowy Mountains	45-54	F		140
Snowy Mountains	45-54	F	0	825
Snowy Mountains	45-54	F	1	489
Snowy Mountains	45-54	M		171
Snowy Mountains	45-54	M	0	872
Snowy Mountains	45-54	M	1	411
Snowy Mountains	55-64	F		103
Snowy Mountains	55-64	F	0	809
Snowy Mountains	55-64	F	1	408
Snowy Mountains	55-64	M		143
Snowy Mountains	55-64	M	0	917
Snowy Mountains	55-64	M	1	395
Snowy Mountains	65-74	F		112
Snowy Mountains	65-74	F	0	604
Snowy Mountains	65-74	F	1	342
Snowy Mountains	65-74	M		135
Snowy Mountains	65-74	M	0	698
Snowy Mountains	65-74	M	1	307
Snowy Mountains	75-84	F		109
Snowy Mountains	75-84	F	0	307
Snowy Mountains	75-84	F	1	140
Snowy Mountains	75-84	M		99
Snowy Mountains	75-84	M	0	338
Snowy Mountains	75-84	M	1	127
Snowy Mountains	85+	F		76
Snowy Mountains	85+	F	0	179
Snowy Mountains	85+	F	1	29
Snowy Mountains	85+	M		37
Snowy Mountains	85+	M	0	113
Snowy Mountains	85+	M	1	20
South Coast	15-19	F		221
South Coast	15-19	F	0	1203
South Coast	15-19	F	1	359
South Coast	15-19	M		262
South Coast	15-19	M	0	1261
South Coast	15-19	M	1	302
South Coast	20-24	F		106
South Coast	20-24	F	0	902
South Coast	20-24	F	1	180
South Coast	20-24	M		119
South Coast	20-24	M	0	989
