SA3_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Queanbeyan			66
Queanbeyan		1955	65
Queanbeyan		1965	165
Queanbeyan		1975	343
Queanbeyan		1985	170
Queanbeyan		1995	173
Queanbeyan		2005	193
Queanbeyan		2010	273
Queanbeyan		2011	47
Queanbeyan		2012	63
Queanbeyan		2013	63
Queanbeyan		2014	72
Queanbeyan		2015	78
Queanbeyan		2016	44
Queanbeyan	CAN		6
Queanbeyan	CAN	1965	5
Queanbeyan	CAN	1975	18
Queanbeyan	CAN	1985	18
Queanbeyan	CAN	1995	25
Queanbeyan	CAN	2005	24
Queanbeyan	CAN	2010	12
Queanbeyan	CAN	2013	3
Queanbeyan	CAN	2014	3
Queanbeyan	CAN	2015	3
Queanbeyan	CHN		7
Queanbeyan	CHN	1955	3
Queanbeyan	CHN	1965	7
Queanbeyan	CHN	1975	3
Queanbeyan	CHN	1985	4
Queanbeyan	CHN	1995	20
Queanbeyan	CHN	2005	51
Queanbeyan	CHN	2010	62
Queanbeyan	CHN	2011	14
Queanbeyan	CHN	2012	3
Queanbeyan	CHN	2013	5
Queanbeyan	CHN	2014	10
Queanbeyan	CHN	2015	11
Queanbeyan	CHN	2016	9
Queanbeyan	DEU		12
Queanbeyan	DEU	1955	105
Queanbeyan	DEU	1965	74
Queanbeyan	DEU	1975	30
Queanbeyan	DEU	1985	19
Queanbeyan	DEU	1995	19
Queanbeyan	DEU	2005	16
Queanbeyan	DEU	2010	5
Queanbeyan	DEU	2013	3
Queanbeyan	DEU	2014	3
Queanbeyan	EGY		3
Queanbeyan	EGY	1975	3
Queanbeyan	EGY	1995	3
Queanbeyan	EGY	2010	9
Queanbeyan	EGY	2011	7
Queanbeyan	EGY	2014	5
Queanbeyan	EGY	2015	3
Queanbeyan	EGY	2016	6
Queanbeyan	FJI	1975	7
Queanbeyan	FJI	1985	13
Queanbeyan	FJI	1995	18
Queanbeyan	FJI	2005	31
Queanbeyan	FJI	2010	28
Queanbeyan	FJI	2011	12
Queanbeyan	FJI	2012	3
Queanbeyan	FJI	2013	8
Queanbeyan	FJI	2014	3
Queanbeyan	GBR		74
Queanbeyan	GBR	1946	6
Queanbeyan	GBR	1955	115
Queanbeyan	GBR	1965	361
Queanbeyan	GBR	1975	580
Queanbeyan	GBR	1985	240
Queanbeyan	GBR	1995	188
Queanbeyan	GBR	2005	204
Queanbeyan	GBR	2010	168
Queanbeyan	GBR	2011	21
Queanbeyan	GBR	2012	36
Queanbeyan	GBR	2013	22
Queanbeyan	GBR	2014	25
Queanbeyan	GBR	2015	27
Queanbeyan	GBR	2016	9
Queanbeyan	GRC		7
Queanbeyan	GRC	1955	19
Queanbeyan	GRC	1965	61
Queanbeyan	GRC	1975	39
Queanbeyan	GRC	1985	6
Queanbeyan	GRC	1995	4
Queanbeyan	GRC	2005	3
Queanbeyan	HKG	1965	3
Queanbeyan	HKG	1975	6
Queanbeyan	HKG	1985	7
Queanbeyan	HKG	1995	9
Queanbeyan	HKG	2005	4
Queanbeyan	HKG	2010	3
Queanbeyan	HKG	2014	3
Queanbeyan	HRV		9
Queanbeyan	HRV	1955	6
Queanbeyan	HRV	1965	36
Queanbeyan	HRV	1975	94
Queanbeyan	HRV	1995	12
Queanbeyan	HRV	2005	7
Queanbeyan	IDN	1965	3
Queanbeyan	IDN	1975	3
Queanbeyan	IDN	1985	3
Queanbeyan	IDN	1995	19
Queanbeyan	IDN	2005	15
Queanbeyan	IDN	2010	9
Queanbeyan	IDN	2012	3
Queanbeyan	IDN	2013	3
Queanbeyan	IDN	2014	3
Queanbeyan	IDN	2015	10
Queanbeyan	IDN	2016	9
Queanbeyan	IND		9
Queanbeyan	IND	1955	3
Queanbeyan	IND	1965	3
Queanbeyan	IND	1975	14
Queanbeyan	IND	1985	8
Queanbeyan	IND	1995	30
Queanbeyan	IND	2005	84
Queanbeyan	IND	2010	380
Queanbeyan	IND	2011	36
Queanbeyan	IND	2012	38
Queanbeyan	IND	2013	47
Queanbeyan	IND	2014	93
Queanbeyan	IND	2015	61
Queanbeyan	IND	2016	41
Queanbeyan	IRL		3
Queanbeyan	IRL	1955	4
Queanbeyan	IRL	1965	5
Queanbeyan	IRL	1975	22
Queanbeyan	IRL	1985	16
Queanbeyan	IRL	1995	9
Queanbeyan	IRL	2005	10
Queanbeyan	IRL	2010	10
Queanbeyan	IRL	2011	6
Queanbeyan	IRL	2012	8
Queanbeyan	IRL	2013	3
Queanbeyan	IRL	2015	3
Queanbeyan	IRL	2016	3
Queanbeyan	IRN	1985	8
Queanbeyan	IRN	1995	4
Queanbeyan	IRN	2005	3
Queanbeyan	IRN	2010	3
