SA3_NAME16	BornAust	Sex	persons
Queanbeyan	0	F	4936
Queanbeyan	0	M	4906
Queanbeyan	1	F	21388
Queanbeyan	1	M	21631
Snowy Mountains	0	F	1240
Snowy Mountains	0	M	1246
Snowy Mountains	1	F	7196
Snowy Mountains	1	M	7776
South Coast	0	F	4574
South Coast	0	M	4277
South Coast	1	F	28230
South Coast	1	M	27216
Goulburn - Mulwaree	0	F	1587
Goulburn - Mulwaree	0	M	1695
Goulburn - Mulwaree	1	F	14549
Goulburn - Mulwaree	1	M	14897
Young - Yass	0	F	1565
Young - Yass	0	M	1363
Young - Yass	1	F	15289
Young - Yass	1	M	14941
Gosford	0	F	15003
Gosford	0	M	13815
Gosford	1	F	66711
Gosford	1	M	63077
Wyong	0	F	10107
Wyong	0	M	9131
Wyong	1	F	66006
Wyong	1	M	62591
Bathurst	0	F	1954
Bathurst	0	M	2091
Bathurst	1	F	19221
Bathurst	1	M	19486
Lachlan Valley	0	F	1489
Lachlan Valley	0	M	1313
Lachlan Valley	1	F	23465
Lachlan Valley	1	M	23260
Lithgow - Mudgee	0	F	1934
Lithgow - Mudgee	0	M	1913
Lithgow - Mudgee	1	F	18451
Lithgow - Mudgee	1	M	18933
Orange	0	F	2533
Orange	0	M	2319
Orange	1	F	24642
Orange	1	M	23791
Clarence Valley	0	F	2011
Clarence Valley	0	M	1780
Clarence Valley	1	F	21184
Clarence Valley	1	M	20915
Coffs Harbour	0	F	6200
Coffs Harbour	0	M	5471
Coffs Harbour	1	F	34684
Coffs Harbour	1	M	32978
Bourke - Cobar - Coonamble	0	F	722
Bourke - Cobar - Coonamble	0	M	642
Bourke - Cobar - Coonamble	1	F	9437
Bourke - Cobar - Coonamble	1	M	9882
Broken Hill and Far West	0	F	465
Broken Hill and Far West	0	M	443
Broken Hill and Far West	1	F	8826
Broken Hill and Far West	1	M	8551
Dubbo	0	F	2305
Dubbo	0	M	2220
Dubbo	1	F	29640
Dubbo	1	M	28785
Lower Hunter	0	F	2946
Lower Hunter	0	M	2812
Lower Hunter	1	F	37198
Lower Hunter	1	M	37601
Maitland	0	F	3061
Maitland	0	M	2856
Maitland	1	F	32869
Maitland	1	M	31437
Port Stephens	0	F	4136
Port Stephens	0	M	3902
Port Stephens	1	F	29077
Port Stephens	1	M	28529
Upper Hunter	0	F	1124
Upper Hunter	0	M	1203
Upper Hunter	1	F	12492
Upper Hunter	1	M	12662
Dapto - Port Kembla	0	F	8216
Dapto - Port Kembla	0	M	7460
Dapto - Port Kembla	1	F	27900
Dapto - Port Kembla	1	M	27359
Kiama - Shellharbour	0	F	7552
Kiama - Shellharbour	0	M	6802
Kiama - Shellharbour	1	F	35513
Kiama - Shellharbour	1	M	34426
Wollongong	0	F	14270
Wollongong	0	M	13979
Wollongong	1	F	46807
Wollongong	1	M	45899
Great Lakes	0	F	1610
Great Lakes	0	M	1551
Great Lakes	1	F	13053
Great Lakes	1	M	12359
Kempsey - Nambucca	0	F	1987
